BV号：BV1vJ41197n2
标题：BV1vJ41197n2
链接：https://www.bilibili.com/video/BV1vJ41197n2
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-04-04 05:14:17

[00:00:00 - 00:00:02] 大家好 我上学习变得共快乐的张雪芳老师
[00:00:02 - 00:00:04] 在2018年的6月22号
[00:01:25 - 00:01:26] 到底该给他定什么罪呢
[00:01:26 - 00:01:27] 好的
[00:01:27 - 00:01:28] 这个问题非常好
[00:01:28 - 00:01:30] 这个问题就是咱们刑法上
[00:01:30 - 00:01:32] 一个很大的问题
[00:01:32 - 00:01:34] 就是有些行为
[00:01:34 - 00:01:36] 他同時包容了其他犯罪
[00:01:36 - 00:01:38] 然後這個時候你怎麼定
[00:01:38 - 00:01:40] 你看他也是殺人了對不對
[00:01:40 - 00:01:41] 他也危害了公共安全了
[00:01:41 - 00:01:43] 那麼這個時候是這樣
[00:01:43 - 00:01:47] 首先我們把危害公共安全的這兩個罪放到一塊兒
[00:01:47 - 00:01:48] 就投放危險物質的合議
[00:01:48 - 00:01:50] 危險放到危害公共安全罪
[00:01:50 - 00:01:52] 然後另外一個叫故意殺人罪
[00:01:52 - 00:01:54] 那麼我們是這樣定的
[00:01:54 - 00:01:57] 如果你這個行為只是殺一個人
[00:01:57 - 00:01:59] 不危害公共安全的
[00:01:59 - 00:02:01] 我們就定故意殺人罪
[00:02:01 - 00:02:04] 你記不記得復旦大學那個林森浩
[00:02:04 - 00:02:05] 对对对
[00:02:05 - 00:02:09] 那个林森浩给他的那个室友黄阳投毒投到哪里了
[00:02:09 - 00:02:12] 投到那个淫水的那个那个淫水机里边我记得
[00:02:12 - 00:02:13] 关键是哪里的淫水机
[00:02:13 - 00:02:14] 就他们宿舍内的淫水机吗
[00:02:14 - 00:02:16] 他自己宿舍内就他俩
[00:02:16 - 00:02:18] 就他们两个的淫水机
[00:02:18 - 00:02:20] 然后那个林森浩自己投毒
[00:02:20 - 00:02:21] 他不可能去喝呀
[00:02:21 - 00:02:22] 对
[00:02:22 - 00:02:24] 所以就是这只是对黄阳一个人的投毒
[00:02:24 - 00:02:27] 所以林森浩后来就定的故意杀人贼
[00:02:27 - 00:02:29] 然后这个孩子呢
[00:02:29 - 00:02:31] 他给人家这个给这些幼儿围投毒呢
[00:02:31 - 00:02:33] 是投在了那个幼儿园里面
[00:02:33 - 00:02:34] 幼儿园的水杯里面
[00:02:34 - 00:02:36] 这水杯可能会被很多小孩喝
[00:02:36 - 00:02:39] 所以这个时候咱们就不定故意杀人罪
[00:02:39 - 00:02:41] 定投放危险物质罪
[00:02:41 - 00:02:43] 那为什么不是以危险罚法危害公共安全
[00:02:43 - 00:02:45] 这个问题更好了
[00:02:45 - 00:02:46] 那么是这样的
[00:02:46 - 00:02:48] 就是以危险罚危害公共安全罪
[00:02:48 - 00:02:49] 是一个兜底的罪名
[00:02:49 - 00:02:51] 其实你看投放危险物质罪
[00:02:51 - 00:02:53] 破坏交通工具罪
[00:02:53 - 00:02:54] 破坏交通设施罪
[00:02:54 - 00:02:55] 破坏电力设备罪
[00:02:55 - 00:02:57] 截持船只汽车
[00:02:57 - 00:02:58] 截持航空器
[00:02:58 - 00:02:59] 都是
[00:02:59 - 00:03:00] 唯一发言公共安全
[00:03:00 - 00:03:03] 而且都是以危險方法危害公共安全
[00:03:03 - 00:03:07] 那麼我們就有一些很具體的罪名
[00:03:07 - 00:03:08] 這個罪名兩個之間的關係
[00:03:08 - 00:03:10] 就說以危險方法危害公共安全罪
[00:03:10 - 00:03:12] 和投放危險物質罪
[00:03:12 - 00:03:13] 它就是個法條進合
[00:03:13 - 00:03:14] 就是說有個大法條
[00:03:14 - 00:03:16] 大法條以危險方法危害公共安全
[00:03:16 - 00:03:18] 下面一些小法條
[00:03:18 - 00:03:21] 那麼如果我們滿足這個小法條的犯罪構成的話
[00:03:21 - 00:03:22] 我們就按小法條來定
[00:03:22 - 00:03:26] 就是在法條進合的時候特別法優先
[00:03:26 - 00:03:28] 你已經是投放危險物質了
[00:03:28 - 00:03:29] 我就定投放危險物質
[00:03:29 - 00:03:32] 如果你是把人家別人汽車的煞車裝置破壞了
[00:03:32 - 00:03:34] 那麼破壞了人家的汽車
[00:03:34 - 00:03:36] 那麼我們就定破壞交通工具罪
[00:03:36 - 00:03:39] 然後還有一些沒有別的罪可以定的
[00:03:39 - 00:03:42] 像走在公交車上
[00:03:42 - 00:03:43] 搶司機方向盤的
[00:03:43 - 00:03:43] 記得吧
[00:03:43 - 00:03:45] 搶司機方向盤的這種
[00:03:45 - 00:03:47] 我們就定以危險方法
[00:03:47 - 00:03:48] 危害公關權
[00:03:48 - 00:03:49] 說實話
[00:03:49 - 00:03:50] 就是我個人感覺
[00:03:50 - 00:03:51] 就是我個人的感覺就是
[00:03:51 - 00:03:53] 大概就是以危險方法
[00:03:53 - 00:03:55] 危害公關權罪是為了幹嘛的呢
[00:03:55 - 00:03:56] 就是有一些行為
[00:03:56 - 00:03:57] 它危害公關權
[00:03:57 - 00:03:58] 它這個行為很具體
[00:03:58 - 00:04:00] 我们可以拿具体的罪决定
[00:04:00 - 00:04:01] 但是有一些方法
[00:04:01 - 00:04:03] 它可能因为说实话
[00:04:03 - 00:04:04] 现在这个社会
[00:04:04 - 00:04:05] 不可能
[00:04:05 - 00:04:05] 对
[00:04:05 - 00:04:06] 说你什么什么什么
[00:04:06 - 00:04:07] 全都给你进了
[00:04:07 - 00:04:07] 对吧
[00:04:07 - 00:04:08] 然后的话
[00:04:08 - 00:04:10] 但是有一些人可能就是
[00:04:10 - 00:04:12] 用一些可能在法律上
[00:04:12 - 00:04:13] 目前来讲
[00:04:13 - 00:04:14] 我们没发现的
[00:04:14 - 00:04:15] 没有列出来的
[00:04:15 - 00:04:17] 然后我拿这个罪来给你
[00:04:17 - 00:04:19] 其实它是一样的性质
[00:04:19 - 00:04:19] 对
[00:04:19 - 00:04:20] 然后的话另想上
[00:04:20 - 00:04:22] 两种应该也是差不多的
[00:04:22 - 00:04:23] 两种一样的
[00:04:23 - 00:04:24] 就是
[00:04:24 - 00:04:25] 都是三年以下
[00:04:25 - 00:04:27] 三到十年 十年以上到死性
[00:04:27 - 00:04:28] 对
[00:04:28 - 00:04:31] 然后的话像造成严重后果的这个肯定就是要10年到死刑
[00:04:31 - 00:04:32] 10年到死刑了
[00:04:32 - 00:04:34] 那像这个本案当中这个林某竹最后
[00:04:35 - 00:04:37] 不管是因为他之前你遭受过什么样的
[00:04:38 - 00:04:38] 那个困境
[00:04:38 - 00:04:40] 那是那是你自己遭受的困境
[00:04:40 - 00:04:42] 但是你不能去外甲社会
[00:04:42 - 00:04:43] 那他最后给他量刑
[00:04:43 - 00:04:44] 给他是定的什么
[00:04:44 - 00:04:47] 最后是以为那个投放危险物质罪
[00:04:47 - 00:04:48] 但是判了个死缓
[00:04:48 - 00:04:50] 判了个死缓
[00:04:50 - 00:04:50] 对
[00:04:50 - 00:04:52] 这个死缓的意思是什么呢
[00:04:52 - 00:04:53] 就是两年之后
[00:04:53 - 00:04:55] 他有个两年的缓期
[00:04:55 - 00:04:55] 对对对 我知道
[00:04:55 - 00:04:56] 两年考验期
[00:04:56 - 00:04:59] 人家欺瞞之后 只要他没有特别恶劣的故意犯罪
[00:04:59 - 00:05:01] 就转成无期了
[00:05:01 - 00:05:04] 就是现在咱们国家有一个什么趋势
[00:05:04 - 00:05:06] 就是对死刑的限制
[00:05:06 - 00:05:09] 以前就像你这种投毒什么的
[00:05:09 - 00:05:12] 只要死一个人 你肯定是死刑立即执行的
[00:05:12 - 00:05:15] 但现在的慢慢的 有一个限制
[00:05:15 - 00:05:17] 就说像那种如果就死了一个人
[00:05:17 - 00:05:21] 然后手段不算特别恶劣的 一般都能保住命
[00:05:21 - 00:05:25] 这是我们国家目前对死刑方面的一个限制
[00:05:25 - 00:05:29] 那这个案子又给我另外一个其他的一个宣光案件
[00:05:29 - 00:05:30] 我就问一下
[00:05:30 - 00:05:33] 比如说现在你看很多小区里边就有那种六狗
[00:05:33 - 00:05:34] 有的人很喜欢
[00:05:34 - 00:05:37] 但有的人可能就不是很喜欢
[00:05:37 - 00:05:39] 再加上有一些六狗人的素质确实是不高
[00:05:39 - 00:05:44] 然后的话就导致很多人就产生的这种对狗的纵物心理
[00:05:44 - 00:05:46] 然后有一些特别不好的人
[00:05:46 - 00:05:47] 他就是在那个小区里边
[00:05:47 - 00:05:48] 就是到处扔那个香肠
[00:05:48 - 00:05:50] 但这个香肠是有毒的
[00:05:50 - 00:05:54] 可能是带我老鼠药的或者什么样的有毒的
[00:05:54 - 00:05:56] 他就希望把这个国外毒死
[00:05:56 - 00:05:57] 很多小学都出现在这样的话
[00:05:57 - 00:06:00] 但是万一假如说有一个小孩
[00:06:00 - 00:06:02] 他可能不知道是什么东西
[00:06:02 - 00:06:02] 对吧
[00:06:02 - 00:06:04] 因为小猫因为没看住
[00:06:04 - 00:06:06] 他把这个东西给吃了
[00:06:06 - 00:06:08] 那这个投毒人万一被找到的话
[00:06:08 - 00:06:10] 你像他毒死狗
[00:06:10 - 00:06:12] 他可能也就是排成一个损失
[00:06:12 - 00:06:14] 但是一旦毒死了人
[00:06:14 - 00:06:15] 那他是不是也要按照这种
[00:06:15 - 00:06:18] 投放危险物质罪给他定罪
[00:06:18 - 00:06:19] 好
[00:06:19 - 00:06:19] 这样的
[00:06:19 - 00:06:22] 首先就算你只把狗毒死了
[00:06:22 - 00:06:24] 甚至你没有毒死狗
[00:06:24 - 00:06:26] 照樣可以定投放危險物質罪
[00:06:26 - 00:06:29] 你敢在小區公開場所投毒
[00:06:29 - 00:06:30] 為什麼呢?因為你這個投毒
[00:06:30 - 00:06:32] 它有很大的危險
[00:06:32 - 00:06:35] 完全有可能被狗吃了被人吃了
[00:06:35 - 00:06:36] 危險非常大
[00:06:36 - 00:06:39] 然後我們國家有一種犯罪
[00:06:39 - 00:06:41] 它是達到危險狀態
[00:06:41 - 00:06:43] 就算犯罪既隨的
[00:06:43 - 00:06:44] 就能判得很重
[00:06:44 - 00:06:45] 我們的
[00:06:45 - 00:06:46] 達到危險狀態就可以
[00:06:46 - 00:06:49] 對 我們公共安全這一塊的故意犯罪
[00:06:49 - 00:06:50] 都是危險犯
[00:06:50 - 00:06:53] 就是說你給人家在小區裡面撒了香茶
[00:06:53 - 00:06:56] 沒有狗也沒有人吃
[00:06:56 - 00:06:57] 但是被大家發現了
[00:06:57 - 00:07:00] 好了報警了查證數十了
[00:07:00 - 00:07:01] 三到十年
[00:07:01 - 00:07:03] 就是你所謂的沒有造成嚴重後果嗎
[00:07:03 - 00:07:04] 對
[00:07:04 - 00:07:07] 沒有就定投放危險物質罪三到十年
[00:07:07 - 00:07:09] 然後如果吃死了小孩呢
[00:07:09 - 00:07:12] 就可以判到十年以上到死刑
[00:07:12 - 00:07:15] 對所以說的話就是大家對於這種事情
[00:07:15 - 00:07:17] 就是希望就是可能
[00:07:17 - 00:07:22] 有人有這種想法的是可而止
[00:07:22 - 00:07:25] 对对对你这个罪是很重的罪
[00:07:25 - 00:07:26] 是集中的罪对不对
[00:07:26 - 00:07:28] 如果说你自己有过有一些不好的经历的话
[00:07:28 - 00:07:31] 就是不要去产生所谓的包袱社会的心理
[00:07:31 - 00:07:31] 对对对
[00:07:31 - 00:07:34] 你不管说是你做成了还是没做成
[00:07:34 - 00:07:35] 就像刚才我们所说的
[00:07:35 - 00:07:37] 哪怕说你对这个小区里边六狗的人
[00:07:37 - 00:07:39] 你有一些什么样的想法
[00:07:39 - 00:07:41] 你只要敢危害公共安全
[00:07:41 - 00:07:43] 你只要敢为害大家的利益
[00:07:43 - 00:07:46] 你相信我法律一定是让你要付出责任
[00:07:46 - 00:07:47] 不会缺席的
[00:07:47 - 00:07:48] 对你一定是跑不了的
[00:07:48 - 00:07:51] 就是不要把被害人變成被告人
[00:07:51 - 00:07:52] 對 好
[00:07:52 - 00:07:55] 我們今天也感謝楊老師跟我們講的這麼多
[00:07:55 - 00:07:56] 關於法律的知識
[00:07:56 - 00:07:57] 我們本期節目就是這樣
[00:07:57 - 00:07:58] 咱們下期節目再見
[00:07:58 - 00:07:59] 謝謝大家
[00:07:59 - 00:08:00] 拜拜
