BV号：BV1F4411N7zK
标题：BV1F4411N7zK
链接：https://www.bilibili.com/video/BV1F4411N7zK
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 07:57:40

[00:00:00 - 00:00:02] 大家好,我是老学习变得更快乐的张雪凤老师
[00:03:09 - 00:03:11] 我處分我個人的那一半
[00:03:12 - 00:03:14] 結果當時公佈出來以後
[00:03:14 - 00:03:15] 你知道怎麼樣
[00:03:15 - 00:03:20] 很多女性到盧州納西區人民法院的外面
[00:03:20 - 00:03:22] 示威
[00:03:22 - 00:03:22] 真的
[00:03:22 - 00:03:25] 这人站在大南这边,在那儿去边
[00:03:25 - 00:03:26] 你觉得呢?
[00:03:26 - 00:03:28] 那肯定站在大南那边,对吧
[00:03:28 - 00:03:30] 很多人去他们那个门口示威
[00:03:30 - 00:03:32] 说你们要干把这个房子
[00:03:32 - 00:03:33] 判给那个小三
[00:03:34 - 00:03:35] 我们就怎样怎样怎样
[00:03:35 - 00:03:36] 有问题
[00:03:36 - 00:03:38] 就说这个时候就出来一个问题
[00:03:38 - 00:03:40] 死者的愿望
[00:03:41 - 00:03:43] 被尊重重要
[00:03:43 - 00:03:46] 还是这个社会的这个
[00:03:46 - 00:03:48] 功绪良俗重要
[00:03:48 - 00:03:48] 这个地方啊
[00:03:48 - 00:03:49] 前面一个什么呢
[00:03:49 - 00:03:52] 就是你看他这个案特殊在哪里
[00:03:52 - 00:03:55] 就是他呢在跟他妻子还没有这个离婚的情况下
[00:03:55 - 00:03:58] 他呢在外面找了一个女性
[00:03:58 - 00:03:59] 而且后来他们还有一个孩子
[00:03:59 - 00:04:00] 他们这样
[00:04:00 - 00:04:01] 还有孩子是吧
[00:04:01 - 00:04:02] 对 有个女儿
[00:04:02 - 00:04:04] 在他去世的时候女儿五岁
[00:04:04 - 00:04:05] 哎呀
[00:04:05 - 00:04:07] 他们这样就这种情况下
[00:04:07 - 00:04:10] 那么该不该把这个房子的这个
[00:04:10 - 00:04:11] 他就是这个男的的遗产
[00:04:11 - 00:04:13] 这个男的自己的遗产到底能不能
[00:04:13 - 00:04:17] 处分给自己的婚外的这个女朋友
[00:04:17 - 00:04:19] 那他到底能不能啊
[00:04:19 - 00:04:19] 你别提嘛
[00:04:19 - 00:04:20] 你看
[00:04:20 - 00:04:23] 我们民法当时候我们叫民法通则
[00:04:23 - 00:04:26] 民法通则第7条是这么写的
[00:04:26 - 00:04:29] 民事活动应当尊重社会功德
[00:04:29 - 00:04:32] 不得损害社会的公共利益
[00:04:32 - 00:04:35] 那么这个我们的民法学家就把它叫功蓄良俗
[00:04:35 - 00:04:36] 那么你想一想
[00:04:36 - 00:04:38] 如果我们允许一个男人
[00:04:38 - 00:04:43] 把自己的遗产公然的留给自己的婚外情的女朋友
[00:04:43 - 00:04:45] 就不能开这个头
[00:04:45 - 00:04:47] 这个肯定是不对的
[00:04:47 - 00:04:49] 你觉得这个符合功蓄良俗的要求
[00:04:49 - 00:04:50] 肯定是不符合的
[00:04:51 - 00:04:54] 所以這個案子就說當時很轟動
[00:04:54 - 00:04:55] 那麼後來這個法院
[00:04:56 - 00:04:58] 首先他們做了一個什麼事情呢就說
[00:04:58 - 00:04:59] 他認為
[00:04:59 - 00:05:00] 盧州市的那些區域公正處
[00:05:01 - 00:05:03] 在未查明事實的情況下
[00:05:03 - 00:05:05] 僅憑一贈人的陳述
[00:05:05 - 00:05:05] 這個
[00:05:06 - 00:05:08] 他的那個婚外情對象叫一贈人
[00:05:08 - 00:05:09] 人家給他的
[00:05:09 - 00:05:10] 一贈人的陳述
[00:05:11 - 00:05:12] 遍對其遺囑進行的公正
[00:05:12 - 00:05:15] 違反了四川省公正條例的規定屬於公正不當
[00:05:16 - 00:05:16] 就是說
[00:05:16 - 00:05:20] 你这个内容虽然你这个看起来是说我给我朋友一半
[00:05:20 - 00:05:22] 但你这个朋友不是个普通朋友
[00:05:22 - 00:05:24] 他是你的婚外情对象
[00:05:24 - 00:05:24] 所以呢
[00:05:25 - 00:05:25] 这种情况下呢
[00:05:26 - 00:05:27] 但这个公正首先被撤销了
[00:05:28 - 00:05:29] 认为这个公正不到
[00:05:29 - 00:05:30] 然后呢
[00:05:30 - 00:05:31] 接着说
[00:05:31 - 00:05:34] 这个是在非法同居关系之下
[00:05:34 - 00:05:35] 的一种
[00:05:35 - 00:05:36] 因此呢
[00:05:36 - 00:05:37] 一生就把他的诉讼给他
[00:05:38 - 00:05:38] 撥回了
[00:05:38 - 00:05:41] 那我9个例子啊
[00:05:41 - 00:05:43] 比如说9个例子
[00:05:43 - 00:05:44] 假如说我啊
[00:05:44 - 00:05:48] 那假如说有这么一个人
[00:05:48 - 00:05:53] 他可能没有想把自己的那一半留给自己的老婆孩子
[00:05:53 - 00:05:54] 因为什么样的原因
[00:05:54 - 00:05:59] 他说我把自己的一半交给了另一个我的男性朋友
[00:05:59 - 00:06:03] 比如说现在有很多那种同性恋
[00:06:03 - 00:06:05] 他可能说他假婚
[00:06:05 - 00:06:06] 对吧
[00:06:06 - 00:06:06] 他假婚
[00:06:06 - 00:06:07] 他可能为了父母假婚
[00:06:07 - 00:06:10] 但是他外面其实是有一个男性同性恋的朋友的
[00:06:10 - 00:06:10] 对吧
[00:06:10 - 00:06:13] 那如果说我把我这一份遗产我给他
[00:06:14 - 00:06:16] 这个算不算违反工序良俗呢
[00:06:17 - 00:06:19] 这个就看你能论证到什么程度了
[00:06:19 - 00:06:23] 就是如果他妻子这一方能够论证到
[00:06:23 - 00:06:25] 那个男性朋友跟他
[00:06:25 - 00:06:29] 其实就也是他的出轨对象
[00:06:29 - 00:06:31] 那么这个也不能被
[00:06:31 - 00:06:33] 不能被肯定
[00:06:33 - 00:06:34] 但是这些人你知道吗
[00:06:34 - 00:06:35] 你做一个很重要的问题
[00:06:35 - 00:06:39] 就是现在夫妻离婚出轨的概念
[00:06:39 - 00:06:41] 原来出轨都是男出女女出男
[00:06:41 - 00:06:42] 对对对
[00:06:42 - 00:06:45] 现在可能会是一个男出男女出女
[00:06:45 - 00:06:45] 对
[00:06:45 - 00:06:47] 那算不算出轨
[00:06:47 - 00:06:47] 对
[00:06:47 - 00:06:50] 那这个这个就需要这个
[00:06:50 - 00:06:52] 连着我们中国法治的进步
[00:06:52 - 00:06:54] 这个我们今天就不讨论了
[00:06:54 - 00:06:55] 但是你看这个案子当中
[00:06:55 - 00:06:57] 就是刚才你也说到就是
[00:06:57 - 00:06:58] 这个黄某呢
[00:06:58 - 00:06:59] 跟他那个所谓的出轨的对象
[00:06:59 - 00:07:00] 就是张女士
[00:07:00 - 00:07:02] 他们是有一个孩子的
[00:07:02 - 00:07:03] 孩子才5岁
[00:07:03 - 00:07:03] 对不对
[00:07:03 - 00:07:05] 那如果说法律当中
[00:07:05 - 00:07:07] 那可能就是在第一轮当中
[00:07:07 - 00:07:09] 二奶去告大奶的过程当中
[00:07:09 - 00:07:10] 我们不能违反公区良俗
[00:07:10 - 00:07:12] 说去把这个遗产决定给二奶
[00:07:12 - 00:07:14] 这个我是绝对可以理解的
[00:07:14 - 00:07:15] 但是这个孩子才五岁
[00:07:15 - 00:07:18] 毕竟也是黄某的亲骨肉
[00:07:18 - 00:07:19] 对吧
[00:07:19 - 00:07:22] 那可不可以张女士用这个孩子说
[00:07:22 - 00:07:24] 我去要这个遗产
[00:07:24 - 00:07:26] 或者说我去要这个抚养费的形式
[00:07:26 - 00:07:27] 能够整个一份遗产呢
[00:07:28 - 00:07:31] 我觉得你很有考我们法考这种潜力
[00:07:32 - 00:07:33] 对这个问题考虑的
[00:07:33 - 00:07:34] 就是是很有道理的
[00:07:34 - 00:07:36] 就是说这个孩子的权利
[00:07:36 - 00:07:36] 谁来保护
[00:07:36 - 00:07:37] 对不对
[00:07:37 - 00:07:38] 这个案子还有后续的
[00:07:39 - 00:07:42] 就第一次法院一審撥回了張女士的請求
[00:07:42 - 00:07:44] 然後她就二審
[00:07:44 - 00:07:45] 二審又被撥回來
[00:07:45 - 00:07:47] 然後過了一段時間大概是一年吧
[00:07:47 - 00:07:48] 過了一年
[00:07:49 - 00:07:53] 她以她的女兒的名義來去起訴
[00:07:53 - 00:07:54] 那麼媽媽作為法定代表人
[00:07:54 - 00:07:56] 然後以她女兒的名義去起訴
[00:07:56 - 00:07:57] 起訴誰呢
[00:07:57 - 00:08:00] 起訴那個原配大奶
[00:08:00 - 00:08:02] 起訴那個原配要求什麼呢
[00:08:02 - 00:08:03] 第一
[00:08:03 - 00:08:04] 他說為了生孩子
[00:08:04 - 00:08:07] 他還交了6000塊錢的計畫生育法版
[00:08:07 - 00:08:09] 要讓那個人培給他
[00:08:09 - 00:08:12] 第二要讓那個人撫養這個孩子到18歲
[00:08:12 - 00:08:15] 或者至少就是從遺產裡面
[00:08:15 - 00:08:19] 把這個孩子應得的這個撫養費拿出來
[00:08:19 - 00:08:22] 那麼這個你覺得那個6千塊法院會支持嗎
[00:08:22 - 00:08:24] 這個我先不說那6千塊啊
[00:08:24 - 00:08:27] 因為我覺得6千塊不是事
[00:08:27 - 00:08:28] 但是我覺得就是說
[00:08:28 - 00:08:30] 你說如果說從這個這個
[00:08:30 - 00:08:33] 就是我們大多數老百姓的繼承的概念
[00:08:33 - 00:08:35] 就是他的一些遺產裡邊當中
[00:08:35 - 00:08:37] 毕竟有孩子的那一份
[00:08:37 - 00:08:38] 孩子吧
[00:08:38 - 00:08:40] 就是说他第一他也是他的亲人
[00:08:40 - 00:08:41] 第二的话
[00:08:41 - 00:08:42] 他毕竟是一个小孩
[00:08:42 - 00:08:44] 他没法自己去
[00:08:44 - 00:08:46] 说去我去挣钱养活我自己
[00:08:46 - 00:08:46] 怎么样的
[00:08:46 - 00:08:48] 我个人觉得就是可能大人
[00:08:48 - 00:08:50] 你想拿这个钱你拉走吧
[00:08:50 - 00:08:54] 但是孩子我觉得应该是可以
[00:08:54 - 00:08:55] 我个人觉得应该是可以的
[00:08:55 - 00:08:56] 那么第一个问题
[00:08:56 - 00:08:58] 6000块法院说
[00:08:58 - 00:09:00] 你自己违反计划生育
[00:09:00 - 00:09:00] 对
[00:09:00 - 00:09:01] 原配没关系
[00:09:01 - 00:09:03] 有什么关系
[00:09:03 - 00:09:04] 所以駁回
[00:09:04 - 00:09:05] 第二個問題
[00:09:05 - 00:09:08] 孩子確實應該得到遺產
[00:09:08 - 00:09:14] 你拿什麼證明這個孩子是死者的孩子
[00:09:14 - 00:09:17] 那你有什麼證據
[00:09:17 - 00:09:21] 這個證據
[00:09:21 - 00:09:25] 這個證明我爹是我爹
[00:09:25 - 00:09:26] 但是我爹已經沒了
[00:09:26 - 00:09:27] 這個
[00:09:27 - 00:09:27] 對啊
[00:09:27 - 00:09:29] 你說他就是他的孩子
[00:09:29 - 00:09:31] 人家說你有什麼證據
[00:09:31 - 00:09:33] 如果他爸爸承認也可以
[00:09:33 - 00:09:34] 爸爸死了
[00:09:34 - 00:09:35] DNA有沒有
[00:09:36 - 00:09:38] 如果他有DNA的話就是可以
[00:09:38 - 00:09:38] 也死了
[00:09:38 - 00:09:39] 對啊
[00:09:39 - 00:09:41] 如果這個爸爸剛生下來這個孩子
[00:09:41 - 00:09:44] 他就給這個孩子跟他做了一個親子鑑定
[00:09:44 - 00:09:47] 那這個親子鑑定報告是可以拿來的
[00:09:47 - 00:09:50] 就是說後來這個案子又被法院撥回了
[00:09:50 - 00:09:53] 但是理由不是說孩子不應該得到撫養
[00:09:53 - 00:09:54] 這個你注意就是說
[00:09:54 - 00:09:57] 婚生子女和非婚生子女在
[00:09:57 - 00:09:58] 繼承的時候
[00:09:58 - 00:10:00] 在繼承的時候完全是平等的
[00:10:00 - 00:10:02] 不因為媽媽是出軌的
[00:10:02 - 00:10:03] 或者是什麼
[00:10:03 - 00:10:07] 正是结婚的 而对子女有影响 这个没有影响 但是前提是
[00:10:07 - 00:10:12] 你能证明你是这个人的孩子 还是人家的这个婚生
[00:10:12 - 00:10:15] 是人家的子女 但是他当时其实是这样
[00:10:15 - 00:10:17] 还有种证明方法是什么呢 就是那边
[00:10:17 - 00:10:21] 原配那一边有个孩子 那个孩子呢
[00:10:21 - 00:10:25] 他跟这边如果能做出来兄妹的这种第一见面的话
[00:10:25 - 00:10:26] 还是可以的 也可以的
[00:10:26 - 00:10:28] 那边人家凭什么跟你做呀
[00:10:28 - 00:10:31] 人家不做 人家就不给他做
[00:10:31 - 00:10:36] 所以他最後就沒有辦法證明這個是自己的孩子
[00:10:36 - 00:10:40] 那假如說我再給這個案子加一集啊
[00:10:40 - 00:10:42] 這種第二集我再加一集
[00:10:42 - 00:10:46] 好了那他們可能就是看了咱們兩個節目啊
[00:10:46 - 00:10:48] 他說我原來這個也可以
[00:10:48 - 00:10:51] 他就打聽出這個黃某和大乃生的孩子
[00:10:51 - 00:10:52] 可能在那個時候上學
[00:10:52 - 00:10:56] 然後呢我找一個人去掏他一根頭髮
[00:10:56 - 00:11:00] 那我抗这个头发就算有他的DNA这个数据了吧
[00:11:00 - 00:11:01] 对吧
[00:11:01 - 00:11:03] 那跟我自己的孩子做一个证明
[00:11:03 - 00:11:04] 证明人家是穷妹
[00:11:04 - 00:11:06] 那如果我拿了这第三集
[00:11:06 - 00:11:11] 我拿了抗人一根头发的DNA证明来证实的话
[00:11:11 - 00:11:12] 这个也是可以的
[00:11:12 - 00:11:14] 那我要不要证实这个头发是那个人的
[00:11:14 - 00:11:15] 废话
[00:11:15 - 00:11:16] 废话
[00:11:16 - 00:11:17] 对不起
[00:11:17 - 00:11:19] 你肯定
[00:11:19 - 00:11:22] 首先要证明你从哪弄来的头发
[00:11:22 - 00:11:23] 这个头发是不是那个人的
[00:11:23 - 00:11:25] 你得先能证明这个才行
[00:11:25 - 00:11:28] 那人家有權不配,我就不告訴你,是不是我的
[00:11:28 - 00:11:29] 對啊
[00:11:30 - 00:11:31] 你還是解決不了啊
[00:11:32 - 00:11:32] 好不好不好不
[00:11:33 - 00:11:38] 這個到時候我跟您講啊,現在咱們國家呢,給大家看視頻同學提個血
[00:11:38 - 00:11:41] 不一定是咱們同學,咱們的其他一些朋友
[00:11:41 - 00:11:42] 就是現在有一些人啊
[00:11:43 - 00:11:47] 確實有這種非婚生子女婚女人吧,有的也不是說出軌的
[00:11:47 - 00:11:48] 可能前面一個女朋友
[00:11:49 - 00:11:51] 他們在第一個女朋友的時候
[00:11:51 - 00:11:52] 他確實有個孩子
[00:11:52 - 00:11:53] 后面跟别人结婚了
[00:11:53 - 00:11:54] 还是真的婚生机
[00:11:54 - 00:11:56] 有的人都问我自己有没有孩子
[00:11:56 - 00:11:56] 真的
[00:11:56 - 00:11:57] 这个不是
[00:11:57 - 00:11:57] 就是说
[00:11:57 - 00:12:00] 如果是你确实跟你前女朋友有一个孩子
[00:12:00 - 00:12:02] 你以后要想照顾这个孩子
[00:12:02 - 00:12:03] 那么建议就说
[00:12:03 - 00:12:05] 跟这个孩子做一个
[00:12:05 - 00:12:06] 亲子鉴定
[00:12:06 - 00:12:09] 这样任何时候你去世了之后
[00:12:09 - 00:12:09] 你的财产
[00:12:09 - 00:12:11] 如果那个孩子想分的话
[00:12:11 - 00:12:12] 他能分到
[00:12:12 - 00:12:13] 以前宁波有过一个案例
[00:12:13 - 00:12:15] 那真的是个亿万富翁
[00:12:15 - 00:12:17] 特别多的钱
[00:12:17 - 00:12:19] 然后他就是婚外有个孩子
[00:12:19 - 00:12:20] 他也写了遗嘱
[00:12:20 - 00:12:22] 把很多钱留给这个婚外的孩子
[00:12:22 - 00:12:25] 最后他去世之后没用
[00:12:25 - 00:12:27] 人家那个原配这一方就说
[00:12:27 - 00:12:28] 你拿什么证据证明的是你的
[00:12:28 - 00:12:30] 是我们老公的孩子
[00:12:30 - 00:12:32] 其实你也不一定非得说是我为了生产
[00:12:32 - 00:12:36] 确实是人居也是为了保护他自己的后代
[00:12:36 - 00:12:37] 对吧
[00:12:37 - 00:12:39] 你说你不倒该是高者搞这个孩子出来
[00:12:39 - 00:12:40] 就说这是我老公的孩子
[00:12:40 - 00:12:40] 对吧
[00:12:40 - 00:12:42] 那你这个也是不合理的
[00:12:42 - 00:12:42] 对
[00:12:42 - 00:12:43] 但是当时的情况
[00:12:43 - 00:12:45] 那个女方就是明知道
[00:12:45 - 00:12:47] 那就是她老公的孩子
[00:12:47 - 00:12:49] 但是法律就是法律
[00:12:49 - 00:12:50] 证据就是证据
[00:12:50 - 00:12:52] 所以咱们俩做的这两期案子
[00:12:52 - 00:12:54] 我觉得有一个特别明显的感觉是什么呢
[00:12:54 - 00:12:56] 真的要懂法
[00:12:56 - 00:12:57] 你不懂法
[00:12:57 - 00:12:58] 你真的是自己的合法权益
[00:12:58 - 00:12:59] 自己保护不在
[00:12:59 - 00:13:00] 对
[00:13:00 - 00:13:02] 反正就是
[00:13:02 - 00:13:03] 我们还是希望这种是首发中的
[00:13:03 - 00:13:05] 另外我还要讲一下
[00:13:05 - 00:13:07] 就说刚才是民法通责规定的
[00:13:07 - 00:13:09] 那个供叙良输原则
[00:13:09 - 00:13:11] 后来我们的民法总责
[00:13:11 - 00:13:13] 咱们2017年不是把咱们
[00:13:13 - 00:13:15] 咱们不是新出了一个民法总责吗
[00:13:15 - 00:13:18] 民法总责第八条又再次重设了
[00:13:18 - 00:13:19] 这个原则
[00:13:19 - 00:13:20] 而觉得更清晰了
[00:13:20 - 00:13:24] 是这么说的,民事主体从事民事活动
[00:13:24 - 00:13:27] 不得违反法律,不得违背公许良俗
[00:13:27 - 00:13:29] 来,更加清晰
[00:13:29 - 00:13:31] 对,所以说的话就是我们怎么说呢
[00:13:31 - 00:13:31] 就是
[00:13:31 - 00:13:36] 公许良俗是一个非常重要的我们生活的一个基础
[00:13:36 - 00:13:36] 对
[00:13:36 - 00:13:38] 所以说我们法律呢也在
[00:13:38 - 00:13:41] 相关的就是你怎么样以后我们一定要有一个前提
[00:13:41 - 00:13:42] 就是要
[00:13:42 - 00:13:44] 尊重公许良俗
[00:13:44 - 00:13:46] 好,我们本期节目呢
[00:13:46 - 00:13:48] 唉,虞点
[00:13:48 - 00:13:50] 就是這樣 我們下期再見
