BV号：BV1Vx411t7Ev
标题：BV1Vx411t7Ev
链接：https://www.bilibili.com/video/BV1Vx411t7Ev
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-04-04 12:29:39

[00:00:04 - 00:00:05] 我问你个问题啊
[00:05:24 - 00:05:25] 老乡请我说完这句话
[00:05:25 - 00:05:27] 我当年考大学的时候
[00:05:27 - 00:05:29] 连七大我都考不上
[00:05:29 - 00:05:31] 但是今天我依然坐在了这里
[00:05:31 - 00:05:33] 您说这是比例的问题
[00:05:33 - 00:05:34] 这么大的一个比例
[00:05:34 - 00:05:36] 今天在这么小的一个空间
[00:05:36 - 00:05:37] 就砸到了我头上
[00:05:37 - 00:05:38] 您是不是应该思考一下
[00:05:38 - 00:05:40] 这个比例是不是有问题
[00:05:40 - 00:05:41] 这个比例没问题啊
[00:05:42 - 00:05:43] 对啊
[00:05:43 - 00:05:47] 我们现场的严职能量团
[00:05:47 - 00:05:48] 您表达了自己的
[00:05:48 - 00:05:49] 支持和反对的意见
[00:05:49 - 00:05:51] 下面雪锋老师
[00:05:51 - 00:05:52] 我们一起来请
[00:05:52 - 00:05:54] 现场的朋友为您投票
[00:05:54 - 00:05:55] 来 各位准备好
[00:05:55 - 00:06:17] 请投票
[00:06:17 - 00:06:20] 谢谢大家
[00:06:20 - 00:06:25] 一场还期待您的精彩的讲演
[00:06:25 - 00:06:26] 我下一场绝对
[00:06:26 - 00:06:27] 绝对不讲教育的事了
[00:06:29 - 00:06:30] 我今天演讲的主题是
[00:06:30 - 00:06:31] 你要考验的话
[00:06:31 - 00:06:33] 一定要详情你自己想要什么
[00:06:33 - 00:06:35] 而不是说你该不该去考验
[00:06:35 - 00:06:36] 我觉得马丁老师说的那句话
[00:06:36 - 00:06:37] 是有点不太对的
[00:06:37 - 00:06:38] 因为我觉得不是说
[00:06:38 - 00:06:40] 所有的人都要说去工作
[00:06:40 - 00:06:42] 而是说应该告诉学生
[00:06:42 - 00:06:43] 你适合干什么
[00:06:43 - 00:06:44] 你觉得应该去干什么
[00:06:44 - 00:06:46] 改变命运的唯有一条路
[00:06:46 - 00:06:47] 就是不断地学习
[00:06:47 - 00:06:48] 努力进步
[00:06:48 - 00:06:50] 我们是个讲道理的结
[00:06:50 - 00:06:52] 就算口才再好也要讲道理
[00:06:52 - 00:06:53] 张学峰老师
