BV号：BV1YJ411C7X7
标题：BV1YJ411C7X7
链接：https://www.bilibili.com/video/BV1YJ411C7X7
识别语言：zh
语言置信度：1
分段数：378
生成时间：2026-04-04 04:49:04

[00:00:02 - 00:00:04] 然后金融国贸财政区一经济产业经济
[00:03:06 - 00:03:08] 他就咨询个问题 他没有花钱报我们的班
[00:03:09 - 00:03:11] 那花钱报我们班的同学 我当然有义务告诉他对不对
[00:03:11 - 00:03:14] 但是你说他不是我们的学员
[00:03:14 - 00:03:15] 他是不是我的学生
[00:03:15 - 00:03:16] 人家信任你
[00:03:16 - 00:03:16] 是
[00:03:16 - 00:03:17] 人家问你个问题
[00:03:17 - 00:03:18] 你说你告诉我
[00:03:18 - 00:03:19] 你不能坑人家
[00:03:19 - 00:03:19] 是吧
[00:03:19 - 00:03:20] 你说告诉我
[00:03:20 - 00:03:21] 要告诉我
[00:03:21 - 00:03:21] 告诉我
[00:03:21 - 00:03:22] 告诉我是吗
[00:03:22 - 00:03:23] 是告诉我
[00:03:23 - 00:03:23] 好
[00:03:23 - 00:03:24] 告诉我以后
[00:03:24 - 00:03:24] 啪
[00:03:24 - 00:03:25] 给你来个截屏
[00:03:25 - 00:03:26] 发个微博
[00:03:26 - 00:03:28] 张雪峰说
[00:03:28 - 00:03:29] 啥啥啥啥啥
[00:03:29 - 00:03:31] 你明明是为他好
[00:03:31 - 00:03:33] 他把你扔坑里了
[00:03:33 - 00:03:34] 然后的话
[00:03:34 - 00:03:36] 那学校就找你了
[00:03:36 - 00:03:37] 你为什么能这么说我
[00:03:37 - 00:03:39] 我说我说的是事实
[00:03:39 - 00:03:41] 事实用的找你说
[00:03:42 - 00:03:43] 完了你看
[00:03:43 - 00:03:46] 你以后想不下来我们小讲座
[00:03:47 - 00:03:49] 我们70个人招10个人
[00:03:49 - 00:03:51] 我们用我们自己的招生道理
[00:03:51 - 00:03:52] 人家也会给我讲
[00:03:52 - 00:03:52] 对对对
[00:03:52 - 00:03:53] 我是有招生道理的
[00:03:53 - 00:03:53] 怎么的
[00:03:54 - 00:03:54] 我想
[00:03:55 - 00:03:55] 我想我想
[00:03:55 - 00:03:57] 提高我的人的综合素质
[00:03:58 - 00:03:58] 对吗
[00:03:58 - 00:04:00] 他当然有自己说的同的道理
[00:04:00 - 00:04:00] 对吧
[00:04:00 - 00:04:01] 我自己的道理
[00:04:01 - 00:04:02] 对吧
[00:04:02 - 00:04:03] 我想夸大我的选择面
[00:04:03 - 00:04:06] 我不以成绩为唯一导向
[00:04:06 - 00:04:08] 我以学生能力为唯一导向
[00:04:08 - 00:04:09] 你成绩只要稍微合格
[00:04:09 - 00:04:10] 我们就可以
[00:04:10 - 00:04:11] 我们对关键它们的能力
[00:04:11 - 00:04:12] 你现在有说的没有说
[00:04:12 - 00:04:12] 完了
[00:04:12 - 00:04:15] 他也说的没有错吗
[00:04:15 - 00:04:16] 我要说他是学生综合素质
[00:04:16 - 00:04:17] 比试只是你捐面成绩
[00:04:17 - 00:04:19] 我要不要考虑他综合素质
[00:04:19 - 00:04:20] 他说他是有道理的吧
[00:04:21 - 00:04:22] 那有道理的话你不能正向说
[00:04:22 - 00:04:24] 你说你是怎么办
[00:04:24 - 00:04:26] 然后就很成问题
[00:04:26 - 00:04:27] 你以后还来不及想不想
[00:04:27 - 00:04:28] 我们说想做呢
[00:04:28 - 00:04:29] 这情感
[00:04:29 - 00:04:30] 然后动不动
[00:04:30 - 00:04:30] 还有让我道歉的
[00:04:30 - 00:04:33] 就有些时候你明明知道一个
[00:04:33 - 00:04:34] 对学生很重要的事情
[00:04:34 - 00:04:35] 但是你是说是不说
[00:04:35 - 00:04:36] 说到什么程度
[00:04:37 - 00:04:37] 这个东西
[00:04:37 - 00:04:39] 面临自己灵魂的考问
[00:04:39 - 00:04:40] 那我跟你说还有什么情况
[00:04:40 - 00:04:41] 就是还有一个
[00:04:41 - 00:04:43] 我也不说那个学校那个专业
[00:04:43 - 00:04:45] 好 我不觉得我们进行播完以后
[00:04:45 - 00:04:46] 肯定很多人会私天问我
[00:04:46 - 00:04:48] 你问我也不回答你的
[00:04:48 - 00:04:49] 有一个学校有一个专业
[00:04:49 - 00:04:51] 某酒吧舞 著名高校
[00:04:51 - 00:04:51] 然后的话呢
[00:04:51 - 00:04:54] 他找某社会人文学和专业
[00:04:54 - 00:04:55] 一年就找俩人
[00:04:55 - 00:04:56] 而且他找这两个人呢
[00:04:56 - 00:04:58] 其实年年都是找本校的口说
[00:04:58 - 00:04:59] 其实年年都是找本校的口说
[00:04:59 - 00:05:01] 但他从来不说
[00:05:01 - 00:05:01] 他不会说的
[00:05:01 - 00:05:02] 对 他不可能说的
[00:05:02 - 00:05:03] 对 从来不说
[00:05:03 - 00:05:04] 他不可能说
[00:05:04 - 00:05:05] 潜规则说白的是
[00:05:05 - 00:05:07] 那你说是说还是不说
[00:05:07 - 00:05:08] 对 你说这个东西
[00:05:08 - 00:05:10] 你说好 你的学员你告诉我
[00:05:10 - 00:05:11] 对吧
[00:05:11 - 00:05:12] 别人的学员问你
[00:05:12 - 00:05:13] 就第二天又有一个学员
[00:05:13 - 00:05:14] 我上次我考虑一下
[00:05:14 - 00:05:15] 考虑一下怎么样
[00:05:17 - 00:05:18] 你说还是不说
[00:05:18 - 00:05:19] 对
[00:05:19 - 00:05:21] 你说八给你几个平
[00:05:22 - 00:05:22] 你跟他说
[00:05:22 - 00:05:23] 有的时候
[00:05:23 - 00:05:24] 我跟你说有的时候真是这样的
[00:05:24 - 00:05:26] 因为网友什么样的人都有
[00:05:26 - 00:05:26] 你跟他说
[00:05:26 - 00:05:27] 我就告诉你一个人
[00:05:27 - 00:05:28] 你千万不要告诉别人
[00:05:28 - 00:05:30] 他抓个头就告诉别人了
[00:05:30 - 00:05:31] 有的人就是一个样子的
[00:05:31 - 00:05:32] 是
[00:05:32 - 00:05:33] 人家把这个
[00:05:33 - 00:05:35] 就是可能是人家一生的命运
[00:05:35 - 00:05:36] 托付给你
[00:05:36 - 00:05:36] 托付给你
[00:05:36 - 00:05:37] 是
[00:05:37 - 00:05:37] 对
[00:05:37 - 00:05:38] 不是 张老师我该怎么办
[00:05:38 - 00:05:39] 有的时候
[00:05:39 - 00:05:40] 你像我估计你那个职业
[00:05:40 - 00:05:41] 应该是遇不到这样的
[00:05:41 - 00:05:42] 所以不说了
[00:05:42 - 00:05:43] 对对对对对
[00:05:43 - 00:05:44] 应该很难
[00:05:45 - 00:05:46] 说还是不说
[00:05:47 - 00:05:47] 坚偶
[00:05:47 - 00:05:48] 我理解
[00:05:48 - 00:05:48] 我理解
[00:05:48 - 00:05:49] 特别坚偶
[00:05:49 - 00:05:51] 你说你不说吧
[00:05:51 - 00:05:53] 这个孩子可能这一年的努力就摆废了
[00:05:53 - 00:05:55] 刚刚我说的那个数据就是
[00:05:55 - 00:05:56] 每个学校这个专业
[00:05:56 - 00:05:58] 他的每年数据都会变
[00:05:58 - 00:05:59] 他今年富二十年多少分
[00:05:59 - 00:06:00] 招了多少人
[00:06:00 - 00:06:00] 你知道吧
[00:06:00 - 00:06:01] 他每年都会变
[00:06:01 - 00:06:01] 你知道吧
[00:06:01 - 00:06:03] 他每年都会吃
[00:06:03 - 00:06:04] 然后你知道这个感情是什么吗
[00:06:05 - 00:06:09] 他们会在每一年的3月底到4月初
[00:06:09 - 00:06:11] 短短的15天之内
[00:06:11 - 00:06:15] 全国800多个研装单位500多个研装专业
[00:06:15 - 00:06:17] 你去组合你算是有多长组合不是
[00:06:17 - 00:06:18] 每一年都会变
[00:06:18 - 00:06:21] 然后的话你要在这15天之内把这种信息全都查
[00:06:21 - 00:06:22] 全部梳理清楚
[00:06:22 - 00:06:24] 梳理清楚还得记住是吧
[00:06:24 - 00:06:25] 还得再闹罪形成概念
[00:06:25 - 00:06:27] 现在还好的是什么呢
[00:06:27 - 00:06:28] 现在我有囤队来做的事
[00:06:28 - 00:06:30] 你知道原来在我没有火的时候
[00:06:31 - 00:06:33] 这个事是我一个人干了
[00:06:34 - 00:06:35] 别睡觉了没
[00:06:35 - 00:06:36] 那十几天是吧
[00:06:36 - 00:06:38] 真的那段时间就是不睡觉的
[00:06:38 - 00:06:39] 然后的话我这个事我连续
[00:06:39 - 00:06:41] 大概干了有真心真心少师
[00:06:41 - 00:06:43] 因为刚开始的时候你不懂
[00:06:43 - 00:06:45] 你刚开始的时候你不懂
[00:06:45 - 00:06:46] 你是笨办法刚开始
[00:06:46 - 00:06:47] 对 刚开始的时候笨办法
[00:06:47 - 00:06:48] 刚开始的时候大家觉得说
[00:06:48 - 00:06:49] 我就那么几个专业嘛 对吧
[00:06:49 - 00:06:51] 然后的话什么土木工程
[00:06:51 - 00:06:52] 计算机呀
[00:06:52 - 00:06:53] 然后的话等等等等
[00:06:53 - 00:06:55] 后来突然出现一些什么新的转业
[00:06:55 - 00:06:56] 比如说对外汉语
[00:06:56 - 00:06:59] 对外汉语这个专业在研究上的阶段
[00:06:59 - 00:07:00] 它就不是一个转业
[00:07:00 - 00:07:01] 它的研究上的阶段的话
[00:07:01 - 00:07:02] 它是有两种方向
[00:07:02 - 00:07:03] 一种方向就是学术
[00:07:03 - 00:07:04] 一种方向就是学术
[00:07:04 - 00:07:06] 学术的话叫做语言学及应用语言学
[00:07:06 - 00:07:07] 对外汉语方向
[00:07:07 - 00:07:09] 语言学经应用语言学一般情况分三个方向
[00:07:09 - 00:07:12] 分语言学方向 应用语言学方向和对外汉语的方向
[00:07:12 - 00:07:14] 有的学校可能还没有对外汉语的方向
[00:07:14 - 00:07:16] 然后如果说你要考砖说的话
[00:07:16 - 00:07:17] 就是汉语国际教育学书
[00:07:17 - 00:07:19] 如果说你考语言学 应用语言学的话
[00:07:19 - 00:07:22] 英语分分线是文学分分线 一般要57分左右
[00:07:22 - 00:07:24] 如果说你要是汉语国际教育学书的话
[00:07:24 - 00:07:25] 那一般是54分左右
[00:07:25 - 00:07:27] 而且还有的学校比较另类
[00:07:27 - 00:07:29] 它是开在什么呢 叫做课程语教学论
[00:07:29 - 00:07:31] 这是教育学 考试专一课不是文学那种
[00:07:31 - 00:07:32] 是教育學的內容
[00:07:32 - 00:07:34] 他考的是中國教學手外國教學史
[00:07:34 - 00:07:35] 教育心理學教育研究方法
[00:07:35 - 00:07:38] 還有一些其他教學原理
[00:07:38 - 00:07:39] 你給你五文科
[00:07:39 - 00:07:40] 然後的話他的負責分析
[00:07:40 - 00:07:41] 是教育學的分析
[00:07:41 - 00:07:42] 他不是文學的分析
[00:07:43 - 00:07:44] 張老師
[00:07:44 - 00:07:46] 你都得去學
[00:07:46 - 00:07:47] 你怎麼辦
[00:07:47 - 00:07:48] 然後的話你就得去學
[00:07:48 - 00:07:49] 你沒辦法
[00:07:49 - 00:07:50] 這灌口
[00:07:50 - 00:07:51] 我的體會就什麼呢
[00:07:51 - 00:07:52] 首先一個感受
[00:07:52 - 00:07:54] 沒有人能隨隨便便成功
[00:07:54 - 00:07:55] 張老師成功
[00:07:55 - 00:07:56] 有他成功的理由
[00:07:56 - 00:07:57] 第二個
[00:07:57 - 00:07:58] 我現在後悔了
[00:07:58 - 00:07:59] 我做老師絕對不做考員
[00:07:59 - 00:08:00] 老師
[00:08:00 - 00:08:03] 哈哈哈哈太难了这个太难了
[00:08:03 - 00:08:05] 你可以做考研语东西
[00:08:05 - 00:08:07] 但是千万不要做考研
[00:08:07 - 00:08:09] 像我们这种就是运行专业选择
[00:08:09 - 00:08:11] 但是我理解你啊
[00:08:11 - 00:08:12] 就是第一个是张老师
[00:08:12 - 00:08:13] 你刚才说的这些就是
[00:08:13 - 00:08:14] 跟到的我简单总结一下
[00:08:14 - 00:08:17] 一个是因为你对学生有这种责任感
[00:08:17 - 00:08:17] 对吧
[00:08:17 - 00:08:20] 你希望帮助他人生找到更好的方向和归宿
[00:08:20 - 00:08:20] 第二个呢
[00:08:20 - 00:08:22] 是因为这个整个形式每年都在变
[00:08:22 - 00:08:23] 对吧
[00:08:23 - 00:08:24] 这个形式每年都在变
[00:08:24 - 00:08:26] 其实我们面临的可能每年
[00:08:26 - 00:08:27] 每个队更换球员
[00:08:27 - 00:08:28] 但是不会那么亮
[00:08:28 - 00:08:30] 你这个没有那么大的数据量
[00:08:30 - 00:08:31] 你每年这个数据量那么多的高厂
[00:08:31 - 00:08:33] 那么多的专业每年都在变
[00:08:33 - 00:08:34] 形势都不一样
[00:08:34 - 00:08:35] 第三个
[00:08:35 - 00:08:36] 整个社会在向前发展
[00:08:36 - 00:08:38] 这个就业形势专业方向
[00:08:38 - 00:08:39] 它的热门程度都不一样
[00:08:39 - 00:08:40] 每年都在变
[00:08:40 - 00:08:41] 我还有新的派生专业出来
[00:08:41 - 00:08:42] 对吧
[00:08:42 - 00:08:43] 第四个
[00:08:43 - 00:08:43] 还有一些学校
[00:08:43 - 00:08:44] 一些专业核孙子
[00:08:44 - 00:08:45] 是吧
[00:08:45 - 00:08:46] 他这个
[00:08:46 - 00:08:48] 一些咱们不能严肃的东西
[00:08:48 - 00:08:49] 核孙子
[00:08:49 - 00:08:49] 太纠结了
[00:08:49 - 00:08:51] 这个难度对你来说
[00:08:51 - 00:08:52] 我特别理解
[00:08:52 - 00:08:52] 好
[00:08:52 - 00:08:54] 那我们本期节目的就是这样
[00:08:54 - 00:08:54] 谢谢张老师
[00:08:54 - 00:08:55] 再见
