BV号：BV1eW411h7AU
标题：BV1eW411h7AU
链接：https://www.bilibili.com/video/BV1eW411h7AU
识别语言：zh
语言置信度：1
分段数：168
生成时间：2026-04-04 12:06:57

[00:00:00 - 00:00:03] 然后主要是在今年的8月份
[00:02:55 - 00:02:58] 那么今年的考验人数实际大概是多少呢
[00:02:59 - 00:03:01] 因为现在官方还没有出现一个结论
[00:03:02 - 00:03:04] 但是我个人根据各个省份的一个判断
[00:03:05 - 00:03:08] 我个人觉得今年的考验人数大概应该是在250万到260万左右
[00:03:09 - 00:03:11] 250万到260万左右
[00:03:11 - 00:03:15] 那么这个数字相距于今年的200万人其实也是一个
[00:03:16 - 00:03:19] 非常大的提升 上升幅度可能达到了20%左右
[00:03:19 - 00:03:23] 那么这个事出现以后的话对我们考研的学生有什么样的影响
[00:03:23 - 00:03:25] 首先我跟大家说一下
[00:03:25 - 00:03:29] 就是在中国这个考研人数是一半一半的分配比例的
[00:03:29 - 00:03:31] 在中国是55%的同学
[00:03:31 - 00:03:34] 就是这250万人
[00:03:34 - 00:03:37] 55%的人是应届考研的学生
[00:03:37 - 00:03:41] 还有45%的学生是网界的学生
[00:03:41 - 00:03:43] 也就是再值的这帮人
[00:03:43 - 00:03:44] 就是网界的学生在考研
[00:03:44 - 00:03:47] 然后的话也就是应届生的考研比例
[00:03:47 - 00:03:49] 比平均世代30%左右
[00:03:49 - 00:03:52] 但是这个数字根据专业的不同
[00:03:52 - 00:03:53] 以及地区的不同
[00:03:54 - 00:03:55] 那可能就会有一个相应的变化
[00:03:55 - 00:03:56] 你比如说
[00:03:56 - 00:03:58] 如果说你是学医的
[00:03:58 - 00:03:58] 那你想都不用想
[00:03:58 - 00:04:00] 你百分之百会考研
[00:04:00 - 00:04:01] 就是医学生的考研比例
[00:04:01 - 00:04:03] 可能要达到90%以上
[00:04:03 - 00:04:05] 但是如果说你是学艺术学类的
[00:04:05 - 00:04:07] 比如像什么音乐学、美术学
[00:04:07 - 00:04:09] 你像今天有一个同学给我发
[00:04:09 - 00:04:10] 这个微博私信
[00:04:10 - 00:04:12] 他是学京剧表演的
[00:04:12 - 00:04:14] 你像他们这种专业的考研比例
[00:04:14 - 00:04:15] 可能连10%都不到
[00:04:15 - 00:04:17] 这是一个在专业上的变化
[00:04:17 - 00:04:19] 另外一个变化就是在地域上的变化
[00:04:19 - 00:04:19] 你比如说
[00:04:19 - 00:04:20] 如果说这个学生
[00:04:20 - 00:04:21] 他现在在山东省
[00:04:21 - 00:04:22] 在河南省上学的话
[00:04:22 - 00:04:23] 那么他考研的比例
[00:04:23 - 00:04:25] 几率可能就要大一些
[00:04:25 - 00:04:26] 但如果说这个孩子
[00:04:26 - 00:04:27] 他在广东上学的话
[00:04:27 - 00:04:28] 比如在深圳上学
[00:04:28 - 00:04:28] 你看深圳
[00:04:28 - 00:04:30] 张老师就没有开分校
[00:04:30 - 00:04:30] 为什么呢
[00:04:30 - 00:04:31] 因为深圳的孩子
[00:04:31 - 00:04:32] 他基本上因为经济发展比较好
[00:04:32 - 00:04:33] 他都不考研
[00:04:33 - 00:04:34] 他的考研比例
[00:04:34 - 00:04:35] 就会稍微低一些
[00:04:35 - 00:04:37] 就不到30%
[00:04:37 - 00:04:37] 所以说的话
[00:04:37 - 00:04:39] 这是一个数字比例的变化
[00:04:39 - 00:04:41] 那么如果说人数上涨的话
[00:04:41 - 00:04:43] 那么对我们考研有什么样的影响
[00:04:44 - 00:04:45] 其实呢
[00:04:45 - 00:04:47] 一方面就是大家都知道的就是竞争比较激烈
[00:04:47 - 00:04:50] 其实一个最重要最重要的影响是什么影响的
[00:04:50 - 00:04:51] 就是说专业硕士
[00:04:52 - 00:04:57] 因为很多在咱们中国大多数的专业都是学朔比专硕要难考的
[00:04:57 - 00:05:00] 那么很多专业尤其是像工科类的专业
[00:05:00 - 00:05:02] 他如果说你考工学硕士考不上
[00:05:03 - 00:05:04] 会给你调节到工程硕士
[00:05:05 - 00:05:07] 就是学朔考不上给你调节到的专硕
[00:05:07 - 00:05:10] 但是今年这个情况可能会
[00:05:10 - 00:05:12] 出现的情况下会比较少
[00:05:12 - 00:05:13] 为什么呢
[00:05:13 - 00:05:14] 因为考研中书上长了
[00:05:14 - 00:05:17] 专业说是也招得满
[00:05:17 - 00:05:19] 就导致专业说是个调计名额
[00:05:19 - 00:05:21] 可能没有往年多
[00:05:21 - 00:05:22] 所以说大家今年就说
[00:05:22 - 00:05:23] 老说我学朔考不上
[00:05:23 - 00:05:25] 能不能调节到专朔
[00:05:25 - 00:05:29] 今年这个事可能出现的比例会稍微少一些
[00:05:29 - 00:05:30] 另外的话就是人数上长
[00:05:30 - 00:05:32] 对于我们另外一个压力在于哪里
[00:05:32 - 00:05:33] 在于调计的压力
[00:05:33 - 00:05:36] 调计的压力可能会变得更大
[00:05:36 - 00:05:38] 因为招捧满的情况是越来越少
[00:05:38 - 00:05:41] 所以说这一点是对我们整个考研人数的一个
[00:05:41 - 00:05:44] 变化对于我们整个考研的一个影响
