BV号：BV1NJ411s7d4
标题：BV1NJ411s7d4
链接：https://www.bilibili.com/video/BV1NJ411s7d4
识别语言：zh
语言置信度：1
分段数：309
生成时间：2026-04-04 04:24:55

[00:00:02 - 00:00:05] 小杨老师 最近我们有一个非常有意思的话题
[00:00:05 - 00:00:10] 对于所有的行业都是有一个冲击的教育
[00:02:26 - 00:02:28] 或者什么的民族什么的
[00:02:28 - 00:02:30] 但是人物中它完全不会这样的形象
[00:02:30 - 00:02:35] 调完这就是根据问题的回答来进行一个自动给你出帐的一个东西
[00:02:35 - 00:02:36] 对不对
[00:02:36 - 00:02:37] 这里面有两个点
[00:02:37 - 00:02:42] 第一就是说它确实可以消除很多的偏见
[00:02:42 - 00:02:44] 这也是应用这个技术的一个出中
[00:02:44 - 00:02:46] 对 一个主要的原因
[00:02:46 - 00:02:48] 但是这里面就是说第一
[00:02:48 - 00:02:50] 它可能会非常准确的告诉你
[00:02:50 - 00:02:51] 根据历史数据
[00:02:51 - 00:02:54] 这个候选人有80%会来你的公司
[00:02:54 - 00:02:56] 它甚至可以到这个程度
[00:02:56 - 00:03:00] 然后他可以刚刚你说有75%的可能性
[00:03:00 - 00:03:04] 他在未来的五年可以做到一个什么什么什么样的级别
[00:03:04 - 00:03:05] 因为这个数据足够大以后
[00:03:05 - 00:03:07] 他是可以做出这种预测的
[00:03:07 - 00:03:11] 对 但是剩下那20% 剩下那35%
[00:03:11 - 00:03:14] 那个才是到时候就是这个技术广泛英雄以后
[00:03:14 - 00:03:15] 一场要做的事情
[00:03:15 - 00:03:17] 这是附加值的地方
[00:03:17 - 00:03:19] 第二点呢就是说
[00:03:19 - 00:03:23] 你这个背后的代码怎么写还是人写
[00:03:23 - 00:03:25] 对吧 就是你怎么去消除这个偏见
[00:03:25 - 00:03:27] 其实是由他这个代码决定的
[00:03:27 - 00:03:30] 比如说我们前一阵就是去年
[00:03:30 - 00:03:32] 就是MIT那个马生理工学院
[00:03:32 - 00:03:34] 他在16年的时候
[00:03:34 - 00:03:35] 花了整两年的时候
[00:03:35 - 00:03:38] 做了一个全球的在线调查
[00:03:38 - 00:03:41] 然后他大概是搜集到了200多个国家
[00:03:41 - 00:03:44] 超过200万份的这种答案
[00:03:44 - 00:03:45] 他是讲什么呢
[00:03:45 - 00:03:47] 就是人工智能的无人驾驶车
[00:03:47 - 00:03:48] 对
[00:03:48 - 00:03:50] 他在一定要出车祸的情况下
[00:03:50 - 00:03:53] 一定要有人员伤亡的情况下
[00:03:53 - 00:03:54] 他撞谁
[00:03:54 - 00:03:57] 这里面就是有很多有海量的场景
[00:03:57 - 00:04:00] 就是老人和小孩之间的选择
[00:04:00 - 00:04:02] 男人和女人之间的选择
[00:04:02 - 00:04:04] 这个车里的乘客和司机和
[00:04:04 - 00:04:06] 车外的行人的选择
[00:04:06 - 00:04:07] 还有动物
[00:04:07 - 00:04:09] 动物对人和动物之间的选择
[00:04:09 - 00:04:12] 所以全球的调查结果回来之后
[00:04:12 - 00:04:14] 发现可能只有三点
[00:04:14 - 00:04:17] 是全球基本上可以达成一只的
[00:04:17 - 00:04:19] 就是人胜过动物
[00:04:19 - 00:04:21] 然后人多胜过人少
[00:04:21 - 00:04:25] 第三点应该是年幼的 幽于年长的
[00:04:25 - 00:04:27] 但是在每一个区域还不一样
[00:04:27 - 00:04:29] 尤其是在执行的时候
[00:04:29 - 00:04:30] 对
[00:04:30 - 00:04:31] 还真不太一样
[00:04:31 - 00:04:32] 我就曾经聊举过一个
[00:04:32 - 00:04:34] 就是很多很多的交通书过
[00:04:34 - 00:04:36] 都是为了躲避动物
[00:04:36 - 00:04:37] 倒计
[00:04:37 - 00:04:37] 对对对
[00:04:37 - 00:04:39] 人受到了极大的伤害
[00:04:39 - 00:04:39] 对
[00:04:39 - 00:04:41] 因为人的本能反应吗
[00:04:41 - 00:04:42] 对
[00:04:42 - 00:04:44] 所以这个代码一旦形成之后
[00:04:44 - 00:04:46] 比如说我们从这个道德的角度
[00:04:46 - 00:04:49] 去说就按照刚才这三点来做
[00:04:49 - 00:04:50] 那你这个代码写好了的话
[00:04:50 - 00:04:51] 他是改不了的吧
[00:04:51 - 00:04:55] 这个车他就是完美的执行你这个指令
[00:04:55 - 00:04:57] 所以就是说这个说的点远啊
[00:04:57 - 00:04:58] 但是拉回到H2的角度
[00:04:58 - 00:05:00] 就是说他在招聘的过程中
[00:05:00 - 00:05:04] 他就要非常严格的去按照这种道德考量
[00:05:04 - 00:05:07] 去制定一些问题或者一些考量的方法
[00:05:07 - 00:05:09] 你看我看那个领导人啊
[00:05:09 - 00:05:12] 他对于人才的认定和要求
[00:05:12 - 00:05:15] 跟这个代码有可能是不一样的
[00:05:15 - 00:05:16] 嗯
[00:05:16 - 00:05:16] 对不对
[00:05:16 - 00:05:18] 他可能说
[00:05:18 - 00:05:19] 他可能会觉得说
[00:05:19 - 00:05:21] 什么样的人我可能会有所偏好
[00:05:21 - 00:05:25] 你戴马说的那种偏好的人是一种什么样的人
[00:05:25 - 00:05:29] 而我作为老板我对于喜欢什么样的人是什么样的人
[00:05:29 - 00:05:30] 比如说我举个例子
[00:05:30 - 00:05:32] 你看我最近在跑步
[00:05:32 - 00:05:35] 那可能我就觉得那经常见身的人
[00:05:35 - 00:05:36] 或者每天跑步的人
[00:05:36 - 00:05:39] 可能是我现在比较看重的一个因素之一
[00:05:39 - 00:05:42] 但是这个事放在两年前
[00:05:42 - 00:05:43] 我可能就不这么想
[00:05:43 - 00:05:44] 但是两年以后呢
[00:05:44 - 00:05:46] 我可能就这样想
[00:05:46 - 00:05:48] 所以说的话
[00:05:48 - 00:05:49] 你如果说用一套台码
[00:05:49 - 00:05:52] 或者说以一个所谓人工智能的HR产品
[00:05:52 - 00:05:55] 去代替所有老板的这个想法
[00:05:55 - 00:05:58] 可能大多数的老板是不一定认可的
[00:05:58 - 00:05:59] 他是这样
[00:05:59 - 00:06:00] 他就是给你提供一个进
[00:06:00 - 00:06:01] 对
[00:06:01 - 00:06:03] 比如说像你刚才讲的
[00:06:03 - 00:06:04] 对
[00:06:04 - 00:06:05] 我有一个个人的偏好
[00:06:05 - 00:06:05] 对吧
[00:06:05 - 00:06:07] 我喜欢这个爱跑步的
[00:06:07 - 00:06:08] 对
[00:06:08 - 00:06:10] 但是HR的软件
[00:06:10 - 00:06:11] 或者说AI的软件
[00:06:11 - 00:06:12] 告诉你说
[00:06:12 - 00:06:13] 这个人可能
[00:06:13 - 00:06:15] 比如说你这个职位
[00:06:15 - 00:06:16] 对跑步的人
[00:06:16 - 00:06:18] 他其实是有一定的优势的
[00:06:18 - 00:06:20] 比如说他这个身体条件好
[00:06:20 - 00:06:20] 如何如何
[00:06:20 - 00:06:21] 他会告诉你说
[00:06:21 - 00:06:24] 哎这个可能选跑步的人更适合
[00:06:24 - 00:06:25] 但是有一些职位
[00:06:25 - 00:06:26] 他是完全不设计到这个
[00:06:26 - 00:06:28] 比如说是你状况或者怎么样
[00:06:28 - 00:06:29] 他会告诉你像刚才讲的
[00:06:29 - 00:06:31] 有多少多少的可能
[00:06:31 - 00:06:33] 这个是你一个更好的候选人
[00:06:33 - 00:06:35] 那你就要做出最终的选择
[00:06:35 - 00:06:37] 但是这时候我们还有一个活人吗
[00:06:37 - 00:06:38] 活人的H2
[00:06:38 - 00:06:38] 他会来问你说
[00:06:38 - 00:06:40] 老板你为什么非选这个跑步的
[00:06:40 - 00:06:40] 对吧
[00:06:40 - 00:06:42] 是不是你个人的偏好
[00:06:42 - 00:06:44] 所以这是一个互相配合
[00:06:44 - 00:06:46] 相互相承的这样的一个关系
[00:06:46 - 00:06:50] 所以我覺得廣大AXR同行也就沒有什麼需要擔心的
[00:06:50 - 00:06:52] 但可能是要提升自己的這個能力吧
[00:06:52 - 00:06:55] 對 然後把一些技術性的事物可以甩出去
[00:06:55 - 00:06:57] 但是最後這個負擔值很高的地方
[00:06:57 - 00:07:00] 還是要保留這個是我們的價值所在
[00:07:00 - 00:07:04] 所以說我覺得不光是你AXR行業
[00:07:04 - 00:07:05] 包括說像我老實行業
[00:07:05 - 00:07:08] 比如說我們老實行業會不會被AXR
[00:07:08 - 00:07:11] 會不會被人公司給替代
[00:07:11 - 00:07:13] 我就不具體說哪些公司了
[00:07:13 - 00:07:15] 他们现在正在主打
[00:07:15 - 00:07:17] 就是AI教学
[00:07:17 - 00:07:19] 而不是人来教学
[00:07:19 - 00:07:20] 但是我想想到的是
[00:07:20 - 00:07:22] 我很强调的是有些时候
[00:07:22 - 00:07:24] 人在于这个沟通的时候
[00:07:24 - 00:07:26] 对于感情的流露也好
[00:07:26 - 00:07:28] 包括对于语气语态
[00:07:28 - 00:07:29] 对吧
[00:07:29 - 00:07:30] 包括说有些时候我们说
[00:07:30 - 00:07:32] 就是外套
[00:07:32 - 00:07:32] 对吧
[00:07:32 - 00:07:33] 包括有些人可能就是说
[00:07:33 - 00:07:35] 我们都会有这样的情况
[00:07:35 - 00:07:37] 就是我一看一个人
[00:07:37 - 00:07:39] 我可能就很喜欢跟那个人结束
[00:07:39 - 00:07:40] 或者我一看这个人
[00:07:40 - 00:07:41] 我就很讨厌这个人
[00:07:41 - 00:07:43] 我就根本就不可能跟这样的人成为同仇
[00:07:43 - 00:07:45] 甚至有其他的一些
[00:07:45 - 00:07:46] 继续的等等等等
[00:07:46 - 00:07:48] 所以说的话你像这种东西
[00:07:48 - 00:07:50] 我觉得AI它你说的可能替代没有
[00:07:50 - 00:07:53] 我觉得真的可能说完全
[00:07:53 - 00:07:54] 不一定能替代我们人类的工作
[00:07:54 - 00:07:56] 我觉得是肯定替代不了的
[00:07:56 - 00:07:57] 希望以后不要打脸
[00:07:57 - 00:07:59] 但是这个就比如说我们现在在HR
[00:07:59 - 00:08:02] 其实它会搜集很多员工的信息
[00:08:02 - 00:08:04] 其实很多程度上这个人工智能
[00:08:04 - 00:08:06] 或者HR它是比员工的这个
[00:08:06 - 00:08:08] 比如说比它妈还要了解它的
[00:08:08 - 00:08:09] 为什么呢
[00:08:09 - 00:08:12] 比如说你每天在公司的时间
[00:08:12 - 00:08:14] 然后你每天的活动
[00:08:14 - 00:08:17] 包括可能有一些公司会看说你上了什么网站
[00:08:17 - 00:08:20] 然后你的打卡的时间
[00:08:20 - 00:08:21] 然后等等等等
[00:08:21 - 00:08:24] 然后他会去构建一个模型
[00:08:24 - 00:08:26] 千万不要有一个公司的无限网
[00:08:27 - 00:08:29] 否则你在网站上看什么东西
[00:08:29 - 00:08:30] 公司都会有一个模型
[00:08:30 - 00:08:31] 你在公司就是这样的
[00:08:31 - 00:08:32] 就是说要看这个公司
[00:08:32 - 00:08:34] 他在搜集什么信息
[00:08:34 - 00:08:37] 比如说我原来就职了某家公司
[00:08:37 - 00:08:39] 他会去建构一个模型
[00:08:39 - 00:08:43] 来预测说某些哪些员工更有可能离职
[00:08:43 - 00:08:45] 对 这些是什么呢
[00:08:45 - 00:08:48] 第一可能你家到公司的距离
[00:08:48 - 00:08:51] 第二就是说你在公司工作的时间长短
[00:08:51 - 00:08:53] 第三就是说你跟公司
[00:08:53 - 00:08:56] 因为科技公司一般是有股票分红的话
[00:08:56 - 00:08:56] 对
[00:08:56 - 00:08:58] 就是你这个分红还剩多少
[00:08:58 - 00:08:59] 如果说马上就没有了
[00:08:59 - 00:09:03] 那有可能你更容易去考虑其他的机会
[00:09:03 - 00:09:05] 还有就是说你跟你老板的关系
[00:09:05 - 00:09:06] 然后等等等等
[00:09:06 - 00:09:08] 就是这些数据综合下来
[00:09:08 - 00:09:10] 他会给H2H老板一个表说
[00:09:10 - 00:09:15] 这个员工张老师可能有70%的可能性
[00:09:15 - 00:09:17] 在未来6个月就要离职了
[00:09:17 - 00:09:19] 那这时候我们就要考量一下说
[00:09:19 - 00:09:20] 值不值得留念一下
[00:09:20 - 00:09:21] 如果觉得值得
[00:09:21 - 00:09:23] 那我们就赶紧主动出击
[00:09:23 - 00:09:26] 然后提供一些更多的关怀等等
[00:09:26 - 00:09:27] 所以这个就是说
[00:09:27 - 00:09:28] 像我们刚才讲的
[00:09:28 - 00:09:30] 就是AI没法取代的
[00:09:30 - 00:09:32] 但是他会给你一些基础的信息
[00:09:32 - 00:09:33] 辅助
[00:09:33 - 00:09:35] 对 辅助这个人的决策
[00:09:35 - 00:09:35] 对
[00:09:35 - 00:09:37] 所以说的话我觉得
[00:09:37 - 00:09:41] 如果说各位同学你们将来想去报人类责任管理这个专业
[00:09:41 - 00:09:43] 或者想从事这个行当的话
[00:09:43 - 00:09:46] 当然提供自己的能力是最重要的
[00:09:46 - 00:09:48] 当然也没有比较过分的担心
[00:09:48 - 00:09:50] 人工智能对于你们这个行当
[00:09:50 - 00:09:52] 对于你们这个专业的影响
[00:09:52 - 00:09:54] 因为据说我跟这位张老师
[00:09:54 - 00:09:57] 为你张老师所提到的很多东西
[00:09:57 - 00:10:00] 人工智能它是做不到我们人人这样
[00:10:00 - 00:10:02] 对对对
[00:10:02 - 00:10:03] 更细致的工作了
[00:10:03 - 00:10:03] 好不好
[00:10:03 - 00:10:05] 所以说大家放个金报口这个专业
[00:10:05 - 00:10:05] 好不好
[00:10:05 - 00:10:07] 咱們本期節目呢都是這樣
[00:10:07 - 00:10:08] 感謝張老師的分享
[00:10:08 - 00:10:10] 咱們下期再見 謝謝
