BV号：BV1Tv41167EN
标题：BV1Tv41167EN
链接：https://www.bilibili.com/video/BV1Tv41167EN
识别语言：zh
语言置信度：1
分段数：163
生成时间：2026-04-04 02:12:58

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:03:03 - 00:03:04] 它叫机械装置
[00:03:04 - 00:03:06] 然后这个机械装置怎么样
[00:03:06 - 00:03:07] 它要往上飞
[00:03:07 - 00:03:09] 它要往上飞要靠什么
[00:03:09 - 00:03:12] 要靠什么 是不是要靠动力
[00:03:12 - 00:03:13] 是不是要靠动力
[00:03:13 - 00:03:16] 所以说你会发现有动力工程的专业
[00:03:16 - 00:03:18] 在里边就可能有它的一些应用性
[00:03:18 - 00:03:20] 那么有了动力后的话
[00:03:20 - 00:03:21] 我们还有什么
[00:03:21 - 00:03:22] 还有什么
[00:03:22 - 00:03:25] 飞机当中是不是有很多很多的电子元件
[00:03:25 - 00:03:25] 对不对
[00:03:25 - 00:03:26] 那你会发现有什么专业
[00:03:26 - 00:03:28] 叫電子科學技術
[00:03:28 - 00:03:29] 那我這個飛機在天上飛
[00:03:29 - 00:03:31] 我得一直跟怎麼樣
[00:03:31 - 00:03:32] 跟地面保持溝通
[00:03:32 - 00:03:34] 比如說我這個飛機飛到多少高度了
[00:03:34 - 00:03:34] 對吧
[00:03:34 - 00:03:36] 我現在這個飛機出現了什麼樣的狀況
[00:03:36 - 00:03:37] 對吧
[00:03:37 - 00:03:38] 我旁邊有個鳥
[00:03:38 - 00:03:39] 我要避讓一下
[00:03:39 - 00:03:39] 怎麼怎麼樣的
[00:03:39 - 00:03:41] 那我這個飛機什麼時候到
[00:03:41 - 00:03:42] 我讓哪個飛機先落
[00:03:42 - 00:03:44] 我落在哪個跑道上
[00:03:44 - 00:03:44] 對不對
[00:03:44 - 00:03:45] 我停在哪個停停坪
[00:03:45 - 00:03:46] 這都需要飛機
[00:03:46 - 00:03:48] 和塔才的工作人員之間的聯繫
[00:03:48 - 00:03:49] 那這就需要什麼
[00:03:49 - 00:03:52] 這就需要通信專業在裡邊
[00:03:52 - 00:03:53] 然後的話
[00:03:53 - 00:03:54] 飛機裡邊有很多很多什麼
[00:03:54 - 00:03:56] 电子研究它要耗电的
[00:03:56 - 00:03:58] 那中间又要涉及到什么专业
[00:03:58 - 00:03:59] 叫做电器工程
[00:03:59 - 00:04:00] 大家你发现了吗
[00:04:00 - 00:04:02] 同样的这样一个专业
[00:04:02 - 00:04:06] 它有中间有很多专业的一个结合
[00:04:06 - 00:04:09] 专业和专业之间多要有结合
[00:04:09 - 00:04:10] 所以说你会发现我们在本科阶段
[00:04:10 - 00:04:12] 很多专业都是什么样的呢
[00:04:12 - 00:04:13] 本科阶段很多专业
[00:04:13 - 00:04:17] 都是那些专业课学的特别的多
[00:04:17 - 00:04:18] 特别的杂
[00:04:18 - 00:04:21] 好像你看起来什么都学了
[00:04:21 - 00:04:23] 但是好像似乎也
[00:04:23 - 00:04:25] 什么也都没有学懂
[00:04:25 - 00:04:26] 因为有些时候的话
[00:04:26 - 00:04:27] 你要知道一个专业
[00:04:27 - 00:04:30] 它分成了很多方向
[00:04:30 - 00:04:31] 就是要涉及到什么
[00:04:31 - 00:04:33] 跟不同的专业怎么样
[00:04:33 - 00:04:35] 有这样的交叉性
[00:04:35 - 00:04:36] 有这样的交叉性
[00:04:36 - 00:04:38] 所以说大家要看一下
[00:04:38 - 00:04:38] 这个专业
[00:04:38 - 00:04:40] 它本科阶段的培养方案
[00:04:40 - 00:04:41] 它的主观专业课
[00:04:41 - 00:04:42] 有没有相关的
[00:04:42 - 00:04:43] 当你会发现
[00:04:43 - 00:04:45] 这一个专业和这一个专业
[00:04:45 - 00:04:46] 这两个专业
[00:04:46 - 00:04:48] 它在本科阶段培养方案当中
[00:04:48 - 00:04:51] 有一半的专业课
[00:04:51 - 00:04:53] 都是一樣的
[00:04:53 - 00:04:57] 那這兩個專業就是一個相關專業
[00:04:57 - 00:05:00] 那如果你這個專業考不上的話
[00:05:00 - 00:05:01] 怎麼樣
[00:05:01 - 00:05:02] 你可以看看
[00:05:02 - 00:05:04] 跟它有一半專業課
[00:05:04 - 00:05:05] 在排氧發展當中是一樣的
[00:05:05 - 00:05:07] 另外一個專業
[00:05:07 - 00:05:09] 它的分是不是更低一些
[00:05:09 - 00:05:11] 你是不是能考得上
