BV号：BV1eJ411p7ZQ
标题：BV1eJ411p7ZQ
链接：https://www.bilibili.com/video/BV1eJ411p7ZQ
识别语言：zh
语言置信度：1
分段数：375
生成时间：2026-04-04 03:33:59

[00:00:02 - 00:00:03] 你得去去去去
[00:06:17 - 00:06:18] 没有
[00:06:18 - 00:06:18] 对没有
[00:06:18 - 00:06:19] 你给他点点面子嘛
[00:06:19 - 00:06:20] 对不对
[00:06:20 - 00:06:21] 确实没有
[00:06:21 - 00:06:21] 确实没有
[00:06:21 - 00:06:24] 因为不管你是从事苏松业务
[00:06:24 - 00:06:26] 你还是从事飞速业务
[00:06:26 - 00:06:29] 实际上真正把我们日常的工作
[00:06:29 - 00:06:31] 然后用镜头记录下来的话
[00:06:31 - 00:06:33] 我相信是非常枯燥的
[00:06:33 - 00:06:35] 会有很多的暗头工作
[00:06:35 - 00:06:38] 不是像电视剧里演的那么光鲜
[00:06:38 - 00:06:41] 就通常站在法庭上看看儿弹
[00:06:41 - 00:06:44] 或者是谈判桌上指点江山
[00:06:45 - 00:06:48] 那个是极少数的时候
[00:06:48 - 00:06:50] 更多的时候是暗头工作
[00:06:50 - 00:06:52] 是要写东西 写文件
[00:06:52 - 00:06:54] 然后去看合同 去看材料
[00:06:55 - 00:06:58] 实际上我一直有一个观点
[00:06:58 - 00:07:03] 就是作为一个刚入行的律师来说
[00:07:03 - 00:07:04] 你可能是一个律师助理
[00:07:04 - 00:07:07] 然后你可能会需要一个时间点
[00:07:07 - 00:07:09] 去问这个时间点
[00:07:09 - 00:07:13] 需要一个时间点去熟悉整个的工作
[00:07:13 - 00:07:14] 通常来说我们讲这些成分
[00:07:14 - 00:07:16] 大概要三年的时间
[00:07:16 - 00:07:18] 你从一个小孩
[00:07:18 - 00:07:20] 一直到三年时间
[00:07:20 - 00:07:22] 你应该已经拿到这个律师宝了
[00:07:22 - 00:07:25] 你在这个期间可能做的是最基础的工作
[00:07:25 - 00:07:27] 你就是每天在那里翻材料
[00:07:27 - 00:07:28] 做法律检索
[00:07:28 - 00:07:30] 高级律师会说了说
[00:07:30 - 00:07:34] 你去找一个什么时候法规
[00:07:34 - 00:07:36] 这个助助的全法
[00:07:36 - 00:07:37] 有一个什么事情
[00:07:37 - 00:07:40] 你去给我写一个夹用录上来
[00:07:40 - 00:07:41] 写一个夹用录
[00:07:41 - 00:07:43] 要用一天到两天的时间
[00:07:43 - 00:07:46] 那有可能是拍给你一楼材料
[00:07:46 - 00:07:48] 这个材料有这么高
[00:07:48 - 00:07:50] 这些都是土地证 房产证
[00:07:50 - 00:07:51] 公司的土地证
[00:07:51 - 00:07:54] 你就是全握了路出来
[00:07:54 - 00:07:55] 抄下来
[00:07:55 - 00:07:58] 那跟一个所谓的一个
[00:07:58 - 00:07:59] 你看起来一点关系都没有
[00:07:59 - 00:08:00] 对
[00:08:00 - 00:08:01] 但这个禁止调查
[00:08:01 - 00:08:03] 它这个作为非素来说
[00:08:03 - 00:08:05] 是所有非素律师的基本功
[00:08:05 - 00:08:07] 我们每个人都是这么过来的
[00:08:07 - 00:08:08] 给你一路合同
[00:08:08 - 00:08:11] 把合同的这个假方是谁
[00:08:11 - 00:08:13] 以方是谁是干什么的
[00:08:13 - 00:08:15] 然后呢 违约条款是什么
[00:08:15 - 00:08:16] 你给写的一个
[00:08:16 - 00:08:17] 我先光提供
[00:08:17 - 00:08:19] 在一个大表格里面
[00:08:19 - 00:08:21] 最终可能会用在一些法律意见
[00:08:21 - 00:08:24] 用在一些法律意见书也好
[00:08:24 - 00:08:26] 一些警示调查报告里面
[00:08:26 - 00:08:29] 你看起来你的工作是完全没有意义的
[00:08:29 - 00:08:31] 前三年的工作都是没有意义的
[00:08:31 - 00:08:33] 不像法律的工作
[00:08:33 - 00:08:35] 一开始
[00:08:35 - 00:08:38] 律师可能都是需要大概有三年的时间
[00:08:38 - 00:08:40] 我一直觉得差不多三年的时间
[00:08:40 - 00:08:40] 你去做这个工作
[00:08:40 - 00:08:42] 做完之后你可能会发现
[00:08:42 - 00:08:45] 我到底还适不适合在律所继续
[00:08:45 - 00:08:47] 每三年一个反思
[00:08:47 - 00:08:48] 就是第一个三年
[00:08:48 - 00:08:49] 你叫反思一下
[00:08:49 - 00:08:51] 我是不是还适合做律师
[00:08:51 - 00:08:52] 你要是不适合
[00:08:52 - 00:08:53] 你要觉得我不开心
[00:08:53 - 00:08:55] 那你可以去转到其他的行业
[00:08:55 - 00:08:58] 你可以去做投资
[00:08:58 - 00:08:58] 是吧
[00:08:58 - 00:09:00] 去一些VCP机构
[00:09:00 - 00:09:02] 你可能转到企业去做法务
[00:09:02 - 00:09:04] 这种非常多
[00:09:04 - 00:09:05] 这时候你也有律师本了
[00:09:05 - 00:09:08] 你可以去大家原谅
[00:09:08 - 00:09:09] 第一个三年
[00:09:09 - 00:09:10] 你第二个三年
[00:09:10 - 00:09:12] 你可能你觉得还行
[00:09:12 - 00:09:14] 你觉得我过了第一个三年之后
[00:09:14 - 00:09:15] 我觉得很开心
[00:09:15 - 00:09:17] 我有压力 我承受住了
[00:09:17 - 00:09:19] 我看我的高级律师在干什么
[00:09:19 - 00:09:20] 我也愿意
[00:09:21 - 00:09:23] 那我可以继续做下去
[00:09:23 - 00:09:25] 那你再做三年
[00:09:25 - 00:09:26] 你再做三年的时候
[00:09:26 - 00:09:27] 你就是这个项目的leader
[00:09:28 - 00:09:29] 你就是你可以
[00:09:29 - 00:09:31] 诉讼律师你可以独立的出庭
[00:09:31 - 00:09:32] 你可以大案子
[00:09:32 - 00:09:33] 比较大大案子
[00:09:33 - 00:09:34] 你也可以独立的出庭了
[00:09:35 - 00:09:36] 你比较大的项目
[00:09:36 - 00:09:38] IPO你也可以独立的去做了
[00:09:39 - 00:09:41] 这个时候你又做了三年
[00:09:41 - 00:09:41] 你六年了
[00:09:42 - 00:09:42] 六年的时候
[00:09:42 - 00:09:44] 像之前咱们说过
[00:09:44 - 00:09:46] 就是有合伙人嘛
[00:09:46 - 00:09:48] 你可能五到六年会做嘛
[00:09:48 - 00:09:50] 我是不是要生合伙人了
[00:09:50 - 00:09:51] 我能不能生合伙人
[00:09:51 - 00:09:54] 我所在的这个这个所
[00:09:54 - 00:09:56] 愿不愿意让我生合伙人
[00:09:56 - 00:09:57] 再思考
[00:09:57 - 00:09:59] 如果你觉得还OK
[00:09:59 - 00:10:01] 一个反思我不愿意
[00:10:01 - 00:10:03] 我觉得合伙人的那个生活不适合我
[00:10:03 - 00:10:06] 那你还可以再离开绿所
[00:10:06 - 00:10:07] 再跳出去
[00:10:07 - 00:10:09] 实际上这个是非常正常的
[00:10:09 - 00:10:10] 人员流动
[00:10:10 - 00:10:12] 大家就习以为常
[00:10:12 - 00:10:14] 这个时候你是一个比较自身的人
[00:10:14 - 00:10:15] 你跳到其他地方
[00:10:15 - 00:10:17] 你可能会做法务的中间了
[00:10:18 - 00:10:20] 如果你觉得你还是适合当合伙人
[00:10:20 - 00:10:21] 比如像我是的
[00:10:22 - 00:10:24] 继续在绿所
[00:10:24 - 00:10:26] 那么你可能再做三年
[00:10:26 - 00:10:28] 你再做三年到了九到十年的时候
[00:10:28 - 00:10:31] 你会想我合伙人做没做得住
[00:10:31 - 00:10:33] 我有没有足够的客户
[00:10:33 - 00:10:36] 去支撑我的业务
[00:10:36 - 00:10:40] 我的团队有没有被我建立得很好
[00:10:40 - 00:10:42] 你合伙人相当于半个老板了
[00:10:42 - 00:10:43] 是
[00:10:43 - 00:10:45] 我要对底下的人也负责
[00:10:45 - 00:10:46] 我要对客户负责
[00:10:46 - 00:10:48] 我可不可以继续下去
[00:10:48 - 00:10:49] 如果可以
[00:10:49 - 00:10:50] 那好
[00:10:50 - 00:10:51] 那你可能一辈子就是律师
[00:10:51 - 00:10:54] 那如果你要是觉得不OK
[00:10:54 - 00:10:56] 那趁这个时候
[00:10:56 - 00:10:57] 十年你赶快推出来
[00:10:57 - 00:10:59] 我们就是希望能够通过这期节目
[00:10:59 - 00:11:01] 为未来那些
[00:11:01 - 00:11:03] 包括现在想从事律师节的
[00:11:03 - 00:11:05] 和已经在学法律
[00:11:05 - 00:11:08] 将来可能还没有毕业的街王人
[00:11:08 - 00:11:09] 告诉你们
[00:11:09 - 00:11:13] 你是如何从一个为是小白变成合伙人的
[00:11:13 - 00:11:14] 那就是
[00:11:14 - 00:11:14] 对
[00:11:14 - 00:11:15] 对
[00:11:15 - 00:11:16] 希望我
[00:11:17 - 00:11:18] 你说的不太指摆好吗
[00:11:18 - 00:11:20] 我好不容易把他说的那么复杂
[00:11:20 - 00:11:22] 你不都那么指摆好不好
[00:11:22 - 00:11:24] 反正就是希望能够
[00:11:24 - 00:11:26] 通过我们这个节目给大家更多的帮助
[00:11:26 - 00:11:26] 好不好
[00:11:26 - 00:11:28] 我们感谢郭老师给大家分享
[00:11:28 - 00:11:29] 我们北京节目就是这样
[00:11:29 - 00:11:30] 咱们下期节目再见
[00:11:30 - 00:11:31] 谢谢
[00:11:32 - 00:11:33] 那你像我无求例子
[00:11:33 - 00:11:34] 比如说
[00:11:34 - 00:11:35] 因为我对于非苏红律师
[00:11:35 - 00:11:36] 不是很投奖
[00:11:36 - 00:11:38] 然后我是苏红律师的话
[00:11:38 - 00:11:40] 那你以后我这个监制是锁了
[00:11:40 - 00:11:41] 我怕我太安心了
[00:11:41 - 00:11:43] 还是说我自己去
[00:11:43 - 00:11:44] 所谓的找案子做
[00:11:44 - 00:11:47] 绝大多数应该是自己找案子做
[00:11:47 - 00:11:49] 自己找案子
