BV号：BV1cx411r76M
标题：BV1cx411r76M
链接：https://www.bilibili.com/video/BV1cx411r76M
识别语言：zh
语言置信度：1
分段数：344
生成时间：2026-04-04 12:44:04

[00:00:05 - 00:00:06] 啊? 搞啥呀?
[00:00:06 - 00:00:10] 上!
[00:01:28 - 00:01:30] 我们简称叫内功大
[00:01:32 - 00:01:33] 你看这个学校
[00:01:33 - 00:01:35] 报名就没人报
[00:01:35 - 00:01:37] 球技好多人想球
[00:01:37 - 00:01:38] 知道吧
[00:01:38 - 00:01:39] 老師這為什麼呢
[00:01:39 - 00:01:40] 哎同學我問你
[00:01:40 - 00:01:41] 你們報這個學校嗎
[00:01:41 - 00:01:43] 你們考驗考這個學校嗎
[00:01:43 - 00:01:43] 有病啊
[00:01:43 - 00:01:44] 那麼遠
[00:01:44 - 00:01:44] 誰都不考
[00:01:44 - 00:01:45] 對不對
[00:01:45 - 00:01:46] 但同學有個發現
[00:01:46 - 00:01:47] 調劑好多人想求
[00:01:47 - 00:01:49] 知道為啥嗎
[00:01:49 - 00:01:51] 他總比新疆好吧
[00:01:51 - 00:01:53] 他總比西藏好吧
[00:01:53 - 00:01:55] 你二期裡邊同學你會發現
[00:01:55 - 00:01:58] 昆明內蒙古算是不錯的地方了
[00:01:58 - 00:01:59] 昆明是個旅遊風景區
[00:01:59 - 00:02:01] 內蒙古它離北京近
[00:02:01 - 00:02:02] 對不對
[00:02:02 - 00:02:03] 北京它飛北京50分鐘
[00:02:03 - 00:02:04] 坐高鐵三個小時
[00:02:04 - 00:02:05] 特別的近你知道吧
[00:02:05 - 00:02:09] 刘仲老师 哎 我就 我就没办法调及到内幕股公会大学
[00:02:09 - 00:02:10] 结果同学现在你会发现
[00:02:10 - 00:02:13] 内幕股公会大学调及那是相当的激烈
[00:02:13 - 00:02:14] 他只招五个调及生
[00:02:14 - 00:02:16] 但是有50个人想调
[00:02:16 - 00:02:18] 那同学问题来了
[00:02:18 - 00:02:21] 怎么从这50个人挑出这五个人
[00:02:21 - 00:02:21] 看什么
[00:02:21 - 00:02:25] 不一定看快乐为什么呢
[00:02:25 - 00:02:26] 他会给你一个时间
[00:02:26 - 00:02:26] 卓老师
[00:02:26 - 00:02:28] 他是3月15号之前
[00:02:28 - 00:02:30] 你发调及申请都算数
[00:02:30 - 00:02:31] 3月15号之前
[00:02:31 - 00:02:32] 50个人发调节申请
[00:02:32 - 00:02:33] 怎么调五个人
[00:02:33 - 00:02:34] 看分吗
[00:02:34 - 00:02:35] 不看分
[00:02:35 - 00:02:36] 为什么不看分呢?
[00:02:36 - 00:02:39] 因为大家要知道我们考研中英课是每个学校自己出题的
[00:02:39 - 00:02:41] 正因为它每个学校自己出题
[00:02:41 - 00:02:43] 所以说中英课题的难度不一样
[00:02:43 - 00:02:45] 你说老师我300分
[00:02:45 - 00:02:46] 老师我考300分
[00:02:46 - 00:02:46] 它考了290
[00:02:46 - 00:02:48] 我300就比290强
[00:02:48 - 00:02:48] 是这样的吗?
[00:02:48 - 00:02:49] 不是这样的
[00:02:49 - 00:02:49] 为什么?
[00:02:49 - 00:02:50] 因为同学你会发现
[00:02:50 - 00:02:52] 因为你们考的中英课题难度不一样
[00:02:52 - 00:02:55] 你考人家学校不一定能考290
[00:02:55 - 00:02:57] 人家考你这个学校不一定考不了300
[00:02:57 - 00:02:58] 能理解吗?
[00:02:58 - 00:03:00] 所以说这个中英课没法比较
[00:03:00 - 00:03:01] 那老师看什么?
[00:03:01 - 00:03:02] 是不是看本科院校
[00:03:02 - 00:03:03] 因为同学你会发现
[00:03:03 - 00:03:04] 幾乎所有的學校
[00:03:04 - 00:03:06] 小計的時候都會寫一句話
[00:03:06 - 00:03:08] 叫做21985優先考慮
[00:03:08 - 00:03:08] 他都會寫這句話
[00:03:08 - 00:03:10] 老師是不是我本科院校不是219
[00:03:10 - 00:03:11] 我就吃虧
[00:03:11 - 00:03:12] 也不是這樣的
[00:03:12 - 00:03:13] 他不看這個東西
[00:03:13 - 00:03:13] 知道吧
[00:03:13 - 00:03:15] 老師他不看他為什麼那麼寫呀
[00:03:15 - 00:03:18] 那是他自己的一廂情願
[00:03:18 - 00:03:20] 你倒想要21985了
[00:03:20 - 00:03:22] 人家全語嘛
[00:03:22 - 00:03:23] 你自己挪舞一個畫面
[00:03:23 - 00:03:25] 一個大哥本科新華的研究生胡可大
[00:03:25 - 00:03:26] 高寧你幹嘛
[00:03:26 - 00:03:27] 你肯定也不干呢
[00:03:27 - 00:03:27] 對吧
[00:03:27 - 00:03:29] 就說有的女同學找男朋友
[00:03:29 - 00:03:29] 一個道理你知道吧
[00:03:29 - 00:03:31] 有的女同學一找男朋友
[00:03:31 - 00:03:32] 我同學你找男朋友什麼條件
[00:03:32 - 00:03:35] 张老师没别的条件 学之前优先考虑
[00:03:36 - 00:03:38] 你说这句话有用吗
[00:03:38 - 00:03:39] 你怎么都考虑人家了
[00:03:39 - 00:03:40] 人家考虑你嘛
[00:03:40 - 00:03:41] 臭不要脸的 对吗
[00:03:42 - 00:03:43] 没有用的这句话 知道吧
[00:03:43 - 00:03:44] 他不看成绩
[00:03:44 - 00:03:45] 也不看学校
[00:03:45 - 00:03:47] 也不看速度 知道吗
[00:03:47 - 00:03:49] 他说他到底看什么呀
[00:03:49 - 00:03:50] 我告诉大家他到底看什么
[00:03:50 - 00:03:51] 你记住
[00:03:51 - 00:03:52] 所有调剧生
[00:03:52 - 00:03:53] 招收调学生院校
[00:03:53 - 00:03:54] 招收调学生的时候
[00:03:54 - 00:03:56] 他只看一个问题
[00:03:56 - 00:03:57] 你把这一个问题给老师解决了
[00:03:57 - 00:03:59] 百分之百成功 知道吧
[00:03:59 - 00:04:00] 这个问题就是
[00:04:00 - 00:04:03] 你他们到底来不来
[00:04:04 - 00:04:05] 他最怕的是什么
[00:04:05 - 00:04:06] 你不来你知道吗
[00:04:06 - 00:04:07] 你会问你条地的时候
[00:04:07 - 00:04:09] 每年都有这样的同学
[00:04:09 - 00:04:10] 刚刚是条地特别的激进
[00:04:10 - 00:04:11] 你知道吧
[00:04:11 - 00:04:12] 给老师打电话
[00:04:12 - 00:04:13] 老师要我吧
[00:04:13 - 00:04:15] 报道的时候我不去
[00:04:15 - 00:04:16] 我不去
[00:04:16 - 00:04:17] 每年都是这样的人
[00:04:17 - 00:04:19] 条地成功不去报道的
[00:04:19 - 00:04:19] 你知道吧
[00:04:19 - 00:04:20] 老师咋能
[00:04:20 - 00:04:21] 我好不容易条地上了
[00:04:21 - 00:04:22] 我干啥不去
[00:04:22 - 00:04:23] 我帮你分析一下
[00:04:23 - 00:04:24] 你到底会不会去
[00:04:24 - 00:04:24] 同学
[00:04:24 - 00:04:27] 你会发现我们考研什么时候考
[00:04:27 - 00:04:29] 是不是12位底
[00:04:29 - 00:04:30] 啥时候复试
[00:04:30 - 00:04:32] 3月份复试 对吗
[00:04:32 - 00:04:33] 到4月1号的时候
[00:04:33 - 00:04:36] 你自己能不能被录取都已经知道了 对吗
[00:04:36 - 00:04:37] 结果同学你4月份
[00:04:37 - 00:04:39] 刚知道自己能不能被录取
[00:04:39 - 00:04:40] 马上4月中旬
[00:04:40 - 00:04:42] 另外一个考试就出来了
[00:04:42 - 00:04:44] 省公园考试 有没有
[00:04:44 - 00:04:47] 很多人刚考完研 参加省公园考试 对吧
[00:04:47 - 00:04:48] 一不小心考上了
[00:04:48 - 00:04:51] 后来出去找工作 一不小心找到了
[00:04:51 - 00:04:53] 好同学 现在你9月份研究中开学
[00:04:53 - 00:04:54] 面临你面前
[00:04:55 - 00:04:56] 三个选择
[00:04:56 - 00:04:58] 要么去内蒙古读研究生
[00:04:58 - 00:04:59] 要么在家当公务员
[00:04:59 - 00:05:00] 要么在家工作
[00:05:00 - 00:05:01] 你选哪一个
[00:05:02 - 00:05:03] 发现没有
[00:05:03 - 00:05:05] 很多人就把考研灯背台了是吗
[00:05:05 - 00:05:08] 老师就怕你把灯背台知道吧
[00:05:08 - 00:05:09] 所以老师最怕的是什么
[00:05:09 - 00:05:10] 你不来
[00:05:10 - 00:05:11] 尤其是什么样的学校
[00:05:11 - 00:05:13] 偏远地区的学校
[00:05:13 - 00:05:14] 他最怕这个了知道吧
[00:05:14 - 00:05:14] 你比如张老师
[00:05:14 - 00:05:16] 我调教到能蒙古公园大学
[00:05:16 - 00:05:17] 你给老师打的话
[00:05:17 - 00:05:17] 老师你好
[00:05:17 - 00:05:19] 我想调教到咱们内工大
[00:05:19 - 00:05:19] 老师就问你了同学
[00:05:19 - 00:05:20] 你家哪的
[00:05:20 - 00:05:21] 老师我们家福南地
[00:05:21 - 00:05:23] 老师一切过草那么远
[00:05:24 - 00:05:25] 同学你来过能蒙古吗
[00:05:25 - 00:05:26] 没有
[00:05:26 - 00:05:27] 就说没来过
[00:05:27 - 00:05:28] 同学你平时成绩怎么样
[00:05:28 - 00:05:30] 老师我平时成绩特别的好
[00:05:30 - 00:05:31] 年纪还拿奖学金
[00:05:31 - 00:05:32] 参加个比赛后能获得个奖什么的
[00:05:32 - 00:05:34] 同学你把这些话一说完
[00:05:34 - 00:05:35] 老师对你什么印象
[00:05:35 - 00:05:36] 你家那么远
[00:05:36 - 00:05:37] 你又没来过
[00:05:37 - 00:05:38] 你还能特别地优秀
[00:05:38 - 00:05:39] 最后得出的结论是什么
[00:05:39 - 00:05:41] 你肯定不会来的对吗
[00:05:41 - 00:05:42] 这个时候你要怎么样
[00:05:42 - 00:05:44] 给老师适合定心完你知道吧
[00:05:44 - 00:05:44] 你告诉我老师
[00:05:44 - 00:05:46] 老师你放心我去
[00:05:46 - 00:05:47] 我一定去
[00:05:47 - 00:05:47] 为什么
[00:05:47 - 00:05:48] 老师你知道吗
[00:05:48 - 00:05:50] 我男朋友就内蒙的
[00:05:50 - 00:05:51] 我这次来富士顺便这下
[00:05:51 - 00:05:52] 我未来的婆婆
[00:05:52 - 00:05:54] 我未来的婆婆对我特别的好
[00:05:54 - 00:05:55] 高跟闷闷房了
[00:05:55 - 00:05:56] 说了毕业就结婚
[00:05:56 - 00:05:57] 老师一听过错
[00:05:57 - 00:05:57] 这肯定来呀
[00:05:57 - 00:05:58] 对吧
[00:05:58 - 00:05:59] 把你招进来了
[00:05:59 - 00:06:04] 到时候去不去再说
[00:06:04 - 00:06:04] 知道吧
[00:06:04 - 00:06:05] 到时候你去不去再说
[00:06:05 - 00:06:06] 到时候你不去
[00:06:06 - 00:06:07] 老师给你打电话
[00:06:07 - 00:06:07] 你怎么不来呢
[00:06:07 - 00:06:10] 我妈不喜欢他
[00:06:10 - 00:06:11] 这不就搞定了吗
[00:06:11 - 00:06:12] 对吧
[00:06:12 - 00:06:14] 所以说
[00:06:14 - 00:06:16] 所以说很多时候呢
[00:06:16 - 00:06:18] 很多同学在考研副导界给我
[00:06:18 - 00:06:19] 证了一个外号叫做
[00:06:19 - 00:06:21] 都说我叫透露王
[00:06:21 - 00:06:22] 有的人说
[00:06:22 - 00:06:23] 张老师这个成立透露身
[00:06:23 - 00:06:24] 我有辉东村
[00:06:24 - 00:06:26] 张老师我怎么才能透露别人
[00:06:26 - 00:06:27] 怎么才能不为别人套路
[00:06:27 - 00:06:28] 我给你们讲个小故事啊
[00:06:28 - 00:06:30] 教你怎么成为套路王同学
[00:06:30 - 00:06:31] 下面这个小故事你听懂了
[00:06:31 - 00:06:32] 你就是套路王
[00:06:32 - 00:06:33] 没听懂
[00:06:33 - 00:06:33] 你赶紧回农村
[00:06:33 - 00:06:34] 知道吧
[00:06:34 - 00:06:35] 城里不适合你
[00:06:35 - 00:06:36] 知道吧
[00:06:36 - 00:06:37] 这个是一个关于手白兔的故事啊
[00:06:37 - 00:06:38] 大家听好了
[00:06:38 - 00:06:39] 说有这么一个小白兔
[00:06:39 - 00:06:40] 他就钓鱼
[00:06:40 - 00:06:41] 他第一天钓啥也没得上
[00:06:41 - 00:06:42] 第二天钓啥也没得上
[00:06:42 - 00:06:44] 第三天钓仍然啥也没得上
[00:06:44 - 00:06:45] 第三天鱼同学就出来了
[00:06:45 - 00:06:47] 啪给小不通过嘴巴的说
[00:06:47 - 00:06:48] 你怎么在拿胡萝卜钓我
[00:06:48 - 00:06:49] 我打死你
[00:06:49 - 00:06:51] 你们知道说的啥意思吗
[00:06:51 - 00:06:52] 同学你要知道有的时候
[00:06:52 - 00:06:55] 你给人家的东西不一定是人家
[00:06:55 - 00:06:56] 对啊
[00:06:56 - 00:06:57] 能理解吗
[00:06:57 - 00:06:59] 比如你们调技的时候
[00:06:59 - 00:07:01] 你总是在标枉我自己多么优秀
[00:07:01 - 00:07:02] 你怕老师不要你
[00:07:02 - 00:07:04] 但其实老师最担心的是你不来
[00:07:04 - 00:07:06] 所以说有的时候你会发现
[00:07:06 - 00:07:08] 你给人家的和人家的需求是不对等的
[00:07:08 - 00:07:10] 包括你们平时生活当中也是这样
[00:07:10 - 00:07:12] 比如你生活当中你谈恋爱
[00:07:12 - 00:07:13] 我刚才看了一下
[00:07:13 - 00:07:14] 咱们学校这个男女比例
[00:07:14 - 00:07:15] 我看咱们学校这个男女比例
[00:07:15 - 00:07:17] 应该还是有情侣的对吧
[00:07:17 - 00:07:18] 你比如说张老师你看我
[00:07:18 - 00:07:19] 就有我们一个男神
[00:07:19 - 00:07:21] 哎呀这个男神长得特别的帅
[00:07:21 - 00:07:22] 这个又特别的好
[00:07:22 - 00:07:23] 老叔特别喜欢他
[00:07:23 - 00:07:24] 结果你追这个男生
[00:07:24 - 00:07:25] 追追追追追追
[00:07:25 - 00:07:26] 追了好长时间
[00:07:26 - 00:07:27] 追了好久时间
[00:07:27 - 00:07:28] 终于追到手了
[00:07:28 - 00:07:28] 结果你们呢
[00:07:28 - 00:07:30] 俩儿也出的挺好
[00:07:30 - 00:07:30] 还算挺好
[00:07:30 - 00:07:31] 出了两年
[00:07:31 - 00:07:32] 而你为他付出了一切
[00:07:32 - 00:07:34] 结果有一天你男朋友跟你说
[00:07:34 - 00:07:35] 咱俩分手吧
[00:07:35 - 00:07:36] 你就觉得很委屈
[00:07:36 - 00:07:37] 为什么呀
[00:07:37 - 00:07:38] 然后我觉得你不爱我了
[00:07:38 - 00:07:39] 你更委屈了是吗
[00:07:39 - 00:07:41] 我那么爱你
[00:07:41 - 00:07:43] 我对你那么好是吗
[00:07:43 - 00:07:44] 同学为什么说
[00:07:44 - 00:07:46] 你觉得你对他挺好
[00:07:46 - 00:07:47] 但是他觉得你不爱他了
[00:07:47 - 00:07:49] 就因为你对他的好
[00:07:49 - 00:07:51] 不一定是人家想要的好
[00:07:51 - 00:07:51] 能理解吗
[00:07:51 - 00:07:53] 你会问你两个人基本上如果谈恋爱
[00:07:53 - 00:07:55] 到分手那个地步
[00:07:55 - 00:07:56] 往往都是因为这个原因
[00:07:56 - 00:07:58] 一个人觉得另外一个人对他不够好
[00:07:58 - 00:07:59] 一个人觉得另外一个人没有原来那么爱他了
[00:07:59 - 00:08:00] 就是这样的
[00:08:00 - 00:08:00] 对吗
[00:08:00 - 00:08:02] 所以同学你要知道想套路别人
[00:08:02 - 00:08:04] 先得从对方的角度考虑
[00:08:04 - 00:08:05] 能明白吗
[00:08:05 - 00:08:06] 你看听张老师的课
[00:08:06 - 00:08:07] 又教你怎么调剂
[00:08:07 - 00:08:08] 又教你怎么套路别人
