BV号：BV12J41137HW
标题：BV12J41137HW
链接：https://www.bilibili.com/video/BV12J41137HW
识别语言：zh
语言置信度：1
分段数：248
生成时间：2026-04-04 06:56:25

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:05:36 - 00:05:38] 香港的日本的叫黑社會
[00:05:38 - 00:05:40] 我們叫黑社會性質組織
[00:05:40 - 00:05:44] 然後如果你是被認定為組織很嚴密
[00:05:44 - 00:05:46] 而且多次進行違法犯罪的這種
[00:05:46 - 00:05:47] 已經變成黑社會性質組織了
[00:05:47 - 00:05:49] 還單獨就光參加就是個罪
[00:05:49 - 00:05:52] 老大就是那個組織領導是個罪
[00:05:52 - 00:05:54] 然後惡勢力沒有這個罪
[00:05:54 - 00:05:56] 但是這些人都會有其他犯罪
[00:05:56 - 00:05:57] 对 我们明确规定
[00:05:58 - 00:06:00] 参加组织领导参加黑社会性的组织
[00:06:00 - 00:06:02] 又构成其他犯罪的
[00:06:02 - 00:06:03] 恕罪并伐
[00:06:03 - 00:06:05] 比如说你这个恶势力
[00:06:05 - 00:06:06] 寻衅滋事
[00:06:06 - 00:06:07] 对 强迫交易
[00:06:07 - 00:06:08] 故意伤害
[00:06:08 - 00:06:09] 在这个部分
[00:06:09 - 00:06:10] 大家的量性是一样的
[00:06:10 - 00:06:12] 就是黑社会性的组织
[00:06:12 - 00:06:14] 多一个独立的组织领导
[00:06:14 - 00:06:15] 参加黑社会性的组织罪
[00:06:15 - 00:06:17] 那他这个罪能判多少年
[00:06:17 - 00:06:20] 这个最高可以判到15年
[00:06:20 - 00:06:22] 最高可以判到15年
[00:06:22 - 00:06:24] 但如果说他有其他犯罪
[00:06:24 - 00:06:25] 比如说你在组织这个时候
[00:06:25 - 00:06:27] 你可能还书记报听杀过人
[00:06:27 - 00:06:29] 那就数罪病发
[00:06:29 - 00:06:29] 数罪病发
[00:06:29 - 00:06:31] 就光这个你组织这个
[00:06:31 - 00:06:32] 假如说像刚刚所说的
[00:06:32 - 00:06:35] 就是药杖冷暴力药杖
[00:06:35 - 00:06:36] 我也没去说去打人家
[00:06:36 - 00:06:38] 我也没有去造成
[00:06:38 - 00:06:40] 这个人具体身体上的伤害
[00:06:40 - 00:06:42] 但是你这个东西
[00:06:42 - 00:06:43] 一说药杖就是你们家
[00:06:43 - 00:06:44] 一说到那就是你们家
[00:06:44 - 00:06:45] 而且都是你组织的
[00:06:45 - 00:06:47] 那这个就是最起码是15年
[00:06:47 - 00:06:50] 如果认定他们是黑社会性质组织的话
[00:06:50 - 00:06:52] 不是最起码是最高可以判斗
[00:06:52 - 00:06:53] 最高判15年
[00:06:53 - 00:06:54] 还可以判斗
[00:06:54 - 00:06:55] 比如说小马仔什么的
[00:06:55 - 00:06:57] 可能判个三年啊五年啊都有可能
[00:06:57 - 00:06:58] 对因为他们还有其他嘛对吧
[00:06:58 - 00:07:00] 我们刚才说他可能学性姿势啊
[00:07:00 - 00:07:02] 这种这种东西
[00:07:02 - 00:07:03] 哎呀总之就是怎么说呢
[00:07:03 - 00:07:06] 我们不要以为说黑社会就是
[00:07:07 - 00:07:10] 大把沙沙呀就跟我们原来看的那些
[00:07:10 - 00:07:12] 那些那些港片一样啊说
[00:07:12 - 00:07:13] 不能不能死个人
[00:07:13 - 00:07:13] 那就不掉黑社会
[00:07:13 - 00:07:15] 现在人家已经都用软暴力了
[00:07:15 - 00:07:19] 哦不用一切用那个真正大把沙沙已经是少的了
[00:07:19 - 00:07:21] 我们的黑社会现在已经升级了
[00:07:21 - 00:07:22] 对就像就像刚才你所说的
[00:07:22 - 00:07:24] 我觉得特别特别有感触啊
[00:07:24 - 00:07:27] 原来就是说什么什么帮亏啊这个帮这个帮对吧
[00:07:27 - 00:07:29] 现在不叫人家都是公司董事长
[00:07:29 - 00:07:31] 对是吧这会这天升级
[00:07:31 - 00:07:34] 但是你升级就实质不变
[00:07:34 - 00:07:35] 你换了个马甲
[00:07:35 - 00:07:37] 我照样认识你对吧
[00:07:37 - 00:07:39] 不管你是用所谓的那种硬暴力
[00:07:39 - 00:07:41] 还是着还是冷暴力
[00:07:41 - 00:07:41] 对吧
[00:07:41 - 00:07:43] 只要你说句不好听的话
[00:07:43 - 00:07:45] 为非坐待
[00:07:45 - 00:07:45] 对吧
[00:07:45 - 00:07:47] 遗害一方
[00:07:47 - 00:07:47] 不好意思
[00:07:47 - 00:07:49] 法律有的是着治你
[00:07:49 - 00:07:50] 所以说的话
[00:07:50 - 00:07:52] 我们也希望我们的扫回除恶
[00:07:52 - 00:07:55] 真的能够还整个社会一片安宁
[00:07:55 - 00:07:58] 让我们生活的周围能够更加安全
[00:07:58 - 00:08:00] 更加舒心一些坚决支持
[00:08:00 - 00:08:00] 扫回处
[00:08:00 - 00:08:01] 好
[00:08:01 - 00:08:03] 我们本期节目就是这样
[00:08:03 - 00:08:04] 我们下期节目的依然会给大家
[00:08:04 - 00:08:06] 讲述一些法律相关的
[00:08:06 - 00:08:07] 比较好玩的事情
[00:08:07 - 00:08:08] 咱们下期节目再见
[00:08:08 - 00:08:09] 谢谢
[00:08:09 - 00:08:10] 拜拜
