BV号：BV1zuCMBhET2
标题：BV1zuCMBhET2
链接：https://www.bilibili.com/video/BV1zuCMBhET2
识别语言：zh
语言置信度：1
分段数：136
生成时间：2026-04-03 03:40:40

[00:00:00 - 00:00:01] 法学这个专业他是这样子的
[00:03:09 - 00:03:11] 你不想那么累的来我们公司
[00:03:11 - 00:03:13] 我们公司开的公司比你法检系统高
[00:03:13 - 00:03:15] 而且干活还不如你法检系统累
[00:03:15 - 00:03:16] 你为什么不来我们公司
[00:03:16 - 00:03:18] 我为什么要招一个应接生呢
[00:03:18 - 00:03:19] 你没经验
[00:03:19 - 00:03:20] 我这么大的集团
[00:03:20 - 00:03:22] 因为正常来讲小的公司的话
[00:03:22 - 00:03:25] 他招法务基本上是给律师事务所外报的
[00:03:25 - 00:03:26] 大的公司招法务的话
[00:03:26 - 00:03:27] 他一定要有经验的
[00:03:27 - 00:03:29] 所以说我干嘛要做音乐生
[00:03:29 - 00:03:30] 所以说你刚才问说老秀
[00:03:30 - 00:03:33] 我本科毕业就业跟男生女生没关系
[00:03:33 - 00:03:34] 法学这个专业就业就是这样
[00:03:34 - 00:03:37] 把律师接受的考调去口供
[00:03:37 - 00:03:39] 否则在社会上就业的话
[00:03:39 - 00:03:41] 那你前几年都会比较难
