BV号：BV1Wg411X7xF
标题：BV1Wg411X7xF
链接：https://www.bilibili.com/video/BV1Wg411X7xF
识别语言：zh
语言置信度：1
分段数：143
生成时间：2026-04-03 18:56:43

[00:00:00 - 00:00:02] 大家好我上學習變得共匱樂的張雪鋒老師
[00:02:52 - 00:02:54] 功能中间四大行
[00:02:54 - 00:02:56] 百度、华为、腾讯、阿里巴巴、京东
[00:02:56 - 00:02:59] 字节跳动等知名的信息科技企业
[00:02:59 - 00:03:00] 还是很厉害的
[00:03:00 - 00:03:02] 接下来带给大家介绍一个
[00:03:02 - 00:03:03] 我个人特别喜欢的学校
[00:03:03 - 00:03:07] 我之前总是说他所谓的又好搞
[00:03:07 - 00:03:09] 也曾经在考研讲道中多次提到过
[00:03:09 - 00:03:11] 实力是非常牛的
[00:03:11 - 00:03:13] 就是哈尔滨工程大学
[00:03:13 - 00:03:14] 哈尔滨工程大学的社会语
[00:03:14 - 00:03:16] 北国的兵城哈尔滨
[00:03:16 - 00:03:17] 是黑中江省的省会城市
[00:03:17 - 00:03:22] 学校前身是创建于1953年的中国人民解放军军事工程学院
[00:03:22 - 00:03:23] 这个我之前是讲过的
[00:03:23 - 00:03:25] 有兴趣的可以看看我以前的视频
[00:03:25 - 00:03:27] 学校的整体实力是非常厉害的
[00:03:27 - 00:03:29] 这个是毋庸置疑的
[00:03:29 - 00:03:31] 我们再来看一下学科建设方面
[00:03:31 - 00:03:34] 尤其是功课类专业都是比较强的
[00:03:34 - 00:03:37] 学校是拥有博士后科研流动战12个
[00:03:37 - 00:03:39] 博士后科研工作战2个
[00:03:39 - 00:03:41] 一级学科博士一点14个
[00:03:41 - 00:03:42] 而且特别强调一点
[00:03:42 - 00:03:45] 他们的一级学科博士学位受益点
[00:03:45 - 00:03:48] 全部进入了全国的钱30%
[00:03:48 - 00:03:48] 另外
[00:03:48 - 00:03:51] 他们的A加学科传播于海洋工程
[00:03:51 - 00:03:52] 那是全国排名第一
[00:03:52 - 00:03:53] 这是个什么概念呢
[00:03:53 - 00:03:54] 就是
[00:03:54 - 00:03:57] 这个学科排名下面的学校都是像什么
[00:03:57 - 00:03:57] 上海交大呀
[00:03:57 - 00:03:59] 中美人民军军海军工程大学
[00:03:59 - 00:04:01] 天大西工大这样的学校
[00:04:01 - 00:04:02] 另外呢
[00:04:02 - 00:04:05] 和科学与技术学科是全国排名第三位的
[00:04:05 - 00:04:06] 我们今天说
[00:04:06 - 00:04:09] 哈空城的前身是传播工程学院
[00:04:09 - 00:04:11] 所以说学校在航海领域是特别扭的
[00:04:11 - 00:04:14] 还容过了航海领域国家级突出贡献奖
[00:04:14 - 00:04:17] 另外还演绩了中国第一艘实验核潜艇
[00:04:17 - 00:04:18] 第一艘水议艇
[00:04:18 - 00:04:21] 第一台建载计算机等等
[00:04:21 - 00:04:25] 大家都知道一个国家的海上力量具有极其重大的战略意义
[00:04:25 - 00:04:27] 是我们国家特别重视的一个方向
[00:04:27 - 00:04:29] 而航空城的以船舶与海洋装备
[00:04:29 - 00:04:32] 海洋信息、船舶动力、先进、核能与核安全
[00:04:32 - 00:04:34] 四个学科群为牵引
[00:04:34 - 00:04:36] 构建了特色学科优势突出
[00:04:36 - 00:04:39] 通用和基础学科支配配套
[00:04:39 - 00:04:41] 文馆学科独具特色
[00:04:41 - 00:04:45] 专业结构布局合理的三海一河特色学科专业体系
[00:04:46 - 00:04:48] 所以说同学们如果说你分数够的话
[00:04:48 - 00:04:50] 知道爆哪些专业了吧
[00:04:50 - 00:04:52] 哈工程在三海一河领域的人才培养
[00:04:52 - 00:04:55] 以及科学研究是处于国内遗留水平的
[00:04:55 - 00:04:57] 在我们国家的团博工业系统
[00:04:57 - 00:05:01] 技术领域人才和高级技术干部当中
[00:05:01 - 00:05:03] 哈工程的毕业生是占了三分之一的
[00:05:03 - 00:05:06] 那么在我国和工业集团公司的首席专家当中
[00:05:06 - 00:05:09] 哈工程的毕业生是占了60%的
[00:05:09 - 00:05:10] 是不是超级厉害
[00:05:10 - 00:05:14] 建校以来学校为国家培养的14万渔名各类高级专门人才
[00:05:14 - 00:05:19] 其中包括200多名共和国的将军院士和省部级的领导
[00:05:19 - 00:05:25] 三千多名高等院校科研院所大中型企业的技术领军和高级管理人才
[00:05:25 - 00:05:31] 还不曾在全国高校毕业生就业50强就业率排名黑东江省高校第一名
[00:05:31 - 00:05:33] 就业率始终保持在95%以上
[00:05:33 - 00:05:36] 本科生学率超过了50%
[00:05:36 - 00:05:45] 毕业生就业地域主要居东在哈尔滨、深圳、北京、上海、青岛、成都、武汉、广州、西安、大连、重庆等东南沿海城市和经济发达地区
[00:05:45 - 00:05:50] 汉務城之最有这么牛啊,毕业生就业只能这么高,主要在与他雄厚的失资力量
[00:05:50 - 00:05:55] 汉務城市拥有八位院士和一批国家级领军人才为代表的高水平的教师队伍的
[00:05:55 - 00:06:01] 给本康生授课的老师都是教授级别的老师,八位院士啊,这是很厉害的
[00:06:01 - 00:06:04] 而且去年的科研经费达到了20.26亿元
[00:06:04 - 00:06:08] 较实人均科研经费是位列全国高校的第五位
[00:06:08 - 00:06:10] 总体来讲,哈欧城整体实力强劲
[00:06:10 - 00:06:13] 航海军工方面的专业在国内是属于属二的
[00:06:13 - 00:06:14] 较实水平高,毕业就业也好
[00:06:14 - 00:06:16] 屋估绝对不是灰
[00:06:16 - 00:06:17] 不论是为了的就业
[00:06:17 - 00:06:18] 还是继续生造
[00:06:18 - 00:06:19] 这都是有保障的
