BV号：BV1Px411U7qY
标题：BV1Px411U7qY
链接：https://www.bilibili.com/video/BV1Px411U7qY
识别语言：zh
语言置信度：1
分段数：145
生成时间：2026-04-04 13:08:39

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:10] 是呀
[00:01:31 - 00:01:33] 找个对象也表汉
[00:01:33 - 00:01:35] 知道吧 以后要黑东北女生了
[00:01:35 - 00:01:36] 跟大家说实话
[00:01:36 - 00:01:37] 其实我原来找女朋友
[00:01:37 - 00:01:38] 我就不找东北的知道吧
[00:01:38 - 00:01:40] 为什么?太标汉
[00:01:40 - 00:01:44] 干不过他
[00:01:44 - 00:01:45] 真的
[00:01:45 - 00:01:48] 东北大多数女生是很温柔的
[00:01:48 - 00:01:50] 对视频说
[00:01:50 - 00:01:53] 东北大多数女生是很温柔的
[00:01:53 - 00:01:59] 我怕又要道歉
[00:01:59 - 00:02:01] 我比较倒霉
[00:02:01 - 00:02:02] 我遇到一个标汉
[00:02:02 - 00:02:03] 真的
[00:02:03 - 00:02:04] 你说俩人在一起多么甜蜜
[00:02:04 - 00:02:05] 好好的
[00:02:05 - 00:02:06] 你碰他一下
[00:02:06 - 00:02:07] 干啥呀
[00:02:07 - 00:02:09] 什么相片都没有了
[00:02:09 - 00:02:11] 你到南方找我女朋友你碰他一下
[00:02:11 - 00:02:12] 哎呦讨厌
[00:02:12 - 00:02:12] 是不是
[00:02:13 - 00:02:14] 好像感觉就不一样
[00:02:14 - 00:02:14] 知道吧
[00:02:15 - 00:02:15] 但是我给你说
[00:02:15 - 00:02:16] 你北方人到了南方
[00:02:16 - 00:02:17] 你也不一定适应
[00:02:17 - 00:02:18] 知道吧
[00:02:18 - 00:02:19] 你到南方你也不一定适应
[00:02:19 - 00:02:19] 为什么
[00:02:19 - 00:02:20] 南方第一
[00:02:20 - 00:02:21] 吃你就不适应
[00:02:21 - 00:02:21] 知道吧
[00:02:21 - 00:02:23] 你看咱们山西人吃面食
[00:02:23 - 00:02:23] 对吧
[00:02:23 - 00:02:24] 那南方就面食很少
[00:02:24 - 00:02:25] 知道吧
[00:02:25 - 00:02:25] 第二
[00:02:25 - 00:02:26] 我跟你说最生不了什么
[00:02:26 - 00:02:27] 气候
[00:02:27 - 00:02:27] 知道吧
[00:02:27 - 00:02:28] 我其实我到了郑州
[00:02:28 - 00:02:29] 我就不太适应气候
[00:02:29 - 00:02:30] 知道吧
[00:02:30 - 00:02:31] 一年就他们两个季节
[00:02:32 - 00:02:33] 夏天和冬天
[00:02:34 - 00:02:34] 没有春秋
[00:02:34 - 00:02:35] 夏天特别的热
[00:02:35 - 00:02:36] 冬天特别的冷
[00:02:36 - 00:02:36] 知道吧
[00:02:36 - 00:02:37] 热到什么程度
[00:02:37 - 00:02:38] 咱就不说别的点
[00:02:38 - 00:02:39] 就说郑州
[00:02:39 - 00:02:41] 郑州夏天就很热 热到什么程度
[00:02:41 - 00:02:42] 我们在郑州的时候呢
[00:02:42 - 00:02:43] 经常跟老外踢球知道吧
[00:02:43 - 00:02:44] 有一次踢着踢着
[00:02:44 - 00:02:46] 对方我对人中暑了知道吧
[00:02:46 - 00:02:48] 一个大老黑你知道吧
[00:02:48 - 00:02:48] 敢是站着呢
[00:02:48 - 00:02:50] 巴就倒下来知道吧
[00:02:50 - 00:02:51] 热到出身了
[00:02:51 - 00:02:53] 别他们上新闻林部位了对不对
[00:02:53 - 00:02:54] 一般人就赶过去了
[00:02:54 - 00:02:55] 看这个大哥怎么回事你知道吧
[00:02:55 - 00:02:57] 一看是个老黑
[00:02:57 - 00:02:58] 一问家是哪的
[00:02:58 - 00:02:59] 非洲的
[00:02:59 - 00:03:01] 后来医生一过来干嘛中暑
[00:03:02 - 00:03:04] 这个门起来就哭了知道吧
[00:03:04 - 00:03:07] 我他们在家都没中过暑
[00:03:07 - 00:03:09] 跑到中国种树来就
[00:03:11 - 00:03:11] 现在就
[00:03:11 - 00:03:14] 哎呀 饿了你知道吧
[00:03:15 - 00:03:16] 而冬天特别的冷
[00:03:16 - 00:03:18] 你要知道南方冬天的冷没有暖气你知道吧
[00:03:19 - 00:03:21] 你们知道没有暖气的冬天怎么形容吗
[00:03:21 - 00:03:22] 用四个字形容知道怎么
[00:03:22 - 00:03:23] 哪四个字吗
[00:03:23 - 00:03:24] 有南方同学吧
[00:03:24 - 00:03:25] 四个字同学
[00:03:25 - 00:03:27] 无处可逃啊
[00:03:27 - 00:03:29] 哪都冷啊
[00:03:29 - 00:03:31] 他们外边的屋里更冷知道吧
[00:03:31 - 00:03:33] 同学你知道晚上睡觉冻鼻子是什么感受吗
[00:03:35 - 00:03:36] 你说你冷了你可以改鼻子
[00:03:36 - 00:03:37] 鼻子在外面的你怎么办
[00:03:37 - 00:03:39] 你逮他 你他们就死了
[00:03:39 - 00:03:41] 对不对 动鼻了你怎么办
[00:03:41 - 00:03:43] 没有姐 知道吧
[00:03:43 - 00:03:45] 千个姐都不好使 知道吧
[00:03:45 - 00:03:46] 孙同学你要知道
[00:03:46 - 00:03:48] 南方北方差距还是比较大的 知道吧
