BV号：BV1F64y1n7Ep
标题：BV1F64y1n7Ep
链接：https://www.bilibili.com/video/BV1F64y1n7Ep
识别语言：zh
语言置信度：1
分段数：264
生成时间：2026-04-03 12:56:29

[00:00:00 - 00:00:01] 这个我给大家解释一下
[00:03:33 - 00:03:34] 翻一下这是我们的目录
[00:03:34 - 00:03:37] 这是我们的培训手刺
[00:03:37 - 00:03:38] 你敢想吗
[00:03:38 - 00:03:40] 这是目录
[00:03:40 - 00:03:43] 我们还没翻完
[00:03:43 - 00:03:46] 目录有几十年的
[00:03:46 - 00:03:48] 还没翻完
[00:03:48 - 00:03:50] 我们目录34页
[00:03:50 - 00:03:53] 就这么厚是目录
[00:03:53 - 00:03:55] 然后这么厚是内容
[00:03:55 - 00:03:56] 这是上次
[00:03:56 - 00:03:59] 这是下层
[00:03:59 - 00:04:01] 这是我们老师自己编的
[00:04:01 - 00:04:02] 这是我们的培训手册
[00:04:02 - 00:04:04] 然后的话除此以外
[00:04:04 - 00:04:06] 每个小组每周有分享会
[00:04:06 - 00:04:08] 因为他们有学各种各样专业的
[00:04:08 - 00:04:09] 对吧
[00:04:09 - 00:04:10] 他们有学各种各样专业的
[00:04:10 - 00:04:12] 所以每一个专业的人
[00:04:12 - 00:04:13] 都要给大家分享一下
[00:04:13 - 00:04:14] 你那个专业
[00:04:14 - 00:04:16] 因为我们公司招聘老师
[00:04:16 - 00:04:17] 最重要的一个条件是
[00:04:17 - 00:04:18] 必须得工作三年以上
[00:04:18 - 00:04:20] 三年以上的话为什么
[00:04:20 - 00:04:22] 因为这个老师对
[00:04:22 - 00:04:23] 他学什么专业的
[00:04:23 - 00:04:25] 你学什么专业到我们公司来
[00:04:25 - 00:04:26] 没有问题
[00:04:26 - 00:04:27] 但是你必须要工作三年以上
[00:04:27 - 00:04:30] 因为你在你那个专业工作三到五年以后
[00:04:30 - 00:04:32] 你有你那个专业的行业经验
[00:04:32 - 00:04:33] 你有你那个专业
[00:04:33 - 00:04:35] 你那个行业的就业的情况
[00:04:35 - 00:04:36] 对
[00:04:36 - 00:04:37] 你来了以后的话
[00:04:37 - 00:04:38] 你可以为我们其他老师负能
[00:04:38 - 00:04:40] 虽说你看董老师他学的是语文
[00:04:40 - 00:04:43] 但是他每个星期也要接受什么电子信息
[00:04:43 - 00:04:45] 啊机械
[00:04:45 - 00:04:47] 各种各样方面的培训
[00:04:47 - 00:04:48] 所以说的话就是你能为别人负能
[00:04:48 - 00:04:49] 别人也为你负能
[00:04:49 - 00:04:53] 所以说我们培训老师不是那么好培训的
[00:04:53 - 00:04:55] 老师没有那么多
[00:04:55 - 00:04:57] 我坚决不会多收那么多学术
[00:04:57 - 00:04:58] 因为
[00:04:58 - 00:05:00] 我如果老师不可可
[00:05:00 - 00:05:01] 我就为大家服务不好
[00:05:01 - 00:05:02] 我为大家服务不好
[00:05:02 - 00:05:04] 辜负大家对于我的信任
[00:05:04 - 00:05:05] 所以说我
[00:05:05 - 00:05:07] 对 我宁可
[00:05:07 - 00:05:08] 不招生
[00:05:08 - 00:05:09] 我宁可不放免过
[00:05:09 - 00:05:11] 我宁可不挣这个钱
[00:05:11 - 00:05:14] 我也不能够去害大家
[00:05:14 - 00:05:16] 你们当地有很多志愿天后机构
[00:05:16 - 00:05:16] 找我
[00:05:16 - 00:05:16] 说张老师
[00:05:16 - 00:05:18] 你们招生不成问题
[00:05:18 - 00:05:19] 你招完以后
[00:05:19 - 00:05:21] 我们来服务呗
[00:05:21 - 00:05:22] 对不起
[00:05:22 - 00:05:23] 我不干
[00:05:23 - 00:05:26] 因为你服务的那个学生
[00:05:26 - 00:05:27] 我无法把控制量
[00:05:28 - 00:05:29] 因为我们服务的学生
[00:05:29 - 00:05:31] 我有能力来把控制量
[00:05:31 - 00:05:31] 是的
[00:05:32 - 00:05:33] 我服务的学生
[00:05:33 - 00:05:34] 我们单到审核
[00:05:34 - 00:05:35] 副组长审核
[00:05:35 - 00:05:35] 组长审核
[00:05:35 - 00:05:36] 最后到我审核
[00:05:37 - 00:05:38] 他们都知道
[00:05:38 - 00:05:40] 我们每年志愿天报级最忙的时候
[00:05:41 - 00:05:43] 我在群里边经常说的三个字
[00:05:43 - 00:05:45] 叫还有谁
[00:05:46 - 00:05:47] 有这儿找我
[00:05:47 - 00:05:48] 我一定是我们公公司
[00:05:48 - 00:05:51] 睡觉睡得最晚的那一个
[00:05:51 - 00:05:53] 我们每年志愿天报级间
[00:05:53 - 00:05:54] 我一定是
[00:05:56 - 00:05:58] 我们公司全公司人都睡了
[00:05:58 - 00:05:59] 我在睡
[00:05:59 - 00:06:03] 我基本上我得在群里边得干到凌晨三四点钟
[00:06:03 - 00:06:05] 我就问我这还有谁还有谁
[00:06:05 - 00:06:06] 我给大家看一下我们
[00:06:08 - 00:06:09] 聪明的
[00:06:10 - 00:06:11] 我给大家看一下我们
[00:06:11 - 00:06:13] 你在我们这个
[00:06:13 - 00:06:14] 你在我们这个群里边
[00:06:14 - 00:06:15] 你直接踏着聊天记录
[00:06:16 - 00:06:18] 对你就说还有谁
[00:06:22 - 00:06:23] 大家你去看啊
[00:06:25 - 00:06:26] 全是张瓦斯
[00:06:26 - 00:06:27] 全是我 看到了吗
[00:06:27 - 00:06:29] 全是我 看到了吗
[00:06:31 - 00:06:32] 头像都是一个样
[00:06:32 - 00:06:33] 你不知道我头像什么样
[00:06:33 - 00:06:33] 但是你可发现
[00:06:33 - 00:06:34] 头像都是一个样
[00:06:34 - 00:06:35] 对
[00:06:35 - 00:06:35] 对
[00:06:35 - 00:06:37] 我们基本上在群里边
[00:06:37 - 00:06:38] 就是每天我就发
[00:06:38 - 00:06:41] 还有谁 还有谁 还有谁 还有谁
[00:06:41 - 00:06:42] 因为这个
[00:06:44 - 00:06:46] 它只能展示到6月27号的
[00:06:46 - 00:06:46] 然后的话
[00:06:46 - 00:06:48] 6月27号之前其实每天晚上
[00:06:48 - 00:06:50] 我们老师都知道
[00:06:50 - 00:06:52] 我一定是最晚的一个
[00:06:52 - 00:06:55] 我们副组长要比组圆晚睡觉
[00:06:55 - 00:06:57] 族长要比副组长晚睡觉
[00:06:57 - 00:06:59] 我要比所有人晚睡觉
[00:06:59 - 00:07:01] 目的就是我们的每一个学生
[00:07:01 - 00:07:03] 我们能为大家负的起子
[00:07:03 - 00:07:06] 所以说我们整个今年整体的志愿情报
[00:07:06 - 00:07:09] 小技的比例1%不到
[00:07:09 - 00:07:13] 1%不到什么概念
[00:07:13 - 00:07:14] 基本上你抱那六个专业
[00:07:14 - 00:07:16] 就是我们上的那六个专业
[00:07:16 - 00:07:16] 对
[00:07:16 - 00:07:17] 不会出去的
[00:07:17 - 00:07:18] 我抱那六个
[00:07:18 - 00:07:20] 就是现在六个不会跳进来
[00:07:20 - 00:07:21] 而且我也跟你说明白
[00:07:21 - 00:07:23] 这六个都是干啥的
[00:07:23 - 00:07:24] 你大概率会被那个录取
[00:07:24 - 00:07:26] 后来很多家长就说
[00:07:26 - 00:07:28] 哇张老师你们团队老师好厉害
[00:07:28 - 00:07:29] 他说那个就是哪个废话
[00:07:29 - 00:07:31] 我排行出来了
[00:07:31 - 00:07:32] 天天这么考试
[00:07:32 - 00:07:35] 要再没这个水平怎么可以为你们服务
[00:07:35 - 00:07:37] 所以说的话我们没有那么多合格的老师
[00:07:37 - 00:07:38] 我是不会放连结的
[00:07:38 - 00:07:40] 所以大家老师抢不到抢不到抢不到
[00:07:40 - 00:07:41] 原谅我
[00:07:41 - 00:07:42] 因为我这个人
[00:07:42 - 00:07:45] 我不是那种说我一定要怎么样怎么样去挣钱
[00:07:45 - 00:07:46] 我要抢挣块钱
[00:07:46 - 00:07:48] 我早就不是干这个
[00:07:48 - 00:07:48] 对
[00:07:48 - 00:07:49] 好吧
