BV号：BV1Qx411R7Pe
标题：BV1Qx411R7Pe
链接：https://www.bilibili.com/video/BV1Qx411R7Pe
识别语言：zh
语言置信度：1
分段数：361
生成时间：2026-04-04 07:47:39

[00:00:00 - 00:00:02] 大家好,我是让徐熙贝更快乐的张雪峰老师
[00:03:58 - 00:03:59] 我就到手行動之狀
[00:03:59 - 00:04:00] 對吧
[00:04:00 - 00:04:01] 我覺得你清醒的時候
[00:04:01 - 00:04:02] 你幹了個事你都不對
[00:04:02 - 00:04:03] 對吧
[00:04:03 - 00:04:03] 你
[00:04:03 - 00:04:04] 可是我現在是不清醒
[00:04:04 - 00:04:04] 對
[00:04:04 - 00:04:05] 你不清醒
[00:04:05 - 00:04:06] 那你也不對
[00:04:06 - 00:04:08] 你反正你傷害別人
[00:04:08 - 00:04:09] 就是不對
[00:04:09 - 00:04:10] 好吧
[00:04:10 - 00:04:11] 那精神病人呢
[00:04:11 - 00:04:13] 如果是個嚴重的精神病人殺了人呢
[00:04:13 - 00:04:14] 我覺得精神病人
[00:04:14 - 00:04:14] 不對
[00:04:14 - 00:04:15] 肯定還是不對
[00:04:15 - 00:04:17] 精神病人是不是不承擔責任了
[00:04:17 - 00:04:17] 對對對
[00:04:17 - 00:04:19] 那這個人呢
[00:04:19 - 00:04:20] 這個人我覺得
[00:04:20 - 00:04:21] 他也不是精神病人
[00:04:21 - 00:04:23] 可是我吸毒以後
[00:04:23 - 00:04:24] 我就是糊塗了
[00:04:24 - 00:04:24] 這個我覺得
[00:04:24 - 00:04:25] 反正你
[00:04:25 - 00:04:26] 你就覺得
[00:04:26 - 00:04:29] 得给他找个定个罪对不对
[00:04:29 - 00:04:30] 对你这肯定不对
[00:04:30 - 00:04:31] 你这个行为是肯定不定
[00:04:31 - 00:04:32] 肯定得给定个罪
[00:04:32 - 00:04:33] 那你咱给他定个什么罪
[00:04:33 - 00:04:34] 实际上就有这种情况
[00:04:34 - 00:04:37] 就说有的人喝醉酒了以后
[00:04:37 - 00:04:37] 对
[00:04:37 - 00:04:38] 喪失意志能力
[00:04:38 - 00:04:39] 把别人撞了
[00:04:39 - 00:04:40] 有的人吸毒之后
[00:04:40 - 00:04:41] 把人撞了
[00:04:41 - 00:04:43] 那么要不要承担责任
[00:04:43 - 00:04:45] 这个我们刑法理论上有个专门的词
[00:04:45 - 00:04:47] 来解释这种东西
[00:04:47 - 00:04:50] 叫原因自由行为
[00:04:50 - 00:04:51] 原因自由行为
[00:04:51 - 00:04:53] 原因自由行为
[00:04:53 - 00:04:54] 意思是什么呢
[00:04:54 - 00:04:55] 现在这是结果
[00:04:55 - 00:04:57] 結果是你喝醉酒以後撞人了
[00:04:57 - 00:04:59] 你在喝醉的一瞬間你是迷惑的
[00:04:59 - 00:05:02] 那麼你怎麼到這個迷惑這一步來的
[00:05:02 - 00:05:03] 這是原因
[00:05:03 - 00:05:05] 你自己把你自己喝醉了
[00:05:05 - 00:05:08] 是因為你自己的原因
[00:05:08 - 00:05:09] 自由的喝醉了
[00:05:09 - 00:05:11] 自由的上了車
[00:05:11 - 00:05:13] 在原因上你是自由的
[00:05:13 - 00:05:15] 然後你到了這一步
[00:05:15 - 00:05:18] 你到了這個上市責任能力的狀態的這一步
[00:05:18 - 00:05:21] 那麼你就要為你的行為負責
[00:05:21 - 00:05:23] 從什麼時候算你有沒有責任能力
[00:05:23 - 00:05:25] 从你喝酒那个时候算
[00:05:25 - 00:05:27] 在你喝酒的时候
[00:05:27 - 00:05:28] 你是有责任能力的
[00:05:28 - 00:05:30] 那么后面这些行为你就要负责
[00:05:30 - 00:05:33] 所以我们刑法有个明确的规定一句话
[00:05:33 - 00:05:35] 最久的人犯罪
[00:05:35 - 00:05:37] 应当复刑是责任
[00:05:37 - 00:05:39] 连个重庆减轻都没有
[00:05:39 - 00:05:42] 那么这个最久的人犯罪的这个原理
[00:05:42 - 00:05:43] 可以套到西都这个地方
[00:05:43 - 00:05:44] 我这么说
[00:05:44 - 00:05:45] 我是最久了
[00:05:45 - 00:05:47] 我不自己不想死
[00:05:47 - 00:05:48] 杨老师灌我
[00:05:48 - 00:05:49] 对呀
[00:05:49 - 00:05:50] 那你得要能证明杨老师灌你
[00:05:50 - 00:05:51] 这是第一
[00:05:51 - 00:05:52] 就算杨老师灌你了
[00:05:52 - 00:05:54] 杨老师有没有逼着你上车
[00:05:54 - 00:05:55] 开车谁开的
[00:05:57 - 00:05:58] 可能杨老师给你灌完酒之后
[00:05:59 - 00:06:00] 你上车上车说下来
[00:06:00 - 00:06:02] 下来你说我还能开
[00:06:02 - 00:06:03] 然后用铺上去了
[00:06:04 - 00:06:05] 除非你能证明什么
[00:06:05 - 00:06:07] 杨老师拿枪
[00:06:07 - 00:06:07] 顶着你的头
[00:06:08 - 00:06:08] 开车
[00:06:09 - 00:06:11] 不开车对不过我崩了你
[00:06:11 - 00:06:13] 对这种情况你才能说你对你的罪价
[00:06:14 - 00:06:14] 不负责
[00:06:15 - 00:06:16] 否则的话只要你自己
[00:06:17 - 00:06:18] 自愿去开的这个车
[00:06:18 - 00:06:20] 你就要为你的这叫原因
[00:06:20 - 00:06:21] 就是你为你的
[00:06:21 - 00:06:23] 这个责任上师责任能力前面的
[00:06:23 - 00:06:25] 那个时候你是自由的
[00:06:25 - 00:06:26] 你自己选择你就要负责
[00:06:26 - 00:06:29] 这样就把我们的那些喝醉酒的
[00:06:29 - 00:06:32] 吸毒的或者有的人
[00:06:32 - 00:06:34] 有的妈妈吃了安眠药
[00:06:34 - 00:06:35] 还跟自己小孩睡在一块
[00:06:35 - 00:06:37] 小婴儿几个月大的
[00:06:37 - 00:06:38] 压到了
[00:06:38 - 00:06:39] 把孩子压死了
[00:06:39 - 00:06:40] 这种情况都是要负责的
[00:06:40 - 00:06:41] 那你像我们这个
[00:06:41 - 00:06:43] 是我们要负责了
[00:06:43 - 00:06:45] 我们现在说就要叫最刑法定
[00:06:45 - 00:06:45] 对吧
[00:06:45 - 00:06:46] 对
[00:06:46 - 00:06:48] 那我们现在就是说你不遇伤害
[00:06:48 - 00:06:49] 还是说危险驾驶
[00:06:49 - 00:06:51] 还是说交通道士
[00:06:51 - 00:06:54] 对啊你还有一个更可怕的罪
[00:06:54 - 00:06:55] 以危险状态危害公共安全罪
[00:06:55 - 00:06:56] 哦对对对
[00:06:56 - 00:06:58] 这几个看起来好像都能单上边对不对
[00:06:58 - 00:07:00] 那么咱们一个一个来
[00:07:00 - 00:07:01] 首先第一个
[00:07:01 - 00:07:02] 这个家伙开车
[00:07:02 - 00:07:04] 横冲直撞
[00:07:04 - 00:07:05] 逮着谁撞谁
[00:07:05 - 00:07:07] 我们认为这个时候
[00:07:07 - 00:07:08] 他已经不是一个过失了
[00:07:08 - 00:07:10] 那么交通道士呢就被排除了
[00:07:10 - 00:07:12] 然后就是一个故意犯罪对不对
[00:07:12 - 00:07:14] 故意犯罪呢这个过程中
[00:07:14 - 00:07:15] 撞了好几个人
[00:07:15 - 00:07:17] 那么是定故意伤害的
[00:07:17 - 00:07:18] 还是定以危险方法
[00:07:18 - 00:07:19] 危害公共安全罪呢
[00:07:19 - 00:07:21] 这两个的区别在哪里
[00:07:21 - 00:07:23] 就是你侵犯的这个法义
[00:07:23 - 00:07:25] 就是说你这个直接这一撞
[00:07:25 - 00:07:27] 你损害的这种利益
[00:07:27 - 00:07:28] 是公共的安全
[00:07:28 - 00:07:30] 还是某一个人个体的安全
[00:07:30 - 00:07:32] 如果你是在家里
[00:07:32 - 00:07:33] 产生了被害妄想
[00:07:33 - 00:07:34] 把你老爹杀掉了
[00:07:34 - 00:07:35] 觉得老爹要杀你
[00:07:35 - 00:07:36] 你就把老爹杀掉了
[00:07:36 - 00:07:37] 那这个时候我们就定
[00:07:37 - 00:07:38] 故意杀人
[00:07:38 - 00:07:40] 但是如果你再大街
[00:07:40 - 00:07:42] 把老爹杀掉了
[00:07:42 - 00:07:42] 那就故意杀人了
[00:07:42 - 00:07:43] 杀人
[00:07:43 - 00:07:45] 但如果你在大街上横冲直撞
[00:07:45 - 00:07:46] 打谁撞谁
[00:07:46 - 00:07:48] 这个时候侵犯的是什么
[00:07:48 - 00:07:49] 公共的安全
[00:07:49 - 00:07:50] 公共安全
[00:07:50 - 00:07:51] 这个时候我们就会定那个
[00:07:51 - 00:07:53] 没有特别罪名的时候定的那个
[00:07:53 - 00:07:56] 以危险方法危害公共安全罪
[00:07:56 - 00:07:59] 这个罪我记得好像是一个很大的罪
[00:07:59 - 00:07:59] 对
[00:07:59 - 00:08:03] 这个罪没有造成危害结果的时候
[00:08:03 - 00:08:04] 就判3到10年
[00:08:04 - 00:08:06] 一旦造成危害结果
[00:08:06 - 00:08:07] 起行就10年
[00:08:07 - 00:08:09] 10年到死刑
[00:08:09 - 00:08:10] 这个罪和放火爆炸
[00:08:10 - 00:08:12] 投放危险物质是一个罪
[00:08:12 - 00:08:13] 你想想看
[00:08:13 - 00:08:15] 放火爆炸咱们怎么判的
[00:08:15 - 00:08:15] 对
[00:08:15 - 00:08:16] 跟那个是一个罪
[00:08:16 - 00:08:17] 而且经常判的比那个
[00:08:17 - 00:08:18] 还要重
[00:08:18 - 00:08:21] 因为只要能判了以危险方法为害公共安全罪
[00:08:21 - 00:08:22] 那就是在街上
[00:08:23 - 00:08:24] 见人杀人见佛杀佛的那种
[00:08:25 - 00:08:26] 走法
[00:08:26 - 00:08:28] 我的天,那最后这个人是被判了多少年
[00:08:29 - 00:08:32] 最后是以危险方法为害公共安全罪
[00:08:32 - 00:08:33] 判了15年
[00:08:33 - 00:08:34] 判了15年
[00:08:35 - 00:08:40] 我的天呀,所以说的话很多人就是以为什么,就是说他以为就是我吸个毒
[00:08:40 - 00:08:45] 对吧,就算我造成什么严重的后果以后的话,就是我对吧,我打我了,我伤害一下就完了嘛对吧
[00:08:45 - 00:08:47] 我伤害的话我才怎么能没了
[00:08:47 - 00:08:48] 3年5年的
[00:08:48 - 00:08:49] 对吧3年5年
[00:08:49 - 00:08:50] 或者他觉得说我吸毒了
[00:08:50 - 00:08:52] 我不是没有责任能力了吗
[00:08:52 - 00:08:53] 你能把我怎么办
[00:08:53 - 00:08:54] 我没有责任能力了
[00:08:54 - 00:08:55] 对
[00:08:55 - 00:08:56] 他就觉得没事
[00:08:56 - 00:08:57] 可以逃避处罚的
[00:08:57 - 00:09:00] 但是我就是吸毒的危害还是非常非常大的
[00:09:00 - 00:09:01] 对
[00:09:01 - 00:09:03] 所以说的话我真的希望大家真的就是
[00:09:03 - 00:09:04] 怎么说呢
[00:09:04 - 00:09:05] 远离毒品
[00:09:05 - 00:09:07] 真的那个玩意儿真的
[00:09:07 - 00:09:09] 真的我就是每次我看到就是一道那个
[00:09:09 - 00:09:11] 这个像国际禁毒日
[00:09:11 - 00:09:12] 然后的话就是
[00:09:12 - 00:09:14] 包括看一些就是那些禁毒的俱乐片
[00:09:14 - 00:09:19] 然后的话,真的每一次看的时候都很心惊慌
[00:09:19 - 00:09:21] 我觉得对这个问题最好的办法是什么
[00:09:21 - 00:09:27] 就是你交朋友,不要交那种有可能接触到毒品的朋友
[00:09:27 - 00:09:30] 因为说实话,咱们一般人我都不敢担保
[00:09:30 - 00:09:32] 如果我真的认识一个有毒品的人
[00:09:32 - 00:09:34] 我能不能抵挡住诱惑
[00:09:34 - 00:09:37] 那个东西的诱惑真的是非常非常大的
[00:09:37 - 00:09:40] 对,包括说后来就是现在有很多就是影视明星啊
[00:09:40 - 00:09:42] 他可能会设毒
[00:09:42 - 00:09:47] 社徒玩以后的话,很多老百姓为什么说一定要把这种涉毒的人,就是说
[00:09:47 - 00:09:51] 坚决是不准你付出的,因为毕竟咱们国家还有一帮
[00:09:51 - 00:09:53] 非常非常辛苦的嫉妒警察
[00:09:53 - 00:09:57] 那他可能就是为了我们老百姓的这种安慰,甚至可能会奉献出
[00:09:58 - 00:09:59] 自己的生命这种
[00:09:59 - 00:10:01] 所以说的话,如果说我们去
[00:10:01 - 00:10:02] 所谓的
[00:10:02 - 00:10:05] 因为他们嫉妒的人付息的是非常的
[00:10:05 - 00:10:06] 可能性非常大的
[00:10:07 - 00:10:11] 如果说你觉得说这个事是没事的,就是小事的话,真的我觉得对那帮
[00:10:11 - 00:10:15] 非常非常我们重庆的居毒民警也是一个很不公平的一个
[00:10:15 - 00:10:18] 总之就是毒品害死人千万不要碰
[00:10:18 - 00:10:20] 对,而且大家特别要注意什么呢
[00:10:20 - 00:10:24] 吸毒不是很多次才能成员的
[00:10:24 - 00:10:25] 有的人是一次成员
[00:10:25 - 00:10:29] 有的人最多两次就成员了
[00:10:29 - 00:10:32] 所以就是不碰是唯一的办法
[00:10:32 - 00:10:36] 好,那我们本期节目的讨论的话题有点严重啊
[00:10:36 - 00:10:39] 反正就是这样我们下期再见,谢谢
