BV号：BV1nC4y1b7ns
标题：BV1nC4y1b7ns
链接：https://www.bilibili.com/video/BV1nC4y1b7ns
识别语言：zh
语言置信度：1
分段数：229
生成时间：2026-04-04 01:48:08

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:03:48 - 00:03:49] 还有一个专业叫
[00:03:49 - 00:03:51] 设施农业科学与工程
[00:03:51 - 00:03:55] 那么其中原意学包括像果素
[00:03:55 - 00:03:57] 包括像蔬菜
[00:03:57 - 00:04:01] 包括像观赏植物的栽培繁域技术等等等等
[00:04:01 - 00:04:03] 大家你会发现像原意这个专业
[00:04:03 - 00:04:04] 说老师我到底是种什么的
[00:04:04 - 00:04:07] 很多人以为说老师我学了原意专业
[00:04:07 - 00:04:10] 是不是就种花种草种各种干的花
[00:04:10 - 00:04:11] 种各种干的草
[00:04:11 - 00:04:15] 其实不是我们把所有的经济作物的栽培
[00:04:15 - 00:04:17] 都管它叫做原意学
[00:04:17 - 00:04:18] 比如说像果素
[00:04:18 - 00:04:22] 比如说像什么棉花
[00:04:22 - 00:04:23] 比如说像什么
[00:04:23 - 00:04:24] 烟草
[00:04:24 - 00:04:25] 这个都属于什么
[00:04:25 - 00:04:26] 都属于
[00:04:26 - 00:04:28] 原意学的范畴之内
[00:04:28 - 00:04:29] 所以说大家你要知道
[00:04:29 - 00:04:30] 原意学包含的内容很多
[00:04:30 - 00:04:32] 它不只是所谓的
[00:04:32 - 00:04:35] 我们以为字面上理解的那个
[00:04:35 - 00:04:37] 就是这个花朵
[00:04:37 - 00:04:38] 当然原意跟另外一个专业
[00:04:38 - 00:04:39] 名字叫的很像
[00:04:39 - 00:04:41] 但是完全是不一样的专业
[00:04:41 - 00:04:41] 还有一个什么呢
[00:04:41 - 00:04:43] 叫做元林
[00:04:44 - 00:04:46] 叫做元林
[00:04:46 - 00:04:47] 那么像这个专业
[00:04:47 - 00:04:50] 原意和原理有个很大的差别在于
[00:04:50 - 00:04:52] 原意它是干嘛的
[00:04:52 - 00:04:54] 培养果树蔬菜这种精气作物的
[00:04:54 - 00:04:56] 倒是原林的话怎么样
[00:04:56 - 00:04:59] 它是一个单独的叫林学的一个学科
[00:04:59 - 00:05:03] 种树和种这种所谓的这种果树
[00:05:03 - 00:05:04] 它是不太一样的
[00:05:04 - 00:05:06] 它是完全两个不同的专业
[00:05:06 - 00:05:07] 另外的话原林大经营
[00:05:07 - 00:05:08] 要知道原林它有什么
[00:05:08 - 00:05:10] 有一个叫种树
[00:05:10 - 00:05:10] 包括还有什么
[00:05:10 - 00:05:12] 包括还有设计
[00:05:12 - 00:05:14] 如果说你要是说设计原理
[00:05:14 - 00:05:15] 原林设计
[00:05:15 - 00:05:17] 那么像这一类专业它是属于
[00:05:18 - 00:05:21] 工学而原理它是属于
[00:05:21 - 00:05:23] 农学这个大家差别移掉
[00:05:24 - 00:05:24] 了解一下
[00:05:24 - 00:05:28] 那么未来就业的话就业前景是非常好的
[00:05:28 - 00:05:30] 就像我所说的随着我们生活指挥上的提高
[00:05:30 - 00:05:34] 我们对于优质农产品的需求一定会增加
[00:05:34 - 00:05:37] 就业前景一定是非常广阔的
[00:05:37 - 00:05:40] 因为我不知道大家对于一些农作物的了解
[00:05:40 - 00:05:41] 对于农作物的看法
[00:05:41 - 00:05:43] 比如说我给大家举一个最简单的例子
[00:05:43 - 00:05:44] 什么就是大米
[00:05:44 - 00:05:46] 就是大米
[00:05:46 - 00:05:48] 我不知道大家平时你们在吃大米的时候
[00:05:48 - 00:05:51] 有没有注意过那种大米的品质
[00:05:51 - 00:05:53] 如果说你到超市里边你去溜这一圈
[00:05:53 - 00:05:56] 你会发现最优势的大米是什么大米
[00:05:56 - 00:05:58] 最优势的大米就是我们东北大米
[00:05:58 - 00:05:59] 对吧
[00:05:59 - 00:06:02] 然后在东北黑中江省有一个地方叫做武昌
[00:06:02 - 00:06:02] 对吧
[00:06:02 - 00:06:03] 然后有个武昌县
[00:06:03 - 00:06:03] 对吧
[00:06:03 - 00:06:04] 武昌大米
[00:06:04 - 00:06:04] 对吧
[00:06:04 - 00:06:06] 有一个品牌叫做武昌稻花香
[00:06:06 - 00:06:08] 说那个大米多少是多少是
[00:06:08 - 00:06:10] 以我自己的切身体体验
[00:06:10 - 00:06:12] 就是我在东北生活
[00:06:12 - 00:06:12] 然后的话
[00:06:12 - 00:06:13] 我在河南上的本科
[00:06:13 - 00:06:15] 包括说我也去过海南
[00:06:15 - 00:06:16] 去过广东的一些地方
[00:06:16 - 00:06:19] 真的大米的质量是
[00:06:19 - 00:06:21] 完完全全不一样的
[00:06:21 - 00:06:23] 是完完全全不一样的
[00:06:23 - 00:06:25] 因为有些地区怎么样
[00:06:25 - 00:06:27] 种一些农作物相对比较好
[00:06:27 - 00:06:29] 而有些地区种一些农作物
[00:06:29 - 00:06:31] 就相对没有那么优质
[00:06:31 - 00:06:33] 而同样的伪度
[00:06:33 - 00:06:34] 同样的片区
[00:06:34 - 00:06:36] 我种什么东西
[00:06:36 - 00:06:38] 能使我的经济效益能够最大
[00:06:38 - 00:06:41] 能使农民获得更好的利润
[00:06:41 - 00:06:43] 能使我们香港的农业
[00:06:43 - 00:06:45] 同業者獲得更好的利潤等等
[00:06:45 - 00:06:48] 那麼這些東西都是我們要研究的方向
[00:06:48 - 00:06:49] 而人一定要怎麼樣
[00:06:49 - 00:06:52] 人一定要吃飯
[00:06:52 - 00:06:53] 人一定要吃飯
[00:06:53 - 00:06:55] 而且我們現在要吃的不但要吃飽
[00:06:55 - 00:06:57] 還要吃好
[00:06:57 - 00:06:58] 還要吃健康
[00:06:58 - 00:06:59] 所以說的話
[00:06:59 - 00:07:00] 這種農業類
[00:07:00 - 00:07:02] 生產種植類的專業
[00:07:02 - 00:07:05] 未來一定絕對會有大發展
