BV号：BV1wf4y1d7Mj
标题：BV1wf4y1d7Mj
链接：https://www.bilibili.com/video/BV1wf4y1d7Mj
识别语言：zh
语言置信度：1
分段数：360
生成时间：2026-04-04 01:33:58

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:03] 由于今年的疫情影响
[00:04:34 - 00:04:36] 这样的超一线城市
[00:04:36 - 00:04:37] 就是这种城市
[00:04:37 - 00:04:38] 我对它的评价就是
[00:04:38 - 00:04:40] 它有生活品味
[00:04:40 - 00:04:42] 但是它没有生活质量
[00:04:42 - 00:04:43] 你比如说拿我来举例子
[00:04:43 - 00:04:44] 我在北京生活
[00:04:44 - 00:04:47] 我觉得北京真的毫无生活质量
[00:04:47 - 00:04:48] 可言
[00:04:48 - 00:04:50] 你要说从一个地方到另外一个地方
[00:04:50 - 00:04:50] 你去吃个饭
[00:04:50 - 00:04:52] 可能开车得一个多小时
[00:04:52 - 00:04:53] 找停车位又得半个多小时
[00:04:53 - 00:04:55] 然后吃饭排队又得半个多小时
[00:04:55 - 00:04:56] 你说它有什么生活质量吗
[00:04:56 - 00:04:58] 完全没有
[00:04:58 - 00:04:59] 所以说像这种城市的话
[00:04:59 - 00:05:00] 它生活压力大
[00:05:00 - 00:05:02] 你真的觉得咱们家孩子
[00:05:02 - 00:05:05] 适合那样生活压力大的城市吗
[00:05:05 - 00:05:07] 所以说真的大家在这一点上
[00:05:07 - 00:05:09] 一定要考虑清楚考虑明白
[00:05:09 - 00:05:10] 但如果说张老师
[00:05:10 - 00:05:11] 我希望我们家孩子能够
[00:05:11 - 00:05:12] 就是又有发展
[00:05:12 - 00:05:13] 然后又有生活质量
[00:05:13 - 00:05:14] 这样的城市的话
[00:05:14 - 00:05:16] 尽量选择什么样的城市
[00:05:16 - 00:05:18] 叫做新一线城市
[00:05:18 - 00:05:20] 它们满足了孩子的发展需求
[00:05:20 - 00:05:22] 生活压力也没有那么大
[00:05:22 - 00:05:23] 咱们给大家举几个例子
[00:05:23 - 00:05:25] 比如像我现在所在的城市苏州
[00:05:25 - 00:05:26] 像比如青岛
[00:05:26 - 00:05:27] 像厦门
[00:05:27 - 00:05:28] 像成都
[00:05:28 - 00:05:29] 像西安
[00:05:29 - 00:05:29] 像南京
[00:05:29 - 00:05:30] 像杭州状的城市
[00:05:30 - 00:05:33] 我个人觉得就非常非常的好
[00:05:33 - 00:05:34] 有发展的空间
[00:05:34 - 00:05:35] 怎么样呢
[00:05:35 - 00:05:36] 孩子生活的也还不错
[00:05:36 - 00:05:38] 房价也没有那么高
[00:05:38 - 00:05:40] 压力也不至于那么大
[00:05:40 - 00:05:42] 我觉得这种城市就是又适合去发展事业
[00:05:42 - 00:05:45] 又适合去享受我们的生活
[00:05:45 - 00:05:48] 那如果这样的城市你都报不了的话怎么办
[00:05:48 - 00:05:49] 第三能选省会城市
[00:05:49 - 00:05:51] 选省会城市
[00:05:51 - 00:05:54] 因为省会城市毕竟有的非省会城市
[00:05:54 - 00:05:57] 不可比你的就业优势和资源优势
[00:05:57 - 00:05:59] 那如果说孩子的分真的不够报省会城市
[00:05:59 - 00:06:00] 那该怎么办呢
[00:06:00 - 00:06:02] 那剩下的二级城市当中
[00:06:02 - 00:06:05] 尽量选择那些经济比较发达的城市
[00:06:05 - 00:06:08] 或者是交通比较便利的城市
[00:06:08 - 00:06:11] 那经济欠发达和交通不便利的二级城市
[00:06:11 - 00:06:15] 我个人觉得在选择的时候应该往后排一排
[00:06:15 - 00:06:17] 图料考虑各个区域的经济发展因素一般
[00:06:17 - 00:06:20] 大家还可以结合各个区域的强势专业来看
[00:06:20 - 00:06:21] 比如说
[00:06:21 - 00:06:23] 如果说你或者是孩子
[00:06:23 - 00:06:26] 他想学国际经济与贸易专业
[00:06:26 - 00:06:27] 他想做外贸
[00:06:27 - 00:06:29] 那大家最好是在报社院的时候
[00:06:29 - 00:06:32] 报那些外贸发展比较好的地区
[00:06:32 - 00:06:33] 比如像什么江热户
[00:06:33 - 00:06:34] 猪三角那一片
[00:06:34 - 00:06:37] 那如果说你想学社会工作这个专业
[00:06:37 - 00:06:38] 社会工作这个专业
[00:06:38 - 00:06:41] 目前来讲是在华南地区发展的比较好
[00:06:41 - 00:06:43] 那你最好选择华南地区的学校
[00:06:43 - 00:06:44] 你要选择北方地区的学校
[00:06:44 - 00:06:47] 可能就是不是那么很合适
[00:06:47 - 00:06:50] 那如果说你对于就业地域的限制不大
[00:06:50 - 00:06:51] 那很多家长就问了
[00:06:51 - 00:06:54] 实际上我到底该中学校的排名
[00:06:54 - 00:06:55] 还是该中专业的排名
[00:06:55 - 00:06:57] 在这里给大家一个建议
[00:06:57 - 00:07:00] 就是如果你要给孩子报理工科专业
[00:07:00 - 00:07:02] 大家一定要中专业排名
[00:07:02 - 00:07:04] 如果大家说给孩子报的是文科的专业
[00:07:04 - 00:07:08] 大家一定要中学校的整体实力
[00:07:08 - 00:07:10] 然后第三步就是要将我们列好的
[00:07:10 - 00:07:11] 各个学校的各个专业
[00:07:11 - 00:07:14] 它的录取位次给它列出来
[00:07:14 - 00:07:16] 然后的话你再看一下你能选择哪些专业
[00:07:16 - 00:07:18] 比如说给大家举个例子
[00:07:18 - 00:07:21] 刚才我不是说孩子是可能某省里和省内地3万名吗
[00:07:21 - 00:07:22] 对不对
[00:07:22 - 00:07:25] 那一个学校他有20个专业
[00:07:25 - 00:07:27] 有的专业路学位次是高于3万名的
[00:07:27 - 00:07:29] 有的专业路学位次是低于3万名的
[00:07:29 - 00:07:32] 比如说金融很有可能就是路学位次28000名
[00:07:32 - 00:07:33] 对吧
[00:07:33 - 00:07:35] 再比如说像这个咱们随便举个例子啊
[00:07:35 - 00:07:37] 这个石油开采工程啊
[00:07:37 - 00:07:38] 那这个专业的话
[00:07:38 - 00:07:41] 他的路学位次很有可能就是3万0500名
[00:07:41 - 00:07:43] 那孩子3万名的这个位次
[00:07:43 - 00:07:45] 你报金融专业可能就录取不了
[00:07:45 - 00:07:47] 你报那个石油开载工程那个专业
[00:07:47 - 00:07:49] 他就可能会录取
[00:07:49 - 00:07:52] 老高考的各位考生化家长一定要注意到
[00:07:52 - 00:07:55] 你能不能上你要报的专业
[00:07:55 - 00:07:56] 那如果说你要被调集的话
[00:07:56 - 00:07:58] 你有可能会被调集到那个专业
[00:07:58 - 00:08:00] 这个是你要了解到的
[00:08:00 - 00:08:02] 那新高考的各位考生化家长你就要了解到
[00:08:02 - 00:08:04] 你想报的那个专业
[00:08:04 - 00:08:06] 这个学校他的录取为次是多少
[00:08:06 - 00:08:07] 你报这个学校
[00:08:07 - 00:08:10] 他录取的可能性大不大
[00:08:10 - 00:08:11] 这个大家一定要考虑下来
[00:08:11 - 00:08:13] 所以说老高考和新高考
[00:08:13 - 00:08:15] 这个数据都非常非常重要
[00:08:15 - 00:08:16] 就是各个学校各个专业
[00:08:16 - 00:08:19] 在你省往年的录取位置
[00:08:19 - 00:08:22] 这样的话你做进一步的选择和筛选
[00:08:22 - 00:08:25] 慢慢的去缩小你志愿选择的这个范围
[00:08:25 - 00:08:27] 然后你就能从这些专业当中去挑出来
[00:08:27 - 00:08:30] 冲啊 稳啊 保啊这些的志愿范围了
[00:08:30 - 00:08:32] 当然这么多的信息
[00:08:32 - 00:08:34] 你需要一个一个去找数据的话
[00:08:34 - 00:08:35] 会很麻烦的
[00:08:35 - 00:08:38] 张老师内也用过很多大数据来填报的东西
[00:08:38 - 00:08:40] 这里边给大家推荐一个非常非常好用
[00:08:40 - 00:08:42] 而且免費的注意
[00:08:42 - 00:08:44] 是免費的
[00:08:44 - 00:08:45] 志願天報工具
[00:08:45 - 00:08:47] 就是咱們夸克的APP
[00:08:47 - 00:08:49] 搜索高好進入AI志願服務
[00:08:49 - 00:08:51] 輸入你的省份
[00:08:51 - 00:08:53] 科目分數等信息
[00:08:53 - 00:08:56] 夸克就可以智能地為你生成可衝機
[00:08:56 - 00:08:57] 叫文婆
[00:08:57 - 00:09:00] 可保底的院校天報方案
[00:09:00 - 00:09:01] 提路非常的明確
[00:09:01 - 00:09:04] 如果說你覺得院校的天報方案不夠細的話
[00:09:04 - 00:09:06] 大家還可以指定具體的專業
[00:09:06 - 00:09:10] 系統會給你推薦開設該專業的大學
[00:09:10 - 00:09:11] 你点击进去的话
[00:09:11 - 00:09:13] 它就会给你展现这个学校
[00:09:13 - 00:09:15] 这个专业的录取概率大概有多少
[00:09:15 - 00:09:18] 该专业另年的招录数据
[00:09:18 - 00:09:19] 这个也非常好的
[00:09:19 - 00:09:22] 可以帮助到咱们考生进行自我的评估
[00:09:22 - 00:09:24] 另外一般分数出来以后
[00:09:24 - 00:09:26] 就那么几天的给大家填报志愿的时间
[00:09:26 - 00:09:28] 很多人说实话
[00:09:28 - 00:09:30] 这几天不过的也匆匆忙忙的
[00:09:30 - 00:09:32] 志愿也来不及认真地去筛选
[00:09:32 - 00:09:33] 有些人就觉得
[00:09:33 - 00:09:34] 这怎么的填报还没弄明白呢
[00:09:34 - 00:09:35] 对吧
[00:09:35 - 00:09:37] 结果填报的日期就已经到了
[00:09:37 - 00:09:39] 所以说我真的建议大家
[00:09:39 - 00:09:41] 就是说在正式填爆之前
[00:09:41 - 00:09:45] 大家一定要先用夸克的 AI 模拟填爆系统
[00:09:45 - 00:09:47] 提前先演练一遍 做好准备
[00:09:47 - 00:09:51] 夸克可以基于考生的偏好和分数
[00:09:51 - 00:09:53] 一键智能生成支援表
[00:09:53 - 00:09:56] 快速的找到适合自己的大学和专业
[00:09:56 - 00:09:59] 直接给大家推荐最优的志愿填爆方案
[00:09:59 - 00:10:01] 非常的方便和省心
[00:10:01 - 00:10:03] 除了一键智能生成以外
[00:10:03 - 00:10:05] 你说我想一个一个填起不行
[00:10:05 - 00:10:05] 也可以
[00:10:05 - 00:10:09] 咱们可以手动一个一个添加填写支援表
[00:10:09 - 00:10:11] 夸克会总之后用AI诊断功能
[00:10:11 - 00:10:14] 帮助大家评估每一个职员是否合理
[00:10:14 - 00:10:15] 不合理的话
[00:10:15 - 00:10:17] 他也会给你一个明确的优化建议
[00:10:17 - 00:10:19] 帮助大家理性判断
[00:10:19 - 00:10:20] 大数据时代
[00:10:20 - 00:10:22] 善于利用好工具
[00:10:22 - 00:10:25] 真的可以能够帮助到大家节省不少的时间
[00:10:25 - 00:10:28] 高考职员的相关信息实在实在是太多了
[00:10:28 - 00:10:31] 夸克APP高考信息一战士的汇聚
[00:10:31 - 00:10:32] 高校和专业的查询
[00:10:32 - 00:10:33] 一分一段表
[00:10:33 - 00:10:34] 省空线
[00:10:34 - 00:10:35] 同分去向
[00:10:35 - 00:10:37] 最新政策等招入信息
[00:10:37 - 00:10:40] 全部直接都能查询得到
[00:10:40 - 00:10:42] 如果说你想了解更多高考志愿填爆的知识
[00:10:42 - 00:10:44] 可以上夸克APP
[00:10:44 - 00:10:45] 搜索张选丰作男
[00:10:45 - 00:10:47] 进入我的独家专栏
[00:10:47 - 00:10:49] 上面有我的志愿直播客
[00:10:49 - 00:10:51] 志愿填爆指导系列视频
[00:10:51 - 00:10:55] 我会给大家分享新高考的政策解读
[00:10:55 - 00:10:57] 以及如何选学校选专业
[00:10:57 - 00:11:00] 填爆志愿的各种方法和干活
[00:11:00 - 00:11:01] 张老师和大家在夸克APP
[00:11:01 - 00:11:03] 不见不散
