BV号：BV1Dx411q7ym
标题：BV1Dx411q7ym
链接：https://www.bilibili.com/video/BV1Dx411q7ym
识别语言：zh
语言置信度：1
分段数：151
生成时间：2026-04-04 12:38:52

[00:00:05 - 00:00:06] 啊干啥呀
[00:01:14 - 00:01:16] 往长茶或者是广州考的比较多对吧
[00:01:16 - 00:01:19] 来同学假如说你现在要考广州的学校来同学告诉我
[00:01:19 - 00:01:22] 你为什么要考广州的学校为什么
[00:01:23 - 00:01:24] 为什么要考广州的学校
[00:01:25 - 00:01:27] 广州大广州好
[00:01:27 - 00:01:29] 广州机会多广州挣钱多
[00:01:29 - 00:01:31] 叫他们用你说对不对
[00:01:31 - 00:01:32] 你不要说这些东西啊
[00:01:32 - 00:01:33] 说这些东西人家都会
[00:01:33 - 00:01:34] 知道吗
[00:01:34 - 00:01:35] 你要说就说点别人不会的
[00:01:35 - 00:01:36] 知道吧
[00:01:36 - 00:01:36] 说什么
[00:01:36 - 00:01:37] 他在记录啊
[00:01:37 - 00:01:38] 假如说你现在考研
[00:01:38 - 00:01:40] 你要跨吃鱼考研的话
[00:01:40 - 00:01:41] 你要跨吃鱼的考研的话
[00:01:41 - 00:01:44] 老师问你为什么从你老家湖南来到了我们这记录
[00:01:44 - 00:01:45] 答案都是一模一样的
[00:01:45 - 00:01:45] 知道吧
[00:01:45 - 00:01:46] 告诉老师老师
[00:01:46 - 00:01:49] 因为我爸我妈都在广州打工
[00:01:49 - 00:01:49] 我想考到广州来
[00:01:49 - 00:01:51] 离我的父母近一些近一近
[00:01:51 - 00:01:52] 我做儿女的孝心
[00:01:53 - 00:01:54] 对吧
[00:01:54 - 00:01:55] 正确啊
[00:01:58 - 00:01:58] 知道吧
[00:01:59 - 00:02:00] 再比如说张老师
[00:02:00 - 00:02:00] 我现在跨专业考研
[00:02:00 - 00:02:01] 同学告诉你
[00:02:01 - 00:02:02] 你为什么要夸张学大业考验
[00:02:02 - 00:02:04] 我喜欢这个专业
[00:02:04 - 00:02:04] 这就废了
[00:02:04 - 00:02:05] 知道吗
[00:02:05 - 00:02:06] 你不能这么回答
[00:02:06 - 00:02:07] 这么回答是不对的
[00:02:07 - 00:02:08] 为什么夸张学大业考验
[00:02:08 - 00:02:09] 基础证学大业应该是这样的
[00:02:09 - 00:02:10] 为什么要夸张学大业
[00:02:10 - 00:02:10] 老师
[00:02:10 - 00:02:11] 因为
[00:02:11 - 00:02:11] 你知道吗
[00:02:11 - 00:02:13] 当年我高考我第一句
[00:02:13 - 00:02:15] 我抱的就是
[00:02:15 - 00:02:16] 前一个专业
[00:02:16 - 00:02:17] 高考命号好
[00:02:17 - 00:02:19] 过了瞧就到了现在的专业
[00:02:19 - 00:02:20] 但是我对咱们专业务自信
[00:02:20 - 00:02:21] 我上大一的时候
[00:02:21 - 00:02:22] 跟着咱们专业同学
[00:02:22 - 00:02:23] 上咱们的专业课
[00:02:23 - 00:02:23] 越上越感兴趣
[00:02:23 - 00:02:24] 越上越感兴趣
[00:02:24 - 00:02:25] 今天我考这个专业
[00:02:25 - 00:02:35] 未得就是我四年前未完成的梦想啊
[00:02:35 - 00:02:36] 这叫正确答案是吧
[00:02:36 - 00:02:38] 同学我问你有毛病吗
[00:02:38 - 00:02:39] 没有
[00:02:39 - 00:02:40] 没有毛病吗
[00:02:40 - 00:02:41] 当年我考这个专业名考上
[00:02:41 - 00:02:42] 我现在还考这个
[00:02:42 - 00:02:43] 我爸我妈公德就在广州去了
[00:02:43 - 00:02:44] 我跟我爸我妈走
[00:02:44 - 00:02:45] 有毛病吗
[00:02:45 - 00:02:46] 没毛病
[00:02:46 - 00:02:47] 赞同学你不许
[00:02:47 - 00:02:48] 我喜欢这个专业
[00:02:48 - 00:02:49] 不比这种答案好多了
[00:02:49 - 00:02:50] 对吧
[00:02:50 - 00:02:51] 赞同学相同的问题
[00:02:51 - 00:02:51] 不同的答案
[00:02:51 - 00:02:53] 人的感觉完全不一样
[00:02:53 - 00:02:53] 知道吗
[00:02:53 - 00:02:54] 赞同学面试的时候
[00:02:54 - 00:02:55] 心态把握好
[00:02:55 - 00:02:56] 准备好了
[00:02:56 - 00:02:57] 成为了问题
[00:02:57 - 00:02:58] 昂收腾胸的进血
[00:02:58 - 00:02:58] 昂收腾胸的出来
[00:02:58 - 00:02:59] 知道吗
[00:02:59 - 00:03:01] 而同学你在这个网站查到了四个事
[00:03:01 - 00:03:02] 你查到了分数件
[00:03:02 - 00:03:02] 查到了时间
[00:03:02 - 00:03:03] 查到了实在复试
[00:03:03 - 00:03:05] 你查到了复试考神魔
[00:03:05 - 00:03:06] 最后的最后同学
[00:03:06 - 00:03:08] 你会查到一个最佳关键的东西
[00:03:08 - 00:03:09] 叫什么呢
[00:03:09 - 00:03:11] 录取名单
[00:03:11 - 00:03:14] 你会看到哪位大哥叫什么名字
[00:03:14 - 00:03:15] 考到多少分录取几个人
[00:03:15 - 00:03:17] 录取名单上写着一清二楚
[00:03:17 - 00:03:19] 明明白白
[00:03:19 - 00:03:19] 知道吗
[00:03:19 - 00:03:21] 然后同学你把这三个网站上网以后
[00:03:21 - 00:03:22] 以后发现这个是说对于你来讲
[00:03:22 - 00:03:25] 是不是就不明白的呀
[00:03:25 - 00:03:27] 什么信息你都查得到
[00:03:27 - 00:03:29] 对于你准备绝对是非常非常
[00:03:29 - 00:03:30] 有用的 知道吧
