BV号：BV1VM6NY5Eya
标题：BV1VM6NY5Eya
链接：https://www.bilibili.com/video/BV1VM6NY5Eya
识别语言：zh
语言置信度：1
分段数：161
生成时间：2026-04-03 07:23:52

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 25年考研出事已经很尽了
[00:01:15 - 00:01:18] 因为龙脚散采用的是无浙堂配方
[00:01:18 - 00:01:20] 吃再多也不用担心发胖
[00:01:20 - 00:01:21] 没吃完还有胜的
[00:01:21 - 00:01:23] 你就把风口这么一风就行
[00:01:23 - 00:01:24] 非常方便
[00:01:24 - 00:01:25] 其次呢
[00:01:25 - 00:01:26] 这是调整好心态
[00:01:26 - 00:01:29] 心理学上有一个概念叫做心流
[00:01:29 - 00:01:30] 从小到大
[00:01:30 - 00:01:32] 你有没有在身边见过一类人
[00:01:32 - 00:01:34] 就是他们不仅学习成绩好
[00:01:34 - 00:01:36] 而且还特别爱学习
[00:01:36 - 00:01:38] 感觉学习会让他们觉得很快乐
[00:01:38 - 00:01:40] 这类人往往就是在学习过程中
[00:01:40 - 00:01:42] 进入了心流状态
[00:01:42 - 00:01:44] 人一旦进入到了这种状态
[00:01:44 - 00:01:47] 就会对他当前所做的事全神贯注
[00:01:47 - 00:01:49] 并且在做完之后
[00:01:49 - 00:01:51] 还能感觉到非常愉悦和满足
[00:01:51 - 00:01:52] 对很多人来说
[00:01:52 - 00:01:55] 要进入到这种状态是非常非常难得的
[00:01:55 - 00:01:57] 但是也有方法的
[00:01:57 - 00:01:59] 一般容易让人进入心流状态的事情
[00:01:59 - 00:02:01] 有这么一些特征
[00:02:01 - 00:02:02] 任务标明确
[00:02:02 - 00:02:04] 有一定挑战但难度能接受
[00:02:04 - 00:02:06] 有及时的正反馈
[00:02:06 - 00:02:07] 根据这几点
[00:02:07 - 00:02:10] 你就可以来设计你的考研复习计划
[00:02:10 - 00:02:13] 首先你要给你的考研复习设置目标
[00:02:13 - 00:02:15] 我说的不是考研商案这种大目标
[00:02:15 - 00:02:16] 而是说
[00:02:16 - 00:02:19] 你每天要完成那些任务的这种小目标
[00:02:19 - 00:02:21] 比如今天要被30根语单词
[00:02:21 - 00:02:23] 做两套数学卷子等等
[00:02:23 - 00:02:24] 你把目标写出来
[00:02:24 - 00:02:26] 或者是接在手机里边完成一项
[00:02:26 - 00:02:27] 滑掉一项
[00:02:27 - 00:02:30] 每天都给自己设定具体的学性目标
[00:02:30 - 00:02:32] 同时你也要注意给你自己
[00:02:32 - 00:02:34] 布置任务的一个难度
[00:02:34 - 00:02:36] 如果说你现在的基础只有60分
[00:02:36 - 00:02:38] 你就给自己找70分难度的题目
[00:02:38 - 00:02:40] 别一下子上来就搞95了
[00:02:40 - 00:02:42] 你很有可能答案都看不懂
[00:02:42 - 00:02:44] 这样你还怎么会坚持下去呢
[00:02:44 - 00:02:45] 及时反馈也非常重要
[00:02:45 - 00:02:46] 每天100题
[00:02:46 - 00:02:47] 今天对80到
[00:02:47 - 00:02:49] 明天对85到
[00:02:49 - 00:02:50] 后天对90到
[00:02:50 - 00:02:51] 证学率清清楚楚
[00:02:51 - 00:02:52] 越来越高
[00:02:52 - 00:02:54] 这就是及时的正反馈
[00:02:54 - 00:02:56] 所以我们完全有机会通过自己的努力
[00:02:56 - 00:02:58] 让自己在考研复习的时候呢
[00:02:58 - 00:03:01] 进入到这种望我投入的心流状态
[00:03:01 - 00:03:03] 当你全身关注的专注在学习上的时候
[00:03:03 - 00:03:06] 什么焦虑的都会统统的理你而去
[00:03:06 - 00:03:07] 复习背口呢
[00:03:07 - 00:03:09] 也成为一件轻松愉悦的事情
[00:03:09 - 00:03:10] 最后啊切记
[00:03:10 - 00:03:13] 没事别老去打听别人复习的咋样
[00:03:13 - 00:03:14] 人家复习的好不好
[00:03:14 - 00:03:16] 他跟你有啥关系呢
[00:03:16 - 00:03:17] 考研是先天的志愿
[00:03:17 - 00:03:18] 再去考试
[00:03:18 - 00:03:21] 人家跟你考的是一个学校一个专业的吗
[00:03:21 - 00:03:22] 如果不是
[00:03:22 - 00:03:23] 那人家就算考满分
[00:03:23 - 00:03:25] 跟你也没关系对不对
[00:03:25 - 00:03:26] 如果是
[00:03:26 - 00:03:27] 那你更不该学问
[00:03:27 - 00:03:28] 人家要说复习的不错
[00:03:28 - 00:03:30] 初识应该稳了
[00:03:30 - 00:03:30] 你听了
[00:03:30 - 00:03:31] 你说你慌不慌
[00:03:31 - 00:03:33] 这不给自己找不通的吗
[00:03:33 - 00:03:34] 人家要是说
[00:03:34 - 00:03:34] 哎呀
[00:03:34 - 00:03:36] 我都没有时间好好准备
[00:03:36 - 00:03:37] 复习的资料都还没看完
[00:03:37 - 00:03:40] 这话谁信谁傻
[00:03:40 - 00:03:41] 每个人情况不一样
[00:03:41 - 00:03:42] 基础它也不一样
[00:03:42 - 00:03:43] 你要是信了它的话
[00:03:43 - 00:03:45] 下意识的觉得压力
[00:03:45 - 00:03:46] 好像没这么大了
[00:03:46 - 00:03:48] 最后十几天放松了对自己的要求
[00:03:48 - 00:03:50] 结果分数出来
[00:03:50 - 00:03:53] 要是就差那一分两分的一度出去吧
[00:03:53 - 00:03:54] 当然
[00:03:54 - 00:03:55] 如果这时候
[00:03:55 - 00:03:57] 别人来跟你大听福西尼度怎么办呢
[00:03:57 - 00:03:58] 张老师教你啊
[00:03:58 - 00:03:59] 你也没有必要骗他
[00:03:59 - 00:04:01] 你就唯唯一笑啊
[00:04:01 - 00:04:02] 然后呢给他一个眼神
[00:04:02 - 00:04:03] 你等待
[00:04:03 - 00:04:05] 让他回去自己琢磨去
[00:04:05 - 00:04:06] 记住上面这三点
[00:04:06 - 00:04:08] 告别考研焦虑
[00:04:08 - 00:04:08] 最后呢
[00:04:08 - 00:04:09] 还是那句话
[00:04:09 - 00:04:11] 考研上岸并不是唯一的出路
[00:04:11 - 00:04:13] 过程比结果更重要
[00:04:13 - 00:04:15] 只要翻过最后这座山
[00:04:15 - 00:04:17] 你一定会遇见更好的自己
[00:04:17 - 00:04:22] 张老师和龙娇散一起祝所有考验人都能得偿所愿
[00:04:22 - 00:04:23] 前程刺激
