BV号：BV1bb411V7Uh
标题：BV1bb411V7Uh
链接：https://www.bilibili.com/video/BV1bb411V7Uh
识别语言：zh
语言置信度：1
分段数：182
生成时间：2026-04-04 08:17:11

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪冯老师
[00:00:02 - 00:00:04] 有这么一个案子很好玩
[00:01:09 - 00:01:12] 哎 閻老師啊 你看他這個我們剛才說這個案子
[00:01:12 - 00:01:15] 他這個案子是發生在金融機構內的
[00:01:15 - 00:01:19] 對吧 但他是不是能夠算定叫搶劫金融機構呢
[00:01:19 - 00:01:20] 還真不算
[00:01:21 - 00:01:23] 這我發生在金融機構裡面啊
[00:01:23 - 00:01:25] 對 大家開始都覺得就是說
[00:01:25 - 00:01:29] 只要在金融機構裡面的 就應該算搶劫金融機構
[00:01:29 - 00:01:30] 但是
[00:01:30 - 00:01:31] 後來發現
[00:01:31 - 00:01:32] 那我要在金融機構裡面
[00:01:33 - 00:01:33] 搶一個
[00:01:34 - 00:01:35] 這個電腦呢
[00:01:35 - 00:01:38] 搶一个人的西装呢 这算不算
[00:01:38 - 00:01:42] 这个 但是我觉得
[00:01:42 - 00:01:44] 因为你看 我的理解
[00:01:44 - 00:01:47] 你只要是在金融机构内实行的
[00:01:47 - 00:01:50] 所谓的抢击 那就会对银行的资金
[00:01:50 - 00:01:52] 不管你抢的是不是资金
[00:01:52 - 00:01:54] 但是你会对银行的资金造成一定的威胁
[00:01:54 - 00:01:56] 你对金融机构的正常运营
[00:01:56 - 00:01:58] 是造成一定的威胁的
[00:01:58 - 00:02:00] 我觉得就算啊
[00:02:00 - 00:02:04] 不算 而钱和电脑对你的钱有什么影响
[00:02:04 - 00:02:07] 就关键看你有没有抢银行的钱
[00:02:07 - 00:02:11] 抢劫金融机构关键是看你有没有抢银行的钱
[00:02:11 - 00:02:14] 最高一名法院的他后来发了一个司法解释
[00:02:14 - 00:02:16] 说这个抢劫金融机构呢
[00:02:16 - 00:02:20] 是指抢劫金融机构的资金
[00:02:20 - 00:02:21] 那我问个问题啊
[00:02:22 - 00:02:24] 比如说就是这个
[00:02:24 - 00:02:24] 运筹车
[00:02:24 - 00:02:28] 运筹车和运输的这个资金是金融机构的
[00:02:28 - 00:02:30] 那你看我没有发生在
[00:02:30 - 00:02:32] 这个金融机构内去进行实施抢劫对吧
[00:02:32 - 00:02:33] 那我抢的是运车车
[00:02:33 - 00:02:36] 这个是算抢劫金融机构
[00:02:36 - 00:02:37] 算
[00:02:37 - 00:02:40] 这个就是只要看你抢的是不是银行的钱
[00:02:40 - 00:02:42] 你出类旁通的本事还挺大的吗
[00:02:42 - 00:02:43] 那我再举个例子
[00:02:43 - 00:02:46] 比如说银行内的储户
[00:02:46 - 00:02:48] 我刚开始的时候我去银行取钱
[00:02:48 - 00:02:49] 然后的话呢
[00:02:49 - 00:02:50] 这个钱刚给我
[00:02:50 - 00:02:52] 然后外边就有一个抢劫的拿墙队的
[00:02:52 - 00:02:53] 我说把钱给我
[00:02:53 - 00:02:55] 那这个他抢的这个钱
[00:02:55 - 00:02:56] 是我在银行内取的
[00:02:56 - 00:02:58] 这个算不算抢劫金融机构
[00:02:58 - 00:02:59] 不算
[00:02:59 - 00:03:00] 这个不算
[00:03:00 - 00:03:01] 这还仍然是普通抢劫
[00:03:01 - 00:03:04] 这个就是说你钱已经给了丑户了
[00:03:04 - 00:03:06] 这个钱就是已经是丑户的了
[00:03:06 - 00:03:07] 对吧
[00:03:07 - 00:03:10] 那既然咱们国家在抢劫罪的基础之上
[00:03:10 - 00:03:12] 加了一个叫抢劫金融机构
[00:03:12 - 00:03:13] 那是不是抢劫金融机构
[00:03:13 - 00:03:15] 它这个罪的量刑
[00:03:15 - 00:03:18] 跟我们普通的抢劫罪是不是不太一样
[00:03:18 - 00:03:20] 你问到点子上了
[00:03:20 - 00:03:22] 就是我们国家规定
[00:03:22 - 00:03:25] 一般的抢劫它是三年到十年
[00:03:25 - 00:03:27] 然后有八种情结
[00:03:27 - 00:03:29] 我们叫加重情结
[00:03:29 - 00:03:30] 有八种情结
[00:03:30 - 00:03:32] 起行就十年
[00:03:32 - 00:03:34] 比如说你去银行 个人过完要钱
[00:03:34 - 00:03:36] 过完就给你塞了一块钱
[00:03:36 - 00:03:39] 然后你就要为这一块钱判十年
[00:03:39 - 00:03:44] 这是最低起行十年 十年到死刑
[00:03:44 - 00:03:48] 不要打银行的这个钱的心思
[00:03:48 - 00:03:50] 你只要是打了银行钱的心思
[00:03:50 - 00:03:52] 你哪怕是一块钱
[00:03:52 - 00:03:54] 也是十年起
[00:03:54 - 00:03:55] 那我们正常抢劫队是
[00:03:55 - 00:03:56] 三到十年
[00:03:56 - 00:03:59] 然后你只要抢劫金融机构的钱
[00:03:59 - 00:04:01] 你就这十年起
[00:04:01 - 00:04:03] 我的天哪
[00:04:03 - 00:04:05] 所以说他收起这个信
[00:04:05 - 00:04:08] 对这个这个我可学到了
[00:04:08 - 00:04:11] 另外我对另外一个问题还比较感兴趣
[00:04:11 - 00:04:13] 你看他这个假他
[00:04:13 - 00:04:14] 通过您的讲解我明白了
[00:04:14 - 00:04:16] 这个假的一个行为呢就是抢劫罪
[00:04:16 - 00:04:18] 他不是抢劫金融机构
[00:04:18 - 00:04:19] 对吧
[00:04:19 - 00:04:20] 他不是这个量情情
[00:04:20 - 00:04:22] 但是你看他这个抢劫罪呢
[00:04:22 - 00:04:25] 他拿这个枪这个就是指着这个椅
[00:04:25 - 00:04:27] 这个椅把这个东西是给他了
[00:04:27 - 00:04:28] 給他了 對吧
[00:04:28 - 00:04:30] 那給他了完以後
[00:04:30 - 00:04:31] 假如說他拿著槍
[00:04:31 - 00:04:32] 對著這個椅子
[00:04:32 - 00:04:35] 沒有把這個東西給他
[00:04:35 - 00:04:37] 那這個椅子搶劫罪
[00:04:37 - 00:04:38] 去個量刑的時候
[00:04:38 - 00:04:40] 這個椅給沒給他
[00:04:40 - 00:04:42] 對於假這個量刑會不會產生影響
[00:04:42 - 00:04:44] 有非常大的影響
[00:04:44 - 00:04:45] 而且呢
[00:04:45 - 00:04:46] 在本案中
[00:04:46 - 00:04:48] 他雖然給他了
[00:04:48 - 00:04:50] 但他不是偷偷的按了那個警鈴嗎
[00:04:50 - 00:04:51] 他其實是
[00:04:51 - 00:04:53] 連那個辦公室都沒出得了的
[00:04:53 - 00:04:54] 那麼這個呢和
[00:04:54 - 00:04:55] 乾脆就不給他
[00:04:55 - 00:04:56] 兩個都是一樣
[00:04:56 - 00:04:59] 这个假都属于犯罪的未损
[00:04:59 - 00:05:00] 这都是未损
[00:05:00 - 00:05:01] 未损
[00:05:01 - 00:05:02] 我们国家刑法规定呢
[00:05:02 - 00:05:04] 对于犯罪未损
[00:05:04 - 00:05:07] 可以重清或者减轻处罚
[00:05:07 - 00:05:09] 因为它没有造成实际的损害嘛
[00:05:09 - 00:05:10] 所以在本案中
[00:05:10 - 00:05:13] 通常会给它重清
[00:05:13 - 00:05:15] 另外我要简单说一下
[00:05:15 - 00:05:16] 就它还不是拿了一把枪吗
[00:05:16 - 00:05:19] 这个持枪枪节也是一个加重情节
[00:05:19 - 00:05:21] 就是你拿什么东西去枪
[00:05:21 - 00:05:22] 它也不一样
[00:05:22 - 00:05:23] 就这个枪
[00:05:23 - 00:05:24] 咱们就特别规定枪
[00:05:24 - 00:05:26] 也是弃行十年
[00:05:26 - 00:05:27] 槍也是起行十年
[00:05:27 - 00:05:29] 只要是你按鍵是射槍的就是起行十年
[00:05:29 - 00:05:31] 我拿著槍對著你說張老師給錢
[00:05:31 - 00:05:32] 你說
[00:05:32 - 00:05:34] 就一個槓盆你拿下吧
[00:05:34 - 00:05:35] 十年
[00:05:35 - 00:05:38] 那如果說你要是拿著刀威脅我的話可能就
[00:05:38 - 00:05:40] 那如果只有一塊錢的話
[00:05:40 - 00:05:40] 三年
[00:05:40 - 00:05:41] 三年
[00:05:41 - 00:05:42] 哎呀
[00:05:43 - 00:05:48] 看來咱們國家的法律真的是非常非常的我個人覺得很堅全啊應該說是對各種情況
[00:05:48 - 00:05:50] 都做了相應的考慮
[00:05:50 - 00:05:51] 這一期節目錄完以後
[00:05:51 - 00:05:55] 我又學到了好那我們本期節目呢就是這樣那麼咱們下期節目呢
[00:05:55 - 00:05:57] 将会继续给大家讲比较好玩的案子
[00:05:57 - 00:05:58] 咱们下期节目再见
[00:05:58 - 00:05:59] 谢谢大家
[00:05:59 - 00:06:00] 好
