BV号：BV17x411m7ak
标题：BV17x411m7ak
链接：https://www.bilibili.com/video/BV17x411m7ak
识别语言：zh
语言置信度：1
分段数：383
生成时间：2026-04-04 13:04:31

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:04:41 - 00:04:42] 知道吧
[00:04:42 - 00:04:46] 为什么
[00:04:46 - 00:04:47] 身高一米吧
[00:04:47 - 00:04:48] 起重一百六
[00:04:48 - 00:04:50] 就是我穿进了海南之家的大衣
[00:04:50 - 00:04:51] 我能撑起来
[00:04:51 - 00:04:52] 能明白吗
[00:04:52 - 00:04:53] 你为什么不是说
[00:04:53 - 00:04:54] 徐德乾做这个广告
[00:04:54 - 00:04:55] 他撑不起来
[00:04:55 - 00:04:56] 你找个大衣放在里面
[00:04:56 - 00:04:57] 人每一大块
[00:04:57 - 00:04:58] 所以说的话
[00:04:58 - 00:04:59] 他只能找我这种身材
[00:04:59 - 00:05:00] 相对稍微魁股的人
[00:05:00 - 00:05:01] 去做他的广告
[00:05:01 - 00:05:02] 然后的话你会发现
[00:05:02 - 00:05:04] 每一期我都会换一身衣服
[00:05:04 - 00:05:05] 我都会换一身衣服
[00:05:05 - 00:05:07] 每一期我都会换一身衣服
[00:05:07 - 00:05:08] 你知道吗
[00:05:08 - 00:05:09] 为什么呀
[00:05:09 - 00:05:10] 第一同学就是因为
[00:05:10 - 00:05:11] 对
[00:05:11 - 00:05:12] 就说他在这种
[00:05:12 - 00:05:13] 因为我在他的冬季款的衣服
[00:05:13 - 00:05:14] 全都穿全了
[00:05:14 - 00:05:15] 就说做广告这样
[00:05:15 - 00:05:16] 你知道吗
[00:05:16 - 00:05:17] 然后的话呢
[00:05:17 - 00:05:18] 每一期确实是广告费
[00:05:18 - 00:05:19] 一分钱不给
[00:05:19 - 00:05:21] 但是衣服可以挑不下
[00:05:21 - 00:05:22] 搞得我们家的衣柜
[00:05:22 - 00:05:24] 这那么就是海南之家的衣柜
[00:05:24 - 00:05:25] 你知道吗
[00:05:25 - 00:05:26] 从外套到秤移
[00:05:26 - 00:05:27] 到内部全海南之家
[00:05:27 - 00:05:28] 你知道吗
[00:05:28 - 00:05:29] 海南之家的衣柜
[00:05:29 - 00:05:30] 然后的话呢
[00:05:30 - 00:05:31] 第二就是因为我每一期
[00:05:31 - 00:05:32] 换一身衣服
[00:05:32 - 00:05:33] 就是他当那边
[00:05:33 - 00:05:34] 那边的心理学家暗示的
[00:05:34 - 00:05:36] 他那边有一个心理医生
[00:05:36 - 00:05:38] 就是节目里边有这么一个心理医生
[00:05:38 - 00:05:40] 共同说 说 张老师你一定要去穿一身
[00:05:40 - 00:05:41] 新衣服为什么
[00:05:41 - 00:05:43] 因为我原来没过过综艺节目
[00:05:43 - 00:05:45] 他怕我紧张 你知道吗
[00:05:45 - 00:05:47] 他说 张老师你只根据新衣服
[00:05:47 - 00:05:49] 人穿一身新衣服 人就会
[00:05:49 - 00:05:51] 挺心 开口 气喘 就跟别人不一样
[00:05:51 - 00:05:52] 然后的话 我每期都换一身新衣服
[00:05:52 - 00:05:54] 所以说 你们在考研面试的时候
[00:05:54 - 00:05:56] 能换一身新衣服 也换一身新衣服 知道吗
[00:05:56 - 00:05:58] 当然这几时精神面貌 在气息上
[00:05:58 - 00:06:00] 不是衣服能给你解决的
[00:06:00 - 00:06:03] 比如说你们在考研面试的时候经常遇到战狼问题什么问题
[00:06:03 - 00:06:05] 你的学校可能不是那么特别的好
[00:06:05 - 00:06:06] 对吧
[00:06:06 - 00:06:08] 你怕不怕老师不愿意要你们校图同学
[00:06:08 - 00:06:09] 看你怕吧
[00:06:09 - 00:06:10] 不要变气
[00:06:10 - 00:06:11] 知道吧
[00:06:11 - 00:06:11] 为什么
[00:06:11 - 00:06:12] 因为有我
[00:06:12 - 00:06:13] 知道吧
[00:06:13 - 00:06:14] 面试的时候你怕什么呀
[00:06:14 - 00:06:15] 你别说告诉我我的考研
[00:06:15 - 00:06:16] 你要考哪里呀
[00:06:16 - 00:06:17] 告诉我科北行
[00:06:17 - 00:06:19] 我说你经纪毕竟跟科北行
[00:06:19 - 00:06:20] 我同意没关系
[00:06:20 - 00:06:21] 啊
[00:06:21 - 00:06:22] 抱我们前辈期望率很大
[00:06:22 - 00:06:23] 知道吧
[00:06:23 - 00:06:23] 好吧
[00:06:23 - 00:06:25] 结果面试的时候遇到这么一个同学
[00:06:25 - 00:06:26] 过来给你聊天了
[00:06:26 - 00:06:28] 同学你哪个学校的
[00:06:28 - 00:06:29] 你说中北信商的
[00:06:29 - 00:06:30] 在哪里
[00:06:31 - 00:06:32] 中北大学
[00:06:32 - 00:06:33] 在哪里
[00:06:33 - 00:06:35] 很多人不知道中北大学在哪里
[00:06:35 - 00:06:36] 知道吧
[00:06:36 - 00:06:37] 在台湾
[00:06:37 - 00:06:38] 告诉他在台湾
[00:06:38 - 00:06:40] 你那个学校的
[00:06:40 - 00:06:41] 他说我北底功的
[00:06:41 - 00:06:42] 你一听
[00:06:42 - 00:06:44] 妈妈他吓唬我
[00:06:45 - 00:06:46] 老师他北底功的
[00:06:46 - 00:06:47] 我中北经商当老师
[00:06:47 - 00:06:48] 肯定要他
[00:06:48 - 00:06:49] 不愿意要我
[00:06:49 - 00:06:50] 你都想你错了
[00:06:50 - 00:06:51] 你该怎么想
[00:06:51 - 00:06:52] 同学你想
[00:06:52 - 00:06:53] 他一个北底功的
[00:06:53 - 00:06:54] 你一个中北经商的
[00:06:54 - 00:06:55] 你俩考研考了一个分
[00:06:55 - 00:06:58] 你觉得谁该害死我
[00:06:58 - 00:06:59] 是不是他
[00:06:59 - 00:07:00] 他和德行姻
[00:07:00 - 00:07:01] 又了一大多年了吧
[00:07:01 - 00:07:02] 过来听说
[00:07:02 - 00:07:03] 哎呀我背里公的
[00:07:03 - 00:07:04] 你怎么说
[00:07:04 - 00:07:05] 你背里公的你做个毛啊
[00:07:05 - 00:07:06] 你还说背里公的不够
[00:07:06 - 00:07:07] 我已经准备现在
[00:07:07 - 00:07:08] 能好一个分吗
[00:07:08 - 00:07:09] 我他们你我招死了
[00:07:09 - 00:07:10] 你知道吧
[00:07:10 - 00:07:11] 老子在背里公招他们保原了
[00:07:11 - 00:07:12] 你还招人
[00:07:12 - 00:07:13] 就是不就是
[00:07:13 - 00:07:14] 我退了
[00:07:15 - 00:07:23] 我说的有没有道理
[00:07:23 - 00:07:24] 好
[00:07:24 - 00:07:25] 对不对
[00:07:25 - 00:07:26] 明显才该还放了
[00:07:26 - 00:07:27] 对不对
[00:07:27 - 00:07:28] 另外张闻中的主话
[00:07:28 - 00:07:29] 说的就是被你听的
[00:07:29 - 00:07:30] 叫什么
[00:07:30 - 00:07:31] 光久的不怕
[00:07:31 - 00:07:32] 还写的
[00:07:32 - 00:07:33] 还写的
[00:07:33 - 00:07:35] 你怕什么
[00:07:35 - 00:07:37] 你已经这样了
[00:07:37 - 00:07:44] 你还能早
[00:07:44 - 00:07:45] 基本上就
[00:07:45 - 00:07:46] 你懂吧
[00:07:46 - 00:07:48] 我就不说那么明白了
[00:07:48 - 00:07:49] 你已经这样了
[00:07:49 - 00:07:50] 你怕什么
[00:07:50 - 00:07:51] 对不对
[00:07:51 - 00:07:52] 我跟你这么说不决
[00:07:52 - 00:07:53] 如果说你考北方没好上
[00:07:53 - 00:07:54] 调教去到台北理工大学
[00:07:54 - 00:07:56] 你能接受吗
[00:07:56 - 00:07:57] 你调教去到中北大学
[00:07:57 - 00:07:58] 你能接受吗
[00:07:58 - 00:07:59] 面前可以对吧
[00:07:59 - 00:08:00] 同学你调教去到中北大学
[00:08:00 - 00:08:01] 你能接受
[00:08:01 - 00:08:02] 他一个北理工的
[00:08:02 - 00:08:03] 调教去到中北大学
[00:08:03 - 00:08:04] 他能接受吗
[00:08:04 - 00:08:06] 他那爽死他了知道嗎
[00:08:06 - 00:08:08] 所以同學我一說我要生理他就能不能
[00:08:08 - 00:08:10] 他沒有主動出擊
[00:08:10 - 00:08:11] 知道嗎你必須讓他找你
[00:08:11 - 00:08:12] 你找他上去了就行了
[00:08:12 - 00:08:13] 能不能啊我這樣問他
[00:08:13 - 00:08:15] 你你你去我部隊了
[00:08:15 - 00:08:16] 他說我背地功的你怎麼說
[00:08:16 - 00:08:19] 同學你說你考不上去怎麼辦啊
[00:08:20 - 00:08:21] 你要是考不上的話
[00:08:21 - 00:08:23] 可怎麼找條件的學校呢
[00:08:23 - 00:08:24] 蛤
[00:08:24 - 00:08:26] 找好學校了嗎
[00:08:26 - 00:08:28] 你騎往中北大學呀
[00:08:28 - 00:08:29] 是不是
[00:08:29 - 00:08:30] 我們學校可好了對不對
[00:08:30 - 00:08:31] 所以同學你可發現
[00:08:31 - 00:08:33] 他已經在背地功的你一個中北先生的
[00:08:33 - 00:08:36] 你覺得你們兩個誰跟我害怕好不上
[00:08:36 - 00:08:38] 這麼明顯是他呀
[00:08:38 - 00:08:39] 你怕什麼呀
[00:08:39 - 00:08:41] 你心態要搞得好知道吧
[00:08:41 - 00:08:42] 你不要混亂換食
[00:08:42 - 00:08:44] 你再說一遍我一定要考上
[00:08:44 - 00:08:46] 考上方白的這個學生裡面
[00:08:46 - 00:08:47] 你朋友就是變白的那個知道吧
[00:08:47 - 00:08:49] 你不能這麼想你要怎麼想
[00:08:49 - 00:08:50] 你要想的是
[00:08:50 - 00:08:51] 翻正腦子也沒想考上
[00:08:51 - 00:08:53] 我今天來我怎麼拉下你一個視野
[00:08:53 - 00:08:56] 你放著這種世子入圍
[00:08:56 - 00:08:57] 九時棍的心態去
[00:08:57 - 00:09:00] 往往被幹死的又不是你了
[00:09:00 - 00:09:01] 說話
[00:09:01 - 00:09:06] 沒必要怕
[00:09:06 - 00:09:08] 以后要是面试再紧张怎么办
[00:09:08 - 00:09:09] 想去火
[00:09:10 - 00:09:11] 来呀 商呼商善呀
[00:09:13 - 00:09:15] 杀你一千自准八才
[00:09:15 - 00:09:15] 对不对
[00:09:15 - 00:09:16] 玩嘛
[00:09:17 - 00:09:18] 第一步这西太鱼要保好
[00:09:18 - 00:09:19] 知道吗
