BV号：BV184411379G
标题：BV184411379G
链接：https://www.bilibili.com/video/BV184411379G
识别语言：zh
语言置信度：1
分段数：230
生成时间：2026-04-04 07:53:02

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 欢迎大家收看本期的《法律其实》很好玩
[00:03:03 - 00:03:10] 那你想没想过用什么办法可以保证现在的妻子没有争议的拿到这个钱
[00:03:10 - 00:03:12] 他就是不要写李某军直接写
[00:03:12 - 00:03:14] 直接写身份是可以的对吧
[00:03:14 - 00:03:15] 对吧
[00:03:15 - 00:03:17] 比如说假如说我举个例子
[00:03:17 - 00:03:20] 比如说我去给我自己买一份这样的一个高额的人生意外行
[00:03:20 - 00:03:25] 如果说我就直接写两个字妻子或者配偶
[00:03:25 - 00:03:27] 那么如果说我发生了意外的话
[00:03:27 - 00:03:31] 那就是谁当时我妻子或配偶
[00:03:31 - 00:03:33] 那谁就是能拿这份钱
[00:03:33 - 00:03:34] 那如果说举个例子
[00:03:34 - 00:03:38] 假如说这个人他给自己买了一份人生意外写
[00:03:38 - 00:03:40] 然后他本来是写的是妻子
[00:03:40 - 00:03:42] 但是他在离婚期间
[00:03:42 - 00:03:44] 就是离婚以后
[00:03:44 - 00:03:46] 没有找一个新的妻子的时候
[00:03:46 - 00:03:48] 那这个时候他这个就相当于是
[00:03:48 - 00:03:51] 没有指定这个保险的受益人
[00:03:51 - 00:03:51] 对对对
[00:03:51 - 00:03:52] 就可以继承到
[00:03:52 - 00:03:53] 因为他已经离婚了嘛
[00:03:53 - 00:03:54] 离婚了之后
[00:03:54 - 00:03:56] 他仍然属于身份发生变革
[00:03:57 - 00:03:57] 身份变革
[00:03:57 - 00:03:58] 那么还有种可能
[00:03:58 - 00:04:01] 就是如果你当时没有写妻子
[00:04:01 - 00:04:02] 你认为那就是你的妻子
[00:04:02 - 00:04:02] 对不对
[00:04:02 - 00:04:04] 你就只写了一个名字
[00:04:04 - 00:04:04] 对
[00:04:04 - 00:04:07] 那如果现在去世了
[00:04:07 - 00:04:09] 如果你跟这个女人的身份
[00:04:09 - 00:04:11] 关系发生变革怎么办
[00:04:11 - 00:04:12] 就是那是你
[00:04:12 - 00:04:13] 那我就这名字啊
[00:04:13 - 00:04:14] 对吧
[00:04:14 - 00:04:15] 就是你如果没有写身份
[00:04:15 - 00:04:17] 就写了个名字的嘛
[00:04:17 - 00:04:19] 那么即使他已经是前期了
[00:04:19 - 00:04:21] 他仍然能够活到
[00:04:21 - 00:04:22] 保险里陪了这个钱
[00:04:22 - 00:04:23] 哦
[00:04:23 - 00:04:24] 就是说实话
[00:04:24 - 00:04:27] 就是在这个这个今年年初的时候
[00:04:27 - 00:04:28] 就是我不知道关注过一个案子
[00:04:28 - 00:04:31] 就是那个有个泰国的杀戏骗宝案
[00:04:31 - 00:04:31] 哦
[00:04:31 - 00:04:32] 就是有一个男的
[00:04:32 - 00:04:34] 就是给他自己的老婆
[00:04:34 - 00:04:36] 买了一个大额的一个人身意外险
[00:04:36 - 00:04:38] 结果他把他的老婆给弄到泰国去
[00:04:38 - 00:04:39] 然后在泰国呢
[00:04:39 - 00:04:41] 就所谓的把他给杀了
[00:04:41 - 00:04:43] 但是给造成了所谓的一个意外
[00:04:43 - 00:04:44] 但是但是这个事被人挖出来了
[00:04:44 - 00:04:45] 基本就是他是故意杀人的
[00:04:45 - 00:04:47] 然后的话像这种情况下的话
[00:04:47 - 00:04:48] 就是他是拿不到这个钱的
[00:04:48 - 00:04:49] 对不对
[00:04:49 - 00:04:50] 对
[00:04:50 - 00:04:50] 就说这个呢
[00:04:50 - 00:04:53] 就说这个保险被投保人
[00:04:53 - 00:04:55] 这个丈夫其实是个投保人
[00:04:55 - 00:04:57] 然后同时是一个受益人
[00:04:57 - 00:04:57] 对不对
[00:04:57 - 00:05:01] 这个投保人他做了这个保险事故
[00:05:01 - 00:05:04] 那么这个伪装的一个保险事故
[00:05:04 - 00:05:04] 对吧
[00:05:04 - 00:05:05] 制造的保险事故
[00:05:05 - 00:05:06] 这种情况他是会
[00:05:06 - 00:05:08] 这个保险合同就解除了
[00:05:08 - 00:05:09] 就解除了
[00:05:09 - 00:05:09] 解除了
[00:05:09 - 00:05:11] 保险公司不会赔这个钱的
[00:05:11 - 00:05:13] 但是还有一种可能是这样的
[00:05:13 - 00:05:18] 就是如果是妻子自己给自己买的保险
[00:05:18 - 00:05:20] 然后他很爱他丈夫
[00:05:20 - 00:05:22] 把丈夫指定为唯一受益人
[00:05:22 - 00:05:23] 然后这个丈夫起了代心
[00:05:23 - 00:05:25] 然后把这个妻子杀掉了
[00:05:25 - 00:05:28] 这种情况因为妻子是无辜的
[00:05:28 - 00:05:32] 这种情况下保险公司还会几付这个保险金的
[00:05:32 - 00:05:34] 还是会几付
[00:05:34 - 00:05:36] 但是丈夫还是拿不到的
[00:05:36 - 00:05:38] 就杀害被保险人的人
[00:05:38 - 00:05:39] 他还是拿不到的
[00:05:39 - 00:05:41] 但是这个时候保险公司会几付
[00:05:41 - 00:05:44] 但如果是投保人和被保险人
[00:05:44 - 00:05:45] 他们两个刀鬼
[00:05:45 - 00:05:47] 要骗保安公司的钱
[00:05:47 - 00:05:48] 那保安公司就不会给他赔了
[00:05:48 - 00:05:50] 哎呦
[00:05:50 - 00:05:52] 所以说有些时候就是
[00:05:52 - 00:05:52] 怎么说呢
[00:05:52 - 00:05:54] 这个事事难料
[00:05:54 - 00:05:55] 就是说
[00:05:55 - 00:05:57] 当有时候假如说一个人
[00:05:57 - 00:05:58] 就是比如说我
[00:05:58 - 00:06:01] 就是假如说谁要是给我买了一份
[00:06:01 - 00:06:03] 大额的人身意外险
[00:06:03 - 00:06:05] 然后的话这个金额特别大
[00:06:05 - 00:06:06] 我想起来就好像
[00:06:06 - 00:06:09] 这好恐怖的一件事情
[00:06:09 - 00:06:10] 就感觉这样
[00:06:10 - 00:06:11] 是的
[00:06:11 - 00:06:13] 我的天啊
[00:06:13 - 00:06:16] 很多时候社会人心格度疲
[00:06:16 - 00:06:18] 真的是有这种可能性的
[00:06:18 - 00:06:21] 而且就是很高额的保险
[00:06:21 - 00:06:23] 有的时候大部分情况下
[00:06:23 - 00:06:26] 很高额的保险代表是很高额的
[00:06:26 - 00:06:27] 很高的爱
[00:06:27 - 00:06:28] 很多的爱
[00:06:28 - 00:06:31] 但是有的时候可能代表的是
[00:06:31 - 00:06:34] 未来的一场谋杀
[00:06:34 - 00:06:34] 对
[00:06:34 - 00:06:37] 他就是说未来你很难去预测
[00:06:37 - 00:06:39] 也很难去控制他
[00:06:39 - 00:06:41] 反正多长个心眼吧
[00:06:41 - 00:06:42] 但是我就想着觉得
[00:06:42 - 00:06:44] 反正我要是给我自己买这种人心眼
[00:06:44 - 00:06:45] 我就直接
[00:06:45 - 00:06:46] 我不是说我老婆
[00:06:46 - 00:06:47] 哈哈哈
[00:06:47 - 00:06:48] 就是老婆你不要多想啊
[00:06:48 - 00:06:50] 老婆你不要多想啊
[00:06:50 - 00:06:53] 就是说一人会嫌我们的孩子
[00:06:53 - 00:06:54] 哈哈哈
[00:06:54 - 00:06:55] 这个确实是
[00:06:55 - 00:06:56] 不过说实话
[00:06:56 - 00:06:57] 这个这个案子就是
[00:06:57 - 00:06:59] 后来给了我很多的这个
[00:06:59 - 00:07:00] 启发和启示
[00:07:00 - 00:07:00] 你知道吗
[00:07:00 - 00:07:01] 就是
[00:07:01 - 00:07:02] 这个
[00:07:02 - 00:07:03] 我说
[00:07:03 - 00:07:04] 不懂啊
[00:07:04 - 00:07:06] 这个我觉得这个好像交责人分子一样
[00:07:06 - 00:07:06] 这个不太好
[00:07:06 - 00:07:07] 就是
[00:07:07 - 00:07:07] 说实话
[00:07:07 - 00:07:08] 这个
[00:07:08 - 00:07:09] 保险这个东西
[00:07:09 - 00:07:10] 他毕竟是一个金融理财手
[00:07:10 - 00:07:13] 他其实是可能是为了我们
[00:07:13 - 00:07:14] 为了自己的买一个保障
[00:07:14 - 00:07:15] 但是这个东西
[00:07:15 - 00:07:17] 可能说不过我突然想起来
[00:07:17 - 00:07:18] 另外一个时候我想特别想问你
[00:07:18 - 00:07:20] 但是我考虑了半天
[00:07:20 - 00:07:24] 我觉得在社交媒体面前问不太好
[00:07:24 - 00:07:25] 我们就赶紧结束本期内容
[00:07:25 - 00:07:29] 然后的话我好像杨老师问另外的问题
[00:07:29 - 00:07:30] 我们本期节目先这样
[00:07:30 - 00:07:31] 好吧
[00:07:31 - 00:07:32] 我们下期再见
[00:07:32 - 00:07:33] 谢谢
