BV号：BV1rf4y117F1
标题：BV1rf4y117F1
链接：https://www.bilibili.com/video/BV1rf4y117F1
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-04-04 02:03:18

[00:00:00 - 00:00:03] 这是一个教你怎么在高考志愿填爆当中
[00:01:44 - 00:01:45] 写着我们学校的校长
[00:01:45 - 00:01:47] 我们学校的校长
[00:01:47 - 00:01:48] 后来就从我们学校
[00:01:48 - 00:01:49] 被调到哪里去了
[00:01:49 - 00:01:51] 被调到大连理工大学
[00:01:51 - 00:01:52] 然后的话
[00:01:52 - 00:01:54] 从大连理工大学又调到哪里去了
[00:01:54 - 00:01:55] 又调到了
[00:01:55 - 00:01:57] 现在咱们国家专利总局
[00:01:57 - 00:01:58] 所以说你现在如果说
[00:01:58 - 00:01:59] 你申请了一个专利
[00:01:59 - 00:02:00] 有个国家专利总局的局长
[00:02:00 - 00:02:02] 深长与局长
[00:02:02 - 00:02:04] 那是我们上大学的校长
[00:02:04 - 00:02:07] 他就是由咱们教育部来回调调调调
[00:02:07 - 00:02:09] 他是有什么咱们教育部来任命的
[00:02:09 - 00:02:10] 组织部来调任的
[00:02:10 - 00:02:10] 是这样的
[00:02:10 - 00:02:12] 但是有些学校
[00:02:12 - 00:02:15] 他的校长就不是教育部来任命的了
[00:02:15 - 00:02:16] 比如说一些
[00:02:16 - 00:02:19] 这个地级式的一些非RU非985
[00:02:19 - 00:02:20] 咱们也不举例子了
[00:02:20 - 00:02:21] 也不太好
[00:02:21 - 00:02:23] 那像有一些学校
[00:02:23 - 00:02:23] 他就是什么
[00:02:23 - 00:02:25] 他就是省属高校
[00:02:25 - 00:02:27] 甚至是什么世属高校
[00:02:27 - 00:02:28] 那这个时候
[00:02:28 - 00:02:30] 他的校长 党委书记 下来任命
[00:02:30 - 00:02:32] 当地的政府来任命
[00:02:32 - 00:02:33] 他不是教育部任命的
[00:02:33 - 00:02:35] 但实际上在上个世纪的八十年代
[00:02:35 - 00:02:38] 90年代初之前
[00:02:38 - 00:02:39] 有很多学校呢
[00:02:39 - 00:02:40] 他都是部委职属的
[00:02:40 - 00:02:42] 上面叫部委职属的呢
[00:02:42 - 00:02:44] 就是比如像铁道部
[00:02:44 - 00:02:46] 他就有几个职属学校
[00:02:46 - 00:02:50] 机械工业部就有几个职属学校
[00:02:50 - 00:02:52] 财政部就有几个职属学校
[00:02:52 - 00:02:53] 那大家想一想
[00:02:53 - 00:02:57] 像财政部职属的高校
[00:02:57 - 00:02:58] 这什么专业最好啊
[00:02:58 - 00:03:00] 财经内专业最好嘛 对吧
[00:03:00 - 00:03:02] 那机械部指数的高效
[00:03:02 - 00:03:03] 什么专业最好啊
[00:03:03 - 00:03:05] 哎 机械专业最好嘛 对吧
[00:03:05 - 00:03:07] 这一才就知道了
[00:03:07 - 00:03:10] 所以说今天我们就将带领大家
[00:03:10 - 00:03:13] 来了解一下那些曾经的
[00:03:13 - 00:03:14] 不及指数高效
[00:03:14 - 00:03:16] 因为这些学校现在都已经
[00:03:16 - 00:03:18] 大多数都化为地方了
[00:03:18 - 00:03:20] 那哪些学校现在仍然是
[00:03:20 - 00:03:22] 就是当年是不及指数高效呢
[00:03:22 - 00:03:25] 我们今天就带领大家来了解一下
[00:03:25 - 00:03:26] 首先我们来看这第一个
[00:03:26 - 00:03:28] 叫航空航天部
[00:03:28 - 00:03:30] 航空航天部制度高效
[00:03:30 - 00:03:31] 航空航天部制度高效呢
[00:03:31 - 00:03:32] 当年有这么几个
[00:03:32 - 00:03:34] 航空大等等等等等等
[00:03:34 - 00:03:35] 然后大家看到
[00:03:35 - 00:03:36] 这些续修非常明显的
[00:03:36 - 00:03:37] 是吧怎么样
[00:03:37 - 00:03:39] 有现代的985
[00:03:39 - 00:03:41] 有现代普通的211
[00:03:41 - 00:03:42] 还有什么
[00:03:42 - 00:03:43] 现代的双飞
[00:03:43 - 00:03:44] 咱们随便看一看
[00:03:44 - 00:03:46] 最好的这里边应该是这个
[00:03:47 - 00:03:48] 北京航空航天大学
[00:03:49 - 00:03:50] 这个学校是非常牛的
[00:03:50 - 00:03:51] 对不对
[00:03:51 - 00:03:52] 那你们当地如果说
[00:03:52 - 00:03:54] 高考上想考北航
[00:03:54 - 00:03:56] 可能得多少分
[00:03:56 - 00:03:58] 可能得650分甚至670
[00:03:58 - 00:03:58] 680
[00:03:58 - 00:03:59] 对吧
[00:03:59 - 00:04:00] 分就非常非常的高了
[00:04:00 - 00:04:02] 那么下面的你会发现
[00:04:02 - 00:04:03] 还有一些其他的学校
[00:04:03 - 00:04:05] 像南京航空航天大学
[00:04:05 - 00:04:06] 这个是221
[00:04:06 - 00:04:07] 然后这里边怎么样
[00:04:07 - 00:04:11] 还有刚沈阳航空航天大学
[00:04:11 - 00:04:12] 这个学校在哪里
[00:04:12 - 00:04:13] 在沈阳
[00:04:13 - 00:04:15] 那么其实大家就会发现
[00:04:15 - 00:04:16] 像这些学校
[00:04:16 - 00:04:20] 它为什么在那个地方
[00:04:20 - 00:04:23] 这个学校为什么在那个地方呢
[00:04:23 - 00:04:24] 其实一般都是因为什么
[00:04:24 - 00:04:25] 一般都是因为那个地方
[00:04:25 - 00:04:30] 或者那个城市有什么有相关的航空产业基地
[00:04:30 - 00:04:32] 比如说很多女后发现
[00:04:32 - 00:04:33] 这边很多东北的学校对吧
[00:04:33 - 00:04:36] 你看航空大原来的老工业基地
[00:04:36 - 00:04:38] 沈阳航空黄泉大学
[00:04:38 - 00:04:39] 它背靠的是什么
[00:04:39 - 00:04:43] 是背靠的一个公司叫做沈飞集团
[00:04:43 - 00:04:45] 沈飞集团
[00:04:45 - 00:04:47] 如果大家有兴趣的话
[00:04:47 - 00:04:47] 如果你们有兴趣的话
[00:04:47 - 00:04:49] 你们在各种搜索影像上
[00:04:49 - 00:04:51] 你去搜索一下沈飞集团
[00:04:51 - 00:04:53] 女后发现沈飞集团被称为什么
[00:04:53 - 00:04:57] 中國奸機集合戰鬥機的什麼製造中心
[00:04:57 - 00:04:59] 咱們中國很多奸機集合戰鬥機
[00:04:59 - 00:05:02] 都是在哪裡設計並生產出來的
[00:05:02 - 00:05:04] 都是在沈非集團
[00:05:04 - 00:05:06] 那麼沈非集團下面有一個什麼
[00:05:06 - 00:05:08] 叫沈陽航空航空間大學
[00:05:08 - 00:05:10] 那這個學校畢業的同學
[00:05:10 - 00:05:13] 大多數人畢業以後會去哪裡就業
[00:05:14 - 00:05:17] 肯定是沈非集團嘛對不對
[00:05:17 - 00:05:19] 那沈非集團會不會去北航
[00:05:19 - 00:05:21] 哈克公大這種學校來招聘啊
[00:05:21 - 00:05:25] 当然也会了 对吧 所以说你会发现
[00:05:25 - 00:05:28] 别人家的孩子考600多分 考了北航
[00:05:28 - 00:05:32] 你们家孩子考了45% 可能上了审航
[00:05:32 - 00:05:35] 毕业以后 你们家45%的孩子跟别人家
[00:05:35 - 00:05:39] 5、6%的孩子有可能上的是同一个单位
[00:05:39 - 00:05:42] 在同一个单位工作 甚至干的可能是一个
[00:05:42 - 00:05:44] 同一个工作岗位
[00:05:44 - 00:05:46] 所以说有些时候 我经常给大家讲课
[00:05:46 - 00:05:47] 我讲 我说为什么有的时候
[00:05:47 - 00:05:50] 你像那些复读生了 他去复读啊 为什么
[00:05:50 - 00:05:54] 因为他们没有尽早的认识张老师
[00:05:54 - 00:05:55] 认识我的话呢
[00:05:55 - 00:05:57] 他可能就没有必要去复读了
[00:05:57 - 00:06:00] 像这样的学校都是属于刚才我们之前讲过的
[00:06:00 - 00:06:03] 哪一种学校叫有特点的学校
[00:06:03 - 00:06:04] 这种学校非常明显的
[00:06:04 - 00:06:05] 对不对
[00:06:05 - 00:06:08] 他把他的特点就写在了这个学校的名字上
[00:06:08 - 00:06:11] 他最好的专业就写在了这个学校的名字上
[00:06:11 - 00:06:13] 而像航空航天部之属的高校
[00:06:13 - 00:06:14] 什么专业最好
[00:06:14 - 00:06:16] 航空航天内专业最好
[00:06:16 - 00:06:18] 而且大家要学会什么呢
[00:06:18 - 00:06:20] 举一反三
[00:06:20 - 00:06:21] 我们之前在给大家讲课的时候
[00:06:21 - 00:06:23] 曾经讲过一个点叫什么
[00:06:23 - 00:06:26] 叫做如果说这个时候是一个很有特点的学校
[00:06:26 - 00:06:30] 它的相关专业也会非常不错
[00:06:30 - 00:06:31] 大家想一想
[00:06:31 - 00:06:32] 一个航空航天部之所高效
[00:06:32 - 00:06:34] 它航空航天内专业最好的话
[00:06:34 - 00:06:37] 还有什么专业一定不会差
[00:06:38 - 00:06:39] 除了航空航天内专业比较好
[00:06:39 - 00:06:41] 还有什么专业一定不会差
