BV号：BV1vx411z7y9
标题：BV1vx411z7y9
链接：https://www.bilibili.com/video/BV1vx411z7y9
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-04-04 12:41:21

[00:00:05 - 00:00:06] 啊? 干啥呀?
[00:00:06 - 00:00:10] 是呀!
[00:01:33 - 00:01:35] 南京大学水利系独立出来
[00:01:35 - 00:01:37] 组建了现在的河海大学
[00:01:37 - 00:01:39] 南京大学食品系独立出来
[00:01:39 - 00:01:41] 组建了现在的江南大学
[00:01:41 - 00:01:43] 南京大学农学院南京农大
[00:01:43 - 00:01:44] 南京大学林学院南京林大
[00:01:44 - 00:01:47] 南京大学气象系南京气象学院
[00:01:47 - 00:01:49] 南京大学经济系给了复旦
[00:01:49 - 00:01:50] 政法系奔到上海
[00:01:50 - 00:01:53] 组建了现在的上海华东政法大学
[00:01:53 - 00:01:54] 剩下的南大
[00:01:55 - 00:01:56] 才能这样
[00:01:56 - 00:01:57] 还是9850了吧
[00:01:57 - 00:02:00] 而且南大不是没有机会恢复到往日的辉煌的
[00:02:00 - 00:02:02] 在上个世纪的98年99年
[00:02:02 - 00:02:05] 南京大学和东南大学两学上次大展内合併
[00:02:05 - 00:02:06] 梁销差点没合并
[00:02:06 - 00:02:08] 他俩合并的想法很简单知道吧
[00:02:08 - 00:02:09] 咋俩一合并
[00:02:09 - 00:02:10] 什么秦华北大人大
[00:02:10 - 00:02:11] 全辈子还在叫下
[00:02:11 - 00:02:12] 对不对
[00:02:12 - 00:02:13] 他俩合并吧
[00:02:13 - 00:02:15] 合并班在中国排名第一的学校
[00:02:15 - 00:02:15] 东南大学一庭
[00:02:15 - 00:02:17] 好好啊好好啊对吧
[00:02:17 - 00:02:19] 梁销啥都商量完了
[00:02:19 - 00:02:20] 最后没合并成功
[00:02:20 - 00:02:21] 为什么呢
[00:02:21 - 00:02:24] 叫什么名字没商量成功
[00:02:24 - 00:02:25] 叫什么名字呢
[00:02:25 - 00:02:26] 梁销都想保留自己的特色
[00:02:26 - 00:02:27] 南大学长比较贼意
[00:02:27 - 00:02:29] 他就出了个主意你知道吧
[00:02:29 - 00:02:30] 找到东南大学
[00:02:30 - 00:02:30] 说要不这样吧
[00:02:30 - 00:02:31] 咱们那时候
[00:02:31 - 00:02:32] 都想保留自己的特色嘛
[00:02:32 - 00:02:32] 对不对
[00:02:32 - 00:02:34] 这样 你们说出一个字 我们说出一个字
[00:02:34 - 00:02:36] 你们出东南大学的男
[00:02:36 - 00:02:37] 我们出南京大学的经
[00:02:37 - 00:02:38] 咱们就要南京大学吧
[00:02:39 - 00:02:40] 东南大学经
[00:02:41 - 00:02:42] 你他们少跟我玩玩这游戏
[00:02:43 - 00:02:44] 对吧 你要这么玩
[00:02:44 - 00:02:45] 我们出东南大学的都
[00:02:45 - 00:02:46] 你们出南京大学的男
[00:02:46 - 00:02:47] 咱们就都拿大学课了
[00:02:47 - 00:02:48] 拿大学我还不看呢 对吧
[00:02:48 - 00:02:50] 花来两个消 一商量
[00:02:50 - 00:02:51] 说要不这样吧
[00:02:51 - 00:02:52] 你叫那个不行 叫那个也不行
[00:02:52 - 00:02:53] 咱们这样 咱们再江苏
[00:02:53 - 00:02:55] 咱们改名叫江苏大学
[00:02:55 - 00:02:57] 江苏大学说 那我叫啥
[00:02:58 - 00:02:59] 有一个江苏大学
[00:02:59 - 00:03:01] 而且你还没法合并他
[00:03:01 - 00:03:03] 为什么 她在镇讲还不在南京
[00:03:03 - 00:03:04] 后来两校又一上了说要不这样
[00:03:04 - 00:03:05] 咱们在
[00:03:05 - 00:03:07] 咱们叫四九年之前的名字
[00:03:07 - 00:03:09] 四九年之前这个学校叫中央大学
[00:03:09 - 00:03:10] 报到教育部
[00:03:10 - 00:03:11] 教育部补干
[00:03:11 - 00:03:12] 为什么呢
[00:03:12 - 00:03:12] 你他们不在北京
[00:03:12 - 00:03:14] 你叫什么中央大学
[00:03:14 - 00:03:16] 共产党同中央在北京
[00:03:16 - 00:03:17] 你能是哪个党的中央
[00:03:18 - 00:03:19] 你俩别他们合并了
[00:03:19 - 00:03:19] 为什么
[00:03:19 - 00:03:20] 你俩也合并
[00:03:20 - 00:03:21] 后边的事很多
[00:03:21 - 00:03:22] 你比如你南大和东南合并了
[00:03:22 - 00:03:24] 你说清华和北大要不要合并
[00:03:25 - 00:03:26] 他们合并以后事动作
[00:03:26 - 00:03:26] 对吧
[00:03:26 - 00:03:28] 你叫什么名字
[00:03:28 - 00:03:29] 北京 清北
[00:03:29 - 00:03:30] 大清
[00:03:30 - 00:03:31] 你打清王啊
[00:03:31 - 00:03:33] 你不能瞎叫名字的
[00:03:33 - 00:03:33] 对不对
[00:03:34 - 00:03:35] 而且
[00:03:36 - 00:03:37] 而且你清华北大一合并
[00:03:37 - 00:03:39] 就会供你另外一个学生过来合并
[00:03:39 - 00:03:39] 哪个学生
[00:03:39 - 00:03:40] 南开
[00:03:40 - 00:03:41] 为什么呢
[00:03:41 - 00:03:43] 历史上清华北的南开曾经是一个学生
[00:03:44 - 00:03:45] 西南联合大学
[00:03:45 - 00:03:46] 三七年柯人站中
[00:03:46 - 00:03:48] 清华北的南开合并成一个叫西南联大
[00:03:48 - 00:03:50] 刚开始搬到了长沙
[00:03:50 - 00:03:51] 叫长沙临时大学
[00:03:51 - 00:03:52] 后来根本都长沙
[00:03:52 - 00:03:54] 遭到日军的洪大发现长沙不安全
[00:03:54 - 00:03:56] 又搬到了昆明叫西南联合大学
[00:03:56 - 00:03:57] 这是个历史
[00:03:57 - 00:03:59] 当然这个历史这么讲没什么意思了
[00:03:59 - 00:04:00] 我给你们讲有意思的地方
[00:04:00 - 00:04:01] 你们知道当年这个学校
[00:04:01 - 00:04:04] 怎么从城朝搬到昆明区的吗
[00:04:04 - 00:04:05] 他们是他们走过去的
[00:04:06 - 00:04:07] 知道吗
[00:04:07 - 00:04:08] 你现在从城朝过
[00:04:08 - 00:04:09] 走到昆明你试试看
[00:04:09 - 00:04:11] 你不死半路上老太太不服
[00:04:11 - 00:04:12] 我就服你 知道吧
[00:04:12 - 00:04:13] 当年是11个教授
[00:04:13 - 00:04:15] 带了600多个学生走到昆明
[00:04:15 - 00:04:17] 半路上一个都没死
[00:04:17 - 00:04:18] 牛逼吧
[00:04:18 - 00:04:19] 这还不是最牛逼的
[00:04:19 - 00:04:20] 搬家最牛逼的
[00:04:20 - 00:04:23] 还得看亚洲的南京大学
[00:04:23 - 00:04:24] 亚洲第一学校
[00:04:24 - 00:04:25] 搬家都跟别人不一样
[00:04:25 - 00:04:26] 你看现在离开大学搬家
[00:04:26 - 00:04:27] 不就搬个人
[00:04:27 - 00:04:28] 搬个实验器材嘛 对吧
[00:04:28 - 00:04:31] 南大牛逼 他不但人过去了 实验器才过去了
[00:04:31 - 00:04:33] 最牛逼的是 农学院的动物都过去了
[00:04:34 - 00:04:38] 南大农学院的鸡牙鹅狗猪全都帮过去了 知道吧
[00:04:38 - 00:04:40] 最牛逼的是 他们是赶过去的
[00:04:41 - 00:04:42] 知道吧
[00:04:46 - 00:04:49] 连个毛都没给鬼的剩下 知道吧
[00:04:49 - 00:04:51] 你说你不剩就算了吧
[00:04:51 - 00:04:52] 死的也不给剩 知道吧
[00:04:52 - 00:04:55] 南大医学部的实体也帮过去了
[00:04:56 - 00:04:57] 看人家那期 业南京大学
[00:04:57 - 00:04:59] 那夫人马链抛了24具实体
[00:04:59 - 00:05:01] 搬到了四川去共解剖用
[00:05:01 - 00:05:04] 結果醫學院的學生到四川一看屍體都嚇傻了你知道吧
[00:05:04 - 00:05:06] 我的南京解剖的是你
[00:05:06 - 00:05:08] 我到四川解剖的居然還是你
[00:05:08 - 00:05:10] 你說那個年代缺屍體嗎
[00:05:10 - 00:05:12] 你搬家搬屍體幹嘛呀對吧
[00:05:12 - 00:05:14] 包括現在山海交通大學
[00:05:14 - 00:05:15] 山海交通大學這個時候更牛逼
[00:05:15 - 00:05:17] 它是以什麼為駐城的
[00:05:17 - 00:05:19] 上訪上交大上訪是最厲害的知道吧
[00:05:19 - 00:05:22] 中國歷史上最牛逼的上訪誰幹的上交大幹的
[00:05:22 - 00:05:23] 1947年當時的國民政府
[00:05:23 - 00:05:25] 削減上交大教育經費
[00:05:25 - 00:05:27] 上交大一聽你他們不給錢
[00:05:27 - 00:05:29] 不給錢能行嗎
[00:05:29 - 00:05:29] 舉行什麼
[00:05:29 - 00:05:31] 霸客 上訪
[00:05:31 - 00:05:34] 三清明大學生集體霸客要光南京上訪
[00:05:34 - 00:05:36] 南京已經霸佔上壞了你知道吧
[00:05:36 - 00:05:37] 我說你們可不能來啊
[00:05:37 - 00:05:38] 只有你們上訪成功了
[00:05:38 - 00:05:40] 那下面的學生不得多來上訪來啊對吧
[00:05:40 - 00:05:41] 可不能讓你們來
[00:05:41 - 00:05:42] 怎麼辦呢
[00:05:42 - 00:05:43] 我阻撓你上訪
[00:05:43 - 00:05:44] 知道阻撓的辦法是什麼嗎
[00:05:45 - 00:05:46] 我不賣你火車票
[00:05:47 - 00:05:48] 你上海當南京
[00:05:48 - 00:05:50] 你怎麼牛逼你走過來啊
[00:05:51 - 00:05:52] 上交的同學一聽
[00:05:52 - 00:05:54] 走過來那是我們的風格嗎
[00:05:54 - 00:05:55] 我們是上交大
[00:05:55 - 00:05:57] 我們是有機械系的學校
[00:05:57 - 00:05:58] 自己跑到火車站
[00:05:58 - 00:06:00] 偷了一个车头 偷了27个车皮
[00:06:00 - 00:06:02] 自己组装合设 自己开到南京去了
[00:06:10 - 00:06:12] 这个火车 光是光是光是光是开到了苏州
[00:06:12 - 00:06:13] 南京直到老 哇操
[00:06:15 - 00:06:17] 自己开火车过来的
[00:06:17 - 00:06:19] 太他们惨暴了这也对吧
[00:06:20 - 00:06:21] 这他怎么办呀
[00:06:21 - 00:06:22] 赶紧开会研究
[00:06:22 - 00:06:23] 下面的一个小兵
[00:06:23 - 00:06:23] 出了一个办法
[00:06:23 - 00:06:26] 他说 你看他开火车不得有铁路吗
[00:06:26 - 00:06:27] 咱把铁路给他拆了
[00:06:27 - 00:06:29] 他不就过不来了吗
[00:06:29 - 00:06:29] 上家的同学
[00:06:29 - 00:06:31] 当他说你看 哇操
[00:06:31 - 00:06:32] 这能难得我们吗
[00:06:32 - 00:06:34] 我们是有铁路系的学校啊
[00:06:34 - 00:06:36] 干嘛把解都重新铺上都开过去了
[00:06:36 - 00:06:37] 知道吧
[00:06:37 - 00:06:38] 这个故事告诉我们
[00:06:38 - 00:06:40] 惹谁都不要个知识分子
