BV号：BV1qt4y1177Z
标题：BV1qt4y1177Z
链接：https://www.bilibili.com/video/BV1qt4y1177Z
识别语言：zh
语言置信度：1
分段数：192
生成时间：2026-04-04 02:17:43

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:02:08 - 00:02:11] 跟物理有关系的物理能报的
[00:02:11 - 00:02:12] 基本上也就是
[00:02:13 - 00:02:13] 差不灵
[00:02:13 - 00:02:15] 也就是差不灵的
[00:02:15 - 00:02:16] 你只要选了物理
[00:02:16 - 00:02:18] 基本上你能上本科的几率
[00:02:18 - 00:02:19] 就会相对稍微大一些
[00:02:19 - 00:02:21] 我们再看一下山东省
[00:02:21 - 00:02:24] 那么这是我们根据山东省
[00:02:24 - 00:02:26] 2019年
[00:02:26 - 00:02:28] 2019年高考的时候
[00:02:28 - 00:02:31] 所有学校所有专业
[00:02:32 - 00:02:33] 录取的总人数
[00:02:33 - 00:02:35] 2019年在山东省
[00:02:35 - 00:02:38] 本科是20万3959人
[00:02:38 - 00:02:41] 这是我们根据各个学校出台的招生计划
[00:02:41 - 00:02:43] 我们得出的这样一个数据
[00:02:43 - 00:02:46] 那么现在新高考出现了
[00:02:46 - 00:02:47] 新高考出现以后的话
[00:02:47 - 00:02:49] 各个学校各个专业怎么样
[00:02:49 - 00:02:52] 就会出选科要求
[00:02:52 - 00:02:57] 其中这20万3959人
[00:02:57 - 00:03:02] 其中有多少人数必须选物理你才能报的吗
[00:03:03 - 00:03:05] 7万2977人
[00:03:06 - 00:03:07] 你只有选了物理
[00:03:07 - 00:03:11] 你才能报这7万多个名额
[00:03:11 - 00:03:14] 才能报这个7万多个名额
[00:03:14 - 00:03:15] 然后大家再看下面一个东西
[00:03:16 - 00:03:17] 我们不限的
[00:03:18 - 00:03:20] 就是你选什么其他无所谓
[00:03:20 - 00:03:21] 因为你在选课的时候
[00:03:21 - 00:03:22] 你不可能只选一个物理
[00:03:22 - 00:03:23] 对不对
[00:03:23 - 00:03:24] 你可能是选物理
[00:03:24 - 00:03:24] 一般选物理的
[00:03:24 - 00:03:25] 一般都会选化学
[00:03:25 - 00:03:26] 对不对
[00:03:26 - 00:03:27] 可能还会再选一个文科
[00:03:27 - 00:03:28] 那我们假如说
[00:03:28 - 00:03:29] 有必选物理的是7.2
[00:03:29 - 00:03:31] 必选化学的是16000
[00:03:31 - 00:03:31] 对吧
[00:03:31 - 00:03:33] 我们再加上随意选的
[00:03:35 - 00:03:36] 大家看一看
[00:03:36 - 00:03:36] 7.1万多
[00:03:36 - 00:03:38] 16000多
[00:03:38 - 00:03:39] 7.1万多
[00:03:39 - 00:03:40] 代表着什么呢
[00:03:40 - 00:03:40] 这是7.1万
[00:03:40 - 00:03:41] 7.1万
[00:03:41 - 00:03:42] 这就是15万
[00:03:42 - 00:03:43] 16万加起来
[00:03:43 - 00:03:44] 将近16万
[00:03:44 - 00:03:46] 一共录取20万考生
[00:03:46 - 00:03:47] 一共录取20万考生
[00:03:47 - 00:03:49] 如果你是这种选法的话
[00:03:49 - 00:03:49] 怎么样
[00:03:49 - 00:03:50] 你就什么
[00:03:50 - 00:03:52] 將近16萬
[00:03:52 - 00:03:53] 這邊錄了16萬
[00:03:53 - 00:03:55] 一共錄20萬
[00:03:55 - 00:03:57] 這裡邊你就錄了16萬
[00:03:57 - 00:04:01] 也就是說你上本科的機率會相當大
[00:04:01 - 00:04:03] 會相當大
[00:04:03 - 00:04:05] 也就是說如果說你最後你排名
[00:04:05 - 00:04:06] 你排排排排
[00:04:06 - 00:04:09] 你最後排到全省第15萬位
[00:04:09 - 00:04:13] 你說老實我排全省第15萬1000名
[00:04:13 - 00:04:15] 我排全省第15萬1000名
[00:04:15 - 00:04:17] 如果說你不選物理
[00:04:17 - 00:04:20] 你排全省第15萬1000名你就廢了
[00:04:20 - 00:04:22] 因为他一共录多少人
[00:04:22 - 00:04:23] 我们20万去掉7万多
[00:04:23 - 00:04:25] 那么如果说你不选物理的话
[00:04:25 - 00:04:26] 最多你能录到13万
[00:04:27 - 00:04:29] 最多你能录到13万
[00:04:29 - 00:04:30] 假如说你高考的时候
[00:04:30 - 00:04:31] 你考到13万
[00:04:32 - 00:04:33] 你要是没有选物理
[00:04:33 - 00:04:34] 你很可能你就废了
[00:04:35 - 00:04:35] 没学上
[00:04:35 - 00:04:36] 你就上庄科
[00:04:36 - 00:04:38] 但是你只要选了物理
[00:04:38 - 00:04:40] 你哪怕你考到全省第16万
[00:04:41 - 00:04:43] 马上跑你考到全省第16万
[00:04:43 - 00:04:45] 你都有机会被录取
[00:04:45 - 00:04:46] 你都有机会被录取
[00:04:46 - 00:04:49] 所以说大家你会发现什么
[00:04:49 - 00:04:49] 选了物理以后的话
[00:04:49 - 00:04:53] 你被录取的几率真的是相当大
[00:04:53 - 00:04:55] 真的是相当大
[00:04:55 - 00:04:56] 所以说大家对于物理这个学科
[00:04:56 - 00:04:57] 到底要不要选
[00:04:58 - 00:05:00] 我们后面再看一个他的一个好说
[00:05:00 - 00:05:03] 就是不管是21985还是普通高校
[00:05:03 - 00:05:04] 我们看到这些数据
[00:05:04 - 00:05:05] 也是浙江省
[00:05:05 - 00:05:07] 最后说为了劝大家选物理
[00:05:07 - 00:05:08] 他特意出台了这么一个
[00:05:09 - 00:05:11] 一个弱干意见
[00:05:11 - 00:05:12] 那么他中间也会告诉你
[00:05:12 - 00:05:13] 第一届的录取考生
[00:05:14 - 00:05:16] 选考物理的考生占59%
[00:05:16 - 00:05:20] 在98521高校入学的考生当中
[00:05:20 - 00:05:22] 选考物理的同学达到74%
[00:05:22 - 00:05:27] 特别是选考物理考生本科入学率为72%
[00:05:27 - 00:05:29] 在浙江省是72%
[00:05:29 - 00:05:31] 你只要选了物理的同学
[00:05:31 - 00:05:34] 72%的同学你都能上本科
[00:05:34 - 00:05:37] 这个是远远的要高于
[00:05:37 - 00:05:38] 你不选物理的考生的
[00:05:38 - 00:05:41] 山东省大家看到我们刚才的数据也是一样的
[00:05:41 - 00:05:42] 也是一样的
[00:05:42 - 00:05:45] 那么从整个比例上来讲的话
[00:05:45 - 00:05:46] 确实就是你选物理的话
[00:05:46 - 00:05:49] 你背录取的机会会更大一些
[00:05:49 - 00:05:49] 那有的人说
[00:05:49 - 00:05:51] 那我现在到底要不要选物理
[00:05:51 - 00:05:53] 确实我物理可能学的真的不咋地呀
[00:05:54 - 00:05:56] 那我到底要不要去选物理
[00:05:57 - 00:05:58] 其实啊
[00:05:58 - 00:06:00] 我只想给大家一个非常简单的建议
[00:06:00 - 00:06:01] 就是
[00:06:02 - 00:06:03] 你到底要不要选物理
[00:06:03 - 00:06:04] 或者到不要选其他科目
[00:06:04 - 00:06:05] 一定要根据什么的
