BV号：BV1sFHDeaE1D
标题：BV1sFHDeaE1D
链接：https://www.bilibili.com/video/BV1sFHDeaE1D
识别语言：zh
语言置信度：1
分段数：108
生成时间：2026-04-03 08:21:42

[00:00:00 - 00:00:05] 我孩子今年被冲到了中央財經大學的管理科學
[00:02:22 - 00:02:26] 然后你再看一看自己具备具备这样的能力和条件
[00:02:26 - 00:02:27] 如果不具备的话
[00:02:27 - 00:02:28] 该往计算机方向靠
[00:02:28 - 00:02:29] 往计算机方向靠
[00:02:29 - 00:02:32] 它这个考研你能考计算机专业
[00:02:32 - 00:02:32] 可以考
[00:02:32 - 00:02:34] 来 我们直播间
[00:02:34 - 00:02:36] 被孩子们被录到计算机类
[00:02:36 - 00:02:38] 或者跟计算机相关的专业的家长来记住
[00:02:38 - 00:02:39] 下面这四门课
[00:02:39 - 00:02:41] 以下这四门课是计算机专业
[00:02:41 - 00:02:43] 最最重要的四门专业课
[00:02:43 - 00:02:45] 分别叫做计算机组成员里
[00:02:45 - 00:02:47] 计算机网络操作系统和数据结构
[00:02:47 - 00:02:49] 其中这四门课当中
[00:02:49 - 00:02:51] 你非要找一个最重要的是第四门课
[00:02:51 - 00:02:53] 叫做数据结构与算法
[00:02:53 - 00:02:55] 那门课在大学当中叫数据结构与算法
[00:02:55 - 00:02:58] 就是大多数的院秀计算机专业考研的话
[00:02:58 - 00:03:01] 考的是这四门课捏合成的一门课
[00:03:01 - 00:03:02] 叫408计算机综合
[00:03:02 - 00:03:05] 然后如果说这个学校不考计算机同考的话
[00:03:05 - 00:03:07] 它只考一门专业课的话
[00:03:07 - 00:03:08] 它会考数据结构与算法
[00:03:08 - 00:03:11] 所以说这四门课很重要
[00:03:11 - 00:03:14] 然后这四门课当中最重要的是数据结构与算法
[00:03:14 - 00:03:15] 听明白了吗
