BV号：BV1qE411X7e9
标题：BV1qE411X7e9
链接：https://www.bilibili.com/video/BV1qE411X7e9
识别语言：zh
语言置信度：1
分段数：407
生成时间：2026-04-04 06:49:13

[00:00:02 - 00:00:03] 十大威胁机场
[00:02:28 - 00:02:29] 只有8公里
[00:02:29 - 00:02:30] 8公里
[00:02:30 - 00:02:30] 对
[00:02:30 - 00:02:31] 我这去是口界
[00:02:31 - 00:02:32] 你在下降的过程中
[00:02:32 - 00:02:35] 你会看到飞机就是飞机里房子特别特别近了已经
[00:02:36 - 00:02:37] 我的天啊
[00:02:37 - 00:02:41] 那那那对飞行员价值就是如果他他要是就很有可能会
[00:02:42 - 00:02:43] 会吗会吗
[00:02:43 - 00:02:44] 呃
[00:02:44 - 00:02:47] 你也是要非常注意的对吧
[00:02:47 - 00:02:47] 那还有呢
[00:02:47 - 00:02:50] 还有一个就是日本的大板机场大板机场
[00:02:50 - 00:02:50] 对
[00:02:50 - 00:02:52] 他是在海边
[00:02:52 - 00:02:52] 哦对
[00:02:53 - 00:02:55] 前一句他好像是那个大板地震是吧
[00:02:55 - 00:02:56] 还是什么海啸什么的
[00:02:56 - 00:02:58] 然后的话就是那个机场好像被烟了
[00:02:58 - 00:02:59] 或者是对
[00:02:59 - 00:03:01] 可能飞机刚一起飞机场就没了
[00:03:01 - 00:03:03] 那个机场它是舰带
[00:03:03 - 00:03:03] 舰带海
[00:03:03 - 00:03:05] 它是舔出来的机场
[00:03:05 - 00:03:06] 它应该是舔海舰出来的
[00:03:07 - 00:03:10] 这是日本的一个修机场的光荣船船
[00:03:10 - 00:03:12] 它有很多机场都是舔海舔出来的
[00:03:12 - 00:03:14] 比如说苹果屋的中部机场
[00:03:15 - 00:03:16] 都是舔海舔出来的
[00:03:16 - 00:03:18] 舔海出来的这种机场
[00:03:18 - 00:03:19] 跟我们平时那种
[00:03:19 - 00:03:21] 陆地上舔的那种机场
[00:03:21 - 00:03:22] 那在解飞江陆的时候
[00:03:22 - 00:03:23] 有什么不一样的地方吗
[00:03:23 - 00:03:26] 仅仅是因为海风可能就是吹的比较
[00:03:26 - 00:03:27] 比较比较大嘛
[00:03:27 - 00:03:29] 那海风是相当大呀
[00:03:29 - 00:03:29] 是吧
[00:03:29 - 00:03:31] 我们经常会遇到颠波
[00:03:31 - 00:03:33] 但我不知道飞行技术这边会有什么影响
[00:03:34 - 00:03:35] 其实说实话
[00:03:35 - 00:03:37] 我飞过靠海的风比较大的机场
[00:03:37 - 00:03:39] 因为我老去巴哈马那边
[00:03:39 - 00:03:40] 基本都是一个岛上
[00:03:40 - 00:03:44] 只有一个跑道站了大概三分之一岛的面积
[00:03:44 - 00:03:47] 然后另外三分之二就是一个酒店
[00:03:47 - 00:03:49] 这种地方落的时候
[00:03:49 - 00:03:50] 它的风虽然大
[00:03:50 - 00:03:52] 但是比较横定
[00:03:52 - 00:03:54] 它不会说突然有巅峰
[00:03:54 - 00:03:57] 所以我觉得落起来还是比较OK的
[00:03:57 - 00:03:59] 那你觉得你飞过的机场
[00:03:59 - 00:04:01] 刚才我们说十大辈子机场
[00:04:01 - 00:04:02] 这个李老师飞过了两
[00:04:02 - 00:04:03] 对吧
[00:04:03 - 00:04:05] 你飞过哪些比较危险的机场
[00:04:05 - 00:04:07] 我还特意看了一下网上的那个list
[00:04:07 - 00:04:10] 然后我特意去打卡了一个地儿
[00:04:10 - 00:04:10] 啊
[00:04:10 - 00:04:11] 那个地儿
[00:04:11 - 00:04:12] 你是特意打卡去的
[00:04:12 - 00:04:14] 我是特意特别想去
[00:04:14 - 00:04:15] 你这个人
[00:04:15 - 00:04:16] 哎呦
[00:04:16 - 00:04:17] 那个是位于加勒比
[00:04:17 - 00:04:20] 加勒比海岛当中的一个叫
[00:04:20 - 00:04:22] 圣巴茨的一个地方
[00:04:22 - 00:04:23] 圣巴茨
[00:04:23 - 00:04:23] 那个地方
[00:04:23 - 00:04:26] 他的机场有一个特点
[00:04:26 - 00:04:26] 就是
[00:04:26 - 00:04:28] 他是一条跑道
[00:04:28 - 00:04:30] 跑道的两边是
[00:04:30 - 00:04:31] 我先说一边
[00:04:31 - 00:04:32] 一边是山
[00:04:32 - 00:04:34] 然后山的中间有一个环岛
[00:04:34 - 00:04:35] 是走车的
[00:04:35 - 00:04:37] 平时正常走车的
[00:04:37 - 00:04:40] 那么你从这一侧降落的时候
[00:04:40 - 00:04:44] 会在环岛上空也做极米高的地方掠过
[00:04:44 - 00:04:47] 当然机场是飞不了民航科技的
[00:04:47 - 00:04:48] 都是小飞机
[00:04:48 - 00:04:49] 然后它是一个山坡
[00:04:49 - 00:04:53] 你就得顺着山坡的坡度快速下降
[00:04:53 - 00:04:56] 这样你才能落到跑道头上
[00:04:56 - 00:04:57] 否则的话
[00:04:57 - 00:04:58] 如果你稍有犹豫
[00:04:58 - 00:04:59] 落得跑到一半
[00:04:59 - 00:05:00] 那么就杀不住车
[00:05:00 - 00:05:01] 就会撞
[00:05:01 - 00:05:04] 就是就会冲到前面的沙灿上
[00:05:04 - 00:05:05] 甚至是海里
[00:05:05 - 00:05:06] 有
[00:05:06 - 00:05:07] 另一侧降落更是
[00:05:07 - 00:05:08] 另一侧降落呢
[00:05:08 - 00:05:10] 因为这一侧我刚说的是山
[00:05:10 - 00:05:13] 那么那边有一个酒店特别有名的
[00:05:13 - 00:05:14] 那个我们飞行员
[00:05:14 - 00:05:16] 会把它当做一个报告点
[00:05:16 - 00:05:17] 如果过了那个点
[00:05:17 - 00:05:19] 你必须就要决定
[00:05:19 - 00:05:20] 如果是落的话
[00:05:20 - 00:05:22] 就就是要落
[00:05:22 - 00:05:24] 如果是想复飞
[00:05:24 - 00:05:25] 必须在那个点之前复飞
[00:05:25 - 00:05:26] 否则的话
[00:05:26 - 00:05:27] 如果你过了那一点
[00:05:27 - 00:05:29] 突然想说准备复飞
[00:05:29 - 00:05:31] 那最后等待你了
[00:05:31 - 00:05:33] 就是前面的这个小山
[00:05:33 - 00:05:35] 你这么一说我发现的
[00:05:35 - 00:05:37] 眼见那是没办法
[00:05:37 - 00:05:38] 对不对
[00:05:38 - 00:05:40] 你这是为了炫技去了呀
[00:05:40 - 00:05:42] 你说这半天就那么难落
[00:05:42 - 00:05:43] 就是我落了呗就是
[00:05:44 - 00:05:45] 会不会今天之后
[00:05:45 - 00:05:48] 他把其他的几个全都去飞了一遍
[00:05:48 - 00:05:49] 真的有可能
[00:05:49 - 00:05:50] 那有没有机场
[00:05:50 - 00:05:51] 就是说像
[00:05:51 - 00:05:52] 你看我们高速
[00:05:52 - 00:05:54] 开高速的时候有那种减速带
[00:05:54 - 00:05:55] 就是有趴那种大车
[00:05:55 - 00:05:56] 他下坡
[00:05:56 - 00:05:57] 他惯性比较大
[00:05:57 - 00:05:58] 然后的话呢
[00:05:58 - 00:06:01] 有那种就是他下了破语或者说有那减速的就是一个擅破
[00:06:01 - 00:06:02] 那个大车就无上去以后的话
[00:06:02 - 00:06:03] 慢慢减速
[00:06:03 - 00:06:04] 然后再下来
[00:06:04 - 00:06:04] 然后再回来
[00:06:04 - 00:06:05] 有机场是
[00:06:05 - 00:06:06] 你还真说的太对了
[00:06:06 - 00:06:08] 那个法国有一个
[00:06:08 - 00:06:09] 银行客机去不了是吗
[00:06:09 - 00:06:09] 对
[00:06:11 - 00:06:13] 那个这种机场
[00:06:13 - 00:06:13] 银行客机
[00:06:13 - 00:06:14] 好吧好吧
[00:06:14 - 00:06:15] 你一小时时间
[00:06:15 - 00:06:16] 我往上升级体验就不见了
[00:06:16 - 00:06:17] 可以可以
[00:06:18 - 00:06:19] 那个还是
[00:06:19 - 00:06:20] 您继续说您这一段
[00:06:20 - 00:06:21] 这个
[00:06:21 - 00:06:21] 看
[00:06:21 - 00:06:21] 不行
[00:06:21 - 00:06:22] 那个不打
[00:06:22 - 00:06:23] 不查你了
[00:06:23 - 00:06:23] 嗯
[00:06:26 - 00:06:30] 它是位于法国的一个滑雪圣地
[00:06:30 - 00:06:31] 就在山间
[00:06:31 - 00:06:35] 然后这个机场跑道也出现在零七的电影里
[00:06:35 - 00:06:37] 米尔斯布斯南主演的
[00:06:37 - 00:06:40] 当时的情节就是坏人把飞机发动了以后
[00:06:40 - 00:06:41] 飞机里面没有人
[00:06:41 - 00:06:44] 就让飞机沿着跑道站滑下去
[00:06:44 - 00:06:48] 就想把它最后逃走的机会给消灭掉
[00:06:48 - 00:06:49] 没错
[00:06:49 - 00:06:52] 但是它就是从悬崖上跑到头
[00:06:52 - 00:06:53] 就是悬崖跳下去
[00:06:53 - 00:06:55] 钻到这个飞机里面把飞机拉起来
[00:06:55 - 00:06:56] 有这么一个情节
[00:06:56 - 00:06:59] 实际上它是一个大下坡的一个跑道
[00:06:59 - 00:07:01] 所以起飞的时候是在这个坡上
[00:07:01 - 00:07:02] 顺着坡
[00:07:02 - 00:07:03] 对 往下冲的
[00:07:03 - 00:07:04] 因为前面就是悬崖了
[00:07:04 - 00:07:05] 对
[00:07:05 - 00:07:07] 降落的时候是从另一侧来
[00:07:07 - 00:07:09] 然后对着这个上坡
[00:07:09 - 00:07:10] 这样去降落
[00:07:11 - 00:07:13] 这样的话减速就会非常的快
[00:07:13 - 00:07:15] 你知道你说这个东西我就想起了什么
[00:07:15 - 00:07:17] 我就想起了就是二战期间
[00:07:17 - 00:07:19] 美国第一次轰炸东京的时候
[00:07:19 - 00:07:22] 它在航母的甲板上开轰炸机
[00:07:22 - 00:07:24] 然后的话如果说它要是在那个甲板
[00:07:24 - 00:07:27] 他起飞拉不上来就丢海里
[00:07:27 - 00:07:27] 哎呦
[00:07:27 - 00:07:29] 这个需要多大的勇气啊
[00:07:29 - 00:07:32] 真是你这个你将来会不会去飞下这个
[00:07:32 - 00:07:32] 跑到
[00:07:32 - 00:07:33] 我特别想去
[00:07:33 - 00:07:35] 哎呀你看我就说嘛
[00:07:35 - 00:07:37] 你看有些人是被迫飞这种危险机场
[00:07:37 - 00:07:39] 有些人是飞的话就是为了选技去的
[00:07:39 - 00:07:42] 哎那你们像如果说遇到这种
[00:07:42 - 00:07:45] 飞行的当中有一种像危险的情况
[00:07:45 - 00:07:47] 你们遇没遇到过就是最危险的是
[00:07:47 - 00:07:49] 什么样的情况
[00:07:49 - 00:07:50] 比方说我们飞到上海了
[00:07:50 - 00:07:54] 然后这个飞机在落地的时候
[00:07:54 - 00:07:55] 被火球打中了
[00:07:55 - 00:07:56] 这个我不专业
[00:07:56 - 00:07:58] 为什么会被火球打中
[00:07:58 - 00:08:00] 应该是雷机吧
[00:08:00 - 00:08:02] 就是雷电机
[00:08:02 - 00:08:03] 对
[00:08:03 - 00:08:07] 那一次是刚好在我坐的门下面
[00:08:07 - 00:08:08] 然后后来机长下去看了
[00:08:08 - 00:08:10] 说那一片已经烧糊掉了
[00:08:10 - 00:08:12] 但是当时我只是看到一个火光
[00:08:12 - 00:08:14] 然后机长也来问我
[00:08:14 - 00:08:16] 但是还是安全落地了
[00:08:16 - 00:08:20] 我其实有一次坐棉行的时候
[00:08:20 - 00:08:22] 遇到一次比较危险的情况
[00:08:22 - 00:08:23] 开飞机没遇到过
[00:08:23 - 00:08:24] 你坐的时候有过
[00:08:24 - 00:08:25] 是的
[00:08:25 - 00:08:27] 那一次是我在埃及境内
[00:08:27 - 00:08:28] 坐埃及的内陆航班
[00:08:28 - 00:08:29] 然后飞着飞着
[00:08:29 - 00:08:31] 就突然感觉耳朵施压
[00:08:31 - 00:08:34] 然后之后飞机就开始紧急下降
[00:08:34 - 00:08:35] 然后大概降了30秒
[00:08:35 - 00:08:36] 30秒
[00:08:36 - 00:08:37] 对
[00:08:37 - 00:08:37] 30秒
[00:08:37 - 00:08:39] 自动落体降30秒
[00:08:39 - 00:08:40] 倒不是自动落体
[00:08:40 - 00:08:42] 但是还是下降速度很快
[00:08:42 - 00:08:43] 能感觉到
[00:08:43 - 00:08:44] 会有失踪感吗
[00:08:44 - 00:08:45] 头一下是有的
[00:08:45 - 00:08:47] 当时你记安全带了吗
[00:08:47 - 00:08:48] 当然记了
[00:08:48 - 00:08:48] 他不记安全带
[00:08:48 - 00:08:49] 就飞天上去了
[00:08:49 - 00:08:51] 但是如果真的有这样的客人
[00:08:51 - 00:08:52] 他不记安全带
[00:08:53 - 00:08:55] 你记得原来有一次我看过一个视频
[00:08:55 - 00:08:56] 就是咱们国内的航班
[00:08:56 - 00:08:58] 然后的话空乘正在发餐时
[00:08:58 - 00:09:00] 然后飞机突然滑落下来
[00:09:00 - 00:09:02] 然后空乘连着车一起到飞机的平台马上去
[00:09:02 - 00:09:04] 所以为什么反复让客人记安全带
[00:09:04 - 00:09:04] 对
[00:09:04 - 00:09:06] 然后后来你活过来了
[00:09:06 - 00:09:06] 不是
[00:09:07 - 00:09:08] 卖屁事活过来
[00:09:08 - 00:09:09] 对
[00:09:09 - 00:09:09] 不是
[00:09:09 - 00:09:13] 我就想问当时你有没有跟空乘员说
[00:09:13 - 00:09:14] 我是机长
[00:09:14 - 00:09:15] 那飞机让我开
[00:09:15 - 00:09:17] 当时不知道是发生什么情况
[00:09:17 - 00:09:19] 但我相信驾驶舱里的人应该是
[00:09:20 - 00:09:21] 应该知道怎么处理
[00:09:21 - 00:09:22] 对
[00:09:23 - 00:09:26] 之后过了30秒他们把这个氧气面罩放下来了
[00:09:27 - 00:09:29] 氧气面罩都下来了
[00:09:29 - 00:09:29] 对
[00:09:29 - 00:09:35] 然后我就按照之前每一次坐飞机都要看到的安全眼镜
[00:09:35 - 00:09:37] 然后把这个氧气面罩先给自己戴上
[00:09:37 - 00:09:40] 然后左右看看也没有儿童需要我的帮助
[00:09:40 - 00:09:41] 然后我就把它拽了一下
[00:09:41 - 00:09:42] 氧气就开始
[00:09:43 - 00:09:44] 这个看的还挺认真的
[00:09:44 - 00:09:46] 你也开飞机的
[00:09:46 - 00:09:46] 对
[00:09:46 - 00:09:48] 很多人不知道需要拽一下
[00:09:48 - 00:09:51] 或者是自己先带先去再给别人带
[00:09:51 - 00:09:52] 我咱这么说
[00:09:52 - 00:09:54] 极小概率时间对吧
[00:09:54 - 00:09:57] 反正我做飞机做了十几年
[00:09:57 - 00:09:58] 我是没有遇到过
[00:09:58 - 00:10:00] 氧气面罗掉下来的情况
[00:10:00 - 00:10:02] 你遇到过吗
[00:10:02 - 00:10:03] 没有
[00:10:03 - 00:10:04] 哈哈哈哈
[00:10:04 - 00:10:05] 一时多目的幸运
[00:10:05 - 00:10:06] 哎当时你讲见面罗
[00:10:06 - 00:10:08] 落下来也不如那时候你什么心情
[00:10:08 - 00:10:10] 我赶紧就拿出手机
[00:10:10 - 00:10:11] 我说这得发朋友说
[00:10:11 - 00:10:13] 哈哈哈真假呀
[00:10:13 - 00:10:13] 真的
[00:10:13 - 00:10:15] 然后我就自拍了一张
[00:10:15 - 00:10:16] 后来觉得
[00:10:16 - 00:10:17] 可能如果真的出事的话
[00:10:17 - 00:10:19] 我这个手机要是坏了
[00:10:19 - 00:10:20] 那也挺可惜的
[00:10:20 - 00:10:21] 我拿出相机
[00:10:21 - 00:10:22] 录了一段话
[00:10:22 - 00:10:24] 我說這是飛機施壓了
[00:10:24 - 00:10:26] 我想留下這個關鍵的信息
[00:10:26 - 00:10:28] 然後把這個儲存卡拿出來
[00:10:28 - 00:10:31] 加在我隨身帶的最後的一個書裡邊
[00:10:31 - 00:10:33] 最後的一個書裡邊
[00:10:33 - 00:10:35] 哦 我以為是你看到最後的一輩子
[00:10:35 - 00:10:37] 這個過程一共有多久
[00:10:37 - 00:10:38] 大概就一分鐘
[00:10:38 - 00:10:41] 然後飛機就已經降到比較低的高度了
[00:10:41 - 00:10:41] 然後我看到了
[00:10:41 - 00:10:45] 其實這是機組有反應能夠去處理的
[00:10:45 - 00:10:47] 那基本上就沒有什麼太大的問題
[00:10:47 - 00:10:47] 其實有的時候
[00:10:47 - 00:10:49] 我們在遇到這種危險情況的時候
[00:10:49 - 00:10:50] 大家一到冷靜
[00:10:50 - 00:10:52] 要相信机组的人
[00:10:52 - 00:10:54] 一定要相信
[00:10:54 - 00:10:54] 总之
[00:10:54 - 00:10:56] 替所有的这个
[00:10:56 - 00:10:58] 就是我们乘飞机出行的人
[00:10:58 - 00:11:00] 要感谢这帮民航人
[00:11:00 - 00:11:01] 真的把我们安全送到目的地
[00:11:01 - 00:11:04] 是每一个民航人的最终的一个目标
[00:11:04 - 00:11:06] 他们真的非常非常的辛苦
[00:11:06 - 00:11:07] 当然
[00:11:07 - 00:11:10] 这些所谓烈骑的十大危险机场
[00:11:10 - 00:11:12] 如果大家感兴趣可以去
[00:11:12 - 00:11:13] 我们本期节目呢
[00:11:13 - 00:11:14] 就是这样
[00:11:14 - 00:11:15] 感谢王老师和李老师
[00:11:15 - 00:11:17] 给我们分享了这么多好玩的知识
[00:11:17 - 00:11:18] 咱们下期节目再见
[00:11:18 - 00:11:19] 谢谢
[00:11:19 - 00:11:28] While landing, planes follow over the beach, almost touching a tourist at an altitude of 9500 feet, and it's runway is...
