BV号：BV1bJ411y7mp
标题：BV1bJ411y7mp
链接：https://www.bilibili.com/video/BV1bJ411y7mp
识别语言：zh
语言置信度：1
分段数：420
生成时间：2026-04-04 04:52:24

[00:00:02 - 00:00:06] 黄冬天方大学就我了解啊
[00:02:10 - 00:02:11] 要突出出来
[00:02:11 - 00:02:13] 就是不是兴趣爱好
[00:02:13 - 00:02:15] 我觉得有时候看
[00:02:15 - 00:02:18] 硬届的同学们做姐妹就是
[00:02:18 - 00:02:20] 我喜欢什么
[00:02:20 - 00:02:21] 然后我
[00:02:21 - 00:02:23] 所谓的擅长
[00:02:23 - 00:02:24] 你一看就是不擅长
[00:02:24 - 00:02:25] 就是只是接触过
[00:02:25 - 00:02:26] 一定要培养
[00:02:26 - 00:02:29] 就是有确实有意两项这种东西
[00:02:29 - 00:02:32] 你在你的课语
[00:02:32 - 00:02:35] 或者说你的工作之外的时间非常重要
[00:02:35 - 00:02:36] 其实我们也谈到过这一点
[00:02:36 - 00:02:40] 就是这点上面就是去培养你的某一项
[00:02:40 - 00:02:42] 或者某两项的这种专长
[00:02:42 - 00:02:43] 专长其实有很简单的
[00:02:43 - 00:02:47] 就是甚至我不需要你说是去写一个公众号
[00:02:47 - 00:02:48] 很简单
[00:02:48 - 00:02:50] 你能不能有一个短视频的账号
[00:02:50 - 00:02:51] 你就非常多毕业
[00:02:51 - 00:02:52] 你非常搞笑
[00:02:52 - 00:02:54] 或者说你非常有能力
[00:02:54 - 00:02:57] 你拿出来就是一个案子都够了
[00:02:57 - 00:02:58] 就是一看啊
[00:02:58 - 00:02:59] 这套这个很厉害
[00:02:59 - 00:03:00] 你的想法
[00:03:00 - 00:03:02] 这是想法是很重要
[00:03:02 - 00:03:03] 第二是学习能力
[00:03:03 - 00:03:04] 学习能力呢
[00:03:04 - 00:03:05] 当然我们面试的时候
[00:03:05 - 00:03:06] 会去跟他聊一下
[00:03:06 - 00:03:07] 就是比如说
[00:03:07 - 00:03:09] 你没有接触过
[00:03:09 - 00:03:10] 或者说你现在
[00:03:10 - 00:03:12] 经常在用的一些平台
[00:03:12 - 00:03:15] 或者说你对于一些业务的看法
[00:03:15 - 00:03:16] 这个时候
[00:03:16 - 00:03:18] 当我们会不停的追问下去
[00:03:18 - 00:03:20] 你就会发现他思考能力
[00:03:20 - 00:03:23] 然后你在这个过程中
[00:03:23 - 00:03:24] 实际上可以展现你的学习能力
[00:03:24 - 00:03:25] 因为大家都说
[00:03:25 - 00:03:28] 我的文字能力挺强的
[00:03:28 - 00:03:29] 我能扛压
[00:03:29 - 00:03:31] 我又什么接受新鲜事物
[00:03:31 - 00:03:32] 这个通用语言
[00:03:32 - 00:03:35] 这个其实基本上我们都可以不看
[00:03:35 - 00:03:37] 因为这个东西不是被参考价值
[00:03:37 - 00:03:39] 但是如果你能拿出一个东西了
[00:03:39 - 00:03:41] 我们就可以针对这个东西去
[00:03:41 - 00:03:42] 作为一些提问
[00:03:42 - 00:03:45] 那我们就能看得出来你个人的能力和潜力
[00:03:45 - 00:03:46] 大家就是我觉得
[00:03:46 - 00:03:48] 很多学生在做点例的时候
[00:03:48 - 00:03:49] 他有一点什么的
[00:03:49 - 00:03:52] 就是他用通用语言用了太多
[00:03:52 - 00:03:53] 对
[00:03:53 - 00:03:55] 但是对于一些效果性的东西
[00:03:55 - 00:03:57] 就一带而过
[00:03:57 - 00:04:00] 你比如说有一次我们在录齿球时节目的时候
[00:04:00 - 00:04:01] 有一个选手什么样的
[00:04:01 - 00:04:03] 他本来是想应聘的是平面设计
[00:04:03 - 00:04:04] 对
[00:04:04 - 00:04:04] 结果
[00:04:04 - 00:04:05] 结果面试
[00:04:05 - 00:04:07] 其实很多人都存在这个毛病
[00:04:07 - 00:04:11] 就是他本来他想面试的岗位是平面设计
[00:04:11 - 00:04:13] 但是他在整个面试的过程中
[00:04:13 - 00:04:14] 突然就说了一句话
[00:04:14 - 00:04:17] 就是咱们公司需要啥我就能干啥
[00:04:17 - 00:04:18] 我说孩子你可签了
[00:04:18 - 00:04:19] 就这么说
[00:04:19 - 00:04:19] 对
[00:04:19 - 00:04:21] 就是怕什么的
[00:04:21 - 00:04:22] 怕大家就是说
[00:04:22 - 00:04:24] 我一个公司有招信十个岗位
[00:04:24 - 00:04:26] 你就说你我要应聘这个岗位
[00:04:26 - 00:04:28] 我能搞好这个岗位
[00:04:28 - 00:04:29] 我这个岗位相关的功课经验就行了
[00:04:29 - 00:04:31] 你别说这给行
[00:04:31 - 00:04:31] 那给行
[00:04:31 - 00:04:32] 那给行
[00:04:32 - 00:04:32] 对
[00:04:32 - 00:04:33] 你快让我觉得你很不专
[00:04:33 - 00:04:35] 你要注重你的效果
[00:04:35 - 00:04:37] 你要注重你有这种所谓的针对性
[00:04:37 - 00:04:38] 对
[00:04:38 - 00:04:39] 我不知道你在
[00:04:39 - 00:04:40] 你们也看解立的时候
[00:04:40 - 00:04:41] 有没有过那种就是看着
[00:04:41 - 00:04:42] 一看就明显
[00:04:42 - 00:04:44] 明显就是海投过来的
[00:04:44 - 00:04:45] 啊
[00:04:45 - 00:04:45] 很多
[00:04:45 - 00:04:46] 是不是
[00:04:46 - 00:04:48] 明显就是海投过来的解立
[00:04:48 - 00:04:51] 就明显完全你根本就没有为我额强也好
[00:04:51 - 00:04:52] 或者为我这个公司也好
[00:04:52 - 00:04:52] 对
[00:04:52 - 00:04:54] 明显这种解立就不是这个
[00:04:54 - 00:04:54] 做的
[00:04:54 - 00:04:55] 也是海投的
[00:04:55 - 00:04:57] 对 就是你一上来一看就是
[00:04:57 - 00:04:59] 他可能可能投了100公司了
[00:04:59 - 00:05:00] 就类似这种
[00:05:00 - 00:05:02] 就很难打算
[00:05:02 - 00:05:03] 完全
[00:05:03 - 00:05:04] 放马就不相及
[00:05:04 - 00:05:04] 是吧
[00:05:04 - 00:05:06] 就是我原来我在就是讲路
[00:05:06 - 00:05:07] 我也给姐姐说其实讲过
[00:05:07 - 00:05:09] 我说我曾经说了过一份解离
[00:05:09 - 00:05:10] 我当时我招助理
[00:05:10 - 00:05:12] 然后的话一个中医药大学
[00:05:12 - 00:05:14] 学真酒推拿的
[00:05:14 - 00:05:14] 然后的话
[00:05:14 - 00:05:16] 我说我要招一个助理
[00:05:16 - 00:05:17] 然后然后投了
[00:05:17 - 00:05:17] 说我会
[00:05:17 - 00:05:19] 我会推拿
[00:05:19 - 00:05:19] 嗯
[00:05:19 - 00:05:20] 我找你推
[00:05:20 - 00:05:21] 我要给我按摩
[00:05:21 - 00:05:23] 我今天给我按摩嘛
[00:05:23 - 00:05:24] 你辛苦了给你炸炸针
[00:05:24 - 00:05:28] 对 按一下这个 我还没到那个级别呢
[00:05:28 - 00:05:30] 我要说说你像同学们的马总是吧
[00:05:30 - 00:05:32] 我可能身上带一个这样的
[00:05:32 - 00:05:35] 因为我现在这个级别我真到不了那个程度
[00:05:35 - 00:05:37] 所以说你明显看那个简历就
[00:05:37 - 00:05:39] 就是有问题的
[00:05:39 - 00:05:42] 这还有的就是那种就是照片
[00:05:42 - 00:05:43] 照的有的不是那么特别
[00:05:43 - 00:05:45] 就有些说
[00:05:45 - 00:05:48] 可是每个人对自己的相处有那么自信还是怎么着
[00:05:48 - 00:05:51] 就是有的照片我一看就是
[00:05:51 - 00:05:53] 我一看照片我就不像这个人
[00:05:53 - 00:05:56] 也不是说这个人他长得有薄膜那什么
[00:05:56 - 00:06:00] 而是说你在平时你可以有这么多记住手段的情况下
[00:06:00 - 00:06:00] 对吧
[00:06:00 - 00:06:00] 对
[00:06:00 - 00:06:02] 你稍微你不大不不要太时间
[00:06:02 - 00:06:03] 对不对
[00:06:03 - 00:06:04] 你稍微去那么休视一下
[00:06:04 - 00:06:06] 而且我还经常给学生一个建议
[00:06:06 - 00:06:08] 就是说我建议你们如果说你们可以的话
[00:06:08 - 00:06:09] 在你简历的最后呢
[00:06:09 - 00:06:11] 方言当你自己的生活照
[00:06:11 - 00:06:11] 啊
[00:06:11 - 00:06:11] ok
[00:06:11 - 00:06:15] 因为我记得我觉得我能看出他从他的生活上的
[00:06:15 - 00:06:17] 能看出来这个人他的生活状态是一种什么样
[00:06:17 - 00:06:18] 明白
[00:06:18 - 00:06:20] 而不是说就是现在那种证件照啊
[00:06:20 - 00:06:21] 就那种本身的样子
[00:06:21 - 00:06:22] 对对对对
[00:06:22 - 00:06:23] 就画的都差不多了
[00:06:23 - 00:06:24] 对对对
[00:06:24 - 00:06:25] 我觉得没那么差别
[00:06:25 - 00:06:26] 但是你圣华照当中
[00:06:26 - 00:06:27] 我会体现出来你这个人
[00:06:27 - 00:06:29] 他可能是有一些
[00:06:29 - 00:06:32] 就是什么不一样的这种地方
[00:06:32 - 00:06:32] 哎
[00:06:32 - 00:06:33] 仓叔在问你个问题
[00:06:33 - 00:06:35] 就如果说你觉得你在你的团队当中
[00:06:35 - 00:06:36] 有这么一个成员
[00:06:36 - 00:06:38] 你觉得是他做了什么事
[00:06:38 - 00:06:40] 是你最不能接受的
[00:06:40 - 00:06:42] 或者说他做了一个什么样的事
[00:06:42 - 00:06:44] 我觉得这个人我一定不会再用他
[00:06:44 - 00:06:45] 我甚至可能会向公司提议
[00:06:45 - 00:06:46] 把他给开掉
[00:06:46 - 00:06:50] 其实每个人的这种点不一样
[00:06:50 - 00:06:52] 大厂都会有它的高压线
[00:06:52 - 00:06:53] 高压线咱们就不说了
[00:06:53 - 00:06:55] 就是有几条高压线就不分
[00:06:55 - 00:06:56] 对于我来说
[00:06:56 - 00:06:58] 我会不太喜欢的是说
[00:06:58 - 00:07:00] 第一 搞小团体的
[00:07:00 - 00:07:00] 什么
[00:07:00 - 00:07:01] 搞小团体的
[00:07:01 - 00:07:03] 什么叫搞小团体
[00:07:03 - 00:07:05] 就是私下里面
[00:07:05 - 00:07:07] 比如说我团队有10个人
[00:07:07 - 00:07:09] 你私下跟2、3个人关系特别好
[00:07:09 - 00:07:10] 然后搞小团体的
[00:07:10 - 00:07:10] 对
[00:07:10 - 00:07:12] 我听个搞小团体的
[00:07:12 - 00:07:14] 搞小团体的
[00:07:14 - 00:07:15] 里面上面
[00:07:15 - 00:07:16] 搞小团体
[00:07:16 - 00:07:18] 对 这个是我个人特别讨厌的
[00:07:18 - 00:07:20] 然后第二个是说
[00:07:20 - 00:07:21] 那种
[00:07:21 - 00:07:22] 嗯
[00:07:22 - 00:07:23] 假
[00:07:23 - 00:07:25] 所谓的假是指的倒不是说别的
[00:07:25 - 00:07:26] 而是说
[00:07:26 - 00:07:28] 你明显这个业务做的不好
[00:07:28 - 00:07:29] 你时辰一点
[00:07:29 - 00:07:31] 实际上大家都是同事
[00:07:31 - 00:07:33] 其实我我从来不认为是上下级关系
[00:07:33 - 00:07:34] 大家都是
[00:07:34 - 00:07:35] 搞的一份误不同
[00:07:35 - 00:07:35] 对吧
[00:07:35 - 00:07:36] 承受的那个
[00:07:36 - 00:07:38] 呃压力也不同
[00:07:38 - 00:07:40] 但是比如说我安排一口火下去了
[00:07:40 - 00:07:41] 然后他确实没有做
[00:07:41 - 00:07:43] 完了之后他可能会找
[00:07:43 - 00:07:44] 很多的借口
[00:07:44 - 00:07:45] 来敷衍我的时候
[00:07:45 - 00:07:47] 我就会觉得
[00:07:47 - 00:07:48] 呃
[00:07:48 - 00:07:49] 我很討厌这种
[00:07:49 - 00:07:50] 就是你没做就没做
[00:07:50 - 00:07:51] 你忘记了就忘记了
[00:07:51 - 00:07:53] 咱们重新再来对吧
[00:07:53 - 00:07:54] 但是你非得是说
[00:07:54 - 00:07:55] 就是你不敢承担
[00:07:55 - 00:07:57] 承认这件事情
[00:07:57 - 00:07:59] 我是非常的不喜欢
[00:07:59 - 00:08:02] 然后还有就是那种
[00:08:02 - 00:08:03] 嗯 怎么说呢
[00:08:03 - 00:08:05] 就是不专心业务
[00:08:05 - 00:08:06] 专心与关系的
[00:08:06 - 00:08:09] 嗯 就是因为现在职场里面
[00:08:09 - 00:08:09] 确实有这样的人
[00:08:09 - 00:08:10] 但是我不喜欢
[00:08:10 - 00:08:12] 我个人是不喜欢的
[00:08:12 - 00:08:15] 我相信大部分的领导也不会喜欢
[00:08:15 - 00:08:16] 因为因为很简单
[00:08:16 - 00:08:18] 就是大家都是一个团队
[00:08:18 - 00:08:18] 首先出业绩
[00:08:18 - 00:08:21] 然后完了之后咱们再去看关系怎么去处
[00:08:21 - 00:08:26] 最好的方式是说你能够很好的处理好人际关系
[00:08:26 - 00:08:28] 但是这种处理人际关系是指的是说
[00:08:28 - 00:08:29] 你不要得罪特别多的人
[00:08:29 - 00:08:31] 然后你也能把业务能够做成
[00:08:31 - 00:08:33] 而且就是说领导也好
[00:08:33 - 00:08:34] 或者说你的同籍也好
[00:08:34 - 00:08:38] 大家对你的评价应该相对来说会比较平稳
[00:08:38 - 00:08:41] 还有我跟我的同籍的同事们在聊的时候
[00:08:41 - 00:08:42] 他们也会
[00:08:42 - 00:08:43] 我们经常也会讨论
[00:08:43 - 00:08:45] 比如说当你安排一个活下去
[00:08:45 - 00:08:47] 总有人有意见
[00:08:47 - 00:08:49] 我觉得有一件很正常
[00:08:49 - 00:08:51] 对 有一件很正常就是咱们提出来探讨嘛
[00:08:51 - 00:08:53] 有一件完之后不执行
[00:08:53 - 00:08:54] 对
[00:08:54 - 00:08:56] 就这句话很烦
[00:08:56 - 00:08:57] 其实你觉得最难受的什么
[00:08:57 - 00:09:00] 就是只提出问题不提出解决办法
[00:09:00 - 00:09:01] 对
[00:09:01 - 00:09:03] 我有时候经常会跟一些朋友们
[00:09:03 - 00:09:05] 还有包括一些小朋友实习生他们去聊
[00:09:05 - 00:09:08] 我说我希望大家做一个
[00:09:08 - 00:09:10] 不仅要做一个聪明的人
[00:09:10 - 00:09:11] 而且要做一个靠谱的人
[00:09:11 - 00:09:15] 就是因为其实我们对于很多的实习生
[00:09:15 - 00:09:17] 和孝昭的小朋友们呢
[00:09:17 - 00:09:18] 都会评价说
[00:09:18 - 00:09:20] 脑子很灵
[00:09:20 - 00:09:21] 然后很聪明
[00:09:21 - 00:09:23] 这我觉得如果你刚工作
[00:09:23 - 00:09:26] 一两年两三年其实还OK
[00:09:26 - 00:09:28] 因为毕竟年轻年纪白咱们
[00:09:28 - 00:09:29] 你肯定是接受
[00:09:29 - 00:09:31] 行星事务比较快一些
[00:09:31 - 00:09:33] 而且脑子转的会比较快一些
[00:09:33 - 00:09:36] 但是如果是要在职场里面有立足
[00:09:36 - 00:09:38] 有你的一片业务
[00:09:38 - 00:09:40] 一定是一个靠谱的人
[00:09:40 - 00:09:43] 靠谱的人有时候是要去做一些笨的事情
[00:09:43 - 00:09:46] 有时候去做一些机械的事情
[00:09:46 - 00:09:49] 就是说要做到大多数的人都做
[00:09:49 - 00:09:50] 对
[00:09:50 - 00:09:51] 其实我想说的是什么呢
[00:09:51 - 00:09:54] 就是不管说剩下额场这样的大公司
[00:09:54 - 00:09:56] 还是说像我们这样的一个小公司
[00:09:56 - 00:10:01] 你在职场去能够希望有个更大的一个进步
[00:10:01 - 00:10:02] 其实我发现原理其实都一样
[00:10:02 - 00:10:03] 啊 没错
[00:10:03 - 00:10:05] 我从来不觉得说这个人在大厂混得好
[00:10:05 - 00:10:07] 然后到我们这种小公司
[00:10:07 - 00:10:08] 就是一定会混得不好
[00:10:08 - 00:10:08] 对
[00:10:08 - 00:10:10] 或者说在你那儿都适应不了
[00:10:10 - 00:10:12] 你换一个地儿你就能适应得了
[00:10:12 - 00:10:14] 非常认真
[00:10:14 - 00:10:15] 可能真不好说 对不对
[00:10:15 - 00:10:18] 我其实觉得在职场里面很重要的一点
[00:10:18 - 00:10:19] 就是认识你自己的位置
[00:10:19 - 00:10:20] 嗯
[00:10:20 - 00:10:21] 这个位置是什么
[00:10:21 - 00:10:23] 就是说包括职场的位置也是这样的
[00:10:23 - 00:10:25] 就是我刚刚也提到了
[00:10:25 - 00:10:27] 我从来没有把自己当成一个所谓的总监
[00:10:27 - 00:10:29] 要或者领导
[00:10:29 - 00:10:32] 因为这只是公司分配给我们的岗位
[00:10:32 - 00:10:35] 每个岗位都要承担相应的责任和压力
[00:10:35 - 00:10:37] 当然他收益也是不一样的
[00:10:37 - 00:10:38] 我不认为是说
[00:10:38 - 00:10:39] 哎
[00:10:39 - 00:10:40] 就是我好像比你高级级
[00:10:40 - 00:10:42] 你就一定要听我的
[00:10:42 - 00:10:44] 大家商量给来讨论
[00:10:44 - 00:10:47] 但是呢 確實因為我會承擔我自己的壓力
[00:10:47 - 00:10:49] 所以有些時候呢 我沒辦法跟你討論
[00:10:49 - 00:10:51] 咱們就先把它幹了再說
[00:10:51 - 00:10:52] 啊 這是很重要的
[00:10:52 - 00:10:56] 就是特別怕的是那種就是又不承擔這個壓力
[00:10:56 - 00:10:58] 完了之後又不去幹活
[00:10:58 - 00:11:00] 還想分一筆工
[00:11:00 - 00:11:02] 啊 對 而且他會
[00:11:02 - 00:11:03] 他可能會想像中
[00:11:03 - 00:11:06] 也因為現在市面上有很多這樣的稿子 視頻
[00:11:06 - 00:11:08] 還有所謂的這種什麼職場的
[00:11:08 - 00:11:10] 職場的後悔學後悔的
[00:11:10 - 00:11:13] 他就會覺得 你應該是這樣的
[00:11:13 - 00:11:16] 就是他可能会来教你怎么去做做这个长辈的活
[00:11:16 - 00:11:23] 所以这些东西确实是需要同学们应该是有一个辩解能力
[00:11:23 - 00:11:28] 你应该知道就是基础的职场的规则应该是什么样的
[00:11:28 - 00:11:30] 去多听一些正向的
[00:11:30 - 00:11:33] 像我像张老师这样像苍老师这样对吧
[00:11:33 - 00:11:36] 包括像一些英文大卡给你写的一些书啊什么的
[00:11:36 - 00:11:39] 而不要去研究所谓的那么厚黑学
[00:11:39 - 00:11:44] 你要知道在制裁当中偷点就意味着真的被淘汰
[00:11:44 - 00:11:47] 你千万不要把你的领导和你的老板当成
[00:11:47 - 00:11:48] 啊
[00:11:48 - 00:11:51] 千万不要当成这个东西
[00:11:51 - 00:11:55] 你要知道你这个社会不光是老板还是还是领导
[00:11:55 - 00:11:57] 这个社会就是这样的
[00:11:57 - 00:12:00] 你不要把你周围的人当成傻子
[00:12:00 - 00:12:01] 傻子对吧
[00:12:01 - 00:12:03] 你如果把周围的人当成傻子
[00:12:03 - 00:12:06] 其实你是最大的傻子
[00:12:06 - 00:12:07] 对对
[00:12:07 - 00:12:08] 所以说希望大家能够不管怎么样
[00:12:08 - 00:12:09] 在大厂也好,在我们小厂也好
[00:12:09 - 00:12:11] 都能混得越来越好
[00:12:11 - 00:12:13] 我们本期节目的就是这样
[00:12:13 - 00:12:14] 咱们下期节目再见
[00:12:14 - 00:12:15] 谢谢大家
[00:12:16 - 00:12:18] 你老师首先是我的潮地粉丝
[00:12:18 - 00:12:19] 我看你我的粉丝
[00:12:21 - 00:12:24] 当天他来我们公司就是因为我
[00:12:24 - 00:12:26] 我当时我们后来开年会的女生
[00:12:26 - 00:12:28] 我当时说我叫什么什么
[00:12:28 - 00:12:29] 可能你不认识我
[00:12:29 - 00:12:30] 但是我知道你
[00:12:30 - 00:12:32] 我当时来的我们公司就是原因
