BV号：BV1Yi4y1V7Cx
标题：BV1Yi4y1V7Cx
链接：https://www.bilibili.com/video/BV1Yi4y1V7Cx
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-04 01:50:09

[00:00:00 - 00:00:02] 这是一个教你怎么在高考职员填冒当中
[00:01:38 - 00:01:40] 最重要的是不安全
[00:01:40 - 00:01:42] 经常越小的矿
[00:01:42 - 00:01:44] 发生矿难的几率就越大
[00:01:44 - 00:01:44] 为什么
[00:01:44 - 00:01:46] 他没那么多钱上安全设备
[00:01:47 - 00:01:48] 没那么多钱上安全设备
[00:01:49 - 00:01:50] 监管也不是很
[00:01:50 - 00:01:51] 监管也不到位
[00:01:51 - 00:01:53] 经常给你偷偷的开采了
[00:01:53 - 00:01:54] 就都不好说
[00:01:54 - 00:01:55] 怎么办
[00:01:55 - 00:01:57] 私人小矿你就别干了
[00:01:57 - 00:02:00] 我国家给你整合一下我们大矿
[00:02:00 - 00:02:01] 安全设备都上上
[00:02:01 - 00:02:04] 让我们下警的工人安全都说保障
[00:02:04 - 00:02:06] 那么安全工程呢
[00:02:06 - 00:02:08] 理论上他其实只要是工业生产
[00:02:08 - 00:02:09] 都涉及到安全工程
[00:02:09 - 00:02:11] 比如说我们刚才说的矿业生产
[00:02:11 - 00:02:13] 再给你带点举个例子
[00:02:13 - 00:02:17] 你说化工企业需要不需要安全工程的人才
[00:02:17 - 00:02:19] 化工企业也需要为什么
[00:02:19 - 00:02:21] 因为涉及到化工
[00:02:21 - 00:02:22] 大家你发现
[00:02:22 - 00:02:24] 经常我们看一些新闻说
[00:02:24 - 00:02:27] 某个某个厂子发生爆炸
[00:02:27 - 00:02:30] 发生爆炸的厂子基本上都是化工厂
[00:02:30 - 00:02:31] 基本上是化工厂
[00:02:31 - 00:02:33] 因为化学大家知道你学了化学都知道
[00:02:33 - 00:02:35] 经常有各种和各种东西的反应
[00:02:35 - 00:02:37] 发生大规模的爆炸
[00:02:37 - 00:02:42] 安全生产一定是要提高到一个非常重要的位置的
[00:02:42 - 00:02:43] 所以说安全工程专业
[00:02:43 - 00:02:45] 你会把你招生的院校除了像
[00:02:45 - 00:02:48] 矿产类学校以外
[00:02:48 - 00:02:50] 有些学校这些也不是化工
[00:02:50 - 00:02:51] 北京化工大学
[00:02:51 - 00:02:52] 它也在找安全工程
[00:02:52 - 00:02:56] 但实际上对于大多数的学校安全工程来讲
[00:02:56 - 00:02:59] 它都是在什么矿产生产企业就业
[00:02:59 - 00:03:02] 在其他行业虽然也需要安静公众人才
[00:03:02 - 00:03:06] 但是其他行业确实是没有那么广泛那么多
[00:03:06 - 00:03:09] 你学的这个专业最有可能还是去的
[00:03:09 - 00:03:10] 矿产生产企业
