BV号：BV1SE411S7JB
标题：BV1SE411S7JB
链接：https://www.bilibili.com/video/BV1SE411S7JB
识别语言：zh
语言置信度：1
分段数：489
生成时间：2026-04-04 06:44:57

[00:00:02 - 00:00:04] 那么就有你的小农夫
[00:02:21 - 00:02:25] 确实有那个我们出去有些同事
[00:02:25 - 00:02:26] 可能我们到了一个地方之后
[00:02:26 - 00:02:27] 换上变装了
[00:02:27 - 00:02:29] 完全全主人都认不出来了
[00:02:29 - 00:02:30] 是吧
[00:02:30 - 00:02:30] 对
[00:02:31 - 00:02:32] 经常会这样的
[00:02:32 - 00:02:35] 那你平时就是也要训练一些什么
[00:02:35 - 00:02:35] 技能吗
[00:02:35 - 00:02:38] 比如说微笑啊什么的
[00:02:38 - 00:02:40] 这都是最基本的呀
[00:02:40 - 00:02:42] 那你还没有接受哪些训练的
[00:02:42 - 00:02:44] 训练的课程
[00:02:44 - 00:02:46] 冲员每一个公司入职之后
[00:02:46 - 00:02:47] 都会有一个粗识
[00:02:47 - 00:02:48] 我们叫粗识培训
[00:02:48 - 00:02:50] 粗识培训里面的内容
[00:02:50 - 00:02:51] 除了您刚刚说的
[00:02:51 - 00:02:52] 这些仪表仪派的
[00:02:52 - 00:02:54] 比较给客人看到之外
[00:02:54 - 00:02:57] 其实冲员他另外一个定义
[00:02:57 - 00:02:59] 是保障飞机的航班安全
[00:03:12 - 00:03:13] 妈妈
[00:03:13 - 00:03:14] 开车
[00:03:14 - 00:03:15] 开车
[00:03:15 - 00:03:16] 开车
[00:03:16 - 00:03:17] 开车
[00:03:20 - 00:03:22] 所以包括一些急救
[00:03:22 - 00:03:23] 救生
[00:03:23 - 00:03:24] 灭火
[00:03:24 - 00:03:26] 这些东西都是要学的
[00:03:26 - 00:03:27] 灭火要学
[00:03:27 - 00:03:28] 对
[00:03:28 - 00:03:29] 还有
[00:03:29 - 00:03:30] 你现在搭火机都不能带了
[00:03:30 - 00:03:32] 你学这个
[00:03:32 - 00:03:33] 我飞机上有烤箱
[00:03:33 - 00:03:35] 如果烤箱失火了怎么办
[00:03:35 - 00:03:37] 你要在最短的时间内
[00:03:37 - 00:03:39] 能把这个火情灭掉
[00:03:39 - 00:03:42] 所以其实在国外很多航空公司
[00:03:42 - 00:03:45] 用这种我们所谓的大妈空扫
[00:03:45 - 00:03:46] 其实这样的人
[00:03:46 - 00:03:48] 他是更保证飞行安全的
[00:03:48 - 00:03:50] 那为什么咱们国内没有
[00:03:50 - 00:03:51] 但是我也见过
[00:03:51 - 00:03:52] 我也见过
[00:03:52 - 00:03:54] 但是确实不是很常见
[00:03:54 - 00:03:55] 这么说
[00:03:55 - 00:03:57] 其实所有的航空公司的空姐
[00:03:57 - 00:03:59] 都是可以干到退休的
[00:03:59 - 00:04:01] 50岁甚至55岁
[00:04:01 - 00:04:03] 但是我们有一句话在意
[00:04:03 - 00:04:05] 因为我们长期属于一个
[00:04:05 - 00:04:06] 高空缺氧的状态
[00:04:06 - 00:04:07] 所以我们不容易养化
[00:04:07 - 00:04:09] 可能你看到的一个
[00:04:09 - 00:04:10] 看起来像20多岁
[00:04:10 - 00:04:12] 可能他已经40多了
[00:04:12 - 00:04:13] 看起来像30多
[00:04:13 - 00:04:14] 可能他已经50多了
[00:04:14 - 00:04:15] 对
[00:04:15 - 00:04:15] 对吧
[00:04:15 - 00:04:17] 我觉得保养的比较好
[00:04:17 - 00:04:18] 我原来遇到一个就是那种空姐
[00:04:18 - 00:04:19] 就是大妈你知道吧
[00:04:19 - 00:04:20] 然后我就发现就是
[00:04:20 - 00:04:21] 你看比如你
[00:04:21 - 00:04:22] 他看咱们这节目吗
[00:04:22 - 00:04:23] 这样好吗
[00:04:23 - 00:04:24] 没关系
[00:04:24 - 00:04:27] 因为我上次遇到这个大妈
[00:04:27 - 00:04:28] 是好多好多好长时间以前的
[00:04:28 - 00:04:30] 他也可能也
[00:04:30 - 00:04:30] 因为大妈妈
[00:04:30 - 00:04:31] 他也不考验
[00:04:31 - 00:04:32] 他也没看过我的视频
[00:04:32 - 00:04:34] 然后他也没说是来我
[00:04:34 - 00:04:35] 然后的话我就发现就是
[00:04:35 - 00:04:37] 你像你消微年轻一点的空姐
[00:04:37 - 00:04:38] 可能就是说平时可能
[00:04:38 - 00:04:41] 所谓就是怎么说呢
[00:04:41 - 00:04:43] 就没有那么见谈可能
[00:04:43 - 00:04:43] 然后的话
[00:04:43 - 00:04:44] 但是那个大妈呢
[00:04:44 - 00:04:45] 就是特别见谈
[00:04:45 - 00:04:45] 对
[00:04:45 - 00:04:47] 他的知识储备量是不一样的
[00:04:47 - 00:04:47] 对
[00:04:47 - 00:04:48] 然后的话呢
[00:04:48 - 00:04:51] 就是就继续到我小伙子
[00:04:51 - 00:04:53] 干嘛去呀
[00:04:53 - 00:04:54] 哎呀那可愣了
[00:04:54 - 00:04:56] 您可得多专点一个
[00:04:56 - 00:04:57] 一个姑娘的一个大妈哥说
[00:04:57 - 00:04:59] 我都没遇过这样的
[00:04:59 - 00:05:00] 我就觉得太好玩了
[00:05:00 - 00:05:00] 哎
[00:05:00 - 00:05:01] 那你像你们这种心理组织
[00:05:01 - 00:05:02] 平时怎么训练的
[00:05:03 - 00:05:04] 就是多电
[00:05:04 - 00:05:06] 每年冲远都有这个
[00:05:06 - 00:05:08] 我们叫应急的复训
[00:05:08 - 00:05:09] 每年都要去做一次
[00:05:09 - 00:05:10] 其实
[00:05:10 - 00:05:11] 比较后做过山车
[00:05:11 - 00:05:12] 让你们体验一下
[00:05:12 - 00:05:13] 自己的事怎么办
[00:05:13 - 00:05:14] 不会
[00:05:14 - 00:05:16] 比方说给你一些很高压强的训练
[00:05:16 - 00:05:18] 然后像我自己的初始培训
[00:05:18 - 00:05:20] 其实当时我已经快崩溃了
[00:05:20 - 00:05:22] 我们三个月的培训
[00:05:22 - 00:05:23] 其中有十天
[00:05:23 - 00:05:24] 大概十天就跟学教规
[00:05:24 - 00:05:27] 你要看这些事故现场是一样的
[00:05:27 - 00:05:29] 然后我们有十天的时间
[00:05:29 - 00:05:31] 看了各种各样的空谈片
[00:05:31 - 00:05:33] 有没有人就是说中间就
[00:05:33 - 00:05:33] 有
[00:05:33 - 00:05:35] 确实有
[00:05:35 - 00:05:37] 就是我觉得不太适合干这一行
[00:05:37 - 00:05:38] 然后就淘汰掉了
[00:05:38 - 00:05:39] 是吧
[00:05:39 - 00:05:40] 然后的话就是
[00:05:40 - 00:05:41] 那个时候你们在训练的时候
[00:05:41 - 00:05:43] 就是也要跟家人发这种信息
[00:05:43 - 00:05:45] 说我万一
[00:05:45 - 00:05:47] 倒是不太敢跟家人发这个信息
[00:05:47 - 00:05:49] 而且换句话说吧
[00:05:49 - 00:05:51] 你要相信自己的专业
[00:05:51 - 00:05:53] 因为我们自己做到最专业之后
[00:05:53 - 00:05:54] 我们才能保证我们自己的安全
[00:05:54 - 00:05:56] 随机的安全
[00:05:56 - 00:05:57] 这个非常重要
[00:05:57 - 00:05:57] 那你有没有
[00:05:57 - 00:06:01] 就是如果说有那些想当空姐的同学
[00:06:01 - 00:06:03] 或者说是小女孩
[00:06:03 - 00:06:03] 他们想当空姐
[00:06:03 - 00:06:04] 你能不能给他们一些建议
[00:06:04 - 00:06:06] 就是如果说你想当空姐的话
[00:06:06 - 00:06:08] 现在你该做哪些方面的准备
[00:06:08 - 00:06:09] 首先学历
[00:06:09 - 00:06:12] 现在基本上都是要大专与上的
[00:06:12 - 00:06:14] 国家承认的大专学历
[00:06:14 - 00:06:17] 然后如果你的身高条件够的话
[00:06:17 - 00:06:18] 把你的英语学好
[00:06:18 - 00:06:19] 英语学好
[00:06:19 - 00:06:20] 对
[00:06:20 - 00:06:22] 这个可能也是国内的很多称科
[00:06:22 - 00:06:24] 会去诟病的一点
[00:06:24 - 00:06:25] 对
[00:06:25 - 00:06:26] 包括我们飞行员
[00:06:26 - 00:06:27] 被他们说了很多梗
[00:06:27 - 00:06:28] 对不对
[00:06:28 - 00:06:28] 对
[00:06:28 - 00:06:29] 我记得我有一次
[00:06:29 - 00:06:30] 在那个
[00:06:30 - 00:06:32] 我也不是在那个城市也不太好
[00:06:32 - 00:06:33] 因为它正常来讲的话
[00:06:33 - 00:06:34] 它推那个旅客登机
[00:06:34 - 00:06:35] 它就是中文说一遍
[00:06:35 - 00:06:36] 然后英文说一遍
[00:06:36 - 00:06:37] 哇
[00:06:37 - 00:06:39] 他那个英文绝对是滴滴道道的
[00:06:39 - 00:06:40] 东北农村英语那种
[00:06:40 - 00:06:41] 我一听我说
[00:06:41 - 00:06:44] 这个大姐是在哪儿学的这个英语啊
[00:06:44 - 00:06:47] 这这个东西你幸亏可能就是那个城市
[00:06:47 - 00:06:49] 不是一个特别特别国际化的一个城市
[00:06:49 - 00:06:51] 如果说你要是一个特别国际化的城市的话
[00:06:51 - 00:06:53] 老外听到我估计都得笑掉大牙
[00:06:53 - 00:06:55] 所以说现在的话对于英语的要求也是
[00:06:55 - 00:06:58] 英语的口语的要求会比较高
[00:06:58 - 00:07:00] 当然是择优录取的
[00:07:00 - 00:07:02] 因为我们每一次的面试
[00:07:02 - 00:07:06] 以前天某个航空公司来比喻
[00:07:06 - 00:07:08] 差不多是1000人去参加面试
[00:07:08 - 00:07:10] 最后只会要30个人
[00:07:10 - 00:07:12] 所以他的淘汰期其实还是挺高的
[00:07:12 - 00:07:16] 而且这1000人全都是符合我刚刚说的这些要求的
[00:07:16 - 00:07:19] 所以还是需要一个他的综合素质
[00:07:19 - 00:07:22] 因为你是与人沟通的工作
[00:07:22 - 00:07:22] 对
[00:07:22 - 00:07:23] 像刚刚说的英语
[00:07:23 - 00:07:25] 你的知识储备量
[00:07:25 - 00:07:26] 你的心理状态
[00:07:26 - 00:07:27] 这些东西都非常重要
[00:07:27 - 00:07:30] 所以它不仅仅是看你长得怎么样
[00:07:30 - 00:07:34] 有的时候我经常赶你那种最早的飞机
[00:07:34 - 00:07:36] 或者最晚的飞机
[00:07:36 - 00:07:38] 然后的话有一次我赶了一个很晚的飞机
[00:07:38 - 00:07:40] 然后因为那时候我就在机场附近住了
[00:07:40 - 00:07:43] 因为我第二天我讲课也在机场附近的学校讲
[00:07:43 - 00:07:45] 然后我去吃宵夜的时候
[00:07:45 - 00:07:47] 发现路边摊有个好多空姐
[00:07:47 - 00:07:49] 然后也在那吃路边摊
[00:07:49 - 00:07:50] 然后的话他还跟我说
[00:07:50 - 00:07:52] 说庄老师这个好吃
[00:07:52 - 00:07:53] 然后那个不好吃
[00:07:53 - 00:07:54] 他也是考研的空姐
[00:07:54 - 00:07:55] 是吧
[00:07:55 - 00:07:56] 他可能看过我的视频
[00:07:56 - 00:07:58] 看我视频的人不一定都是考研的
[00:07:58 - 00:08:00] 我私平的人不一定会考验的
[00:08:00 - 00:08:02] 因为大妈妈她也不考验
[00:08:02 - 00:08:03] 她也没考过我的小朋友
[00:08:03 - 00:08:04] 我想问一下
[00:08:04 - 00:08:06] 像如果说你们飞到一个城市
[00:08:06 - 00:08:10] 就是你们平时生活是怎样的呢
[00:08:10 - 00:08:10] 现在
[00:08:10 - 00:08:11] 非常那个城市休息一天
[00:08:11 - 00:08:12] 还是
[00:08:12 - 00:08:13] 每个公司不一样
[00:08:13 - 00:08:15] 像我自己原来的老东家的话
[00:08:15 - 00:08:18] 可能我们只会休息8到12个小时
[00:08:18 - 00:08:19] 然后就专场了
[00:08:19 - 00:08:20] 如果是国外的话
[00:08:20 - 00:08:22] 可能会有24个小时的休息
[00:08:22 - 00:08:26] 所以也会使劲全力的去感受一下
[00:08:26 - 00:08:27] 当地不同的风土人情
[00:08:27 - 00:08:28] 可以这么说
[00:08:28 - 00:08:30] 那起库师平时飞行完以后的话
[00:08:30 - 00:08:31] 给你休息的时间
[00:08:31 - 00:08:32] 你还要去感受一下人情
[00:08:32 - 00:08:33] 就很累
[00:08:33 - 00:08:33] 对
[00:08:33 - 00:08:35] 所以我之前给自己订的目标
[00:08:35 - 00:08:38] 就是要吃遍全世界的卖单
[00:08:38 - 00:08:40] 吃遍全世界的卖单吗
[00:08:40 - 00:08:40] 对
[00:08:40 - 00:08:41] 我的天哪
[00:08:41 - 00:08:43] 其实还是有很多不同的地方的
[00:08:43 - 00:08:44] 很有意思
[00:08:44 - 00:08:44] 导演
[00:08:44 - 00:08:46] 卖单了没给我们打广告吧
[00:08:46 - 00:08:47] 还是给了钱了
[00:08:47 - 00:08:47] 还是给你钱
[00:08:47 - 00:08:48] 那好吧
[00:08:48 - 00:08:50] 某素食餐厅
[00:08:50 - 00:08:51] 然后的话就是
[00:08:51 - 00:08:54] 我想问一下你们的这种社交圈子
[00:08:54 - 00:08:55] 其实挺单一的
[00:08:55 - 00:08:56] 很单一是吗
[00:08:56 - 00:08:56] 很单一
[00:08:56 - 00:08:58] 那你们这找个男朋友
[00:08:58 - 00:09:00] 挺费劲的
[00:09:00 - 00:09:01] 那我就问点具体的
[00:09:02 - 00:09:03] 你男朋友是怎么找的
[00:09:03 - 00:09:05] 在公交车上找的
[00:09:05 - 00:09:06] 公交车上找的
[00:09:06 - 00:09:07] 对
[00:09:09 - 00:09:10] 你是个
[00:09:10 - 00:09:12] 我就我们东北话讲
[00:09:12 - 00:09:13] 你就一向我怎么不会了
[00:09:13 - 00:09:14] 你知道吧
[00:09:14 - 00:09:15] 接不上了是吗
[00:09:15 - 00:09:15] 不是
[00:09:15 - 00:09:17] 就是你现在很多看我们这个视频的人
[00:09:17 - 00:09:18] 你看对吧
[00:09:18 - 00:09:19] 我们李大美女对吧
[00:09:19 - 00:09:21] 我想认识一个空姐当女朋友
[00:09:21 - 00:09:22] 去哪儿
[00:09:22 - 00:09:23] 去公交车
[00:09:23 - 00:09:25] 不是应该去飞机上吗
[00:09:25 - 00:09:26] 因为我们在空港里面
[00:09:26 - 00:09:28] 我们会有这种空港的专车
[00:09:28 - 00:09:31] 然后可能这上面的车上的人
[00:09:31 - 00:09:34] 都是各个民航的不同口的
[00:09:34 - 00:09:35] 他有后期保障的
[00:09:35 - 00:09:36] 有机物 机组
[00:09:36 - 00:09:37] 怎么说呢
[00:09:37 - 00:09:40] 就是很多人可能会觉得这个圈子
[00:09:40 - 00:09:41] 怎么怎么样的
[00:09:41 - 00:09:43] 但是要我自己说的话
[00:09:43 - 00:09:45] 如果我今天在飞机上见到一个客人
[00:09:45 - 00:09:47] 死期不安略的给你
[00:09:47 - 00:09:48] 美女来个电话呗
[00:09:48 - 00:09:50] 对 我刚才想问的就是
[00:09:50 - 00:09:51] 你不是看过这事吧
[00:09:51 - 00:09:52] 我没看过
[00:09:52 - 00:09:53] 我还看电话没看过
[00:09:53 - 00:09:54] 我还见一看完
[00:09:54 - 00:09:55] 全国人民都知道了
[00:09:55 - 00:09:57] 我肯定不敢
[00:09:57 - 00:09:57] 我这不是
[00:09:57 - 00:09:58] 我又不想
[00:09:58 - 00:09:59] 我又不想
[00:09:59 - 00:10:00] 你想的话
[00:10:00 - 00:10:01] 你私底下告诉我
[00:10:01 - 00:10:01] 我想想着
[00:10:01 - 00:10:02] 对
[00:10:02 - 00:10:05] 那如果说你们在飞机上遇到了这样的情况
[00:10:05 - 00:10:06] 你们怎么办
[00:10:07 - 00:10:08] 是看情况
[00:10:08 - 00:10:10] 比如说跟我要微信的这个人
[00:10:10 - 00:10:12] 我觉得对他也有点感觉
[00:10:12 - 00:10:13] 我就给他了
[00:10:13 - 00:10:15] 还是说公司有规定
[00:10:15 - 00:10:16] 我就不准给他
[00:10:16 - 00:10:18] 其实在飞机上
[00:10:18 - 00:10:19] 您做过这么多次飞机
[00:10:19 - 00:10:20] 您算一下
[00:10:20 - 00:10:22] 如果你北京飞上海
[00:10:22 - 00:10:23] 你大概飞多久
[00:10:23 - 00:10:23] 飞两个什么
[00:10:23 - 00:10:25] 1号是5公分
[00:10:25 - 00:10:27] 这个过程中空姐会有多少次的跟你接触的时间
[00:10:27 - 00:10:30] 那你跟我接触时间是你的事
[00:10:30 - 00:10:32] 我想跟你接触的时候我的事了
[00:10:32 - 00:10:33] 比如说你两双厕所员
[00:10:33 - 00:10:34] 你可能在童童双那边
[00:10:34 - 00:10:35] 对吧
[00:10:35 - 00:10:36] 童童双前面是有一个系统
[00:10:36 - 00:10:38] 一边装着给你两双的乘客使用的
[00:10:38 - 00:10:38] 对不对
[00:10:38 - 00:10:39] 对
[00:10:39 - 00:10:40] 我就在那待着
[00:10:40 - 00:10:41] 你总不能说
[00:10:41 - 00:10:42] 就你一直在旁边
[00:10:42 - 00:10:43] 哎
[00:10:43 - 00:10:43] 对
[00:10:43 - 00:10:44] 採厕所呢
[00:10:44 - 00:10:44] 对
[00:10:44 - 00:10:45] 我给你聊
[00:10:45 - 00:10:45] 看饭食呢
[00:10:45 - 00:10:46] 对
[00:10:46 - 00:10:47] 我给你聊呗
[00:10:47 - 00:10:49] 那我就是像万一有这种死地白雷的
[00:10:49 - 00:10:51] 那我就是想要你的微信
[00:10:51 - 00:10:52] 哎
[00:10:52 - 00:10:52] 我小兄问
[00:10:52 - 00:10:54] 公司有没有规定说不准给
[00:10:54 - 00:10:56] 这个倒没有
[00:10:56 - 00:10:59] 也就是说可以有什么
[00:10:59 - 00:11:00] 但是也可以不给
[00:11:00 - 00:11:01] 对
[00:11:01 - 00:11:02] 那就是说开心情
[00:11:02 - 00:11:03] 因为我们在空中
[00:11:03 - 00:11:05] 我们是一个专业的状态
[00:11:05 - 00:11:05] 我是在服务
[00:11:05 - 00:11:07] 我是在工作中的
[00:11:07 - 00:11:09] 所以肯定是以工作为主
[00:11:09 - 00:11:10] 对不对
[00:11:10 - 00:11:10] 这个是私事
[00:11:10 - 00:11:11] 对不对
[00:11:11 - 00:11:11] 对
[00:11:11 - 00:11:13] 那可能我会跟客人说
[00:11:13 - 00:11:15] 那个我现在工作状态
[00:11:15 - 00:11:16] 可能不太方便
[00:11:16 - 00:11:18] 如果您真的想跟我交朋友的话
[00:11:18 - 00:11:20] 您可以把你的手机号给我
[00:11:20 - 00:11:21] 可能我会这样
[00:11:21 - 00:11:23] 但是我不一定会主动去联系你
[00:11:23 - 00:11:26] 然后又不会让客人觉得特别尴尬
[00:11:26 - 00:11:27] 嗯
[00:11:27 - 00:11:28] 作为我自己来说呢
[00:11:28 - 00:11:30] 我觉得在这样的场合
[00:11:30 - 00:11:32] 然后这样的接触
[00:11:32 - 00:11:33] 可能这个人不太靠谱
[00:11:33 - 00:11:34] 不太适合结婚
[00:11:34 - 00:11:36] 说回来的就是看心情吗
[00:11:36 - 00:11:36] 也不是
[00:11:36 - 00:11:39] 就是你你说的就是这个意思吗
[00:11:39 - 00:11:40] 你看你把你手上给我
[00:11:40 - 00:11:41] 我心情好的话
[00:11:41 - 00:11:43] 觉得我心情不好的话
[00:11:43 - 00:11:43] 就
[00:11:43 - 00:11:46] 但是百分之99%是不会去加的
[00:11:46 - 00:11:48] 只是我们的
[00:11:48 - 00:11:49] 叫什么
[00:11:49 - 00:11:49] 叫话速上
[00:11:49 - 00:11:51] 对 一个一个决定的方式
[00:11:51 - 00:11:53] 让客人不会觉得我直接拒绝你
[00:11:53 - 00:11:54] 是这样子
[00:11:54 - 00:11:56] 那我问一个
[00:11:56 - 00:11:57] 我觉得说坏啊
[00:11:57 - 00:11:58] 你跟我录节目时间长长
[00:11:58 - 00:11:59] 你就知道了
[00:11:59 - 00:12:01] 那你在这个空城的任务期间
[00:12:01 - 00:12:02] 有没有遇到过那种
[00:12:02 - 00:12:06] 可能会让你有没有一点点心仪的
[00:12:06 - 00:12:07] 好像还真的没有
[00:12:07 - 00:12:08] 没有
[00:12:08 - 00:12:09] 没有
[00:12:09 - 00:12:09] 不啊
[00:12:09 - 00:12:11] 在工作车上可以
[00:12:11 - 00:12:14] 工作车上那个是我们同事
[00:12:16 - 00:12:17] 是我们同事
[00:12:17 - 00:12:18] 挺好玩的
[00:12:18 - 00:12:20] 因为有的时候我们一直觉得
[00:12:20 - 00:12:22] 这个空姐的生活
[00:12:22 - 00:12:23] 其实挺单一的
[00:12:23 - 00:12:24] 对
[00:12:24 - 00:12:25] 就是大家可能会觉得很神秘
[00:12:25 - 00:12:26] 你知道吗
[00:12:26 - 00:12:28] 就觉得说找个空姐当女朋友
[00:12:28 - 00:12:29] 觉得好像很有面子
[00:12:29 - 00:12:30] 或者怎样的
[00:12:30 - 00:12:31] 但是有些时候
[00:12:31 - 00:12:33] 可能跟大家想的真的
[00:12:33 - 00:12:35] 不太一样
[00:12:35 - 00:12:36] 那这期节目
[00:12:36 - 00:12:38] 让我们对空姐的这种选拔
[00:12:38 - 00:12:41] 培训和她的日常的生活
[00:12:41 - 00:12:42] 有一个简单的了解
[00:12:42 - 00:12:43] 总之一句话
[00:12:43 - 00:12:44] 想认识空姐当女朋友
[00:12:44 - 00:12:47] 别忘了去做空交车
[00:12:48 - 00:12:48] 好
[00:12:48 - 00:12:51] 我们感谢我们的李老师这期给大家的分享
[00:12:51 - 00:12:52] 我们本期节目的就是这样
[00:12:52 - 00:12:53] 咱们下期节目再见
[00:12:53 - 00:12:54] 谢谢大家
