BV号：BV1Mx411y768
标题：BV1Mx411y768
链接：https://www.bilibili.com/video/BV1Mx411y768
识别语言：zh
语言置信度：1
分段数：133
生成时间：2026-04-04 13:27:28

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:03:10 - 00:03:11] 关键的争不着呢
[00:03:11 - 00:03:12] 明白吧
[00:03:12 - 00:03:13] 她本来就放弃了
[00:03:13 - 00:03:15] 这大学生谈恋爱的想法
[00:03:15 - 00:03:15] 她本来想说
[00:03:15 - 00:03:17] 我工作以后找过对象嘛
[00:03:17 - 00:03:18] 没想到跑到工地上发现
[00:03:18 - 00:03:19] 工地上就这么两个女人
[00:03:19 - 00:03:20] 一个老板的老婆
[00:03:20 - 00:03:21] 一个做换本大妈
[00:03:22 - 00:03:24] 大概在这四跑了半个月
[00:03:24 - 00:03:26] 觉得碰哪个都不过去
[00:03:26 - 00:03:27] 后来绝对回来考研了
[00:03:27 - 00:03:28] 她第二年考了
[00:03:28 - 00:03:31] 换大学的法律碩士专业
[00:03:31 - 00:03:33] 現在畢地也在中國中央電視台的工作
[00:03:35 - 00:03:37] 當年在雲南修許能戰的人
[00:03:37 - 00:03:39] 現在在中央電視台的工作
[00:03:39 - 00:03:41] 同學就講他的轉面語
[00:03:41 - 00:03:42] 就是轉面語在考驗
[00:03:42 - 00:03:43] 這不是語句話轉顏
[00:03:43 - 00:03:45] 所以同學說你現在不想幹一個行業的話
[00:03:45 - 00:03:45] 對
[00:03:45 - 00:03:46] 該看的話沒有問題的
[00:03:46 - 00:03:47] 知道吧
