BV号：BV1aE411k7oh
标题：BV1aE411k7oh
链接：https://www.bilibili.com/video/BV1aE411k7oh
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 06:09:02

[00:00:00 - 00:00:02] 大家好 我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:06] 在2019年10月10號的晚上6點10分左右
[00:06:28 - 00:06:30] 但是我們老闆就是 老闆逼著我拉
[00:06:30 - 00:06:31] 逼著我拉這麼多
[00:06:31 - 00:06:33] 那他這個司機的這個罪行
[00:06:33 - 00:06:35] 會不會相對所謂輕一些呢
[00:06:35 - 00:06:36] 會的 會說
[00:06:36 - 00:06:38] 甚至如果能夠證明說
[00:06:38 - 00:06:39] 這個老闆就是像我剛才
[00:06:39 - 00:06:40] 像您剛才講的說
[00:06:40 - 00:06:41] 你拉不拉
[00:06:41 - 00:06:43] 你不拉我就不那個開用你
[00:06:43 - 00:06:45] 我就不用你 我換一個人來
[00:06:45 - 00:06:47] 如果這種情況呢
[00:06:47 - 00:06:49] 咱們甚至有可能就是說司機不定罪
[00:06:49 - 00:06:51] 老闆定罪
[00:06:51 - 00:06:52] 老闆定交通照是罪
[00:06:52 - 00:06:54] 司機呢我們形範一個理論
[00:06:54 - 00:06:56] 咱們以後可以找個案例來討論
[00:06:56 - 00:06:58] 叫期待可能性
[00:06:58 - 00:06:59] 期待可能性
[00:06:59 - 00:07:01] 就是說如果這個人做這件事情
[00:07:01 - 00:07:02] 他是被迫的
[00:07:02 - 00:07:05] 我們不能期待他不做這件事情
[00:07:05 - 00:07:06] 那麼我們會給他
[00:07:06 - 00:07:09] 減輕責任甚至免除責任
[00:07:09 - 00:07:12] 就像這個司機要養家糊口
[00:07:12 - 00:07:14] 迫不得已要去拉這麼多貨
[00:07:14 - 00:07:15] 那這個時候我們就認為
[00:07:15 - 00:07:17] 真正罪魁禍首是谁是老板
[00:07:17 - 00:07:20] 但是我觉得应该不能那么太广泛的用
[00:07:20 - 00:07:21] 我举个例子
[00:07:21 - 00:07:22] 就像我们刚才说
[00:07:22 - 00:07:24] 我们正好说过这个案子
[00:07:24 - 00:07:25] 就是比如说一个小弟
[00:07:25 - 00:07:27] 然后老板说你去把那个人杀了
[00:07:27 - 00:07:29] 然后的话你不杀他我就杀你
[00:07:29 - 00:07:30] 对
[00:07:30 - 00:07:31] 对呀
[00:07:31 - 00:07:33] 那个后来不是说那个小弟定了罪吗
[00:07:33 - 00:07:33] 对呀
[00:07:33 - 00:07:36] 但是也是要减轻免除处罚的呀
[00:07:36 - 00:07:37] 有免除的
[00:07:37 - 00:07:39] 就有可能
[00:07:39 - 00:07:42] 就说他比一般你在街上随便的杀个人
[00:07:42 - 00:07:45] 或者像司机自己自觉自愿拉了好多好多
[00:07:45 - 00:07:47] 他就会判得轻得多
[00:07:47 - 00:07:49] 判得轻得多
[00:07:49 - 00:07:51] 就是说反正总之老板是
[00:07:51 - 00:07:51] 老板逃不了
[00:07:51 - 00:07:52] 老板是肯定逃不了的
[00:07:52 - 00:07:55] 对 如果是他要求司机装这么多
[00:07:55 - 00:07:57] 真正责任更大的是这个老板
[00:07:57 - 00:08:00] 但是我后来看到有很多网友在我那儿讨论什么呢
[00:08:00 - 00:08:02] 说政府监管部门
[00:08:02 - 00:08:02] 对吧
[00:08:02 - 00:08:04] 你说你这个高家乔
[00:08:04 - 00:08:06] 你有自己的这种载重的能力
[00:08:06 - 00:08:06] 对不对
[00:08:06 - 00:08:09] 然后的话你把这个车给放上去了
[00:08:09 - 00:08:13] 那相關的監管部門要不要負擔相當的一些責任嗎
[00:08:13 - 00:08:14] 嗯 對
[00:08:14 - 00:08:17] 這個問題呢 因為咱們昨天討論過這個案例
[00:08:17 - 00:08:20] 我還專門請教一下我們行政法的老師
[00:08:20 - 00:08:22] 他說呢 這個地方政府監管不利
[00:08:23 - 00:08:24] 肯定是有一定的問題的
[00:08:24 - 00:08:26] 你比如說你執法不嚴
[00:08:26 - 00:08:27] 如果你能做到
[00:08:27 - 00:08:28] 每上去一個大貨車
[00:08:29 - 00:08:32] 我就在那邊有人守著 我就能把你那個抓住
[00:08:32 - 00:08:34] 或者呢 我每天專門有人來查錄像
[00:08:35 - 00:08:37] 所有的上了高價的大貨 我依律給他罰
[00:08:37 - 00:08:38] 他就會
[00:08:38 - 00:08:39] 這個
[00:08:39 - 00:08:43] 會減少很多這種大或者偷偷上高價的事情對不對
[00:08:43 - 00:08:44] 但是呢
[00:08:44 - 00:08:46] 客觀上講我們的人力確實沒有那麼多
[00:08:46 - 00:08:48] 咱們的警察數量有限
[00:08:48 - 00:08:50] 你要增加警察能
[00:08:50 - 00:08:52] 增加警察又會增加群眾的這種
[00:08:52 - 00:08:53] 納稅員的這種負擔
[00:08:53 - 00:08:55] 所以現在就說
[00:08:55 - 00:08:56] 他在這個方面
[00:08:56 - 00:08:59] 真那個監管還是確實不利
[00:08:59 - 00:09:00] 但是我要跟你講的問題是什麼呢
[00:09:00 - 00:09:02] 就說這個監管不利
[00:09:02 - 00:09:05] 政府部門是應該道歉的
[00:09:05 - 00:09:07] 應該要加強監管
[00:09:07 - 00:09:13] 但是不能因此認為政府部門有賠償當事人的義務
[00:09:14 - 00:09:14] 為什麼呢
[00:09:14 - 00:09:16] 因為就是說監管
[00:09:16 - 00:09:17] 雖然我監管不利
[00:09:17 - 00:09:21] 但是我不是一個積極的行為造成了群眾的危害
[00:09:21 - 00:09:24] 你看如果說認為這個是監管不利
[00:09:24 - 00:09:26] 那麼有一個人賣假藥
[00:09:27 - 00:09:28] 那把別人吃死了
[00:09:28 - 00:09:32] 那要不要把政府這個藥罐藥監部門的人抓來判刑了
[00:09:32 - 00:09:34] 說他賣假藥你都沒關注
[00:09:34 - 00:09:36] 那另外一個說他那殺了人你沒關注
[00:09:36 - 00:09:37] 把公安的抓來
[00:09:37 - 00:09:40] 另一個說他開了酒喝了酒上車你沒抓住
[00:09:40 - 00:09:42] 這樣監管部門根本就太多了
[00:09:42 - 00:09:43] 所以現在一般講是這樣
[00:09:43 - 00:09:49] 就說監管部門它會有一個執法不利
[00:09:49 - 00:09:52] 他們如果內部確實是群眾反應非常強烈
[00:09:52 - 00:09:54] 內部可能會有一個相應的小處罰
[00:09:54 - 00:09:57] 甚至可能如果說有一個警察被他們認定
[00:09:57 - 00:09:59] 群眾多次反應這個問題強烈
[00:09:59 - 00:10:01] 你不管玩護之手
[00:10:01 - 00:10:02] 是有可能定玩護之手的
[00:10:02 - 00:10:03] 這是第一個
[00:10:03 - 00:10:05] 第二個對於這個人的損失
[00:10:05 - 00:10:08] 假如司機和老闆都沒有什麼能力賠償
[00:10:08 - 00:10:10] 這不死了好幾個人嗎?
[00:10:10 - 00:10:14] 有可能政府會以補償金的形式
[00:10:14 - 00:10:16] 來給群眾給一定的補貼
[00:10:16 - 00:10:18] 甚至他都不叫補償金
[00:10:18 - 00:10:19] 叫慰問金
[00:10:19 - 00:10:20] 意思就是說
[00:10:20 - 00:10:23] 我政府不是說我做了錯誤的行政行為
[00:10:23 - 00:10:24] 導致你的損失
[00:10:24 - 00:10:26] 但是確實
[00:10:26 - 00:10:28] 跟我也有那麼一點關係
[00:10:28 - 00:10:29] 我見管不利
[00:10:29 - 00:10:30] 所以他會給點補償金
[00:10:30 - 00:10:32] 其實我覺得這個事情當中
[00:10:32 - 00:10:37] 就是很多地方都是比如說不讓貨車上高價
[00:10:37 - 00:10:39] 或者說幾點幾點不讓貨車上高價
[00:10:39 - 00:10:40] 每個地方都有這個東西
[00:10:40 - 00:10:42] 但是我目前看起來好像
[00:10:42 - 00:10:46] 你拿這個案子來看就是6點10分左右
[00:10:46 - 00:10:47] 青天白日的啊
[00:10:47 - 00:10:48] 還是很那個什麼的時候
[00:10:48 - 00:10:50] 這個時期也不能說青天白日啊
[00:10:50 - 00:10:53] 就是說我覺得好像我記得很多高價都是
[00:10:53 - 00:10:55] 比如說11點以後才可能會讓你貨車走
[00:10:55 - 00:10:57] 那個時候社會成長比較少
[00:10:57 - 00:10:58] 然後才會讓你走
[00:10:58 - 00:11:01] 但是這個點你說它就能上得去
[00:11:01 - 00:11:05] 就说明他无息当地可能对这个东西在核查
[00:11:05 - 00:11:08] 就对这个东西监管确实不利
[00:11:08 - 00:11:09] 对监管的不够
[00:11:09 - 00:11:12] 你看我们现在很多就是大街上摄像头的地图是
[00:11:12 - 00:11:14] 有的时候我们开车的时候你要导航道
[00:11:14 - 00:11:16] 前方往上上头前方往上头
[00:11:16 - 00:11:19] 那像这种比如说像大货上高价这种
[00:11:19 - 00:11:21] 这个我真觉得就是说
[00:11:21 - 00:11:24] 这个东西是不是也要去监控一下
[00:11:24 - 00:11:26] 然后的话你该扣分扣分
[00:11:26 - 00:11:28] 然后你该对这个车牌号有的时候
[00:11:28 - 00:11:30] 真的你对这个司机可能你没法说
[00:11:30 - 00:11:32] 但是你对这个车牌号是不是有一个
[00:11:32 - 00:11:34] 黄牌你跟我们自己比
[00:11:34 - 00:11:35] 黄牌你跟红牌你跟奥一样
[00:11:35 - 00:11:35] 对吧
[00:11:35 - 00:11:37] 你时间之内你这个车你就
[00:11:37 - 00:11:38] 对你就不能
[00:11:38 - 00:11:39] 你比如你一周之内
[00:11:39 - 00:11:41] 一个月之内不许你再营运
[00:11:41 - 00:11:41] 对
[00:11:41 - 00:11:42] 这对他打击是致命的
[00:11:42 - 00:11:44] 而且刚才就是我们说的那个
[00:11:44 - 00:11:46] 那个刚才是附近有个刚才市场
[00:11:46 - 00:11:47] 对两个刚才市场
[00:11:47 - 00:11:48] 两个刚才市场
[00:11:48 - 00:11:50] 你出这个刚才市场的门的时候
[00:11:50 - 00:11:51] 对
[00:11:51 - 00:11:53] 你是不是应该有一个监管的部门
[00:11:53 - 00:11:54] 然后的话去查一下
[00:11:54 - 00:11:56] 他其实要弄死能弄
[00:11:56 - 00:11:57] 因为我突然想什么
[00:11:57 - 00:11:58] 你刚讲那个我想什么
[00:11:58 - 00:12:00] 咱们那个开车
[00:12:00 - 00:12:02] 你在哪不小心进了人家一个人行道
[00:12:02 - 00:12:03] 第二天
[00:12:03 - 00:12:05] 发达就出来了对吧
[00:12:05 - 00:12:06] 那得多
[00:12:06 - 00:12:07] 你说这些车有多少辆
[00:12:07 - 00:12:08] 对吧
[00:12:08 - 00:12:09] 那得有多少
[00:12:09 - 00:12:10] 那比他上个货车
[00:12:10 - 00:12:12] 那数量该少吧
[00:12:12 - 00:12:15] 这个从来就没露过谁的一次超速
[00:12:15 - 00:12:18] 这个那个那个变道什么错误
[00:12:18 - 00:12:19] 都没有露过
[00:12:19 - 00:12:21] 为什么那么大的大货车上高价
[00:12:21 - 00:12:23] 而且应该是量比较少
[00:12:23 - 00:12:24] 他也不可能排成队去上吧
[00:12:24 - 00:12:25] 对不对
[00:12:25 - 00:12:27] 那没有差过
[00:12:27 - 00:12:28] 说明他还是这个地方太放纵了
[00:12:28 - 00:12:33] 所以说我觉得首先第一呢我们希望类似的孩子以后不要带
[00:12:33 - 00:12:34] 对对对
[00:12:34 - 00:12:37] 而且的话就是这个事情出完以后我不知道杨老师因为有注意
[00:12:37 - 00:12:39] 就是很多王律列举了很多几年前
[00:12:40 - 00:12:41] 就有个类似的这样的
[00:12:41 - 00:12:42] 有
[00:12:42 - 00:12:45] 二维兵有这个也是一个桥侧面侧侧翻调
[00:12:45 - 00:12:47] 也是因为这个大货超载这个问题
[00:12:47 - 00:12:49] 然后的话就是他不已经不是第一次了
[00:12:49 - 00:12:52] 我们我们真的希望这是最后一次发生这样的事情
[00:12:53 - 00:12:55] 第二的话就是希望这些货车司机也好
[00:12:55 - 00:12:57] 还有说相应的这种成运的老板也好
[00:12:57 - 00:13:00] 一定要记住交通照顺罪不是说你出了事
[00:13:01 - 00:13:02] 才叫交通照顺罪
[00:13:02 - 00:13:04] 赚钱先要保命
[00:13:04 - 00:13:06] 保命的钱提下再谈赚钱
[00:13:07 - 00:13:09] 而且的话你只要抄载30%以上
[00:13:09 - 00:13:12] 你就是属于交通照顺罪的严重违法
[00:13:12 - 00:13:13] 就是严重抄载
[00:13:13 - 00:13:14] 有可能构成犯罪了
[00:13:14 - 00:13:15] 对这是有可能构成犯罪的
[00:13:16 - 00:13:18] 所以说的话以后真的希望那些大货的司机
[00:13:18 - 00:13:19] 老板再让你多拉的时候的话
[00:13:20 - 00:13:21] 你把这个交通照顺罪这个法条
[00:13:22 - 00:13:22] 给他看
[00:13:23 - 00:13:24] 老板我出事了
[00:13:24 - 00:13:25] 你也跑不了
[00:13:25 - 00:13:27] 你不要在这下点锅
[00:13:27 - 00:13:28] 整这个事
[00:13:28 - 00:13:29] 所以说
[00:13:29 - 00:13:31] 怎么说呢还是希望
[00:13:32 - 00:13:32] 以后这种事
[00:13:33 - 00:13:34] 不要再发生了
[00:13:34 - 00:13:35] 最好不要有好吧
[00:13:35 - 00:13:37] 那好我们感谢杨老师我们本期
[00:13:37 - 00:13:41] 这么好的共同分析了相关责任的一个责任
[00:13:41 - 00:13:43] 咱们本期节目就是这样咱们下期节目再见
[00:13:44 - 00:13:44] 谢谢大家
[00:13:44 - 00:13:45] 再见
