BV号：BV1jK411J7uW
标题：BV1jK411J7uW
链接：https://www.bilibili.com/video/BV1jK411J7uW
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-04-04 01:45:33

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:01:29 - 00:01:30] 我们能干什么呢
[00:01:30 - 00:01:32] 大家也会发现有很多很多
[00:01:32 - 00:01:33] 我们在介绍这个专业的时候
[00:01:33 - 00:01:37] 就基本上把未来这个专业的就业的
[00:01:37 - 00:01:39] 行业就业的前景给大家说了一下
[00:01:39 - 00:01:40] 我们再来看一下
[00:01:40 - 00:01:41] 首先第一呢
[00:01:41 - 00:01:43] 你可以做食品加工
[00:01:43 - 00:01:44] 储藏与运输
[00:01:44 - 00:01:46] 什么叫食品加工储藏与运输
[00:01:46 - 00:01:47] 比如说你像汁糖
[00:01:47 - 00:01:48] 像酿酒
[00:01:49 - 00:01:50] 包括像烟草
[00:01:50 - 00:01:52] 实际上真的学了这个专业以后的话
[00:01:53 - 00:01:54] 大多数的人呢
[00:01:54 - 00:01:55] 其实没有去烟草
[00:01:55 - 00:01:57] 因为去烟草很少很少有人
[00:01:57 - 00:01:59] 很难啊确实很难
[00:01:59 - 00:02:01] 因为不同学校它的方向不一样
[00:02:01 - 00:02:02] 像河南来讲的话
[00:02:02 - 00:02:03] 你将来毕业以后
[00:02:03 - 00:02:04] 很有可能就干烟草行业了
[00:02:04 - 00:02:06] 然后在其他学校学
[00:02:06 - 00:02:07] 师聘科学工程干烟草行业
[00:02:07 - 00:02:09] 可能就略微有点难
[00:02:09 - 00:02:12] 那么比较高端的一切都干嘛去了
[00:02:12 - 00:02:14] 其实比较高端的一切都去干酿久了
[00:02:14 - 00:02:15] 对对干酿久了
[00:02:15 - 00:02:17] 比如说给大家举个例子
[00:02:17 - 00:02:18] 在我们后面接受学校的时候
[00:02:18 - 00:02:20] 我给你说的一个学校叫做江南大学
[00:02:20 - 00:02:22] 江南大学是
[00:02:23 - 00:02:25] 食品这个专业排名全国
[00:02:25 - 00:02:26] 数一数二的学校
[00:02:26 - 00:02:28] 他跟中文能源大學
[00:02:28 - 00:02:28] 要么就是他第一
[00:02:28 - 00:02:30] 要么就是中文能源大學第一
[00:02:30 - 00:02:32] 像江南大學很多畢業生
[00:02:32 - 00:02:34] 畢業以後去了哪裡
[00:02:34 - 00:02:35] 酒廠
[00:02:35 - 00:02:36] 酒廠
[00:02:36 - 00:02:38] 因為現在一些比較高端的酒廠
[00:02:38 - 00:02:39] 好多酒廠效益
[00:02:39 - 00:02:40] 確實是
[00:02:40 - 00:02:41] 非常可以
[00:02:41 - 00:02:42] 確實非常可以
[00:02:42 - 00:02:43] 比如說大家都知道的
[00:02:44 - 00:02:45] 我相信如果各位家長你們瞅鼓的話
[00:02:45 - 00:02:47] 都知道中國股市市場有一個
[00:02:48 - 00:02:49] 非常牛的股票叫做
[00:02:49 - 00:02:50] 茅台
[00:02:50 - 00:02:50] 是吧
[00:02:50 - 00:02:51] 就懂茅台
[00:02:51 - 00:02:52] 你買一手得多多少錢
[00:02:52 - 00:02:53] 對不對
[00:02:53 - 00:02:55] 確實茅台的價格一直在攀升
[00:02:55 - 00:02:56] 那么像高端酒
[00:02:56 - 00:02:57] 包括像中端酒
[00:02:57 - 00:02:59] 中高端酒现在都非常不错
[00:02:59 - 00:03:02] 包括像一些相对比较低端的酒
[00:03:02 - 00:03:04] 我发现做酒的基本上就是
[00:03:04 - 00:03:08] 烟酒行业尤其是酒行业就没有什么赔钱的
[00:03:08 - 00:03:10] 所以说的话像这个行业每年
[00:03:10 - 00:03:13] 缺人缺的还是比较多的
[00:03:13 - 00:03:14] 然后或者你可以做什么
[00:03:14 - 00:03:16] 食品营养与安全与检测
[00:03:16 - 00:03:19] 比如说每一个食品生产厂商
[00:03:19 - 00:03:21] 都会有一个什么食品安全稿
[00:03:21 - 00:03:22] 都会有一个食品安全稿
[00:03:22 - 00:03:24] 你自己要检验一下你自己的那些食品
[00:03:24 - 00:03:26] 包括像食品工程設計與研發
[00:03:26 - 00:03:28] 比如說我們現在要設計一些什麼
[00:03:28 - 00:03:30] 綠色有機的
[00:03:30 - 00:03:32] 而要設計一些功能性的食品研發
[00:03:32 - 00:03:34] 比如說經常像我每天健身
[00:03:34 - 00:03:35] 就會有人問
[00:03:35 - 00:03:36] 那我老婆增機
[00:03:36 - 00:03:37] 我要多吃什麼東西
[00:03:37 - 00:03:39] 我可能多吃蛋白粉
[00:03:39 - 00:03:39] 對吧
[00:03:39 - 00:03:41] 那我現在我要怎麼降脂
[00:03:41 - 00:03:41] 對不對
[00:03:41 - 00:03:42] 我要減肥
[00:03:42 - 00:03:43] 那每天能不能怎麼樣
[00:03:43 - 00:03:44] 我又怎麼樣
[00:03:44 - 00:03:45] 叫
[00:03:45 - 00:03:46] 賣開腿
[00:03:46 - 00:03:47] 管住嘴
[00:03:47 - 00:03:48] 我賣開腿
[00:03:48 - 00:03:48] 我去運動了
[00:03:48 - 00:03:49] 我怎麼管住嘴
[00:03:49 - 00:03:50] 那我每天吃什麼東西
[00:03:50 - 00:03:52] 現在社會健康一些
[00:03:52 - 00:03:53] 我聽說
[00:03:53 - 00:03:54] 我有减肥的话
[00:03:54 - 00:03:56] 不能吃碳水化合物
[00:03:56 - 00:03:56] 对吧
[00:03:56 - 00:03:57] 那不能吃大米
[00:03:57 - 00:03:58] 我不能吃大米
[00:03:58 - 00:03:59] 我们是什么主食
[00:03:59 - 00:04:00] 我能是什么主食
[00:04:00 - 00:04:02] 有没有相应的其他的
[00:04:02 - 00:04:03] 因为吃其他主食
[00:04:03 - 00:04:04] 比如说
[00:04:04 - 00:04:05] 现在吃什么山药
[00:04:05 - 00:04:06] 芋头
[00:04:06 - 00:04:07] 或者说是蒸的一些紫薯
[00:04:08 - 00:04:09] 不好吃
[00:04:09 - 00:04:09] 对吧
[00:04:09 - 00:04:10] 这个紫薯怎么能
[00:04:11 - 00:04:13] 开发出一些其他的产品类别里面
[00:04:13 - 00:04:15] 能让这个东西更好吃
[00:04:15 - 00:04:15] 对吧
[00:04:15 - 00:04:16] 你像我们前两天
[00:04:16 - 00:04:17] 我有一个研究生同学
[00:04:17 - 00:04:18] 他研究了一个什么东西
[00:04:18 - 00:04:20] 他研究了一个东西叫无糖巧克力
[00:04:20 - 00:04:24] 我头一次听说有无糖巧克力你知道吧
[00:04:24 - 00:04:27] 我一吃感觉确实跟巧克力的味道很像
[00:04:27 - 00:04:29] 但是他跟我说这个东西是没有糖的
[00:04:29 - 00:04:31] 那你像如果说你将来想研发这种
[00:04:31 - 00:04:33] 像绿色食品保健食品
[00:04:33 - 00:04:34] 食品工程与设计
[00:04:34 - 00:04:37] 还有什么食品企业的一个经营与管理
[00:04:37 - 00:04:38] 还有像我们未来
[00:04:38 - 00:04:40] 很多同学学了食品以后的话
[00:04:40 - 00:04:41] 其实最想去的是什么地方
[00:04:41 - 00:04:43] 最想去的就是
[00:04:43 - 00:04:44] 下面这些单位
[00:04:44 - 00:04:45] 比如说质量监督
[00:04:45 - 00:04:47] 质量技术监督管理局
[00:04:47 - 00:04:49] 比如像食品药品监督管理局
[00:04:49 - 00:04:52] 比如像海关卫生防疫部门
[00:04:52 - 00:04:55] 金出口部门以及相关的工商局
[00:04:55 - 00:04:57] 大家你会发现我们现在对食品安全的
[00:04:58 - 00:05:00] 担心是不是越来越高
[00:05:00 - 00:05:01] 包括像安多年之前
[00:05:01 - 00:05:03] 像什么三路
[00:05:03 - 00:05:06] 然后的话像一些其他的一些各种各样的食品安全
[00:05:06 - 00:05:09] 每一年我们就看三亩晚会
[00:05:10 - 00:05:12] 可能看一些工业产品质量不靠谱的话
[00:05:13 - 00:05:14] 可能都还好
[00:05:14 - 00:05:14] 对吧
[00:05:14 - 00:05:17] 说这个汽车质量不好
[00:05:17 - 00:05:18] 安全气能弹不出来
[00:05:18 - 00:05:21] 后来一看什么车买不起
[00:05:21 - 00:05:22] 那就骂骂两句也就算了
[00:05:22 - 00:05:23] 对吧
[00:05:23 - 00:05:26] 但如果说你看到一个某食品生产企业
[00:05:26 - 00:05:27] 对吧
[00:05:27 - 00:05:29] 这个玩意你几乎天天吃
[00:05:29 - 00:05:30] 对吧
[00:05:30 - 00:05:32] 然后的话说他这个食品质量不过关
[00:05:32 - 00:05:32] 对吧
[00:05:32 - 00:05:34] 你会发现整个的
[00:05:34 - 00:05:36] 大家对于这个食品企业的恨的
[00:05:36 - 00:05:39] 比如你就拿当年那个三入奶粉
[00:05:39 - 00:05:40] 对吧
[00:05:40 - 00:05:42] 和现在很多什么什么汽车质量不好
[00:05:42 - 00:05:43] 你觉得哪个更可恨
[00:05:43 - 00:05:44] 明显吃的
[00:05:44 - 00:05:45] 对不对
[00:05:45 - 00:05:45] 明显吃的
[00:05:45 - 00:05:46] 所以说的话
[00:05:46 - 00:05:47] 大家可能将来更想去的是
[00:05:47 - 00:05:48] 这样的单位
[00:05:48 - 00:05:50] 像这样的单位的话
[00:05:50 - 00:05:51] 能去也可以
[00:05:51 - 00:05:51] 是吧
[00:05:51 - 00:05:52] 能去也可以
[00:05:52 - 00:05:54] 像要有烟草杖的行业
[00:05:54 - 00:05:55] 能去也当然更好了
[00:05:55 - 00:05:57] 那么院校推荐这方面
[00:05:57 - 00:05:59] 给大家推荐这么几类学校
[00:05:59 - 00:06:01] 首先第一类给大家推荐一个
[00:06:01 - 00:06:02] 就是刚才我们所说的
[00:06:02 - 00:06:03] 北边
[00:06:03 - 00:06:04] 中国论维大学
[00:06:04 - 00:06:06] 南边就是江南大学
[00:06:06 - 00:06:09] 这两个学校在食品科学与工程
[00:06:09 - 00:06:10] 这个专业上
[00:06:10 - 00:06:11] 可以说叫鼠一鼠二
[00:06:11 - 00:06:13] 有的时候它第一
[00:06:13 - 00:06:15] 有的时候江南大学第一
[00:06:15 - 00:06:16] 江南大学这个学校很有意思
[00:06:16 - 00:06:17] 在无锡
[00:06:17 - 00:06:18] 他在吴希
[00:06:18 - 00:06:20] 大家在报考的时候一定要注意一下
[00:06:20 - 00:06:22] 这个学校不在南京
[00:06:22 - 00:06:22] 不在上海
[00:06:22 - 00:06:23] 他在吴希
[00:06:23 - 00:06:26] 但是这个学校的专业一定是他们
[00:06:26 - 00:06:27] 这个学校最好的专业
