BV号：BV1Hb411p77w
标题：BV1Hb411p77w
链接：https://www.bilibili.com/video/BV1Hb411p77w
识别语言：zh
语言置信度：1
分段数：243
生成时间：2026-04-04 08:29:19

[00:00:00 - 00:00:03] 大家好 我是让学习变得更快乐的张雪风老师
[00:00:03 - 00:00:06] 在2012年呢 在咱们中国的大陆上映了一个电影
[00:00:06 - 00:00:11] 非常的好看 就是李安导演所导演的少年派的奇幻漂流
[00:00:11 - 00:00:14] 在这个电影当中呢 有这么一个角色是一只老虎
[00:00:14 - 00:00:17] 而且这个老虎呢 还有一个名字叫做李查德帕克
[00:00:19 - 00:00:21] 大家可能会有一个小奇怪的事情
[00:04:07 - 00:04:09] 在任何时候都是
[00:04:09 - 00:04:11] 平等的
[00:04:11 - 00:04:12] 不管你有没有家庭
[00:04:12 - 00:04:14] 不管你能多大
[00:04:14 - 00:04:15] 不管你是否虚弱
[00:04:15 - 00:04:15] 对
[00:04:15 - 00:04:16] 也不管你是否虚弱
[00:04:16 - 00:04:19] 只要你是一条活着的人
[00:04:19 - 00:04:21] 那我就要去保护这个人
[00:04:21 - 00:04:22] 对了
[00:04:22 - 00:04:23] 那最后也是判了的
[00:04:23 - 00:04:24] 对吧
[00:04:24 - 00:04:24] 对
[00:04:24 - 00:04:26] 但是他判了之后
[00:04:26 - 00:04:28] 他是判的是死刑吗
[00:04:28 - 00:04:31] 是这样法官先判了他死刑
[00:04:31 - 00:04:35] 但他本人又同时向维多利亚女王请求赦免
[00:04:36 - 00:04:37] 很奇怪的一件事情就是说
[00:04:38 - 00:04:39] 一方面法官认为
[00:04:39 - 00:04:41] 我们要遵守
[00:04:41 - 00:04:42] 人类社会的法则
[00:04:43 - 00:04:45] 我们不能吃我们的同伴
[00:04:45 - 00:04:47] 但是一方面他又非常
[00:04:47 - 00:04:48] 有人情味的想到
[00:04:49 - 00:04:50] 就是在当时的一种
[00:04:50 - 00:04:51] 迫不得已的
[00:04:51 - 00:04:53] 这几个人的人身危险性
[00:04:53 - 00:04:55] 和在大街上随意杀人的人的人性
[00:04:55 - 00:04:56] 显然不太一样
[00:04:56 - 00:04:58] 而且的话我觉得这三个人难能可贵的是什么呢
[00:04:58 - 00:05:01] 因为毕竟当时又没有什么所谓的结婚视频
[00:05:01 - 00:05:03] 说你看这个人是不是已经死了
[00:05:03 - 00:05:06] 如果这三个人当时就是骗法官说
[00:05:06 - 00:05:07] 这个人当时就是已经死在海上
[00:05:07 - 00:05:08] 我们撒把他吃掉了
[00:05:08 - 00:05:09] 对
[00:05:09 - 00:05:11] 他也就没事了
[00:05:11 - 00:05:12] 但是这三个人非常诚实的
[00:05:12 - 00:05:14] 就直接就是团圆自首
[00:05:14 - 00:05:14] 对吧
[00:05:14 - 00:05:18] 有这个改过自新的行为
[00:05:18 - 00:05:20] 这也就说明这三个人身危险性不大
[00:05:20 - 00:05:20] 对
[00:05:20 - 00:05:24] 那么后来英国女王还是维持他们的有罪的判决
[00:05:24 - 00:05:26] 但是把刑期改成六个月
[00:05:26 - 00:05:28] 就是从死刑改成六个月
[00:05:28 - 00:05:31] 那这个事如果发生在咱们中国的话会怎么判的
[00:05:31 - 00:05:33] 还是会判刑的
[00:05:33 - 00:05:34] 还是会判刑的
[00:05:34 - 00:05:35] 也会定故意杀人罪
[00:05:35 - 00:05:37] 但是呢他的量刑
[00:05:37 - 00:05:38] 还是会很轻
[00:05:38 - 00:05:41] 但是在当时英国的海上是有这样一个法则的
[00:05:41 - 00:05:43] 就是说如果说
[00:05:43 - 00:05:45] 我们在海上假如遇到了危险
[00:05:45 - 00:05:46] 四个人
[00:05:46 - 00:05:47] 我们抽圈
[00:05:47 - 00:05:48] 抽到谁
[00:05:48 - 00:05:49] 然后谁就要去死
[00:05:50 - 00:05:51] 然后让另外三个人活
[00:05:51 - 00:05:53] 当时的英国这个是合法的
[00:05:53 - 00:05:55] 如果当时他们抽了那个钱的话呢
[00:05:55 - 00:05:57] 就是这三个人是万一就帕克抽到了
[00:05:57 - 00:05:59] 这三个人是都是没事的
[00:05:59 - 00:06:00] 但是假如说在咱们中国
[00:06:00 - 00:06:02] 也是这四个人出海
[00:06:02 - 00:06:04] 然后的话也没办法了
[00:06:04 - 00:06:05] 最后大家说抽钱
[00:06:05 - 00:06:06] 就没办法
[00:06:06 - 00:06:07] 我们已经定好规则了
[00:06:07 - 00:06:08] 然后的话你没办法
[00:06:08 - 00:06:09] 你就得去死
[00:06:09 - 00:06:11] 那这个也要负相应的责任吗
[00:06:12 - 00:06:15] 这个在古代我不敢说
[00:06:15 - 00:06:16] 如果是在现代的话
[00:06:16 - 00:06:17] 还是要定罪的
[00:06:17 - 00:06:20] 就跟你抽不抽钱绝不决定
[00:06:20 - 00:06:21] 没关系
[00:06:21 - 00:06:21] 没关系是吧
[00:06:21 - 00:06:22] 但是那个人说
[00:06:22 - 00:06:24] 那我先让我倒霉我抽刀了
[00:06:24 - 00:06:25] 那怎么办
[00:06:25 - 00:06:28] 你可以自杀
[00:06:28 - 00:06:29] 你可以自杀
[00:06:29 - 00:06:32] 就是我决定为你们大家奉献我自己
[00:06:32 - 00:06:33] 对
[00:06:33 - 00:06:34] 这样奉献是可以的
[00:06:34 - 00:06:36] 但是如果你躺在那说同志们来吧
[00:06:37 - 00:06:39] 哪个同志扎你这一刀
[00:06:39 - 00:06:41] 还有哪个同志合伙决定扎你这一刀
[00:06:41 - 00:06:42] 大家都是故意杀人的罪
[00:06:42 - 00:06:43] 哦
[00:06:43 - 00:06:45] 就是说我就比如说
[00:06:45 - 00:06:46] 假如说我今天我不想活了
[00:06:46 - 00:06:47] 我去跳楼
[00:06:47 - 00:06:47] 对吧
[00:06:47 - 00:06:48] 我自己跳行
[00:06:48 - 00:06:49] 但你推我一把
[00:06:49 - 00:06:49] 那不行
[00:06:49 - 00:06:50] 你把我去
[00:06:50 - 00:06:51] 那就不行的
[00:06:51 - 00:06:52] 你来请我说杨老师呀
[00:06:52 - 00:06:54] 我是再跳不下去你帮我一把吧
[00:06:54 - 00:06:56] 我如果帮你这一把
[00:06:56 - 00:06:57] 我就是故意杀人
[00:06:57 - 00:07:00] 哪怕说我写封遗书说我让他没有用
[00:07:00 - 00:07:02] 我不能帮人自杀
[00:07:02 - 00:07:03] 这是犯罪
[00:07:03 - 00:07:05] 总之啊今天我们这个节目就告诉大家
[00:07:05 - 00:07:06] 人命
[00:07:06 - 00:07:07] 是最大的
[00:07:07 - 00:07:11] 你不能因为他有任何所谓的各种各样的问题
[00:07:11 - 00:07:12] 他这个人命就是
[00:07:12 - 00:07:14] 所谓第一件的你差距应该去死
[00:07:14 - 00:07:16] 人是最大的
[00:07:16 - 00:07:17] 所以说我们要珍惜
[00:07:17 - 00:07:18] 每一个生命
[00:07:18 - 00:07:18] 对
[00:07:18 - 00:07:19] 人和人
[00:07:19 - 00:07:21] 每一個生命都是平等的
[00:07:21 - 00:07:22] 好的
[00:07:22 - 00:07:23] 好 我們這期節目就是這樣
[00:07:23 - 00:07:26] 那麼咱們下一期法律其實很好玩
[00:07:26 - 00:07:27] 咱們再見 謝謝大家
