BV号：BV1SJ41187ds
标题：BV1SJ41187ds
链接：https://www.bilibili.com/video/BV1SJ41187ds
识别语言：zh
语言置信度：1
分段数：338
生成时间：2026-04-04 03:58:08

[00:00:02 - 00:00:05] 小学国内有一些小学要出中和高中
[00:03:18 - 00:03:19] 還是不能他在這兒哄孩子
[00:03:19 - 00:03:20] 然後在大地就覺得
[00:03:20 - 00:03:22] 真的就是社會進化的一個結果
[00:03:22 - 00:03:23] 對就覺得這是一個新聞
[00:03:23 - 00:03:26] 包括說後來我也常常被問到這個問題
[00:03:26 - 00:03:28] 但是我的回答是這樣的
[00:03:28 - 00:03:29] 我一般同樣會說
[00:03:29 - 00:03:31] 我說因為可能我覺得一個家庭嘛
[00:03:31 - 00:03:34] 他可能你一個需要收入來源
[00:03:34 - 00:03:37] 另外一個需要一個有人去照顧家
[00:03:37 - 00:03:41] 我覺得這是一個配合
[00:03:41 - 00:03:43] 那可能當一個人去
[00:03:43 - 00:03:44] 注重收入來源的時候
[00:03:44 - 00:03:47] 另外一個人就相對稍微往家庭那邊傾斜一下
[00:03:47 - 00:03:51] 我的回答是這個東西跟你是男是女沒什麼關係
[00:03:51 - 00:03:53] 如果說我們家
[00:03:53 - 00:03:54] 我接著跟我老婆說這樣的話
[00:03:54 - 00:03:56] 包括我在外面做節目也見她說這樣的話
[00:03:56 - 00:04:00] 如果我老婆的收入比我要遠高得多
[00:04:00 - 00:04:02] 那她的收入可以支撐這個家庭的話
[00:04:02 - 00:04:04] 我可以不工作
[00:04:04 - 00:04:05] 你比如說讓我照顧孩子
[00:04:05 - 00:04:08] 你讓我生孩子我都可以
[00:04:08 - 00:04:09] 加油
[00:04:09 - 00:04:11] 我覺得這有些是可以實現的
[00:04:11 - 00:04:13] 對我覺得這收得特別好
[00:04:13 - 00:04:15] 對我覺得這個東西跟性別是沒關係的
[00:04:15 - 00:04:18] 一定是有人可能相對於在收入這方面
[00:04:18 - 00:04:20] 有多為家庭貢獻一些
[00:04:20 - 00:04:23] 那另外一個人在其他的照顧這方面
[00:04:23 - 00:04:24] 可能就差不
[00:04:24 - 00:04:26] 這個東西跟你說實在是你沒關係
[00:04:26 - 00:04:27] 這個是看誰能做到
[00:04:27 - 00:04:28] 對
[00:04:28 - 00:04:30] 誰更能把那一方面做好
[00:04:30 - 00:04:31] 對吧
[00:04:31 - 00:04:33] 那我們另外一個人在那一方面就更
[00:04:33 - 00:04:34] 更照顧一下
[00:04:34 - 00:04:35] 我覺得這個是
[00:04:35 - 00:04:37] 就是說一個觀念的轉變
[00:04:37 - 00:04:38] 但是更多的其實
[00:04:38 - 00:04:39] 像我們聊了說
[00:04:39 - 00:04:41] 誰去出門掙錢比較多
[00:04:41 - 00:04:43] 誰可能負責的多一些
[00:04:43 - 00:04:44] 大家要看這個社會
[00:04:44 - 00:04:46] 對女性是不是夠友好
[00:04:46 - 00:04:46] 對吧
[00:04:46 - 00:04:48] 就是說如果女性說
[00:04:48 - 00:04:49] 大家我都支持你出去工作
[00:04:49 - 00:04:51] 但是實際上像您講的
[00:04:51 - 00:04:52] 可能一些崗位的設置
[00:04:52 - 00:04:53] 然後包括
[00:04:53 - 00:04:57] 可能一些甚至工作場所的設置
[00:04:57 - 00:04:59] 原來就是有聽說在國內比如說女員工
[00:04:59 - 00:05:01] 他都會支持你說不如請你上班
[00:05:01 - 00:05:05] 然後會有這個很好的一些安排
[00:05:05 - 00:05:13] 但是實際上他連一個安全的乾淨的一個是不乃的地方都沒有
[00:05:13 - 00:05:16] 那就等於說他整個的社會資源是跟不上的
[00:05:16 - 00:05:18] 包括很多現在就是女生
[00:05:18 - 00:05:21] 他的一些思想轉變也非常的關鍵
[00:05:21 - 00:05:22] 對對對對
[00:05:22 - 00:05:25] 你像外人他現在是自己在做一些事情
[00:05:25 - 00:05:26] 然後的話呢
[00:05:26 - 00:05:28] 他提出一個很有意思的觀點
[00:05:28 - 00:05:28] 我很認同
[00:05:28 - 00:05:31] 因為我家裡邊我是一個女兒
[00:05:31 - 00:05:32] 然後的話呢
[00:05:32 - 00:05:33] 外人就說過一句話
[00:05:33 - 00:05:35] 他說你看我現在去工作啊
[00:05:35 - 00:05:36] 去做點什麼事情
[00:05:36 - 00:05:37] 我不管掙多掙少
[00:05:37 - 00:05:38] 但是我要給我女兒
[00:05:38 - 00:05:39] 輸了一個榜樣
[00:05:39 - 00:05:42] 就是說媽媽花的錢
[00:05:42 - 00:05:45] 不是說像爸爸伸手要來的
[00:05:45 - 00:05:47] 是我自己去掙的
[00:05:47 - 00:05:49] 尤其是你是一個女兒
[00:05:49 - 00:05:51] 你更要給她輸了一種形象
[00:05:51 - 00:05:52] 否则他就会从小觉得
[00:05:52 - 00:05:54] 你看我想去花钱
[00:05:54 - 00:05:56] 妈妈花钱跟爸爸要就可以了
[00:05:56 - 00:05:58] 而不是说自己
[00:05:58 - 00:06:01] 也是得到您太太对家庭做了很大的贡献
[00:06:01 - 00:06:02] 就是这个贡献是要被认可
[00:06:02 - 00:06:03] 对对对
[00:06:03 - 00:06:05] 我去管你要钱是理所应当的
[00:06:05 - 00:06:05] 对对对对对
[00:06:05 - 00:06:08] 因为我负担了家庭的这个责任
[00:06:08 - 00:06:08] 对
[00:06:08 - 00:06:10] 但我觉得其实很多时候
[00:06:10 - 00:06:13] 就是也是女性对自己的一些观点
[00:06:13 - 00:06:16] 像你刚才说的一些思想的转变
[00:06:16 - 00:06:18] 比如说我原来就是就职的一家公司
[00:06:18 - 00:06:22] 然后全球的CFO他是非常
[00:06:22 - 00:06:23] 权责非常大的一位女性
[00:06:23 - 00:06:26] 然后他在当时被任命的时候
[00:06:26 - 00:06:30] 他就说我非常感谢你选我来做这个职位
[00:06:30 - 00:06:31] 我觉得自己做的还不够
[00:06:31 - 00:06:33] 所以我非常忐忑
[00:06:33 - 00:06:35] 然后后来呢就是他有他的
[00:06:35 - 00:06:37] 就属于职场导师吧
[00:06:37 - 00:06:38] 就跟他说你知道吗
[00:06:38 - 00:06:41] 就是很多女生在被任命的这种要职的时候
[00:06:41 - 00:06:43] 都会说跟你一样的话
[00:06:43 - 00:06:45] 但你知道男生说什么吗
[00:06:45 - 00:06:47] 就是两年之前你就应该选老子了
[00:06:47 - 00:06:49] 就是你為什麼等到現在
[00:06:49 - 00:06:52] 就我已經說我這麼優秀了你怎麼才選我
[00:06:52 - 00:06:56] 所以就是說女性她本身對自己是可能有更謙虛
[00:06:56 - 00:06:57] 然後更謹慎的一種態度
[00:06:57 - 00:07:00] 包括我們就是做招聘的時候
[00:07:00 - 00:07:03] 我發現的一點就是女性的候選人
[00:07:03 - 00:07:05] 她是不太去跟你談工資的
[00:07:05 - 00:07:08] 你問她要多少的數字很謹慎
[00:07:08 - 00:07:10] 你丟給她一個這個意象書之後
[00:07:10 - 00:07:11] 她也不太回覆
[00:07:11 - 00:07:14] 然後後來我發現這個事情是有統計數據的
[00:07:14 - 00:07:17] 好像是在美國做同樣的職位
[00:07:17 - 00:07:20] 就是每個男生如果拿一美金的話
[00:07:20 - 00:07:22] 這個女生就拿80%
[00:07:22 - 00:07:23] 就是因為可能很多時候
[00:07:23 - 00:07:25] 她也沒有主動去要求
[00:07:25 - 00:07:27] 所以我覺得這裡面有一個女性
[00:07:27 - 00:07:30] 就是自身心態和思維的一個轉變
[00:07:30 - 00:07:31] 覺得我就是值得
[00:07:31 - 00:07:33] 不管我是在家做家庭主婦
[00:07:33 - 00:07:36] 還是我出門做一個職業女性
[00:07:36 - 00:07:37] 我都值得去擁有
[00:07:37 - 00:07:39] 我想要擁有的東西
[00:07:39 - 00:07:41] 沒有必要向任何人道歉或者說
[00:07:41 - 00:07:44] 沒有必要向任何人覺得說我不配
[00:07:44 - 00:07:47] 我不值得我要繼續去努力證明自己這一點
[00:07:47 - 00:07:48] 就是給大家一個建議
[00:07:48 - 00:07:49] 尤其是女性求職者
[00:07:49 - 00:07:51] 就是在求職的時候一定要去
[00:07:51 - 00:07:53] 積極的爭取
[00:07:53 - 00:07:54] 積極爭取
[00:07:54 - 00:07:56] 然後的話要去自信
[00:07:56 - 00:07:57] 對
[00:07:57 - 00:07:57] 對吧
[00:07:57 - 00:07:58] 然後如果說
[00:07:58 - 00:08:00] 我們張老師在給一些其他建議呢
[00:08:00 - 00:08:02] 把自己最真實的一面展示出來
[00:08:02 - 00:08:04] 把自己的實力展示出來
[00:08:04 - 00:08:05] 對
[00:08:05 - 00:08:06] 去想一下自己的優勢
[00:08:06 - 00:08:09] 那比如說要不要去告訴求職者
[00:08:09 - 00:08:10] 比如說
[00:08:10 - 00:08:12] 就是我現在的有時候講夠了
[00:08:12 - 00:08:13] 我經常給學生講
[00:08:13 - 00:08:15] 我說你們在求職的時候
[00:08:15 - 00:08:16] 如果用人單位
[00:08:16 - 00:08:18] 因為有的用人單位真的會問這個問題
[00:08:18 - 00:08:20] 說你有沒有男朋友
[00:08:20 - 00:08:25] 然後這個問題我給大家的建議是告訴老闆
[00:08:25 - 00:08:26] 我沒有男朋友
[00:08:26 - 00:08:29] 然後你覺得這個回答是對的還是錯的
[00:08:29 - 00:08:30] 因為我的考慮是這樣的
[00:08:30 - 00:08:34] 因為我們現在在國內的一些老闆也好
[00:08:34 - 00:08:35] 或者說人質也好
[00:08:35 - 00:08:37] 他還是環境裡有些的那個限制
[00:08:37 - 00:08:40] 他會有這方面的考慮
[00:08:40 - 00:08:41] 如果說你是一個研究生學歷
[00:08:41 - 00:08:44] 可能你之前二多岁一直在求学对不对
[00:08:44 - 00:08:45] 但如果说我会考虑到
[00:08:45 - 00:08:48] 如果说一个女性她本科毕业
[00:08:48 - 00:08:51] 然后她在27、28岁的年代突然跳槽
[00:08:51 - 00:08:54] 那她只有可能会在未来两到三年之内
[00:08:54 - 00:08:57] 要去结婚要去生孩子
[00:08:57 - 00:09:01] 如果她正好在27、28岁的时候有男朋友
[00:09:01 - 00:09:02] 而且是固定的男友
[00:09:02 - 00:09:04] 我可能在她聊的时候
[00:09:04 - 00:09:07] 发现一个固定男友已经她快一两两三年了
[00:09:07 - 00:09:09] 她在只有可能会在年年期
[00:09:09 - 00:09:10] 这个八卦的
[00:09:10 - 00:09:13] 还用可能现在后面你要生孩子
[00:09:13 - 00:09:14] 那还有可能我最近两年
[00:09:14 - 00:09:15] 我可能用这个人
[00:09:15 - 00:09:19] 可能用的就不是那么很道位
[00:09:19 - 00:09:21] 所以我给这帮人的建议是
[00:09:21 - 00:09:22] 我说你不要让他们说
[00:09:22 - 00:09:23] 你有男朋友
[00:09:23 - 00:09:23] 你觉得我这个建议
[00:09:23 - 00:09:25] 给的是对的还是错的
[00:09:25 - 00:09:26] 我就看对方公司
[00:09:26 - 00:09:27] 就是第一
[00:09:27 - 00:09:28] 如果再有选择的情况下
[00:09:28 - 00:09:29] 我们去选择那些
[00:09:29 - 00:09:30] 不问题这些问题
[00:09:32 - 00:09:34] 如果说没有选择
[00:09:34 - 00:09:36] 而且就是你觉得对方确实
[00:09:36 - 00:09:39] 就是想知道你会不会结婚生孩子
[00:09:39 - 00:09:40] 而且是不是可以意识就是说
[00:09:40 - 00:09:42] 他如果问你这个问题的话
[00:09:43 - 00:09:44] 你就再考虑一下要不要去
[00:09:44 - 00:09:45] 就真的是
[00:09:45 - 00:09:48] 他有可能在你这个怀孕结婚等等等等的时候
[00:09:48 - 00:09:49] 就找个理由
[00:09:49 - 00:09:51] 就是说给你调个干杯
[00:09:51 - 00:09:52] 这也是一个信号嘛
[00:09:52 - 00:09:52] 对不对
[00:09:52 - 00:09:54] 我觉得这是一个威胁的信号
[00:09:54 - 00:09:56] 这会不会非常危险的信号对不对
[00:09:56 - 00:09:56] 对
[00:09:56 - 00:09:57] 所以我就给他问
[00:09:57 - 00:09:59] 我说你们一定要注意
[00:09:59 - 00:10:00] 就是如果说一代有
[00:10:00 - 00:10:01] 有公司在面试问这个
[00:10:01 - 00:10:02] 你就说你没有
[00:10:02 - 00:10:03] 嗯
[00:10:03 - 00:10:03] 对
[00:10:03 - 00:10:05] 如果说你要说你有的话
[00:10:05 - 00:10:06] 他很有可能真的就
[00:10:06 - 00:10:07] 就是趋利避害了
[00:10:07 - 00:10:08] 如果说实在
[00:10:08 - 00:10:10] 就是一定要去这个公司的话
[00:10:10 - 00:10:12] 我觉得像您这么回答没什么问题
[00:10:12 - 00:10:12] 是吧
[00:10:12 - 00:10:13] 这本身就是自己的私事
[00:10:13 - 00:10:15] 我今天有没准明天就分手
[00:10:15 - 00:10:16] 能管得着好吗
[00:10:16 - 00:10:16] 对
[00:10:18 - 00:10:18] 可以
[00:10:18 - 00:10:20] 反正就是希望
[00:10:20 - 00:10:22] 就是因为现在就是确决
[00:10:22 - 00:10:24] 其实很多在职场上
[00:10:24 - 00:10:25] 可能女生稍微
[00:10:25 - 00:10:26] 目前来讲
[00:10:26 - 00:10:27] 不受很多限制
[00:10:27 - 00:10:28] 是受很多限制的
[00:10:28 - 00:10:30] 所以说我们也希望通过这一期节目
[00:10:30 - 00:10:33] 能够给那些各位女性的求职者
[00:10:33 - 00:10:35] 一些比较好的一些
[00:10:35 - 00:10:36] 特别的影响
[00:10:36 - 00:10:37] 对 建议
[00:10:37 - 00:10:38] 反正不管怎么样
[00:10:38 - 00:10:39] 不管你是男生还是女生
[00:10:39 - 00:10:43] 都希望大家未来在职场上能够越来越好
[00:10:43 - 00:10:44] 好不好
[00:10:44 - 00:10:45] 那好我们本期节目呢就是这样
[00:10:45 - 00:10:47] 咱们下期节目再见
[00:10:47 - 00:10:47] 谢谢大家
[00:10:47 - 00:10:48] 谢谢大家
[00:10:49 - 00:10:50] 这现实
[00:10:50 - 00:10:53] 但是其中也可能包含一定的偏见
[00:10:53 - 00:10:57] 就是我觉得在职场上女生会受到很多限制
[00:10:57 - 00:10:58] 但这里面像你刚才提到的
[00:10:58 - 00:11:00] 我觉得它就是一个收下选择
[00:11:00 - 00:11:02] 自然淘汰的过程
[00:11:02 - 00:11:03] 比如说您在这个招的时候
[00:11:03 - 00:11:04] 就说我们招了女生
[00:11:04 - 00:11:05] 这个就是骑士
