BV号：BV1os411h7Aj
标题：BV1os411h7Aj
链接：https://www.bilibili.com/video/BV1os411h7Aj
识别语言：zh
语言置信度：1
分段数：125
生成时间：2026-04-04 13:32:52

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:01:19 - 00:01:21] 需要時時去思考啊,對吧?
[00:01:21 - 00:01:22] 同學考試的時候你慢慢想
[00:01:22 - 00:01:24] 這種題考試的時候它一定有30個
[00:01:26 - 00:01:28] 每個題兩分,一共六十分
[00:01:28 - 00:01:30] 所以你會發現考這一部分的時候
[00:01:30 - 00:01:31] 有的人考著考著
[00:01:31 - 00:01:33] 他就突然知道吧
[00:01:33 - 00:01:34] 很正常,他也繞了,知道吧
[00:01:34 - 00:01:36] 而且我也建議大家就是
[00:01:36 - 00:01:37] 不管考不过关联任何的
[00:01:37 - 00:01:39] 我不关你考不过关联任何
[00:01:39 - 00:01:40] 我都建议大家
[00:01:40 - 00:01:41] 你把这30个逻辑体
[00:01:41 - 00:01:42] 拿回去自己做一下
[00:01:42 - 00:01:43] 知道吗
[00:01:43 - 00:01:44] 自己做了解自己
[00:01:44 - 00:01:46] 给别人做了解别人
[00:01:47 - 00:01:47] 知道吗
[00:01:47 - 00:01:48] 你看你身边这个人
[00:01:48 - 00:01:49] 是不是个正常人
[00:01:49 - 00:01:50] 他一去不正常
[00:01:50 - 00:01:51] 你没发现
[00:01:51 - 00:01:51] 那么要吧
[00:01:51 - 00:01:52] 比如同学你要说到
[00:01:52 - 00:01:53] 咱们正常人的话
[00:01:53 - 00:01:54] 是不是都有逻辑
[00:01:54 - 00:01:54] 随便怎么讲
[00:01:54 - 00:01:55] 对不对
[00:01:55 - 00:01:56] 一个正常人的话
[00:01:56 - 00:01:56] 逻辑这个能力
[00:01:56 - 00:01:58] 这30个技能对多少个
[00:01:58 - 00:01:59] 能对多少个
[00:01:59 - 00:02:01] 10个到20个之间
[00:02:01 - 00:02:01] 知道吧
[00:02:01 - 00:02:02] 你比如拿回来举例子
[00:02:02 - 00:02:03] 我就很正常
[00:02:03 - 00:02:04] 也许你看不出来
[00:02:04 - 00:02:04] 对吧
[00:02:04 - 00:02:06] 大家同学我跟你说每一年考完以后
[00:02:06 - 00:02:08] 我把这个题拿过来一做
[00:02:08 - 00:02:10] 15个到18个之间
[00:02:10 - 00:02:11] 正常水平知道吧
[00:02:11 - 00:02:11] 要这么说
[00:02:11 - 00:02:13] 五个同学做老师他对了
[00:02:13 - 00:02:15] 不知道他老师他对了25个
[00:02:15 - 00:02:16] 我跟你说
[00:02:16 - 00:02:18] 这个人两个字形容一下冷静
[00:02:18 - 00:02:20] 还冷静了知道吧
[00:02:20 - 00:02:20] 头去你发现
[00:02:20 - 00:02:23] 逻辑体的体面是不是比较乱
[00:02:23 - 00:02:24] 那么乱的体面
[00:02:24 - 00:02:26] 他都能把题给做对
[00:02:26 - 00:02:27] 而且还做对大多数
[00:02:27 - 00:02:28] 说明什么
[00:02:28 - 00:02:29] 这个们平时生活当中
[00:02:29 - 00:02:30] 也是一个冷静的人
[00:02:30 - 00:02:31] 遇到再困难
[00:02:31 - 00:02:32] 再乱的局面
[00:02:32 - 00:02:33] 这个人一定会怎么样
[00:02:33 - 00:02:34] 冷静思考
[00:02:34 - 00:02:35] 对吧
[00:02:35 - 00:02:37] 然后呢怕选出一条最有利的选择
[00:02:37 - 00:02:38] 这人就很冷静知道吧
[00:02:38 - 00:02:40] 然后张老师我找了个男朋友
[00:02:40 - 00:02:41] 老师他对了30个
[00:02:41 - 00:02:43] 赶紧分手
[00:02:43 - 00:02:43] 知道吧
[00:02:43 - 00:02:44] 为什么同学
[00:02:44 - 00:02:45] 可以他把你干死了
[00:02:45 - 00:02:47] 埋在那儿谁都找不着
[00:02:47 - 00:02:47] 知道吧
[00:02:47 - 00:02:49] 如今怎么能离台上天车的罪犯
[00:02:49 - 00:02:50] 知道吧
[00:02:50 - 00:02:51] 然后张老师我给我另外一份歌
[00:02:51 - 00:02:53] 老师他就对着我五个级
[00:02:53 - 00:02:54] 我说我跟你说
[00:02:54 - 00:02:54] 这种人啊
[00:02:54 - 00:02:55] 在咱们东北叫什么
[00:02:55 - 00:02:56] 大山炮
[00:02:57 - 00:02:58] 知道吧
[00:02:58 - 00:02:59] 什么叫大山炮知道吧
[00:03:00 - 00:03:01] 什么叫大山炮
[00:03:01 - 00:03:03] 一对人想都不想干他
[00:03:03 - 00:03:04] 大神炮
[00:03:04 - 00:03:05] 爸爸
[00:03:05 - 00:03:06] 之外生命越离神炮
[00:03:06 - 00:03:07] 知道了吗
[00:03:07 - 00:03:08] 神炮换起来
[00:03:08 - 00:03:09] 科技都打
[00:03:09 - 00:03:10] 我跟你说
