BV号：BV1GE411r7KR
标题：BV1GE411r7KR
链接：https://www.bilibili.com/video/BV1GE411r7KR
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-04-04 06:05:20

[00:00:02 - 00:00:03] 刚才我站在一块儿
[00:05:26 - 00:05:28] 迸床扣篮这项运动
[00:05:28 - 00:05:30] 它是从助跑开始
[00:05:30 - 00:05:31] 然后踏床
[00:05:31 - 00:05:32] 弹起来
[00:05:32 - 00:05:33] 然后做一些动作
[00:05:33 - 00:05:34] 再完成扣篮
[00:05:34 - 00:05:36] 这些区别于我们平时在
[00:05:36 - 00:05:38] 打篮球广场中的那些
[00:05:38 - 00:05:39] 就是运球啊
[00:05:39 - 00:05:40] 突破啊
[00:05:40 - 00:05:41] 投篮
[00:05:41 - 00:05:43] 这些其实和迸床扣篮都是
[00:05:43 - 00:05:44] 它像
[00:05:44 - 00:05:46] 杭哥我觉得它好像跟身体的
[00:05:46 - 00:05:47] 协调性跟体操好像
[00:05:47 - 00:05:48] 对
[00:05:48 - 00:05:49] 是的
[00:05:49 - 00:05:54] 最关键的点就在于你被蹦床弹起来的时候
[00:05:54 - 00:05:57] 能不能控制好你自己的姿态
[00:05:57 - 00:05:58] 然后去做一些
[00:05:58 - 00:06:00] 比如说跨下换手
[00:06:00 - 00:06:01] 就有些转体
[00:06:01 - 00:06:03] 空翻
[00:06:03 - 00:06:04] 然后传给后边的队员
[00:06:04 - 00:06:06] 然后做接力
[00:06:06 - 00:06:08] 其实这个才是蹦床靠拦
[00:06:08 - 00:06:09] 这项表演的一个
[00:06:09 - 00:06:11] 就是比较核心的一些动作
[00:06:11 - 00:06:14] 那他当今如果说有这种体操底子
[00:06:14 - 00:06:16] 或者是有这种蹦床底子的话
[00:06:16 - 00:06:17] 那做这个可能会
[00:06:17 - 00:06:17] 对
[00:06:17 - 00:06:19] 会上手快一些
[00:06:19 - 00:06:20] 上手稍微快一些
[00:06:20 - 00:06:21] 那有没有那种上手不快的
[00:06:21 - 00:06:22] 我举个例子
[00:06:22 - 00:06:23] 比如说像我这种
[00:06:23 - 00:06:25] 我觉得是平时短手速度还可以
[00:06:25 - 00:06:26] 还可以
[00:06:26 - 00:06:26] 对
[00:06:26 - 00:06:27] 助跑还可以的
[00:06:27 - 00:06:28] 然后的话像我这种
[00:06:28 - 00:06:29] 我就担心什么呢
[00:06:29 - 00:06:30] 你看我这种就是巴
[00:06:30 - 00:06:31] 蹦床上
[00:06:31 - 00:06:32] 然后的话弹起来
[00:06:32 - 00:06:34] 我会不会挂篮狂
[00:06:34 - 00:06:34] 或者是
[00:06:34 - 00:06:36] 或者是直接跳到篮板上
[00:06:36 - 00:06:38] 或者甚至非斗观众席去
[00:06:38 - 00:06:40] 这个可能性不大
[00:06:40 - 00:06:42] 但是也会有一定的可能性
[00:06:42 - 00:06:43] 因为其实初学者
[00:06:43 - 00:06:45] 在练习这个项目的时候
[00:06:45 - 00:06:47] 刚一开始他其实
[00:06:47 - 00:06:49] 最主要的就是要适应那个蹦床
[00:06:49 - 00:06:50] 就像您说的
[00:06:50 - 00:06:52] 您担心踏完床之后
[00:06:52 - 00:06:53] 冲出去
[00:06:53 - 00:06:53] 对
[00:06:53 - 00:06:54] 实际上是不会的
[00:06:54 - 00:06:56] 因为它蹦床本身是一个斜面
[00:06:56 - 00:06:57] 对
[00:06:57 - 00:06:58] 我从它是
[00:06:58 - 00:07:00] 我从猪跑的这一面跑出去
[00:07:00 - 00:07:00] 对
[00:07:00 - 00:07:02] 是一个上坑
[00:07:02 - 00:07:03] 所以我踏完床之后
[00:07:04 - 00:07:07] 它本身会把你向前的力转化成
[00:07:07 - 00:07:08] 向上的力
[00:07:08 - 00:07:09] 对
[00:07:09 - 00:07:11] 然后最关键的问题就在于
[00:07:11 - 00:07:12] 对于初学者来讲
[00:07:12 - 00:07:14] 踏完床弹起来的这一下
[00:07:14 - 00:07:17] 因为蹦床给它的反弹作用力是很大的
[00:07:17 - 00:07:19] 能不能控制好这个反弹力
[00:07:19 - 00:07:21] 然后把你的腰腹
[00:07:21 - 00:07:24] 把你的整个上肢和下肢
[00:07:24 - 00:07:25] 就是这个肌肉
[00:07:25 - 00:07:25] 空洞最快的
[00:07:25 - 00:07:27] 对 紧张起来去控制好
[00:07:27 - 00:07:30] 然后才能够完全的借助这个
[00:07:30 - 00:07:32] 蹦床的反弹力把你弹起来
[00:07:32 - 00:07:34] 弹到一定的高度
[00:07:34 - 00:07:35] 再去做动作
[00:07:35 - 00:07:36] 我不过我看到很多
[00:07:36 - 00:07:37] 原来就是他在说
[00:07:37 - 00:07:39] 中间他不是有那种表演
[00:07:39 - 00:07:39] 吉祥物
[00:07:39 - 00:07:40] 对 吉祥物那种
[00:07:40 - 00:07:42] 吉祥物带着那么大的一个大土豆
[00:07:42 - 00:07:44] 或者说甚至后面还有个大一波狼
[00:07:44 - 00:07:45] 对了
[00:07:45 - 00:07:46] 对了
[00:07:46 - 00:07:47] 你对着他们一个东西
[00:07:47 - 00:07:51] 他后来也都可以很好的协调好
[00:07:51 - 00:07:53] 这都得是平时得加一群练书
[00:07:53 - 00:07:54] 是的
[00:07:54 - 00:07:57] 有很多支这种工程浩兰的团队
[00:07:57 - 00:08:02] 大部分的球队都会有自己的一支签约的工程浩兰表演队
[00:08:02 - 00:08:07] 这里边也包括吉祥物都在这支表演队里边
[00:08:07 - 00:08:07] 对
[00:08:07 - 00:08:08] 那吉祥物不是他们队的
[00:08:08 - 00:08:10] 是人家表演队的
[00:08:10 - 00:08:10] 对
[00:08:10 - 00:08:13] 其实是和表演队都在一起的
[00:08:13 - 00:08:15] 平时他也会一起去训练
[00:08:15 - 00:08:17] 如果他不去扮演机箱幕的时候
[00:08:17 - 00:08:18] 他可能也会去参与别的
[00:08:18 - 00:08:19] 崩盛扣篮的表演
[00:08:19 - 00:08:20] 对
[00:08:20 - 00:08:23] 那像你们这个都上了春晚了
[00:08:23 - 00:08:25] 那CBA赛场那些崩
[00:08:25 - 00:08:27] 表演的也就是基本上也是你们
[00:08:27 - 00:08:30] CBA赛场基本上到目前为止
[00:08:30 - 00:08:33] 国内大家看到的赛场上的这种
[00:08:33 - 00:08:34] 形式的表演都是我们
[00:08:34 - 00:08:36] 厉害了
[00:08:36 - 00:08:36] 厉害了
[00:08:36 - 00:08:39] 像我们这种崩盛扣篮这种形式
[00:08:39 - 00:08:40] 就是
[00:08:40 - 00:08:42] 它是咱们国内先发明的
[00:08:42 - 00:08:44] 还是国外先发明的
[00:08:44 - 00:08:47] 这个是国外先有的
[00:08:47 - 00:08:51] 我们也是在一些网络上面看到这些视频
[00:08:51 - 00:08:52] 就是比较酷
[00:08:52 - 00:08:56] 然后我们本身有一些大部分的队员
[00:08:56 - 00:08:58] 他是不能够实现平地扣篮的
[00:08:58 - 00:09:00] 然后又想去
[00:09:00 - 00:09:01] 就像磕头就磕头就磕
[00:09:01 - 00:09:03] 咱俩这样来着
[00:09:03 - 00:09:04] 我能扣
[00:09:04 - 00:09:04] 你能扣
[00:09:04 - 00:09:05] 对
[00:09:05 - 00:09:06] 我原来实实是能扣的
[00:09:06 - 00:09:09] 但是就是和蹦蹦扣篮上面做出来的动作
[00:09:09 - 00:09:10] 还是有区别
[00:09:10 - 00:09:11] 对
[00:09:11 - 00:09:13] 他可能你还得去这种翻翻翻
[00:09:13 - 00:09:13] 对对对
[00:09:13 - 00:09:15] 然后你比如说平地上面
[00:09:15 - 00:09:18] 我们能做一个简单的单手的扣篮
[00:09:18 - 00:09:20] 但是在风筝上面你的高度起来了
[00:09:20 - 00:09:21] 你可以录一个风车
[00:09:21 - 00:09:24] 或者是做一个夸下的换手
[00:09:24 - 00:09:26] 就会让你扣得更爽
[00:09:26 - 00:09:26] 对吧
[00:09:26 - 00:09:27] 就各种各样的动作
[00:09:27 - 00:09:28] 就完了
[00:09:28 - 00:09:29] 就完了就完了
[00:09:29 - 00:09:29] 想那么够
[00:09:29 - 00:09:30] 反正你工作是够的
[00:09:30 - 00:09:31] 对吧
[00:09:31 - 00:09:35] 所以就是原来我们在国外看到的这个形式
[00:09:35 - 00:09:37] 然后我们就是一帮小伙伴
[00:09:37 - 00:09:38] 然后就开始着闷
[00:09:38 - 00:09:40] 我们要不要尝试去玩
[00:09:40 - 00:09:45] 所以最早就是这些蹦床什么都是我们自己去琢磨出来的
[00:09:45 - 00:09:46] 对我们自己弄
[00:09:46 - 00:09:47] 对
[00:09:47 - 00:09:49] 你也不怕
[00:09:49 - 00:09:52] 你刚才认为的时候肯定也是有很多食物
[00:09:52 - 00:09:54] 比如第一次tarawee
[00:09:54 - 00:09:55] 反正是
[00:09:55 - 00:09:56] 反复的去调试
[00:09:56 - 00:09:58] 然后其实看起来很简单
[00:09:58 - 00:10:01] 可能就是几个钢铁的支架
[00:10:01 - 00:10:02] 挂几个弹簧
[00:10:02 - 00:10:04] 中间再挂一个网子
[00:10:04 - 00:10:07] 然后其实它就可以有一定的弹性了
[00:10:07 - 00:10:09] 但是你要反复的调试
[00:10:09 - 00:10:12] 是这个凤床给你这个力量大不大
[00:10:12 - 00:10:14] 然后他的角度是这个
[00:10:14 - 00:10:16] 呃低了还是高了
[00:10:16 - 00:10:18] 这种我们慢慢去尝试
[00:10:18 - 00:10:22] 然后去研发出来我们的第一个凤床
[00:10:22 - 00:10:25] 然后大家踩到这个凤床能做出来
[00:10:25 - 00:10:26] 这个扣篮动作的时候
[00:10:26 - 00:10:28] 其实当时还是挺兴奋的
[00:10:28 - 00:10:28] 是吧
[00:10:28 - 00:10:29] 就觉得好意外是吧
[00:10:29 - 00:10:31] 我觉得可以不做个高创
[00:10:31 - 00:10:31] 是
[00:10:31 - 00:10:32] 我的天
[00:10:32 - 00:10:35] 那怎么为什么不先从国外买一个回来呀
[00:10:35 - 00:10:36] 当时一个凤
[00:10:36 - 00:10:39] 第一次我们不知道去哪买
[00:10:39 - 00:10:41] 因为咱们的和你阿里巴巴的东西
[00:10:41 - 00:10:42] 是阿里巴巴的东西
[00:10:42 - 00:10:43] 买这个是吧
[00:10:43 - 00:10:44] 也买不到国外的东西
[00:10:44 - 00:10:45] 对
[00:10:45 - 00:10:49] 它这个也是比较小众的一个产品
[00:10:49 - 00:10:52] 所以不会说面向大众去试手
[00:10:52 - 00:10:53] 对
[00:10:53 - 00:10:57] 所以这个只能靠我们自己一点点去琢磨出来的这个工程
[00:10:57 - 00:10:59] 那你们就是越玩花魂越多
[00:10:59 - 00:11:00] 越玩花魂越多
[00:11:00 - 00:11:00] 对
[00:11:00 - 00:11:03] 就是和别的任何形式都一样
[00:11:03 - 00:11:05] 就是通过时间的积累
[00:11:05 - 00:11:08] 然后通过我们反复的训练
[00:11:08 - 00:11:10] 可能一开始能简单的扣一下
[00:11:10 - 00:11:13] 后来慢慢的出来的这些动作的难度
[00:11:13 - 00:11:14] 越来越大
[00:11:14 - 00:11:16] 花样越来越多
[00:11:16 - 00:11:18] 然后看到我们玩的这么帅
[00:11:18 - 00:11:23] 更多的这个想去尝试的人
[00:11:23 - 00:11:25] 然后也慢慢的加入我们
[00:11:25 - 00:11:27] 所以我们团队也是越来越壮大
[00:11:27 - 00:11:29] 所以说的话真的看着王老师
[00:11:29 - 00:11:32] 好像就是现在说起这些都像是这个
[00:11:32 - 00:11:33] 谈笑的
[00:11:33 - 00:11:33] 对吧
[00:11:33 - 00:11:34] 简而都是眼泪
[00:11:34 - 00:11:35] 对吧
[00:11:35 - 00:11:36] 当然大家如果对华山球
[00:11:36 - 00:11:38] 有趣的《蹦跷》请感兴趣的话
[00:11:38 - 00:11:42] 大家可以关注一下我们GF花式篮球表演队
[00:11:42 - 00:11:42] 好
[00:11:42 - 00:11:43] 我们本期节目就到这里
[00:11:43 - 00:11:45] 感谢王老师给我们的分享
[00:11:45 - 00:11:46] 咱们下期节目再见
[00:11:46 - 00:11:47] 谢谢大家
