BV号：BV1i7411s7zG
标题：BV1i7411s7zG
链接：https://www.bilibili.com/video/BV1i7411s7zG
识别语言：zh
语言置信度：1
分段数：304
生成时间：2026-04-04 03:20:21

[00:00:02 - 00:00:06] 哎 邝老师啊 这个很多对于学法律的人来讲
[00:00:06 - 00:00:08] 包括说对于我们的性格外行人来讲
[00:04:49 - 00:04:54] 所以往上说的律师费一小时收多少万
[00:04:54 - 00:04:56] 是不真实的
[00:04:56 - 00:04:58] 其实我后来我算了一下
[00:04:58 - 00:04:59] 就刚才你说的这个
[00:04:59 - 00:05:01] 小时候一个团队二三十人
[00:05:01 - 00:05:03] 然后的话还是所谓的做的比较好的
[00:05:03 - 00:05:06] 那种一年绿色费大概有2000万到3000万左右的
[00:05:06 - 00:05:07] 基本上的话
[00:05:07 - 00:05:09] 但是你算一下那个比例
[00:05:09 - 00:05:10] 真的就像龚老师所说的
[00:05:10 - 00:05:13] 就是它这个阶层分件是很明显
[00:05:13 - 00:05:14] 就跟好像一个金子塔间一样
[00:05:14 - 00:05:16] 对 这还是顶尖绿色
[00:05:16 - 00:05:18] 就是其实要是小一点的
[00:05:18 - 00:05:20] 我们在比如像很多法院
[00:05:20 - 00:05:21] 不知道您有没有注意过
[00:05:21 - 00:05:23] 法院基层法院的门口
[00:05:23 - 00:05:25] 居民楼上面会贴着玻璃上会贴
[00:05:25 - 00:05:27] 什么基层
[00:05:27 - 00:05:28] 这个
[00:05:28 - 00:05:29] 土地用
[00:05:29 - 00:05:30] 丘分
[00:05:30 - 00:05:32] 然后那个金权
[00:05:32 - 00:05:34] 然后会贴着这种
[00:05:34 - 00:05:35] 这种短语吧
[00:05:35 - 00:05:36] 那实际上就是个小律所
[00:05:36 - 00:05:39] 小律所在那里的这个租的房子
[00:05:39 - 00:05:40] 然后这个小律所
[00:05:40 - 00:05:40] 你可能
[00:05:40 - 00:05:44] 一个不是特别名校的毕业生
[00:05:44 - 00:05:45] 你找不到工作的时候
[00:05:45 - 00:05:46] 被迫去了这种律所
[00:05:46 - 00:05:47] 被迫去了
[00:05:47 - 00:05:48] 对 其实是
[00:05:48 - 00:05:51] 那你从时期律师开始做起的时候
[00:05:51 - 00:05:53] 你可能甚至是没有钱的
[00:05:54 - 00:05:56] 就是你有案子才能有天安
[00:05:56 - 00:05:58] 你或者一个月给你800块钱
[00:05:58 - 00:05:58] 1000块钱
[00:05:58 - 00:06:01] 也因为最近我住在那个小区附近
[00:06:01 - 00:06:01] 对
[00:06:02 - 00:06:03] 在柏天
[00:06:03 - 00:06:04] 然后的话呢
[00:06:04 - 00:06:06] 会有很多律师跑过来吧
[00:06:06 - 00:06:06] 哦
[00:06:06 - 00:06:07] 这这这这
[00:06:07 - 00:06:08] 就我想说的就是这个
[00:06:08 - 00:06:09] 然后的话
[00:06:09 - 00:06:10] 因为在柴仙
[00:06:10 - 00:06:11] 所以说的话就是我们看那个
[00:06:11 - 00:06:13] 正在柴仙的一些门面房的一个衣服
[00:06:13 - 00:06:16] 全是什么土地纠纷
[00:06:16 - 00:06:17] 什么柴仙纠纷
[00:06:17 - 00:06:19] 都在搞这种东西
[00:06:19 - 00:06:21] 他们收入其实有的时候不一定见得少
[00:06:21 - 00:06:25] 但是如果你从毕业生的角度来去看的话
[00:06:25 - 00:06:27] 你去到这种做的话
[00:06:27 - 00:06:29] 你刚毕业的这些年的收入一定不会太高的
[00:06:29 - 00:06:31] 那你像他这个钱是怎么收的
[00:06:31 - 00:06:36] Facebook的项目更多的时候是从交易本身结构的复杂度居住手的
[00:06:36 - 00:06:38] 比如说IPO
[00:06:38 - 00:06:40] 我们说上市国内上市
[00:06:40 - 00:06:42] 其实国内上市的文件都是公开的
[00:06:42 - 00:06:44] 这个招股输送都有披露
[00:06:44 - 00:06:46] 包括律师费用的多少钱
[00:06:46 - 00:06:47] 在这武术里都有披露的
[00:06:47 - 00:06:49] 你感兴趣可以去看看
[00:06:49 - 00:06:51] 但是速送是不一样的
[00:06:51 - 00:06:53] 你速送的话
[00:06:54 - 00:06:56] 以前是有一个指导价
[00:06:56 - 00:06:58] 有一个指导价
[00:06:58 - 00:07:01] 大概的价格的话
[00:07:01 - 00:07:02] 它是一个接期向下的
[00:07:02 - 00:07:05] 就是如果你的标的越高
[00:07:05 - 00:07:06] 它的比例越低
[00:07:06 - 00:07:08] 但是其实金额是越多
[00:07:08 - 00:07:08] 对
[00:07:08 - 00:07:11] 大概你如果征速的标的
[00:07:11 - 00:07:12] 是100万的话
[00:07:12 - 00:07:14] 你可能基本上
[00:07:14 - 00:07:16] 可能要收一个5万到10万
[00:07:16 - 00:07:18] 你要小额的话
[00:07:19 - 00:07:20] 三千块钱
[00:07:20 - 00:07:22] 三千到五千块钱一个按键也是有可能的
[00:07:22 - 00:07:23] 三千到五千
[00:07:23 - 00:07:24] 再少了可能没人做
[00:07:24 - 00:07:25] 对对对
[00:07:25 - 00:07:27] 因为最低的一个按键的话
[00:07:27 - 00:07:30] 感到我说不会低于三五千块钱
[00:07:30 - 00:07:33] 有的时候大家争的不是一个金额
[00:07:33 - 00:07:35] 我就要你赔礼道歉
[00:07:36 - 00:07:37] 有这种情况吧
[00:07:37 - 00:07:38] 我诉你
[00:07:38 - 00:07:39] 我让你赔礼道歉
[00:07:39 - 00:07:40] 那这怎么收钱
[00:07:40 - 00:07:42] 那就按按键来说了
[00:07:42 - 00:07:45] 有的时候是按照对按照
[00:07:45 - 00:07:46] 就按心情了
[00:07:46 - 00:07:47] 对也按照难以程度
[00:07:47 - 00:07:48] 那你可能没有什么证据
[00:07:48 - 00:07:50] 我就非要答应
[00:07:51 - 00:07:51] 其实很多
[00:07:51 - 00:07:54] 所以说小的这个律所呀
[00:07:54 - 00:07:57] 就相对来说做一些民事基础业务的这个律师
[00:07:57 - 00:07:59] 有的时候对这些事情也是蛮偷腾的
[00:07:59 - 00:08:00] 你怎么收钱呢
[00:08:00 - 00:08:01] 对吧
[00:08:01 - 00:08:03] 他大概千万不要以为就是说
[00:08:03 - 00:08:04] 当着律师就是高服税啊
[00:08:04 - 00:08:05] 百分没
[00:08:05 - 00:08:06] 确实是中产阶级
[00:08:06 - 00:08:07] 就是跟大家一样做的好的话
[00:08:07 - 00:08:09] 上中产做的不太好的话就是
[00:08:09 - 00:08:12] 是供信階层吧
[00:08:12 - 00:08:14] 对 就是没有那么普遍
[00:08:14 - 00:08:16] 就是28分这个原则
[00:08:16 - 00:08:18] 大家一定要去有个心理准备
[00:08:18 - 00:08:20] 不要以为说我干了什么
[00:08:20 - 00:08:22] 因为有的时候现在学生很服作
[00:08:22 - 00:08:24] 他就以为他干了什么
[00:08:24 - 00:08:26] 他看了很多电视剧上面
[00:08:26 - 00:08:28] 说我一小时我的律师费
[00:08:28 - 00:08:30] 可以收5000到10万
[00:08:30 - 00:08:30] 对吧
[00:08:30 - 00:08:33] 那以为他真的是就能收到10万
[00:08:33 - 00:08:34] 但是实话实说
[00:08:35 - 00:08:39] 中国的律师数据所的标排的价格
[00:08:39 - 00:08:41] 应该都没有到10万
[00:08:41 - 00:08:41] 应该都没有到
[00:08:41 - 00:08:42] 对
[00:08:42 - 00:08:43] 即使是最好的律师事务所
[00:08:43 - 00:08:45] 它按照小时费率的话
[00:08:45 - 00:08:47] 应该在几千人民币
[00:08:48 - 00:08:48] 对吧
[00:08:48 - 00:08:51] 5000人民币左右应该就应该很定格
[00:08:51 - 00:08:52] 美国的律所也是一样
[00:08:52 - 00:08:53] 对
[00:08:53 - 00:08:53] 对
[00:08:53 - 00:08:54] 还得看着大官司
[00:08:54 - 00:08:55] 你光自询是不行的
[00:08:55 - 00:08:56] 是吧
[00:08:56 - 00:08:57] 还得好打官司对吧
[00:08:57 - 00:08:59] 打官司得打得赢啊
[00:08:59 - 00:08:59] 对
[00:08:59 - 00:09:00] 其实你刚才我记得上面
[00:09:00 - 00:09:01] 就我们所说的
[00:09:01 - 00:09:02] 你赶紧拉活去
[00:09:02 - 00:09:03] 对吧
[00:09:03 - 00:09:04] 这是最重要的
[00:09:04 - 00:09:06] 其实要把自己的服务
[00:09:06 - 00:09:07] 自己的专业服务
[00:09:07 - 00:09:08] 然后
[00:09:09 - 00:09:10] 销售出去
[00:09:10 - 00:09:10] 对
[00:09:10 - 00:09:12] 开始不容易
[00:09:12 - 00:09:12] 对没错
[00:09:12 - 00:09:13] 张律师不容易
[00:09:14 - 00:09:15] 方老师也不容易
[00:09:15 - 00:09:16] 麦克也不容易
[00:09:17 - 00:09:17] 好了
[00:09:17 - 00:09:19] 好我们感谢共老师给我们的分享
[00:09:19 - 00:09:20] 咱们本期节目就是这样
[00:09:20 - 00:09:21] 咱们下期节目再见
[00:09:21 - 00:09:21] 谢谢
[00:09:23 - 00:09:24] 我印象到我去年
[00:09:24 - 00:09:25] 应该是去年
[00:09:25 - 00:09:27] 好像是在互联网上出了一个
[00:09:27 - 00:09:28] 非常公平的一个事情
[00:09:29 - 00:09:32] 你决定还知道这个事就是一个女的
[00:09:33 - 00:09:34] 就是我刚签了一个
[00:09:34 - 00:09:35] 宣布的
[00:09:35 - 00:09:35] 宣布这个
[00:09:35 - 00:09:36] 对吧
[00:09:36 - 00:09:39] 你像正常人,我像趴那個吉
