BV号：BV1eW411h73G
标题：BV1eW411h73G
链接：https://www.bilibili.com/video/BV1eW411h73G
识别语言：zh
语言置信度：1
分段数：253
生成时间：2026-04-04 12:04:37

[00:00:00 - 00:00:02] 大家好我是张雪峰老师
[00:02:24 - 00:02:25] 才能够往上发展
[00:02:25 - 00:02:26] 怎么办
[00:02:26 - 00:02:28] 给你讲讲我自己的经历
[00:02:28 - 00:02:28] 你就知道了
[00:02:28 - 00:02:29] 有很多人说
[00:02:29 - 00:02:32] 说张老师你不在乎我们底层的感受
[00:02:32 - 00:02:33] 我也是底层过来的
[00:02:33 - 00:02:35] 我刚是第一个月的时候在北京工作
[00:02:35 - 00:02:37] 一个月的工资是2500块钱
[00:02:37 - 00:02:39] 讲课费是110厂
[00:02:40 - 00:02:41] 后来慢慢慢慢涨
[00:02:41 - 00:02:42] 涨到了讲课200
[00:02:42 - 00:02:43] 讲课300
[00:02:43 - 00:02:43] 讲课400
[00:02:43 - 00:02:43] 一场
[00:02:43 - 00:02:45] 是慢慢涨上来的
[00:02:45 - 00:02:46] 我就努力工作就好了
[00:02:46 - 00:02:48] 因为我深深的相信
[00:02:48 - 00:02:49] 只要我努力
[00:02:50 - 00:02:51] 老板一定会看到的
[00:02:51 - 00:02:53] 我想要什么他会给我什么的
[00:02:53 - 00:02:55] 因为他知道我是为他挣钱的
[00:02:55 - 00:02:56] 但是很不幸的是
[00:02:56 - 00:02:58] 我就遇到了这样一个比较渣的老板
[00:02:59 - 00:03:00] 我怎么努力他都看不到
[00:03:00 - 00:03:02] 我每次
[00:03:02 - 00:03:05] 涨工资都是因为我下一级别的人
[00:03:05 - 00:03:06] 他要求涨工资
[00:03:06 - 00:03:09] 中国有句话叫会叫的孩子有奶吃
[00:03:09 - 00:03:10] 他要涨工资
[00:03:10 - 00:03:11] 然后我是他的上译书面给我涨工资
[00:03:11 - 00:03:12] 他从来没有跟我说说
[00:03:12 - 00:03:13] 哎学父你干的很不错
[00:03:13 - 00:03:14] 我给你涨工资
[00:03:14 - 00:03:15] 从来没有说过这种话
[00:03:15 - 00:03:17] 直到我工作第四年有一天
[00:03:18 - 00:03:21] 他从其他机构挖过来一个老师
[00:03:21 - 00:03:23] 但是我觉得那个人讲的不如我
[00:03:23 - 00:03:25] 我觉得他的水平不如我
[00:03:25 - 00:03:26] 他不如我努力
[00:03:26 - 00:03:28] 凭什么功夫比我高
[00:03:28 - 00:03:30] 我就决定我要跳槽
[00:03:30 - 00:03:32] 如果说你现在在你的企业当中
[00:03:32 - 00:03:34] 你觉得你的付出和你的回报不成争比的话
[00:03:34 - 00:03:36] 你有能耐你跳槽
[00:03:36 - 00:03:37] 会有单位会要你的
[00:03:37 - 00:03:39] 我当时就这么想的会有单位要我的
[00:03:39 - 00:03:42] 确实当时我们其他的机构都真的抢了要我
[00:03:42 - 00:03:44] 但是我们老板这属的领悟到
[00:03:44 - 00:03:45] 可能他做错了
[00:03:45 - 00:03:46] 他要把我留住
[00:03:46 - 00:03:47] 怎么把我留住呢
[00:03:47 - 00:03:48] 他说张雪峰你只要不走
[00:03:48 - 00:03:50] 你提什么条件
[00:03:50 - 00:03:54] 我說老闆,我這麼大年齡了,我要在北京結婚深海的買房子
[00:03:54 - 00:03:56] 買房子買不起
[00:03:56 - 00:03:58] 我說我準備去別的城市
[00:03:58 - 00:03:59] 我當時沒有說我套房
[00:03:59 - 00:04:00] 我說我準備去別的城市
[00:04:00 - 00:04:01] 因為別的城市房價低,北京房價太高了
[00:04:01 - 00:04:02] 我買不起房子
[00:04:02 - 00:04:05] 我們老闆說,我借你50萬
[00:04:05 - 00:04:06] 你去買房
[00:04:06 - 00:04:07] 好不好
[00:04:07 - 00:04:09] 50萬,無息借款
[00:04:09 - 00:04:11] 你到時候還我就行了
[00:04:11 - 00:04:12] 我工資給你翻一倍
[00:04:12 - 00:04:15] 你的獎課費給你翻一倍
[00:04:15 - 00:04:18] 每個月在你的工資和獎課費當中給我扣出來一部分
[00:04:18 - 00:04:19] 還我這50萬塊錢
[00:04:19 - 00:04:20] 你去買房
[00:04:21 - 00:04:23] 我當時就拿著這50萬去買房了
[00:04:23 - 00:04:24] 我第一天看完那個房
[00:04:24 - 00:04:24] 我就買了
[00:04:24 - 00:04:25] 我們買的是什麼房子
[00:04:25 - 00:04:26] 大家記不記得
[00:04:26 - 00:04:27] 我曾經講過一個講座
[00:04:27 - 00:04:27] 講的
[00:04:27 - 00:04:29] 我曾經買過一個百方山國家森林公園
[00:04:29 - 00:04:31] 一個48.78平的房子
[00:04:31 - 00:04:32] 就是那個房子
[00:04:32 - 00:04:34] 我當時那個房子是這麼買的
[00:04:35 - 00:04:36] 是因為我跳槽老闆說
[00:04:36 - 00:04:37] 一定要留住我
[00:04:37 - 00:04:38] 這麼買的這個房
[00:04:38 - 00:04:39] 我還給我媽打電話
[00:04:39 - 00:04:41] 因為我當時給我
[00:04:41 - 00:04:42] 給我爸媽優了一堆錢
[00:04:42 - 00:04:44] 就是讓他們去在東北老家買房
[00:04:44 - 00:04:45] 我爸媽剛買完房子
[00:04:45 - 00:04:46] 說強的
[00:04:46 - 00:04:47] 我給我媽打電話
[00:04:47 - 00:04:47] 我說媽你幹嘛的
[00:04:47 - 00:04:48] 我媽說大家剛買完房子
[00:04:48 - 00:04:51] 我说妈,你下来,我给你说个事,我怕你接受不了
[00:04:51 - 00:04:53] 我妈说,你说吧,我下来了
[00:04:53 - 00:04:55] 我说,妈,我在北京买了房
[00:04:55 - 00:04:58] 我妈说,我儿子你在这儿抢了
[00:04:58 - 00:05:00] 我说不是,我说因为我特别努力的工作
[00:05:00 - 00:05:03] 我们老板,我要跳槽,我们老板不让我走
[00:05:03 - 00:05:07] 他借了我50万,无息借款,让我在北京买了房
[00:05:07 - 00:05:09] 这是我在北京买第一套房的经历
[00:05:09 - 00:05:11] 而当时我家不家班
[00:05:11 - 00:05:13] 老板没有要求我家班
[00:05:13 - 00:05:16] 全是我自己主动要求家班的
[00:05:16 - 00:05:18] 为什么?因为我想进步
[00:05:18 - 00:05:22] 我想成为在考研院秀专业选择领域当中最权威的老师
[00:05:22 - 00:05:25] 你们在网上总认为我火是因为我讲段子
[00:05:25 - 00:05:26] 错了
[00:05:26 - 00:05:28] 是因为歌有实力
[00:05:28 - 00:05:29] 什么叫有实力
[00:05:29 - 00:05:31] 因为我会告诉你
[00:05:31 - 00:05:31] 同学
[00:05:31 - 00:05:33] 如果说你要考中国海洋大学的话
[00:05:33 - 00:05:36] 你想找到他的院秀专业选的信息
[00:05:36 - 00:05:37] 必须在4月份的某期天
[00:05:37 - 00:05:39] 因为他只公示期天
[00:05:39 - 00:05:40] 因为我会告诉你同学
[00:05:40 - 00:05:41] 你考吉林大学严军生的话
[00:05:41 - 00:05:43] 千万不要上吉林大学严军生院网站
[00:05:43 - 00:05:45] 因为他严军生院网站啥都没有
[00:05:45 - 00:05:46] 极大有一个叫极大
[00:05:46 - 00:05:48] 招生网当晚站上面有各种各样的信息
[00:05:48 - 00:05:49] 如果你要考清华大学的话
[00:05:49 - 00:05:51] 清华大学的招检上
[00:05:51 - 00:05:52] 写的是学院的招生人数
[00:05:52 - 00:05:54] 去除了保送生人数
[00:05:54 - 00:05:55] 而你考五大的话
[00:05:55 - 00:05:57] 他学院的招生人数是包含保送生人数的
[00:05:57 - 00:05:59] 你一定要看清楚他陆举名
[00:05:59 - 00:06:00] 那他招了几个人
[00:06:00 - 00:06:01] 这些学校的网站
[00:06:01 - 00:06:02] 为什么我能跟你说
[00:06:02 - 00:06:03] 因为我都知道
[00:06:03 - 00:06:04] 我怎么知道的
[00:06:04 - 00:06:05] 我自己查的
[00:06:06 - 00:06:07] 老板要求我查了
[00:06:07 - 00:06:08] 我没有
[00:06:08 - 00:06:09] 但是我想进步
[00:06:09 - 00:06:10] 我想挣高工资
[00:06:10 - 00:06:11] 我想发展
[00:06:11 - 00:06:12] 我想买房
[00:06:12 - 00:06:13] 我想让我家人生活得更好
[00:06:14 - 00:06:15] 我自己去加班做这个事情
[00:06:16 - 00:06:18] 所以说我希望各位朋友
[00:06:18 - 00:06:20] 你们一定要理解我刚才跟你说的那个话
[00:06:20 - 00:06:21] 我在节目上说的那个话
[00:06:21 - 00:06:24] 你一定要从上层的角度去考虑问题
[00:06:24 - 00:06:26] 你不能从自己的角度来考虑
[00:06:26 - 00:06:27] 你从自己的角度考虑的话
[00:06:27 - 00:06:29] 你愿是你自己
[00:06:29 - 00:06:31] 你总是在保证我员工最基本的权利
[00:06:31 - 00:06:32] 那你就一直是个员工
[00:06:32 - 00:06:35] 你有的时候觉得你的领导他说的话是错的
[00:06:35 - 00:06:36] 他太傻了
[00:06:36 - 00:06:37] 怎么这么干
[00:06:37 - 00:06:39] 等你到那个阶段的时候
[00:06:39 - 00:06:40] 你会发现他说的有可能是对的
[00:06:41 - 00:06:42] 真是这样
[00:06:42 - 00:06:44] 所以说大家一定要从对方的角度来考虑问题
[00:06:44 - 00:06:46] 而不要从自己的角度考虑问题
[00:06:46 - 00:06:48] 自己该保障的权益一定要保障
[00:06:48 - 00:06:49] 比如说你找这家单位
[00:06:49 - 00:06:50] 他不给你上无嫌意见
[00:06:50 - 00:06:52] 第一天告他
[00:06:52 - 00:06:53] 留他干什么
[00:06:53 - 00:06:55] 但是你没有必要去问这个东西
[00:06:55 - 00:06:57] 就是人家给你上的职货
[00:06:57 - 00:06:58] 好好努力工作
[00:06:58 - 00:06:59] 该怎么样怎么样
[00:06:59 - 00:07:00] 这样的话
[00:07:00 - 00:07:03] 你才能成为更好的你自己
[00:07:03 - 00:07:06] 而我跟你说的这些话都是希望你好
[00:07:06 - 00:07:07] 其实对于这个问题
[00:07:07 - 00:07:08] 角度不同
[00:07:08 - 00:07:11] 你看到这个问题的态度也是不同的
[00:07:11 - 00:07:12] 我知道我这么说
[00:07:12 - 00:07:14] 会有人不理解我
[00:07:14 - 00:07:17] 但我相信也一定会有更多的人来理解我的
[00:07:17 - 00:07:17] 谢谢
