BV号：BV1oE411d7ac
标题：BV1oE411d7ac
链接：https://www.bilibili.com/video/BV1oE411d7ac
识别语言：zh
语言置信度：1
分段数：437
生成时间：2026-04-04 06:16:11

[00:00:02 - 00:00:05] 我觉得他们不是男人和女人吗
[00:01:25 - 00:01:28] 就是这种客比较难谈的客户
[00:01:28 - 00:01:31] 这个这个这个怎么对付他们
[00:01:31 - 00:01:34] 客户基本上都难谈
[00:01:34 - 00:01:34] 为什么呢
[00:01:34 - 00:01:37] 因为大家每一个人的心理状态不一样
[00:01:37 - 00:01:38] 人格特质不一样
[00:01:38 - 00:01:39] 就是每一个人
[00:01:39 - 00:01:40] 其实都是独立的人
[00:01:40 - 00:01:41] 他都不一样
[00:01:41 - 00:01:43] 但是其实在职场当中
[00:01:43 - 00:01:45] 包括我们在工作当中
[00:01:45 - 00:01:46] 我们会遇到各式各样的人
[00:01:46 - 00:01:49] 但是他们其实只可以看明白
[00:01:49 - 00:01:50] 他们是什么人的
[00:01:50 - 00:01:50] 啊
[00:01:50 - 00:01:52] 他们是什么人
[00:01:52 - 00:01:53] 其实并没有
[00:01:53 - 00:01:55] 不就他们不是男人和女人吗
[00:01:55 - 00:01:56] 这个分类很简单
[00:01:56 - 00:01:56] 对
[00:01:56 - 00:01:57] 有道理
[00:01:57 - 00:01:57] 有道理
[00:01:57 - 00:01:58] 有道理
[00:01:58 - 00:01:59] 可能还有
[00:01:59 - 00:01:59] 你们是怎么分的
[00:01:59 - 00:02:01] 可能还有第三类人
[00:02:01 - 00:02:02] 对
[00:02:02 - 00:02:04] 一学上其实就有第三类人
[00:02:04 - 00:02:06] 但是从我们普通人来讲
[00:02:06 - 00:02:08] 就是可能除了男人女人以外
[00:02:08 - 00:02:08] 我们就
[00:02:08 - 00:02:09] 可能也有第三种人
[00:02:09 - 00:02:11] 但是我们会看他们的心理特征
[00:02:11 - 00:02:12] 心理特征
[00:02:12 - 00:02:12] 对
[00:02:12 - 00:02:13] 心理特征是怎么分类的
[00:02:13 - 00:02:14] 很简单
[00:02:14 - 00:02:15] 举几个例子
[00:02:15 - 00:02:16] 比如说
[00:02:16 - 00:02:20] 你可能在工作当中会遇到一种人
[00:02:20 - 00:02:22] 所有的事情必须安不就干
[00:02:22 - 00:02:24] 他非常喜欢关注细节
[00:02:24 - 00:02:26] 你说的不是处女座吗
[00:02:26 - 00:02:31] 我是处女座
[00:02:33 - 00:02:35] 我跟处女座没仇
[00:02:35 - 00:02:37] 这话不是我们大家都好
[00:02:37 - 00:02:38] 不是跟我没关系
[00:02:38 - 00:02:39] 处女座非常好
[00:02:39 - 00:02:40] 心很细
[00:02:40 - 00:02:41] 我们管这种人叫细节控
[00:02:41 - 00:02:42] 细节控
[00:02:42 - 00:02:43] 对细节控
[00:02:43 - 00:02:46] 他其实我们不短的定义为并证
[00:02:46 - 00:02:48] 那么他心理那角度上
[00:02:48 - 00:02:49] 他其实属于强迫的心理
[00:02:49 - 00:02:50] 强迫心理
[00:02:50 - 00:02:51] 对
[00:02:51 - 00:02:51] 还有一种呢
[00:02:51 - 00:02:55] 就是你会发现这个人情绪波动特别的
[00:02:55 - 00:02:56] 就是他一会高兴一会不高兴
[00:02:56 - 00:02:59] 他的人际关系很很混乱
[00:02:59 - 00:03:00] 混乱
[00:03:00 - 00:03:00] 对
[00:03:00 - 00:03:01] 你会发现有的人
[00:03:01 - 00:03:03] 他有的时候跟你关系特别好
[00:03:03 - 00:03:04] 突然有他翻脸了
[00:03:04 - 00:03:04] 你不知道为什么
[00:03:04 - 00:03:05] 哎
[00:03:05 - 00:03:06] 就这个好大学速度里边
[00:03:06 - 00:03:06] 听上出
[00:03:06 - 00:03:06] 哎
[00:03:06 - 00:03:08] 他们可能会一会高兴吗
[00:03:08 - 00:03:09] 一会就是我心情很高兴
[00:03:09 - 00:03:10] 我很嗨
[00:03:10 - 00:03:11] 早上喝起来
[00:03:11 - 00:03:13] 一会别理我
[00:03:13 - 00:03:14] 别的我烦着你
[00:03:14 - 00:03:15] 你有病吗
[00:03:15 - 00:03:15] 你个妈的
[00:03:15 - 00:03:16] 你又说什么
[00:03:16 - 00:03:17] 那这种人是有病吗
[00:03:19 - 00:03:19] 不说有病
[00:03:19 - 00:03:21] 他们都是普通人
[00:03:22 - 00:03:23] 那么这里面就是他们这种
[00:03:23 - 00:03:24] 他们叫边缘形人
[00:03:24 - 00:03:25] 边缘形人
[00:03:25 - 00:03:27] 人格特征跟普通人不一样
[00:03:27 - 00:03:28] 还有一种人你会发现
[00:03:29 - 00:03:30] 他非常自以为是
[00:03:30 - 00:03:31] 非常自负
[00:03:31 - 00:03:32] 比如说你说的有的客户就是
[00:03:32 - 00:03:33] 必须按我说来
[00:03:33 - 00:03:34] 对
[00:03:34 - 00:03:34] 对吧
[00:03:34 - 00:03:35] 他非常自负
[00:03:35 - 00:03:36] 他明明不懂他
[00:03:36 - 00:03:37] 对
[00:03:37 - 00:03:39] 他们这种人叫自恋
[00:03:39 - 00:03:39] 自恋
[00:03:39 - 00:03:40] 对
[00:03:43 - 00:03:44] 对了
[00:03:46 - 00:03:48] 这种的人他们都有一种东西
[00:03:48 - 00:03:50] 他们共同的一个需求
[00:03:50 - 00:03:51] 所有人共同的用
[00:03:51 - 00:03:53] 他们要对外部世界积极促进行
[00:03:53 - 00:03:54] 就说白了
[00:03:54 - 00:03:55] 他们要你听他们
[00:03:55 - 00:03:56] 哎
[00:03:56 - 00:03:57] 我就突然想起来
[00:03:57 - 00:03:58] 我上学的时候就是经常说那种
[00:03:58 - 00:03:59] 就是什么
[00:03:59 - 00:04:00] 拿着鸡毛当零件就这种人
[00:04:00 - 00:04:02] 对
[00:04:02 - 00:04:03] 这种人他们在日常生活
[00:04:03 - 00:04:05] 尤其是这种自恋的人
[00:04:05 - 00:04:08] 其实在心理学里面有一个黑三角
[00:04:08 - 00:04:09] 叫黑三角人格
[00:04:09 - 00:04:11] 第一项自恋
[00:04:11 - 00:04:13] 第二项是操控
[00:04:13 - 00:04:15] 第三项是变态
[00:04:15 - 00:04:18] 也就是说其实在这当中
[00:04:18 - 00:04:20] 自恋是在所有人之中
[00:04:20 - 00:04:21] 自恋自负自大
[00:04:21 - 00:04:22] 所有这些东西
[00:04:22 - 00:04:24] 在我们的日常生活中
[00:04:24 - 00:04:26] 是一种非常人无法接受的东西
[00:04:26 - 00:04:26] 对
[00:04:26 - 00:04:29] 而且自恋的人有一个特别可怕的事情
[00:04:29 - 00:04:32] 就是他特别会利用别人
[00:04:32 - 00:04:32] 利用别人
[00:04:32 - 00:04:33] 对
[00:04:33 - 00:04:37] 也就是说由于过度自恋的这类人
[00:04:37 - 00:04:41] 你很多人都会成为他的店舅师
[00:04:41 - 00:04:43] 比如说你是张云峰老师
[00:04:43 - 00:04:45] 你现在是一个很出名的老师
[00:04:45 - 00:04:46] 你是一个大咖
[00:04:46 - 00:04:47] 你是一个很有名的人
[00:04:47 - 00:04:47] 管真
[00:04:48 - 00:04:50] 你不要太当真
[00:04:50 - 00:04:51] 不要太当真
[00:04:51 - 00:04:52] 我还很谦虚的
[00:04:52 - 00:04:53] 对对对
[00:04:53 - 00:04:54] 然后有个头绿呢
[00:04:55 - 00:04:57] 那么我今天咱们来一录节目
[00:04:57 - 00:04:58] 可能我介绍你
[00:04:58 - 00:05:00] 我也会出名
[00:05:00 - 00:05:00] 尤利子
[00:05:00 - 00:05:01] 有可能
[00:05:01 - 00:05:02] 有可能
[00:05:02 - 00:05:03] 我其实并不希望
[00:05:03 - 00:05:04] 虽然我们这个节目不是很活
[00:05:04 - 00:05:04] 对对对
[00:05:04 - 00:05:06] 但是我也不太希望
[00:05:06 - 00:05:07] 都很活
[00:05:07 - 00:05:09] 那么
[00:05:09 - 00:05:10] 我可能也会出名
[00:05:10 - 00:05:12] 但这个时候当我出名的时候
[00:05:13 - 00:05:14] 我在出名以后
[00:05:15 - 00:05:16] 那么除非我还需要你
[00:05:17 - 00:05:19] 如果我在出名之后
[00:05:19 - 00:05:22] 我在跟你在业务上在各方面的时候不需要你了
[00:05:23 - 00:05:23] 那么
[00:05:24 - 00:05:24] 张伟峰老师再见
[00:05:25 - 00:05:29] 也就是说他们会所有的目的就是完成了自己的需求
[00:05:29 - 00:05:31] 他们只是为了满足自己来做事情
[00:05:31 - 00:05:32] 包括我也举个例子
[00:05:33 - 00:05:36] 在职场当中你的老板新来一个老板
[00:05:36 - 00:05:39] 这个老板你可以看出这个老板的所作所为
[00:05:39 - 00:05:43] 你能够非常清楚老板今后会干什么
[00:05:43 - 00:05:45] 你也会知道他这么去做
[00:05:45 - 00:05:47] 你应该会他为什么要这么做
[00:05:47 - 00:05:50] 能不能用你这个办法判断出来
[00:05:50 - 00:05:52] 就是这老板我跟着这有没有前途
[00:05:52 - 00:05:53] 能
[00:05:53 - 00:05:53] 也能是吧
[00:05:53 - 00:05:54] 对
[00:05:54 - 00:05:55] 我给你问个问题
[00:05:55 - 00:05:55] 您说
[00:05:55 - 00:05:56] 我也是个小老板
[00:05:56 - 00:05:58] 哈哈哈哈
[00:05:58 - 00:06:00] 让人家分析我也没有前途
[00:06:00 - 00:06:01] 你看
[00:06:01 - 00:06:04] 你这个下属分析老板和这个一样的嘛
[00:06:04 - 00:06:05] 对吧
[00:06:05 - 00:06:06] 你看我这个平时啊
[00:06:06 - 00:06:07] 就平时比较乐善好时
[00:06:07 - 00:06:08] 嗯
[00:06:08 - 00:06:09] 那好
[00:06:09 - 00:06:10] 对
[00:06:10 - 00:06:12] 这不是当那节目腿
[00:06:12 - 00:06:13] 是真的
[00:06:13 - 00:06:14] 是吗
[00:06:14 - 00:06:15] 真的
[00:06:15 - 00:06:16] 你看你会下绝磨助理
[00:06:16 - 00:06:18] 我们公司的零食都是随意吃的
[00:06:18 - 00:06:19] 对
[00:06:19 - 00:06:21] 那你看像跟着我这种老板有没有钱
[00:06:21 - 00:06:22] 不不不
[00:06:22 - 00:06:23] 这个不重要
[00:06:23 - 00:06:24] 这个不重要
[00:06:24 - 00:06:25] 这个不
[00:06:25 - 00:06:27] 那那什么是重要的
[00:06:27 - 00:06:28] 那我问你
[00:06:28 - 00:06:29] 下的第一个行政命令是什么
[00:06:29 - 00:06:30] 行政命令
[00:06:32 - 00:06:34] 我能说没有行政命令吗
[00:06:34 - 00:06:35] 这公司真跟你有关系吗
[00:06:35 - 00:06:36] 真跟我有关系
[00:06:36 - 00:06:37] 你带石谷
[00:06:37 - 00:06:38] 我是大股东
[00:06:38 - 00:06:43] 你记不起你下的第一个行政或者业务上的指令
[00:06:43 - 00:06:45] 这个事件很奇怪的事
[00:06:45 - 00:06:46] 也说你到公司来
[00:06:46 - 00:06:47] 你来这个公司
[00:06:47 - 00:06:49] 你对这个公司的管理
[00:06:49 - 00:06:50] 首先说
[00:06:50 - 00:06:52] 你没有太多的去介入
[00:06:52 - 00:06:53] 没有太多的想法
[00:06:53 - 00:06:55] 也说你在管理层面上
[00:06:55 - 00:06:56] 你没有想法
[00:06:56 - 00:06:57] 你懒得管别人
[00:06:57 - 00:06:59] 那怎么说不这一件事
[00:06:59 - 00:07:00] 还有你是个很自我的人
[00:07:01 - 00:07:03] 我懒得管别人
[00:07:03 - 00:07:04] 还有很自我
[00:07:04 - 00:07:05] 我们总说拿着金毛灯
[00:07:05 - 00:07:07] 你一见天天管别人的叫自我
[00:07:07 - 00:07:08] 怎么我不管
[00:07:08 - 00:07:10] 自我和自恋是两码事
[00:07:10 - 00:07:13] 自恋是为了寻求认同寻求赞同
[00:07:13 - 00:07:15] 寻求别人关注自己
[00:07:15 - 00:07:16] 你的做法
[00:07:16 - 00:07:17] 并不需要别人关注
[00:07:17 - 00:07:18] 对 无所谓
[00:07:18 - 00:07:19] 我根本就不管你
[00:07:19 - 00:07:19] 早上十点
[00:07:19 - 00:07:22] 你只要不逼我来得晚
[00:07:22 - 00:07:23] 可是我怎么觉得
[00:07:23 - 00:07:24] 你要不逼我走得早
[00:07:24 - 00:07:25] OK 没问题
[00:07:25 - 00:07:25] 不是 我怎么觉得
[00:07:25 - 00:07:25] 我怎么觉得
[00:07:25 - 00:07:26] 说明你活在自己的身上
[00:07:26 - 00:07:27] 去自我
[00:07:27 - 00:07:29] 我怎么觉得是个贬义词
[00:07:29 - 00:07:29] 我不要你觉得
[00:07:29 - 00:07:30] 我要我觉得
[00:07:32 - 00:07:33] 自我为什么是个贬义词
[00:07:33 - 00:07:33] 你没有自我
[00:07:33 - 00:07:34] 你是怎么活到现在的
[00:07:34 - 00:07:35] 大哥
[00:07:35 - 00:07:37] 余文老师你当时怎么教我一个人
[00:07:37 - 00:07:38] 我教我一个人
[00:07:38 - 00:07:41] 那你可能对余文老师有什么不回
[00:07:41 - 00:07:44] 包括中国人就是从这两个可以衍生出
[00:07:44 - 00:07:44] 这样一个东西来
[00:07:44 - 00:07:47] 就是中国人的自我和外国人的自我
[00:07:47 - 00:07:48] 到底有什么不一样
[00:07:48 - 00:07:51] 中国的文化我们生活在中国的这个文化
[00:07:51 - 00:07:51] 我们的企业文
[00:07:51 - 00:07:53] 我们老是企业文化企业文化
[00:07:53 - 00:07:55] 我们到底要树林要什么样的企业文化
[00:07:55 - 00:07:56] 你知道吗
[00:07:56 - 00:07:58] 你作为一个大股东
[00:07:58 - 00:08:03] 我还在想我自我的那个事情
[00:08:03 - 00:08:04] 我怎么就做完了
[00:08:04 - 00:08:06] 你要去判断如何在你的职场当中
[00:08:06 - 00:08:08] 你的企业中顺着什么样的企业的话
[00:08:09 - 00:08:10] 一般来说
[00:08:10 - 00:08:13] 一个人的自我分成大概这么几种
[00:08:13 - 00:08:14] 一个叫个体自我
[00:08:14 - 00:08:16] 当然这专业名词什么叫个体自我
[00:08:16 - 00:08:18] 就是你自己为中心
[00:08:18 - 00:08:19] 我
[00:08:19 - 00:08:22] 更多的去关注我自己的想法
[00:08:22 - 00:08:22] 我的个性
[00:08:22 - 00:08:23] 我的需求
[00:08:23 - 00:08:24] 我的行为
[00:08:24 - 00:08:24] 我的动机
[00:08:24 - 00:08:25] 我的距离
[00:08:25 - 00:08:25] 我所有这些东西
[00:08:25 - 00:08:26] 我的前一种
[00:08:26 - 00:08:27] 我想要
[00:08:27 - 00:08:28] 我想喝水
[00:08:29 - 00:08:30] 喝呗
[00:08:30 - 00:08:31] 我喝
[00:08:31 - 00:08:31] 对
[00:08:31 - 00:08:32] 这
[00:08:32 - 00:08:33] 看
[00:08:33 - 00:08:36] 但是有的人还有一种叫社会自我
[00:08:37 - 00:08:38] 这种社会自我什么
[00:08:38 - 00:08:39] 我想喝水
[00:08:39 - 00:08:40] 我想找你可吗
[00:08:41 - 00:08:43] 那我是社会自我的人
[00:08:44 - 00:08:46] 你要不承认我们也没辙
[00:08:46 - 00:08:47] 心理医生也不能把你打一顿
[00:08:48 - 00:08:48] 不是
[00:08:48 - 00:08:50] 因为你看我不规定
[00:08:50 - 00:08:51] 大家我是为他们考虑
[00:08:51 - 00:08:52] 我说你万一路上堵车
[00:08:52 - 00:08:54] 你一两分钟没什么
[00:08:54 - 00:08:55] 说实话
[00:08:55 - 00:08:57] 要么你是没经历管
[00:08:57 - 00:08:58] 要么你是懒得管
[00:08:58 - 00:09:00] 因为你的注意的重点
[00:09:00 - 00:09:02] 我真是觉得他们很不容易
[00:09:02 - 00:09:03] 然后的话
[00:09:03 - 00:09:05] 有温局再给你一个例子
[00:09:05 - 00:09:06] 我们公司有那种就是假如说
[00:09:06 - 00:09:09] 这个人不是很合适我们公司
[00:09:09 - 00:09:11] 我一般也不会开掉他
[00:09:12 - 00:09:14] 我会用原来的工资
[00:09:14 - 00:09:14] 我不给他掌工资
[00:09:14 - 00:09:17] 但是我用原来的工资养着他
[00:09:17 - 00:09:18] 为什么
[00:09:18 - 00:09:19] 我觉得
[00:09:19 - 00:09:21] 就他这能力出去找工作就废了
[00:09:21 - 00:09:22] 对
[00:09:22 - 00:09:23] 还不如养着他呢
[00:09:23 - 00:09:23] 要不然他怎么办
[00:09:23 - 00:09:28] 所以你是个很传统的中文人
[00:09:28 - 00:09:31] 你用这种方式来建立一个企业当中
[00:09:31 - 00:09:32] 你做过最具考虑的一个工
[00:09:32 - 00:09:33] 没有什么问题
[00:09:33 - 00:09:34] 这是一个人份的问题
[00:09:34 - 00:09:36] 是你给思想文化的问题
[00:09:36 - 00:09:38] 但是你作为一个老板
[00:09:38 - 00:09:39] 你应该关注的是什么
[00:09:39 - 00:09:41] 就比如说我是你的员工
[00:09:41 - 00:09:41] 我来一个这样来
[00:09:41 - 00:09:42] 我会想什么
[00:09:42 - 00:09:43] 我第一反是什么
[00:09:43 - 00:09:44] 第一反是什么
[00:09:44 - 00:09:46] 假如说你碰着这样一个老板
[00:09:46 - 00:09:46] 就是看着我
[00:09:46 - 00:09:49] 我各种会去打听这老板的多少钱
[00:09:49 - 00:09:51] 是什么倍率
[00:09:51 - 00:09:52] 我会干这些事
[00:09:52 - 00:09:55] 他能老这样
[00:09:55 - 00:09:56] 行嘞
[00:09:56 - 00:09:57] 就靠自己
[00:09:57 - 00:09:59] 也就是说其实
[00:09:59 - 00:10:00] 张老师我这么说一句话
[00:10:00 - 00:10:03] 你现在的公司的这些东西
[00:10:03 - 00:10:06] 更多的靠你一个人再努力再跑
[00:10:06 - 00:10:06] 你在这儿
[00:10:06 - 00:10:08] 但是你缺少一样东西
[00:10:08 - 00:10:11] 就是你在让大家扎成一个群体
[00:10:11 - 00:10:13] 来做一件事情的这个方面
[00:10:13 - 00:10:14] 你的公司可能会少于弱一点
[00:10:14 - 00:10:16] 哦
[00:10:16 - 00:10:17] 行了
[00:10:17 - 00:10:17] 不
[00:10:17 - 00:10:21] 原来这心理学还能分析各种各样的人
[00:10:21 - 00:10:23] 还能帮我去治理一下
[00:10:23 - 00:10:23] 对
[00:10:23 - 00:10:24] 尤其是
[00:10:24 - 00:10:27] 我们得分析一下我们身边的同事
[00:10:27 - 00:10:27] 老板
[00:10:27 - 00:10:28] 然后我说
[00:10:28 - 00:10:30] 你作为一个所谓的企业领导者
[00:10:30 - 00:10:31] 你也可以分析下边的这些员工吗
[00:10:31 - 00:10:32] 一样
[00:10:32 - 00:10:33] 对吧
[00:10:33 - 00:10:33] 对
[00:10:33 - 00:10:34] 其实大家都是一样的
[00:10:34 - 00:10:36] 只是我们站在不同的角度
[00:10:36 - 00:10:37] 我们采取的策略不一样
[00:10:37 - 00:10:38] 行
[00:10:38 - 00:10:39] 我觉得今天节目可以这样了
[00:10:39 - 00:10:40] 再说
[00:10:40 - 00:10:41] 我疯了
[00:10:41 - 00:10:44] 我需要治疗了
[00:10:44 - 00:10:46] 不过还是要感谢六哥给我们介绍的
[00:10:46 - 00:10:48] 就是这种在职场当中
[00:10:48 - 00:10:49] 学着心理学还是很有必要的
[00:10:49 - 00:10:49] 对
[00:10:49 - 00:10:50] 对吧
[00:10:50 - 00:10:51] 最起码身边的同事
[00:10:51 - 00:10:52] 自己的客户
[00:10:52 - 00:10:53] 自己的老板
[00:10:53 - 00:10:54] 我们不但要知道这种重点
[00:10:54 - 00:10:56] 是我们要学会与他们相处
[00:10:56 - 00:10:59] 针对每一个人有不同的相处方式
[00:10:59 - 00:11:02] 我们用一个相处方式对所有的人的时候
[00:11:02 - 00:11:02] 那总不要吃亏
[00:11:02 - 00:11:03] 好
[00:11:03 - 00:11:04] 赶紧去买心理学的书
[00:11:04 - 00:11:06] 赶紧进入在职场上
[00:11:06 - 00:11:07] 赶紧升职加薪
[00:11:07 - 00:11:08] 好不好
[00:11:08 - 00:11:09] 我们本期节目就是这样
[00:11:09 - 00:11:10] 然后感谢六个Q们
[00:11:12 - 00:11:13] 我们下期节目再见
[00:11:13 - 00:11:13] 谢谢
[00:11:13 - 00:11:14] 谢谢大家
[00:11:29 - 00:11:31] 許米嬌 閒中請上
