BV号：BV18E41117wY
标题：BV18E41117wY
链接：https://www.bilibili.com/video/BV18E41117wY
识别语言：zh
语言置信度：1
分段数：398
生成时间：2026-04-04 06:01:53

[00:00:02 - 00:00:04] 你看咱们这个花室来经兵远离啊
[00:10:26 - 00:10:27] 他是23号
[00:10:27 - 00:10:28] 那么在他23分钟的时候
[00:10:28 - 00:10:30] 全场不管在干什么
[00:10:30 - 00:10:31] 都要齐立主掌
[00:10:31 - 00:10:32] 然后的话
[00:10:32 - 00:10:34] 甚至有一个很老很老的球迷
[00:10:34 - 00:10:36] 然后他可能身换决证
[00:10:36 - 00:10:38] 我曾经我印象最深的是
[00:10:38 - 00:10:40] 我可能看过一场足球比赛当中
[00:10:40 - 00:10:40] 就是一个
[00:10:40 - 00:10:42] 一个那个队的死中球迷
[00:10:42 - 00:10:43] 然后的话
[00:10:43 - 00:10:45] 他马上要接受安德斯
[00:10:45 - 00:10:46] 他马上接受安德斯
[00:10:46 - 00:10:48] 在他接受安德斯的前一天
[00:10:48 - 00:10:50] 然后的话就是他家人推着轮椅
[00:10:50 - 00:10:51] 把他推到球场上
[00:10:52 - 00:10:53] 然后这会让他最后
[00:10:53 - 00:10:55] 最后感受一下
[00:10:55 - 00:10:55] 对
[00:10:55 - 00:10:56] 对
[00:10:56 - 00:10:57] 我觉得这点真的
[00:10:57 - 00:10:58] 国外做的是非常
[00:10:58 - 00:10:59] 完全不一样
[00:10:59 - 00:11:01] 其实他真的就是在对于
[00:11:01 - 00:11:04] 就是尊重人性这一块
[00:11:04 - 00:11:07] 我觉得其实还是在球场上面做的
[00:11:07 - 00:11:08] 也是非常的好
[00:11:08 - 00:11:10] 然后像在中国的菲别赛场
[00:11:10 - 00:11:12] 如果出现一条狗的话
[00:11:12 - 00:11:13] 那肯定是基督选手
[00:11:13 - 00:11:15] 不过我觉得这个也是属于
[00:11:15 - 00:11:17] 因为咱们的脸菜才发展多长时间
[00:11:17 - 00:11:18] 对对对
[00:11:18 - 00:11:19] 人家脸菜已经发展那么多年了
[00:11:19 - 00:11:22] 我觉得这也是我们一个进步的方向
[00:11:22 - 00:11:22] 对
[00:11:22 - 00:11:23] 和进步的空间
[00:11:23 - 00:11:25] 那我们也是非常感谢王明老师
[00:11:25 - 00:11:26] 跟我们分享了这么多
[00:11:26 - 00:11:29] 他在国内表演和国外表演的一些经历
[00:11:29 - 00:11:32] 真的让我们可能会思考很多这一期
[00:11:32 - 00:11:33] 所以说我们感谢王明老师
[00:11:33 - 00:11:35] 那我们本期节目的就是这样
[00:11:35 - 00:11:36] 咱们下期节目再见
[00:11:36 - 00:11:36] 谢谢大家
