BV号：BV1ix411Y7fx
标题：BV1ix411Y7fx
链接：https://www.bilibili.com/video/BV1ix411Y7fx
识别语言：zh
语言置信度：1
分段数：257
生成时间：2026-04-04 12:56:14

[00:00:05 - 00:00:06] 啊,干啥呀?
[00:01:28 - 00:01:29] 下了大巴车以后
[00:01:29 - 00:01:30] 大姐说了一句话
[00:01:30 - 00:01:32] 说同学们看过的前面的粉地就是我们的学校
[00:01:32 - 00:01:36] 很多人直接就跑了
[00:01:36 - 00:01:36] 知道吧
[00:01:37 - 00:01:39] 他们来上学 但还来上粉对啊 是吧
[00:01:40 - 00:01:41] 当时我也想跑了
[00:01:41 - 00:01:42] 我妈给我转转说
[00:01:42 - 00:01:43] 你便他们回去了 对吧
[00:01:43 - 00:01:43] 你要回这的话
[00:01:43 - 00:01:44] 富途还得花钱
[00:01:44 - 00:01:45] 我想说也是
[00:01:45 - 00:01:46] 家里很穷 怎么办
[00:01:46 - 00:01:47] 没办法知道吧
[00:01:47 - 00:01:48] 在那时刻开始读
[00:01:48 - 00:01:49] 那个时候你告诉我说
[00:01:49 - 00:01:51] 你将来毕业会在北京工作
[00:01:51 - 00:01:52] 你敢相信吗
[00:01:52 - 00:01:53] 你也不敢相信的
[00:01:53 - 00:01:54] 偶然是这样
[00:01:54 - 00:01:55] 在我北京工作的第一年
[00:01:55 - 00:01:55] 你告诉我说
[00:01:55 - 00:01:56] 你将来毕业四年
[00:01:56 - 00:01:57] 会在北京买套房
[00:01:57 - 00:01:58] 你敢相信吗
[00:01:58 - 00:02:00] 你也不敢相信的
[00:02:00 - 00:02:02] 结果我在北京买房的那一天
[00:02:02 - 00:02:03] 签合约那一天
[00:02:03 - 00:02:05] 那是在六年前的事情了
[00:02:05 - 00:02:05] 我在北京
[00:02:05 - 00:02:07] 有些人本身已经毕业十年了
[00:02:07 - 00:02:08] 那一天你告诉我说
[00:02:08 - 00:02:10] 张老师你将来会有一天火遍中国大疆南北
[00:02:10 - 00:02:11] 你敢相信吗
[00:02:11 - 00:02:13] 你也不敢相信的
[00:02:13 - 00:02:13] 知道吧
[00:02:13 - 00:02:13] 为什么
[00:02:13 - 00:02:14] 因为中国口人的人收休那么多
[00:02:14 - 00:02:15] 200万
[00:02:15 - 00:02:17] 你怎么可能会火遍中国大疆哪有那么多人考验
[00:02:17 - 00:02:18] 对吧
[00:02:18 - 00:02:21] 结果在去年那个7分钟解读34所自动发现
[00:02:21 - 00:02:22] 就那个视频的互联网
[00:02:22 - 00:02:23] 平台播放量大几个亿
[00:02:23 - 00:02:26] 光100分钟那个长版的视频
[00:02:26 - 00:02:27] 那个你看过吗
[00:02:27 - 00:02:27] 那个
[00:02:27 - 00:02:28] 对吧
[00:02:28 - 00:02:29] 100分钟长版的视频
[00:02:29 - 00:02:31] 腾讯视频播放量4400万
[00:02:31 - 00:02:32] 你就讲吧
[00:02:32 - 00:02:33] 中国是200万人考验
[00:02:33 - 00:02:35] 他们4400万的播放量
[00:02:37 - 00:02:39] 你们都为什么看这个视频呢
[00:02:40 - 00:02:43] 好多人都是不考验的
[00:02:43 - 00:02:45] 就把这个视频不知不觉就给看完了
[00:02:45 - 00:02:46] 你敢相信吗
[00:02:46 - 00:02:47] 你不敢相信的知道吧
[00:02:47 - 00:02:48] 这给我火的第一天
[00:02:48 - 00:02:49] 你告诉我说
[00:02:49 - 00:02:50] 你会跟你儿时的偶像叫老汪涵
[00:02:50 - 00:02:52] 因为从小就看他的节目嘛
[00:02:52 - 00:02:52] 对吧
[00:02:52 - 00:02:53] 你会跟你儿时的偶像阿汪涵
[00:02:53 - 00:02:55] 你们会一起做一个节目叫火星情报局
[00:02:55 - 00:02:57] 然后你们会在一个桌上吃饭
[00:02:57 - 00:02:58] 谈笑逢神跟朋友一样
[00:02:58 - 00:02:59] 你敢相信吗
[00:02:59 - 00:03:00] 你都不敢相信的
[00:03:00 - 00:03:01] 知道吧
[00:03:01 - 00:03:01] 我跟你说同学
[00:03:01 - 00:03:03] 你不要去想那么多
[00:03:03 - 00:03:04] 你努力看人家那会发生什么
[00:03:04 - 00:03:06] 你现在大二想那么多没有用
[00:03:06 - 00:03:07] 我上大二的时候
[00:03:07 - 00:03:09] 那个时候我考虑说
[00:03:09 - 00:03:10] 我本开毕业10年以后
[00:03:10 - 00:03:11] 我跟汪淳做看节目
[00:03:11 - 00:03:12] 我肯定废了
[00:03:12 - 00:03:12] 你信吗
[00:03:12 - 00:03:14] 你方向肯定是跑天的
[00:03:14 - 00:03:16] 你努力一切自然而然都会来的
[00:03:16 - 00:03:16] 知道吧
[00:03:16 - 00:03:17] 另外也不要玩什么
[00:03:17 - 00:03:18] 拦金游戏
[00:03:18 - 00:03:19] 那个自杀那个游戏
[00:03:19 - 00:03:19] 别玩
[00:03:19 - 00:03:21] 人活的多好啊
[00:03:21 - 00:03:22] 你们就都人活着为了什么吗
[00:03:22 - 00:03:24] 你要人活着为了什么吗
[00:03:24 - 00:03:25] 我告诉你同学
[00:03:25 - 00:03:27] 你记住人活着是为了体验那些
[00:03:27 - 00:03:29] 你没有体验过的美好
[00:03:29 - 00:03:30] 你记住这句话
[00:03:30 - 00:03:31] 知道吗
[00:03:31 - 00:03:33] 你現在還有好多好多事你沒有體驗過
[00:03:33 - 00:03:35] 我給你隨便舉幾個例子比如坐飛機
[00:03:35 - 00:03:37] 可能很多人還沒坐過飛機對吧
[00:03:37 - 00:03:38] 你坐飛機感受一下
[00:03:38 - 00:03:40] 你知道我第一次坐飛機什麼感覺嗎
[00:03:40 - 00:03:42] 我第一次坐飛機的感覺就是飛機真這麼快
[00:03:44 - 00:03:47] 真的我當時就是好快呀知道吧
[00:03:47 - 00:03:48] 因為當時我在上大學的時候
[00:03:48 - 00:03:50] 坐火車都快折磨死我了知道吧
[00:03:50 - 00:03:51] 那時候還沒有高鐵
[00:03:51 - 00:03:53] 從七七二坐火車到鄭州你知道多少時間嗎
[00:03:53 - 00:03:54] 40個小時
[00:03:54 - 00:03:56] 而且我他們上大學的時候坐火車
[00:03:56 - 00:03:58] 從來火車從來沒正點過
[00:03:58 - 00:04:00] 我晚點12小時晚點過兩次
[00:04:00 - 00:04:01] 第一次火車問點十二小時
[00:04:01 - 00:04:03] 是因為他們火車出車禍
[00:04:03 - 00:04:04] 火車出車禍
[00:04:05 - 00:04:06] 第二次問點十二小時
[00:04:06 - 00:04:07] 是因為他們下大雨
[00:04:07 - 00:04:08] 把鐵路給沖毀了
[00:04:08 - 00:04:10] 那個車到了拱一
[00:04:10 - 00:04:11] 拱一下一站就是鄭州
[00:04:11 - 00:04:12] 知道吧
[00:04:12 - 00:04:13] 這車跟著拱一
[00:04:13 - 00:04:14] 鐵路沖毀了
[00:04:14 - 00:04:15] 我他們問點十二小時
[00:04:15 - 00:04:16] 後來我們同學買
[00:04:16 - 00:04:16] 回家買火車票
[00:04:16 - 00:04:17] 都先問我
[00:04:17 - 00:04:18] 你買的那個車
[00:04:18 - 00:04:18] 他們都不買那個車
[00:04:19 - 00:04:19] 知道吧
[00:04:19 - 00:04:21] 每次回家都送我自己
[00:04:21 - 00:04:22] 就是大一大二發生的事情
[00:04:22 - 00:04:22] 知道吧
[00:04:22 - 00:04:23] 後來坐飛機
[00:04:23 - 00:04:25] 我就覺得飛機太快了
[00:04:25 - 00:04:26] 早上坐飛機
[00:04:26 - 00:04:28] 他把中午就到家跟家人吃飯了
[00:04:28 - 00:04:29] 太好了
[00:04:29 - 00:04:31] 我第一次坐飞机还出了点小状况
[00:04:31 - 00:04:31] 什么呢
[00:04:31 - 00:04:32] 就是那时候坐飞机选坐飞机
[00:04:32 - 00:04:33] 不知道怎么选的你知道吧
[00:04:33 - 00:04:34] 不知道怎么选的
[00:04:34 - 00:04:35] 旁边坐的一个老外
[00:04:35 - 00:04:36] 这咋玩啊
[00:04:36 - 00:04:38] 这列须口语的机会来了
[00:04:38 - 00:04:39] 对吧
[00:04:39 - 00:04:40] 我大概口语啊
[00:04:40 - 00:04:42] 说实话也他们就二级半的水平
[00:04:42 - 00:04:42] 知道吧
[00:04:42 - 00:04:45] 后来把老外把老外留哭了
[00:04:46 - 00:04:47] 老外下飞机的时候
[00:04:47 - 00:04:48] 跟他们同命一样
[00:04:48 - 00:04:48] 知道吧
[00:04:48 - 00:04:49] 要往下跑
[00:04:49 - 00:04:50] 我就拉着他
[00:04:50 - 00:04:51] 他以为我要干啥的
[00:04:51 - 00:04:51] 知道吧
[00:04:51 - 00:04:52] 我都哭了
[00:04:52 - 00:04:52] 知道吧
[00:04:52 - 00:04:53] 你干啥
[00:04:53 - 00:04:53] 对吧
[00:04:53 - 00:04:54] 其实我想跟他道个歉
[00:04:54 - 00:04:55] 知道吧
[00:04:55 - 00:04:55] 我说
[00:04:55 - 00:04:56] I'm so sorry
[00:04:56 - 00:04:58] 英语很差的意思嘛 对吧
[00:04:58 - 00:04:59] 你知道那老外怎么回答我的吗
[00:04:59 - 00:05:00] 他说
[00:05:00 - 00:05:01] No no no no
[00:05:01 - 00:05:02] 英语很差的意思
[00:05:02 - 00:05:04] 英语很可怕
[00:05:04 - 00:05:14] 是你
[00:05:14 - 00:05:15] 真的我第一次坐飞机
[00:05:15 - 00:05:17] 感觉就是飞机太快了
[00:05:17 - 00:05:18] 你知道吧 太好了
[00:05:18 - 00:05:19] 我那时候的想法是什么呢
[00:05:19 - 00:05:20] 以后要好好挣钱
[00:05:20 - 00:05:22] 以后每次回家都坐飞机
[00:05:22 - 00:05:24] 打车也不过回头了 知道吧
[00:05:24 - 00:05:25] 我上大学的时候
[00:05:25 - 00:05:26] 每次坐公交车
[00:05:26 - 00:05:27] 路过五星级酒店的时候
[00:05:27 - 00:05:28] 我都有一个想法
[00:05:28 - 00:05:30] 每个傻逼住真人
[00:05:30 - 00:05:31] 他妈在书一宿
[00:05:31 - 00:05:32] 两千块钱
[00:05:32 - 00:05:34] 我怎么穷得就像钱了是吧
[00:05:34 - 00:05:36] 你睡觉在哪睡不是睡觉
[00:05:36 - 00:05:37] 对吧
[00:05:37 - 00:05:38] 你再加睡跟睡普通的旅馆跟
[00:05:38 - 00:05:40] 五星级酒店有什么的
[00:05:40 - 00:05:41] 不都睡觉嘛对吧
[00:05:41 - 00:05:43] 后来我工作以后住了五星级酒店
[00:05:43 - 00:05:45] 发现五星级酒店真好
[00:05:45 - 00:05:47] 我要挣钱
[00:05:47 - 00:05:48] 我以后啊
[00:05:48 - 00:05:50] 只要出差天天住五星级酒店
[00:05:50 - 00:05:52] 后来没有录中医节目的时候
[00:05:52 - 00:05:53] 我听说娱乐圈几乱
[00:05:53 - 00:05:54] 后来发现
