BV号：BV1Mx411Q7eN
标题：BV1Mx411Q7eN
链接：https://www.bilibili.com/video/BV1Mx411Q7eN
识别语言：zh
语言置信度：1
分段数：118
生成时间：2026-04-04 13:15:42

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:07] 啥
[00:02:27 - 00:02:28] 也有吧
[00:02:28 - 00:02:29] 老师不讲他就会了是吧
[00:02:29 - 00:02:31] 老师不会的他还会
[00:02:31 - 00:02:33] 你会发现每次考试
[00:02:33 - 00:02:36] 只要靠数学就有个别的声口能投满分
[00:02:36 - 00:02:36] 是吧
[00:02:36 - 00:02:39] 所以同学你过半天数学这一课非常拉分
[00:02:39 - 00:02:41] 而且它一拉就不是拉几分
[00:02:42 - 00:02:44] 几十分几十分拉呀是不是
[00:02:44 - 00:02:46] 所以同学你要知道数学很拉分的
[00:02:46 - 00:02:48] 数学最后知道最后有到大体多少分吗
[00:02:48 - 00:02:51] 数学最后一到大体就直接十分
[00:02:52 - 00:02:54] 当然政治和英语也有十分的大体
[00:02:54 - 00:02:55] 但同学你过半天
[00:02:55 - 00:02:57] 政治的十分大体你不会的
[00:02:57 - 00:02:59] 你可以乱写呀
[00:02:59 - 00:03:00] 英语的作用不会写
[00:03:00 - 00:03:02] 你可以朝约度理解呀
[00:03:02 - 00:03:04] 数学的题不会的怎么办
[00:03:04 - 00:03:05] 你他们只能写个解
[00:03:05 - 00:03:06] 是吧
[00:03:06 - 00:03:08] 关键是
[00:03:08 - 00:03:09] 对吧
[00:03:09 - 00:03:12] 关键是你写了解
[00:03:12 - 00:03:14] 他们不给分了对不对
[00:03:14 - 00:03:15] 所以同学你要知道
[00:03:15 - 00:03:17] 数学这一课特别的拉分
[00:03:17 - 00:03:18] 如果说你的专业考数学
[00:03:18 - 00:03:19] 一定要考高分
[00:03:19 - 00:03:21] 精力修精能考多高考多高
