BV号：BV1nJ411H7Z5
标题：BV1nJ411H7Z5
链接：https://www.bilibili.com/video/BV1nJ411H7Z5
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-04-04 03:27:29

[00:00:02 - 00:00:06] 你这个律师是不是就是拿人钱才替人消败
[00:05:10 - 00:05:12] 它会承担更大的压力
[00:05:12 - 00:05:14] 而且还有一方面就是
[00:05:14 - 00:05:16] 从整个社会正义的角度来说
[00:05:16 - 00:05:18] 是需要一个程序上的公平
[00:05:18 - 00:05:20] 你越是这个人
[00:05:20 - 00:05:22] 看起来是犯罪嫌疑人
[00:05:22 - 00:05:23] 越是他有问题
[00:05:23 - 00:05:26] 你越要从一个程序上去保证这个公正性
[00:05:26 - 00:05:28] 否则的话会有冤家错案
[00:05:28 - 00:05:28] 对 所以说的话
[00:05:28 - 00:05:30] 就您就会像说的冤家错案
[00:05:30 - 00:05:31] 我觉得刚才我刚刚说的这一点
[00:05:31 - 00:05:33] 就是有些时候如果说我们
[00:05:33 - 00:05:35] 因为有些时候就是像你觉得没体
[00:05:35 - 00:05:37] 包括像一些帐号玩
[00:05:37 - 00:05:38] 尤其新密体帐号
[00:05:38 - 00:05:39] 他为了新鲜
[00:05:39 - 00:05:40] 下的决论太快
[00:05:40 - 00:05:41] 对 出来一个事情
[00:05:41 - 00:05:44] 马上就做了一些诈输
[00:05:44 - 00:05:45] 做了一些判断
[00:05:45 - 00:05:46] 对 实际上你反面的东西
[00:05:46 - 00:05:47] 可能都没有听
[00:05:47 - 00:05:50] 对 所以说的话就搞到好多好多
[00:05:50 - 00:05:51] 冤家错案一出来
[00:05:51 - 00:05:52] 出来完以后的话就是
[00:05:52 - 00:05:57] 就反轉通常就反轉各種各樣的反轉之後又是又是一個狂歡
[00:05:57 - 00:06:01] 對所以說的話有些時候大家對於這個律師的工作一定要去理解
[00:06:01 - 00:06:05] 不是說大家說說我這個律師我就專門要為所謂的惡人怎麼樣
[00:06:05 - 00:06:08] 我為了錢怎麼樣的其實沒有大家想那麼陰暗
[00:06:08 - 00:06:10] 只不過是每個人都有自己的權利
[00:06:10 - 00:06:12] 蘇局不好聽的話你是沒碰到我
[00:06:12 - 00:06:16] 這真正是非對吧你要是萬一你要是冤的時候
[00:06:16 - 00:06:22] 對吧你也會希望說是會不要這麼看我我也希望有個人來保護我的權益
[00:06:22 - 00:06:24] 跟东西跟所谓的钱不钱我觉得
[00:06:24 - 00:06:27] 那是一方面没有大家想着不要那么阴暗
[00:06:27 - 00:06:28] 对不对
[00:06:28 - 00:06:28] 没错
[00:06:28 - 00:06:29] 公主
[00:06:29 - 00:06:30] 你看你作为一个律师
[00:06:30 - 00:06:32] 有的时候你在看一些电视剧的所
[00:06:33 - 00:06:34] 有没有看到过
[00:06:34 - 00:06:36] 就是说他这玩意明显是不对的
[00:06:36 - 00:06:37] 或者不合理的
[00:06:37 - 00:06:37] 有
[00:06:37 - 00:06:38] 其实经常
[00:06:38 - 00:06:39] 经常
[00:06:39 - 00:06:43] 我觉得律政剧和是不是医生剧
[00:06:43 - 00:06:44] 医生剧这种情况
[00:06:44 - 00:06:45] 因为设计的
[00:06:45 - 00:06:47] 确实事情比较专业
[00:06:47 - 00:06:47] 对
[00:06:47 - 00:06:47] 对吧
[00:06:47 - 00:06:49] 你设计的事情比较专业
[00:06:49 - 00:06:50] 那可能
[00:06:50 - 00:06:54] 做娱乐媒体的朋友不是那么的了解
[00:06:54 - 00:06:57] 所以会出现一些小的披露都是也正常吧
[00:06:57 - 00:06:59] 能理解
[00:06:59 - 00:07:01] 所以我们可能不然看得少
[00:07:01 - 00:07:02] 比如说呢
[00:07:03 - 00:07:04] 有没有印象比较深的
[00:07:04 - 00:07:05] 当然我们不说那种
[00:07:05 - 00:07:07] 我们不说剧的名字
[00:07:07 - 00:07:09] 也不说演员的名字
[00:07:09 - 00:07:11] 我虽然没看过这个剧
[00:07:11 - 00:07:13] 但是最近一直在看
[00:07:13 - 00:07:16] 有一些公众号上写
[00:07:16 - 00:07:18] 最近有一个律政剧上会说
[00:07:18 - 00:07:22] 让我们找出来中华人民共和国知识产权法
[00:07:23 - 00:07:25] 但实际上是没有这么一个法
[00:07:25 - 00:07:26] 对没有
[00:07:26 - 00:07:27] 没有这个法吗
[00:07:27 - 00:07:30] 我们您考研上学
[00:07:30 - 00:07:33] 课上会有一个知识产权法
[00:07:33 - 00:07:36] 但是真正从人大立法
[00:07:36 - 00:07:38] 生效的法律来说是没有这么一个法的
[00:07:38 - 00:07:40] 它是商标法
[00:07:40 - 00:07:41] 专立法
[00:07:41 - 00:07:43] 还有著作权法
[00:07:43 - 00:07:45] 这三大类
[00:07:45 - 00:07:49] 然后以及其他的法规统称叫做知识产权法
[00:07:49 - 00:07:52] 但没有一个东西叫中华人民共和国知识产权法
[00:07:52 - 00:07:53] 一个红本摆在那边
[00:07:53 - 00:07:54] 跟宪法是没有
[00:07:55 - 00:07:56] 你课本有 红本没有
[00:07:56 - 00:07:59] 这种披露当然都是无心为之了
[00:07:59 - 00:08:00] 但是有时候确实会有
[00:08:01 - 00:08:04] 其实我们以前的很多
[00:08:05 - 00:08:06] 不管是现代的律师
[00:08:06 - 00:08:09] 还有来面试的学生
[00:08:09 - 00:08:11] 很多都是受这个律政局的影响
[00:08:11 - 00:08:12] 然后才去考反
[00:08:12 - 00:08:14] 包括现在很多有一些职场类的
[00:08:14 - 00:08:16] 我们上期也谈到职场嘛
[00:08:16 - 00:08:17] 包括有些职场类的节目
[00:08:17 - 00:08:18] 可能他在演的时候
[00:08:18 - 00:08:20] 也不像说我们在上期节目里面
[00:08:20 - 00:08:22] 给大家说的可能有一个什么样的过程
[00:08:22 - 00:08:23] 对吧
[00:08:23 - 00:08:24] 比如说一个实习律师啊
[00:08:24 - 00:08:27] 然后的话在今年律师成为一个合伙人
[00:08:27 - 00:08:28] 包括是这个样子的
[00:08:28 - 00:08:29] 对不对
[00:08:29 - 00:08:30] 所以说包括有些时候
[00:08:30 - 00:08:32] 大家总以为律师是一个非常非常
[00:08:32 - 00:08:34] 好像就是你当着律师以后
[00:08:34 - 00:08:35] 你就马上就说
[00:08:35 - 00:08:37] 哇高富帅
[00:08:37 - 00:08:37] 对吧
[00:08:37 - 00:08:38] 然后女律师就是白富美啊
[00:08:38 - 00:08:39] 对吧
[00:08:39 - 00:08:41] 但实际上他这个过程是没有电视剧
[00:08:41 - 00:08:43] 想的那么演的那么
[00:08:43 - 00:08:45] 电视剧肯定都是很光鲜的
[00:08:45 - 00:08:46] 都是有艺术加工了
[00:08:46 - 00:08:48] 所以说的话
[00:08:48 - 00:08:51] 希望大家能够对律师这个职业有一个正确的认识和理解
[00:08:51 - 00:08:56] 希望大家对他们也能够更多的一些宽容也好
[00:08:56 - 00:08:56] 包容也好
[00:08:56 - 00:08:58] 不管怎么样
[00:08:58 - 00:08:58] 反正就是
[00:08:58 - 00:09:01] 就是比较起你自己原来脑子上那些过五的思维
[00:09:01 - 00:09:04] 不要有太多不好的想象
[00:09:04 - 00:09:09] 就是一说律师就是犯罪集团的这种
[00:09:09 - 00:09:10] 贪婪
[00:09:10 - 00:09:10] 现在就是
[00:09:10 - 00:09:12] 一说律师就是贪婪
[00:09:12 - 00:09:12] 是吧
[00:09:12 - 00:09:15] 在西方確實是很多的
[00:09:15 - 00:09:18] 西方是很多喜歡做訴訟的
[00:09:18 - 00:09:21] 像美國喜歡做訴訟的國家
[00:09:21 - 00:09:24] 然後有很多的笑話
[00:09:24 - 00:09:30] 有很多的這種去打擊律師的這種說法
[00:09:30 - 00:09:32] 他們會覺得律師確實有時候是貪婪的
[00:09:32 - 00:09:35] 但是往往這種所謂的這種貪婪
[00:09:35 - 00:09:39] 它能夠保護整個的社會上
[00:09:39 - 00:09:40] 程序上的正義
[00:09:40 - 00:09:40] 对
[00:09:40 - 00:09:41] 所以说
[00:09:41 - 00:09:43] 哎大家就别欺自己
[00:09:43 - 00:09:44] 来去挖着做思想
[00:09:44 - 00:09:45] 啊这个社会是美好的
[00:09:45 - 00:09:46] 好不好
[00:09:46 - 00:09:47] 我们感谢公老师
[00:09:47 - 00:09:47] 给我们分析的
[00:09:47 - 00:09:49] 呃分享的这么多内容
[00:09:49 - 00:09:50] 咱们本期节目就是这样
[00:09:50 - 00:09:51] 咱们下期节目再见
[00:09:51 - 00:09:51] 谢谢
[00:09:52 - 00:09:54] 那比如说您是咱们所
[00:09:54 - 00:09:56] 这个最底层的
[00:09:56 - 00:09:56] 所谓的一个律师
[00:09:56 - 00:09:57] 然后我慢慢的
[00:09:58 - 00:09:58] 长长时间
[00:09:58 - 00:09:59] 跟电视剧里边
[00:09:59 - 00:10:01] 你觉得哪个电视剧里边的
[00:10:01 - 00:10:02] 每个形象跟您的成长
[00:10:02 - 00:10:03] 经历是比较像
[00:10:03 - 00:10:03] 我觉得这就是
[00:10:03 - 00:10:05] 哈哈哈
[00:10:05 - 00:10:06] 因为要这么付给这包
[00:10:06 - 00:10:06] 对
[00:10:06 - 00:10:07] 因为我一个人是人面
[00:10:07 - 00:10:08] 怎么
