BV号：BV1pb411p77r
标题：BV1pb411p77r
链接：https://www.bilibili.com/video/BV1pb411p77r
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-04-04 08:26:30

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 在1997年的3月份
[00:02:02 - 00:02:04] 那按理来说的话
[00:02:04 - 00:02:06] 那我们这案子不就是它行为时的法律
[00:02:06 - 00:02:08] 那就此行判决没问题啊
[00:02:08 - 00:02:10] 对 那么有一种情况是
[00:02:10 - 00:02:14] 在它的案件审理期间
[00:02:14 - 00:02:16] 出现了新的法律
[00:02:16 - 00:02:18] 这个时候新法律有两种可能
[00:02:18 - 00:02:20] 一种原来的判决更重
[00:02:20 - 00:02:21] 一种更轻
[00:02:21 - 00:02:24] 那这个时候我们有没有可能
[00:02:24 - 00:02:28] 用新的法律来对这个犯罪嫌疑人
[00:02:28 - 00:02:29] 进行轻的判决
[00:02:29 - 00:02:30] 那你刚才不是说从
[00:02:30 - 00:02:33] 哦 就是要給他往親的判
[00:02:33 - 00:02:34] 對
[00:02:34 - 00:02:37] 那就是說給他一個就是所謂改過自信的機會
[00:02:37 - 00:02:37] 對
[00:02:37 - 00:02:39] 我們法律的目的不是為了懲罰他
[00:02:39 - 00:02:44] 而是為了能夠讓他有更好的去改造給你一個機會
[00:02:44 - 00:02:44] 對
[00:02:44 - 00:02:48] 只要在判決沒有生效之前出現了新法律
[00:02:48 - 00:02:52] 我們法院就會主動把兩個法律拿來PK一下
[00:02:52 - 00:02:54] 給你挑對你有利的法律
[00:02:54 - 00:02:58] 那判決生效我們這個案子是在8月份的時候就判決的
[00:02:58 - 00:02:58] 對吧
[00:02:58 - 00:03:00] 10月份去执行
[00:03:01 - 00:03:04] 那这个判决生效是8月份生效还是10月份生效
[00:03:04 - 00:03:05] 按哪个来算
[00:03:06 - 00:03:09] 判决是以宣告或送达的时候生效
[00:03:09 - 00:03:11] 就是我判决出下来不算
[00:03:12 - 00:03:13] 判决出下来的概念是什么
[00:03:13 - 00:03:15] 你下来藏在你法院抽屉头了
[00:03:15 - 00:03:18] 他不知道他不知道他就不算
[00:03:18 - 00:03:20] 看的前一天得知道
[00:03:20 - 00:03:21] 哦是这样的
[00:03:22 - 00:03:25] 所以呢如果你是另外一个人你得比较背
[00:03:25 - 00:03:29] 你呢是刚刚判断了二审判决跟你宣告了
[00:03:29 - 00:03:30] 有据属性十年
[00:03:30 - 00:03:34] 好了刚刚宣告完第二天出了新法
[00:03:34 - 00:03:37] 说你这个情况最多最高
[00:03:37 - 00:03:38] 最高五年怎么办
[00:03:38 - 00:03:40] 他既然就活该
[00:03:40 - 00:03:42] 然后你前一天说判十年
[00:03:42 - 00:03:43] 第二天有个新法例说判五年
[00:03:43 - 00:03:44] 因为你告诉我了
[00:03:44 - 00:03:46] 所以说我就只能再对十年
[00:03:46 - 00:03:48] 你只能去厕所哭一会
[00:03:48 - 00:03:50] 因为你判决已经生效
[00:03:50 - 00:03:52] 哦那就没办法了对吧
[00:03:52 - 00:03:53] 那相当于这个法院院长说
[00:03:53 - 00:03:56] 刀下流人就说明有一个新的法律
[00:03:56 - 00:03:59] 可能是对这个李某他的判决会更轻一些对吧
[00:03:59 - 00:04:01] 并且判决还没有生效
[00:04:01 - 00:04:01] 还没生效
[00:04:01 - 00:04:03] 咱们现在已经说了判决没生效对不对
[00:04:03 - 00:04:03] 对
[00:04:03 - 00:04:04] 然后呢
[00:04:04 - 00:04:05] 就像那二号才生效对吧
[00:04:05 - 00:04:06] 对
[00:04:06 - 00:04:11] 那咱们国家的新法律是哪一条人可以给他所谓的判决从新的
[00:04:11 - 00:04:11] 你这么好学的
[00:04:11 - 00:04:12] 哪你看的
[00:04:12 - 00:04:13] 什么都要搞清楚
[00:04:13 - 00:04:14] 那必然的
[00:04:14 - 00:04:15] 好好好
[00:04:15 - 00:04:16] 这样的我们道歉呢
[00:04:16 - 00:04:19] 以前是说只要数额特别巨大就可以判死刑
[00:04:19 - 00:04:21] 然后97年的3月份
[00:04:21 - 00:04:23] 咱们这个新刑法颁布之后
[00:04:23 - 00:04:24] 他10月1号施行
[00:04:24 - 00:04:26] 那他规定了只有两种情况
[00:04:26 - 00:04:27] 判死刑
[00:04:27 - 00:04:29] 就是盗窃金融机构
[00:04:29 - 00:04:30] 和盗窃珍贵文物
[00:04:30 - 00:04:31] 数个特别巨大
[00:04:31 - 00:04:33] 判死刑
[00:04:33 - 00:04:34] 那像我们这个案子
[00:04:34 - 00:04:35] 他30万体方时
[00:04:35 - 00:04:36] 对
[00:04:36 - 00:04:37] 既不是金融机构
[00:04:37 - 00:04:39] 也不是珍贵文物
[00:04:39 - 00:04:41] 也就是他可以使用心法律来
[00:04:41 - 00:04:42] 适当的减免一些心法
[00:04:42 - 00:04:43] 他就直接
[00:04:43 - 00:04:45] 就最高就无期了嘛
[00:04:45 - 00:04:46] 那相当于
[00:04:46 - 00:04:47] 最高也就判得无期
[00:04:47 - 00:04:48] 那这个离谋就是
[00:04:48 - 00:04:50] 就相当于2号去送拿了判决
[00:04:50 - 00:04:52] 然后的话10月1号的时候
[00:04:52 - 00:04:54] 新法律生效了
[00:04:54 - 00:04:57] 呵 这底儿也太高了呀
[00:04:57 - 00:04:57] 对呀对呀
[00:04:57 - 00:04:59] 就相当于一个 哎呀
[00:04:59 - 00:05:00] 那里来说啊
[00:05:00 - 00:05:01] 就是我的理解
[00:05:01 - 00:05:03] 你说一个这个要执行死刑的犯人
[00:05:03 - 00:05:04] 他在宪运里边
[00:05:04 - 00:05:06] 他肯定不知道这个事儿
[00:05:06 - 00:05:06] 对
[00:05:06 - 00:05:08] 那就得要靠我们公警法机关
[00:05:08 - 00:05:08] 对
[00:05:08 - 00:05:10] 来来帮他
[00:05:10 - 00:05:15] 本案中就是我们的法院主动的发现了这个问题
[00:05:15 - 00:05:15] 哎呀
[00:05:15 - 00:05:17] 然后把他的命留下来了
[00:05:17 - 00:05:18] 真是
[00:05:18 - 00:05:18] 所以说的话
[00:05:18 - 00:05:20] 我们再次强调一下
[00:05:20 - 00:05:23] 这个我们对犯罪嫌疑人进行判决为什么要从刑
[00:05:23 - 00:05:27] 不是说要去一定要打你成法道什么程度啊
[00:05:27 - 00:05:29] 甚至说要去弄死你对吧
[00:05:29 - 00:05:31] 而是说为了能够让你一个改过自信的一个机会
[00:05:31 - 00:05:32] 对对对
[00:05:32 - 00:05:33] 哎呀
[00:05:33 - 00:05:34] 但是话我说回来啊
[00:05:34 - 00:05:36] 就是所谓的犯罪嫌疑人
[00:05:36 - 00:05:38] 你不能指望说心法律会更轻易些
[00:05:38 - 00:05:40] 然后判决的时候有心法律之心
[00:05:40 - 00:05:41] 我就是侵犯
[00:05:41 - 00:05:42] 你说你与其这样
[00:05:42 - 00:05:44] 你刚刚当初为什么要犯罪
[00:05:44 - 00:05:44] 对吧
[00:05:44 - 00:05:46] 你还是不犯罪为好
[00:05:46 - 00:05:47] 走吧
[00:05:47 - 00:05:48] 咱们国家法律还是喊人性的
[00:05:48 - 00:05:49] 好
[00:05:49 - 00:05:50] 那我们本期节目就是这样
[00:05:50 - 00:05:51] 咱们下期节目呢
[00:05:51 - 00:05:53] 节目继续给大家讲很好玩的法律案件
[00:05:53 - 00:05:54] 咱们下期再见
[00:05:54 - 00:05:55] 谢谢大家
