BV号：BV1q7411s7S5
标题：BV1q7411s7S5
链接：https://www.bilibili.com/video/BV1q7411s7S5
识别语言：zh
语言置信度：1
分段数：392
生成时间：2026-04-04 03:17:34

[00:00:00 - 00:00:02] 大家好 欢迎收看本期的法律其实很好玩
[00:00:02 - 00:00:04] 那么有这么一个人叫做王某
[00:06:33 - 00:06:35] 关键人平常相安无事
[00:06:35 - 00:06:36] 一人一层
[00:06:36 - 00:06:37] 就这样
[00:06:37 - 00:06:38] 然后两年的徒刑
[00:06:38 - 00:06:39] 两年的施刑
[00:06:39 - 00:06:40] 然后你知道怎么样
[00:06:40 - 00:06:43] 大概在前年的时候
[00:06:43 - 00:06:44] 这个南方周末
[00:06:44 - 00:06:46] 当初是南方周末报道的
[00:06:46 - 00:06:47] 南方周末说
[00:06:47 - 00:06:48] 我们要看一下
[00:06:48 - 00:06:50] 我们当年这个报
[00:06:50 - 00:06:52] 那个第一起重婚案的人怎么样了
[00:06:52 - 00:06:53] 你猜怎么样
[00:06:53 - 00:06:55] 现在人家的身份
[00:06:55 - 00:06:57] 现在人家还不是
[00:06:57 - 00:06:59] 他应该是六个婚外情的一个老婆
[00:06:59 - 00:07:00] 总共有七层
[00:07:00 - 00:07:03] 然后现在他在哪里
[00:07:03 - 00:07:04] 把他找到了
[00:07:04 - 00:07:06] 他在他的那一栋楼的最上面
[00:07:06 - 00:07:10] 就楼顶上搭了个铁皮房子住着的
[00:07:10 - 00:07:11] 在他坐牢之后
[00:07:11 - 00:07:14] 他所有的老婆们全都走掉了
[00:07:14 - 00:07:15] 然后那个房子
[00:07:15 - 00:07:18] 后来也不知道是怎么
[00:07:18 - 00:07:19] 他可能出来之后
[00:07:19 - 00:07:20] 生意做不成了
[00:07:20 - 00:07:23] 你知道那种生意说垮就垮了的
[00:07:23 - 00:07:24] 然后就全垮了
[00:07:24 - 00:07:26] 那个房子最后卖给了别人
[00:07:26 - 00:07:27] 然后人家原主人
[00:07:27 - 00:07:29] 就后来的这个主人
[00:07:29 - 00:07:30] 看他可怜
[00:07:30 - 00:07:33] 允许他在楼顶上搭个铁皮房
[00:07:33 - 00:07:35] 其实后来人生赢家
[00:07:35 - 00:07:36] 不是
[00:07:36 - 00:07:38] 我觉得后来你这么说以后
[00:07:38 - 00:07:38] 我觉得
[00:07:42 - 00:07:43] 就是怎么说呢
[00:07:43 - 00:07:44] 如果有这样想法的人
[00:07:44 - 00:07:46] 他其实最安全的办法就是
[00:07:46 - 00:07:47] 不结婚
[00:07:47 - 00:07:49] 我同时谈
[00:07:49 - 00:07:51] 假如说你像刚才你讲那个案子
[00:07:51 - 00:07:53] 假如说他干脆他第一个老婆
[00:07:53 - 00:07:54] 他就没领结婚这儿
[00:07:54 - 00:07:56] 他就不领结婚证
[00:07:56 - 00:07:58] 我就跟这6个女的
[00:07:58 - 00:08:00] 就没有任何一个婚姻关系
[00:08:00 - 00:08:03] 我没有任何一个婚姻关系
[00:08:03 - 00:08:04] 那这个时候
[00:08:04 - 00:08:05] 那理论上来讲
[00:08:05 - 00:08:06] 这个男的就不需要
[00:08:06 - 00:08:10] 付任何所谓跟婚姻法有关系的责任
[00:08:10 - 00:08:10] 是吗
[00:08:10 - 00:08:12] 您稍等一下
[00:08:12 - 00:08:13] 是这样的
[00:08:13 - 00:08:15] 1994年以前
[00:08:15 - 00:08:18] 我们1994年通过了一个婚姻登记条例
[00:08:18 - 00:08:20] 在1994年以前
[00:08:20 - 00:08:22] 咱们的很多人结婚
[00:08:22 - 00:08:23] 是不去证实的机关
[00:08:23 - 00:08:31] 然后94年之前我们是现在我们就规定说94年之前如果你没有领过结婚证
[00:08:31 - 00:08:36] 但是你们确实是敲楼打鼓接了婚的那么承认你有婚姻关系
[00:08:36 - 00:08:38] 就是你只要有
[00:08:38 - 00:08:42] 甚至说说向公众宣布过说我们两个结婚了
[00:08:42 - 00:08:44] 如果你94年你你比现在你刚才说的这种
[00:08:45 - 00:08:45] 乱子
[00:08:46 - 00:08:50] 如果他在94年之前他有一个婚姻关系他后来再有这些也不行
[00:08:51 - 00:08:52] 但如果是现在
[00:08:52 - 00:08:53] 现在你说这个家会有六个家
[00:08:53 - 00:08:55] 但是每一个都没有结婚
[00:08:55 - 00:08:57] 每一个结婚领证
[00:08:57 - 00:08:59] 这还真把它没办法
[00:08:59 - 00:09:00] 不能算他宠婚
[00:09:03 - 00:09:04] 所以说我觉得
[00:09:04 - 00:09:05] 这个东西其实我个人觉得
[00:09:05 - 00:09:07] 在执行起来是挺难的
[00:09:07 - 00:09:10] 因为你说什么叫事实婚姻呢
[00:09:10 - 00:09:11] 你说住了多久算事实婚姻
[00:09:11 - 00:09:14] 对 这种你夫妻名义同居在实践中
[00:09:14 - 00:09:16] 认证是有困难的
[00:09:16 - 00:09:17] 非常非常困难
[00:09:17 - 00:09:18] 你说你怎么证明
[00:09:18 - 00:09:20] 他是
[00:09:20 - 00:09:22] 是以时间作为限定的
[00:09:22 - 00:09:24] 还是以关系作为限定的
[00:09:24 - 00:09:24] 还是为
[00:09:24 - 00:09:27] 主要是一个实质的关系的紧密程度
[00:09:27 - 00:09:28] 什么叫紧密程度呢
[00:09:28 - 00:09:30] 你比如说我现在
[00:09:30 - 00:09:32] 就是每个月给你2000块钱
[00:09:32 - 00:09:35] 然后我这个一个男的
[00:09:35 - 00:09:36] 那我不给他钱就不算了吗
[00:09:36 - 00:09:37] 你先等会
[00:09:37 - 00:09:38] 比如说每个月给他2000块钱
[00:09:38 - 00:09:41] 然后我每个礼拜三晚上去那住一夜
[00:09:41 - 00:09:41] 完了
[00:09:41 - 00:09:43] 你就是我养的一个
[00:09:43 - 00:09:45] 我有这种性的需要的时候
[00:09:45 - 00:09:47] 跟你见一下
[00:09:47 - 00:09:48] 每个月给你点钱
[00:09:48 - 00:09:49] 给你点生活费
[00:09:49 - 00:09:51] 这个就不能算一夫妻名义同居
[00:09:51 - 00:09:52] 啊
[00:09:52 - 00:09:53] 以夫妻名义同居的那种
[00:09:53 - 00:09:54] 像你说包二奶
[00:09:54 - 00:09:55] 其实包二奶分两种
[00:09:55 - 00:09:56] 一种就像我刚说的
[00:09:56 - 00:09:57] 啊
[00:09:57 - 00:09:58] 人家就纯粹当
[00:09:58 - 00:09:59] 简简单单的去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:09:59] 去
[00:09:59 - 00:10:00] 去
[00:10:00 - 00:10:00] 去
[00:10:00 - 00:10:00] 去
[00:10:00 - 00:10:00] 去
[00:10:00 - 00:10:02] 就是被我包养的一个金钱关系
[00:10:02 - 00:10:04] 而另外可能真的有感情了
[00:10:04 - 00:10:05] 还有孩子
[00:10:05 - 00:10:05] 然后呢
[00:10:05 - 00:10:06] 还想办法给老婆
[00:10:06 - 00:10:08] 给这个二老婆买房子呀
[00:10:08 - 00:10:09] 给孩子上户口啊
[00:10:09 - 00:10:11] 这种一般就认定为
[00:10:11 - 00:10:12] 宠婚
[00:10:13 - 00:10:15] 就主要看他实质上
[00:10:15 - 00:10:17] 有没有达到像正常的一个家庭的那种
[00:10:19 - 00:10:21] 所以说怎么说呢
[00:10:21 - 00:10:23] 就我觉得两点
[00:10:23 - 00:10:24] 第一点就法文
[00:10:24 - 00:10:25] 你先把三观挣回来
[00:10:25 - 00:10:27] 不许说那个是人生赢家
[00:10:27 - 00:10:28] 不不不不
[00:10:28 - 00:10:29] 我说的是弹幕
[00:10:29 - 00:10:30] 我们说是我说的
[00:10:30 - 00:10:32] 我没有那么想好不好
[00:10:32 - 00:10:34] 我没有那么想
[00:10:34 - 00:10:35] 我说的是
[00:10:35 - 00:10:36] 我们在说那一段的时候
[00:10:36 - 00:10:38] 可能会有弹幕会那么飘
[00:10:38 - 00:10:39] 但是我想说的是什么呢
[00:10:39 - 00:10:40] 第一点就是
[00:10:40 - 00:10:41] 你报的这种心态的人
[00:10:41 - 00:10:42] 真的就是三观很重要
[00:10:42 - 00:10:43] 我们叫
[00:10:43 - 00:10:44] 法文不亏 说人不露
[00:10:44 - 00:10:46] 你只要是以
[00:10:46 - 00:10:47] 所谓夫妻名义
[00:10:47 - 00:10:48] 去同居的
[00:10:49 - 00:10:51] 那么都可以认定你是重婚的
[00:10:51 - 00:10:55] 那么第二点的话呢就是如果说你真的觉得上一段黑音
[00:10:55 - 00:10:56] 所谓的真的那么不幸的话
[00:10:57 - 00:11:00] 你再想去重新开始你先把前一段结束了
[00:11:00 - 00:11:02] 你再去重新开始
[00:11:02 - 00:11:05] 当然你中间说结束这个玩意有多么的困难
[00:11:05 - 00:11:06] 因为我确实我见过
[00:11:07 - 00:11:08] 各种各样的
[00:11:09 - 00:11:10] 确实就是
[00:11:11 - 00:11:12] 离不掉而且的话
[00:11:12 - 00:11:14] 因为大多数情况都是女方相对弱势
[00:11:14 - 00:11:17] 甚至可能男方还需酒甚至还家暴
[00:11:17 - 00:11:20] 而且的话我最近家暴的话题也很有很多啊
[00:11:20 - 00:11:25] 哎那我问我我我替那些就是遭受家暴的人问一下
[00:11:25 - 00:11:26] 因为有的不是男的被家暴啊
[00:11:26 - 00:11:29] 我替这些遭受家暴的人问一下
[00:11:29 - 00:11:31] 如果我能证明我曾经遭受过家暴
[00:11:31 - 00:11:34] 是不是我去起诉离婚就一定能理
[00:11:34 - 00:11:36] 现在比原来要好一点
[00:11:36 - 00:11:37] 但我不能说一定能理
[00:11:37 - 00:11:39] 就是现在可能就会很大
[00:11:39 - 00:11:41] 对现在法官的观念也变得以前说
[00:11:41 - 00:11:43] 哎呀打两口这么大
[00:11:43 - 00:11:44] 大家不是很正常的
[00:11:45 - 00:11:45] 但现在
[00:11:46 - 00:11:47] 连法官的观点都变
[00:11:47 - 00:11:48] 因为他有可能如果不管
[00:11:49 - 00:11:50] 他可能下次就把人打死
[00:11:50 - 00:11:51] 对
[00:11:51 - 00:11:52] 所以现在
[00:11:52 - 00:11:53] 会希望很大
[00:11:53 - 00:11:57] 嗯对因为我确实是在身边有遇到过这样的这样的情况
[00:11:57 - 00:11:58] 然后的话
[00:11:58 - 00:12:00] 嗯怎么说呢总是希望
[00:12:01 - 00:12:02] 希望大家能够更加和谐
[00:12:03 - 00:12:03] 好不好
[00:12:03 - 00:12:05] 好我们本期节目的就是这样咱们下期节目再见
