BV号：BV1tTmCBWE9W
标题：BV1tTmCBWE9W
链接：https://www.bilibili.com/video/BV1tTmCBWE9W
识别语言：zh
语言置信度：1
分段数：176
生成时间：2026-04-03 03:31:37

[00:00:00 - 00:00:02] 有几个专业就业地域性非常强
[00:01:02 - 00:01:04] 所以说这种临床医学类的话
[00:01:04 - 00:01:05] 你要知道他的这种
[00:01:05 - 00:01:08] 就业地域性是相当强
[00:01:08 - 00:01:09] 超级强
[00:01:09 - 00:01:10] 然后还有一个什么
[00:01:10 - 00:01:10] 想办法专业
[00:01:10 - 00:01:11] 就业地域性很强
[00:01:11 - 00:01:12] 文科
[00:01:12 - 00:01:13] 文科法律
[00:01:13 - 00:01:15] 就业地域性超级强
[00:01:15 - 00:01:16] 财块
[00:01:16 - 00:01:17] 就业地域性也很强
[00:01:17 - 00:01:19] 但是不像法律和临床医学那么强
[00:01:19 - 00:01:21] 财块就业地域性也很强
[00:01:21 - 00:01:21] 为什么
[00:01:21 - 00:01:22] 原因非常简单
[00:01:22 - 00:01:23] 我一个苏陆的企业
[00:01:23 - 00:01:25] 没有必要去外地去找品
[00:01:25 - 00:01:26] 能明白吗
[00:01:26 - 00:01:27] 那我们公司来举例子
[00:01:27 - 00:01:29] 我们公司财务团队
[00:01:29 - 00:01:29] 十几个人
[00:01:29 - 00:01:30] 十五个人以内
[00:01:30 - 00:01:31] 现在公司业务增长了
[00:01:31 - 00:01:33] 我去招一个财块的人员
[00:01:33 - 00:01:33] 对吧
[00:01:33 - 00:01:35] 平时工作地点在苏州
[00:01:35 - 00:01:37] 你说我就招这么一个两个块钱
[00:01:37 - 00:01:38] 我有必要非得跑到
[00:01:38 - 00:01:39] 我配得跑到兰州
[00:01:39 - 00:01:41] 因为你兰州大学是985
[00:01:41 - 00:01:42] 去兰州大学招一个财块
[00:01:42 - 00:01:43] 我有必要吗
[00:01:43 - 00:01:45] 我苏州大学的块钱用不了吗
[00:01:45 - 00:01:45] 然后的话
[00:01:45 - 00:01:46] 如果说你做中小企业
[00:01:46 - 00:01:47] 他一年营业额
[00:01:47 - 00:01:49] 也就是个千万以内
[00:01:49 - 00:01:50] 一年一額你就千万以内
[00:01:50 - 00:01:51] 你说他去招快递
[00:01:51 - 00:01:52] 他们公司财务
[00:01:52 - 00:01:54] 还用可能只有一个人两个人
[00:01:54 - 00:01:54] 他去招聘
[00:01:54 - 00:01:56] 他可能会说因为你是工办
[00:01:56 - 00:01:58] 我就乌跑到黑东江招一个工办
[00:01:58 - 00:01:59] 我苏州有民办高手
[00:01:59 - 00:02:00] 我不招附近的
[00:02:00 - 00:02:02] 我非得跑到你们那边去招一个工办
[00:02:02 - 00:02:03] 有必要吗
[00:02:03 - 00:02:04] 所以说你会发现
[00:02:04 - 00:02:06] 文科就业地域性也超级强
[00:02:06 - 00:02:08] 理工内第一档次院校
[00:02:08 - 00:02:10] 就业地域性也超级强
[00:02:10 - 00:02:12] 理工内第一档次院校
[00:02:12 - 00:02:14] 就业也是就业地域性非常强
[00:02:14 - 00:02:17] 我就招一个普通本科生
[00:02:17 - 00:02:19] 我干嘛非得跑到外地去招聘
[00:02:19 - 00:02:21] 因为本身大家你要知道
[00:02:21 - 00:02:23] 你本身是理工类
[00:02:23 - 00:02:24] 你的院校档次低
[00:02:24 - 00:02:27] 院校档次低你上的都是省署公办
[00:02:27 - 00:02:28] 或者说你本地的明白
[00:02:28 - 00:02:30] 你要知道一个高校开社专业
[00:02:30 - 00:02:31] 他一定是什么
[00:02:31 - 00:02:33] 他有一个功能较位
[00:02:33 - 00:02:34] 把地方经济发展服务
[00:02:34 - 00:02:36] 我苏州这个民办高校
[00:02:36 - 00:02:37] 我为什么开这个专业
[00:02:37 - 00:02:39] 因为我苏州这个行业很强
[00:02:39 - 00:02:41] 他需要这方面的人才
[00:02:41 - 00:02:42] 我开这个专业
[00:02:42 - 00:02:44] 这些人都能在苏州休业
[00:02:44 - 00:02:46] 所以说第一档次的理工类院校
[00:02:46 - 00:02:48] 就业地域性也超级强
[00:02:48 - 00:02:49] 总结一下三大类
[00:02:49 - 00:02:51] 一 临床银血
[00:02:51 - 00:02:51] 二 文科
[00:02:51 - 00:02:53] 三 理工类低档次
[00:02:53 - 00:02:55] 就业地域性也超级强
[00:02:55 - 00:02:58] 所以说大家你在考虑就业地域的时候
[00:02:58 - 00:02:59] 这三类要考虑就业地域
[00:02:59 - 00:03:00] 您说老师我是理工类
[00:03:00 - 00:03:01] 我位置特别高
[00:03:01 - 00:03:04] 比如说这个今天我看其他老师直播
[00:03:04 - 00:03:05] 因为我也看其他老师直播
[00:03:05 - 00:03:07] 有一个老师说的就很对
[00:03:07 - 00:03:08] 他还得考哈红大
[00:03:08 - 00:03:10] 跟个家长还得考哈红大
[00:03:10 - 00:03:10] 然后别人说说
[00:03:10 - 00:03:13] 哎你还你这区那么远哈尔滨
[00:03:13 - 00:03:14] 哈红大虽然在哈尔滨
[00:03:14 - 00:03:17] 你以为哈欧大毕业生大数多留的哈尔滨工作吗
[00:03:17 - 00:03:17] 不是
[00:03:17 - 00:03:18] 为什么
[00:03:18 - 00:03:19] 哈欧大利涵
[00:03:19 - 00:03:22] 他会吸引全国的优质企业跑那儿去周聘
[00:03:22 - 00:03:23] 对了吧
[00:03:23 - 00:03:25] 他会吸引全国的优质企业跑那儿去周聘
[00:03:25 - 00:03:27] 花围去不去哈欧大照片
[00:03:27 - 00:03:27] 去的
[00:03:27 - 00:03:29] 小米去不去哈欧大照片
[00:03:29 - 00:03:30] 去的
[00:03:30 - 00:03:32] 因为人家的学习能力强
[00:03:32 - 00:03:33] 科研能力强
[00:03:33 - 00:03:36] 他能解决别人解决不了的事情
[00:03:36 - 00:03:38] 酒香不怕像自身
[00:03:38 - 00:03:39] 但是你理工类低档次
[00:03:39 - 00:03:40] 对吧
[00:03:40 - 00:03:41] 你的香味有
[00:03:41 - 00:03:43] 但是只在门口飘香
[00:03:43 - 00:03:46] 你的香味信不得外地的跑你那儿的朝推
[00:03:46 - 00:03:48] 但是人家理工内非常牛逼的
[00:03:48 - 00:03:49] 那酒香不怕象的神
[00:03:49 - 00:03:51] 人家的酒香真的飘到很远
[00:03:51 - 00:03:51] 对吧
[00:03:51 - 00:03:52] 我从南哈尔滨能
[00:03:52 - 00:03:53] 我哈隆大佐
[00:03:53 - 00:03:54] 我酒香我哈尔滨
[00:03:54 - 00:03:55] 我能飘到广东去
[00:03:55 - 00:03:57] 所以说这个大家一道去理解
[00:03:57 - 00:03:59] 它这个所谓的地域性
[00:03:59 - 00:04:01] 它地域性它地域在哪儿了
[00:04:01 - 00:04:02] 它地域性为什么要这么强
[00:04:02 - 00:04:03] 怎么怎么样的
[00:04:03 - 00:04:05] 这个大家一道去提前了解一下
