BV号：BV1LE411B7aM
标题：BV1LE411B7aM
链接：https://www.bilibili.com/video/BV1LE411B7aM
识别语言：zh
语言置信度：1
分段数：386
生成时间：2026-04-04 05:44:44

[00:00:02 - 00:00:03] 就火了啊挣钱了啊
[00:03:04 - 00:03:06] 因为现在假的跟真的做的
[00:03:06 - 00:03:07] 从外观上来看
[00:03:07 - 00:03:08] 没有什么直观的区别
[00:03:08 - 00:03:10] 所以我们基本看一下背面
[00:03:10 - 00:03:16] 假货的话经常的会带后背面出现的大规模的那种折臭
[00:03:16 - 00:03:18] 而正品的话会比较的干净
[00:03:18 - 00:03:21] 所以目前我翻过来看了一下这个
[00:03:21 - 00:03:22] 目前来说
[00:03:22 - 00:03:23] ok
[00:03:23 - 00:03:24] 接下来
[00:03:24 - 00:03:28] 那我要带的时间稍微长了有折臭的
[00:03:28 - 00:03:30] 它折臭也要看是怎么折
[00:03:30 - 00:03:31] 就是是这么说的
[00:03:31 - 00:03:33] 比如说人
[00:03:33 - 00:03:37] 因为它做的牛皮的东西全用的是小牛皮
[00:03:37 - 00:03:40] 小牛皮和成年牛皮最大的一个区别
[00:03:40 - 00:03:44] 就是就跟小孩和成年人或者老人
[00:03:44 - 00:03:45] 他的皮肤区别
[00:03:45 - 00:03:46] 他就会比较干和
[00:03:46 - 00:03:47] 他会有褶皱
[00:03:48 - 00:03:51] 所以其实因为腰带大家都会用
[00:03:51 - 00:03:53] 所以你用过的会出现一些褶皱
[00:03:53 - 00:03:57] 但是他的大面积的部分还是比较光滑的
[00:03:57 - 00:03:58] 我们就只看这种
[00:03:58 - 00:03:59] 他就没有出现说
[00:03:59 - 00:04:01] 说到处都是褶皱
[00:04:01 - 00:04:02] 他就是对吧
[00:04:02 - 00:04:04] 可能你用这样的就是OK的
[00:04:04 - 00:04:05] 目前其实是这样
[00:04:05 - 00:04:12] 我们坚定的时候一般分为每个商品至少会有6个点到10几个点
[00:04:12 - 00:04:14] 腰带因为比较小的东西
[00:04:14 - 00:04:16] 所以它坚定点会稍微少一点
[00:04:16 - 00:04:18] 那刚才我说的这个只是骑龙座
[00:04:18 - 00:04:19] 在这怕死了
[00:04:19 - 00:04:21] 我觉得可以观众朋友们看看
[00:04:21 - 00:04:25] 这个面是相对非常光滑的
[00:04:25 - 00:04:27] 而且拿手去摸它的话会非常难
[00:04:27 - 00:04:31] 你在进行这些你都不问我说这个腰带扎了多长时间吗
[00:04:31 - 00:04:32] 这个其实不用
[00:04:32 - 00:04:36] 因为每个人他的这个接腰带的习惯不一样
[00:04:36 - 00:04:38] 我可能说刚带了两月
[00:04:38 - 00:04:40] 但是我腰带总是累得特别紧的
[00:04:40 - 00:04:42] 那他的这个
[00:04:42 - 00:04:44] 就是会留下的痕迹就会特别明显
[00:04:44 - 00:04:46] 但是如果你接腰带的习惯是特别松的话
[00:04:46 - 00:04:50] 你可能带一年比他带两个月带的紧的那种
[00:04:50 - 00:04:51] 可能状态还要好
[00:04:51 - 00:04:53] 所以这个并不太关心
[00:04:53 - 00:04:54] 然后我们接下来呢
[00:04:54 - 00:04:56] 要看的话就是
[00:04:56 - 00:04:58] 这个腰带我们要找到它的logo部分
[00:04:58 - 00:05:00] 就是后边这每部
[00:05:00 - 00:05:01] 大家可以看一下后边这个尾部
[00:05:01 - 00:05:02] 对
[00:05:02 - 00:05:04] 在这是它的品牌的logo以及它的尺寸
[00:05:04 - 00:05:07] 那我们看一下logo
[00:05:07 - 00:05:11] 首先这个牌子它的logo会有它的自己的字体
[00:05:11 - 00:05:13] 那我拿眼镜肉眼来看的话
[00:05:15 - 00:05:17] 这个字体是比较符合的
[00:05:18 - 00:05:19] 品牌的logo
[00:05:19 - 00:05:21] 也是一个商品的坚定很重要
[00:05:21 - 00:05:24] 它这个字体你说到自己这个东西
[00:05:25 - 00:05:26] 它难道
[00:05:26 - 00:05:27] 比如说物举个例子
[00:05:27 - 00:05:29] 你看我们家平时打印一个文件的时候
[00:05:29 - 00:05:32] 那可能就是说它是一种标准字体
[00:05:32 - 00:05:36] 那它这个东西它是有自己特别的字体吗
[00:05:36 - 00:05:37] 这些设置品牌
[00:05:37 - 00:05:40] 他们的logo都是独立的字体库
[00:05:40 - 00:05:42] 都是请设计师自己设计的
[00:05:42 - 00:05:43] 它自己平时用的是不一样的
[00:05:43 - 00:05:46] 我们在 Word里边可以选几十种字体
[00:05:46 - 00:05:47] 对
[00:05:47 - 00:05:48] 你什么微软
[00:05:48 - 00:05:49] 什么黑体
[00:05:49 - 00:05:50] 送体
[00:05:50 - 00:05:51] 什么的这些
[00:05:51 - 00:05:53] 你无论选哪一种你打出来的
[00:05:53 - 00:05:55] 包括英文字体都打不出来它的字体
[00:05:55 - 00:05:57] 比如说他这个字体库
[00:05:57 - 00:05:58] 就是我自己
[00:05:58 - 00:06:00] 哪怕说我都知道
[00:06:00 - 00:06:01] 有几个例子
[00:06:01 - 00:06:03] 比如说我把LV的药袋
[00:06:03 - 00:06:06] 所有的品牌我都买
[00:06:06 - 00:06:07] 我把字母促全他
[00:06:07 - 00:06:09] 或者说他有的字母
[00:06:09 - 00:06:10] 我都给他促全他
[00:06:10 - 00:06:11] 然后我也找一个设计师
[00:06:11 - 00:06:13] 我就完全复制
[00:06:13 - 00:06:14] 这复制不出来吗
[00:06:14 - 00:06:15] 可以复制出来
[00:06:15 - 00:06:16] 可以复制出来
[00:06:16 - 00:06:17] 但是他只是第一步
[00:06:17 - 00:06:19] 所以我们要看他的字体
[00:06:19 - 00:06:20] 也只是坚定的一个点
[00:06:20 - 00:06:21] 我们看完字体之后
[00:06:21 - 00:06:22] 第二还要看
[00:06:22 - 00:06:24] 比较热烈的
[00:06:24 - 00:06:25] 对吧
[00:06:25 - 00:06:26] 就比较问题的找家者
[00:06:26 - 00:06:27] 他就不知道这个
[00:06:27 - 00:06:28] 对
[00:06:28 - 00:06:29] 所以我们在假货里边
[00:06:29 - 00:06:31] 如果是真的很差的假货
[00:06:31 - 00:06:32] 他连字体都没有反对
[00:06:32 - 00:06:33] 是吧
[00:06:33 - 00:06:34] 对
[00:06:34 - 00:06:36] 但是如果稍微再做好一点的呢
[00:06:36 - 00:06:39] 他会字体反的没有问题
[00:06:39 - 00:06:40] 但是他的工艺错了
[00:06:40 - 00:06:42] 比如什么工艺
[00:06:42 - 00:06:44] 我们把这个字体要压在这个皮子上
[00:06:44 - 00:06:45] 对吧
[00:06:45 - 00:06:46] 所以
[00:06:46 - 00:06:48] 我们能看到这个品牌
[00:06:48 - 00:06:50] 它的压印的痕迹
[00:06:50 - 00:06:51] 在它压的里面
[00:06:51 - 00:06:52] 我们去拿放大镜
[00:06:52 - 00:06:54] 压的里面我们去拿放大镜看的话
[00:06:54 - 00:06:59] 它是跟底下的牛皮的材质的结合的部分
[00:06:59 - 00:07:02] 是里面是要有牛皮的本身的纹路的
[00:07:02 - 00:07:06] 而现在很多的假货字体摘一看一模一样
[00:07:06 - 00:07:08] 但是你仔细的拿放大镜去看的时候
[00:07:08 - 00:07:13] 你会发现它里面压的东西把牛皮的纹路全都改变了
[00:07:13 - 00:07:15] 这不是牛皮吗还是什么
[00:07:15 - 00:07:17] 不是它的压印的工艺
[00:07:17 - 00:07:18] 对
[00:07:18 - 00:07:19] 所以你要解决
[00:07:19 - 00:07:21] 自己自行
[00:07:21 - 00:07:22] 你还要解决公益
[00:07:22 - 00:07:24] 不只要解决公益
[00:07:24 - 00:07:26] 你还要解决很多的问题
[00:07:26 - 00:07:26] 比如说
[00:07:26 - 00:07:27] 你看这块
[00:07:27 - 00:07:30] 你的腰带这写的是AC
[00:07:30 - 00:07:31] 我先问你一个问题
[00:07:31 - 00:07:38] 这个腰带你带了应该是一年多吧
[00:07:38 - 00:07:40] 一年多
[00:07:40 - 00:07:41] 我去年过生日
[00:07:41 - 00:07:41] 我老婆
[00:07:41 - 00:07:42] 对
[00:07:42 - 00:07:44] 然后你去年要过生日的话
[00:07:44 - 00:07:46] 肯定是去年3月以后的生日吧
[00:07:46 - 00:07:48] 是去年3月以后的生日
[00:07:48 - 00:07:49] 我目前能确定的是这个
[00:07:49 - 00:07:50] 对
[00:07:50 - 00:07:51] 对什么
[00:07:51 - 00:07:56] 因为这条腰带上面写的生产时间是18年的3月底
[00:07:57 - 00:07:59] 18年的3月底
[00:07:59 - 00:08:00] 哦
[00:08:00 - 00:08:00] 对
[00:08:00 - 00:08:02] 所以再加上去专柜
[00:08:02 - 00:08:04] 你再去专柜再买
[00:08:04 - 00:08:05] 你怎么看着它一般
[00:08:05 - 00:08:06] 你看它上面写了吗
[00:08:06 - 00:08:06] 你看
[00:08:06 - 00:08:07] 我告诉你了
[00:08:07 - 00:08:08] 那你看这个
[00:08:08 - 00:08:09] 你的这个号码是什么
[00:08:09 - 00:08:11] AC1118
[00:08:11 - 00:08:12] 对
[00:08:12 - 00:08:13] 1118
[00:08:13 - 00:08:15] 我为什么说是18年的11周年
[00:08:15 - 00:08:17] 你想想这个这个号码应该是代表的是什么
[00:08:17 - 00:08:19] 1118
[00:08:19 - 00:08:20] 1118就是18年吗
[00:08:20 - 00:08:21] 对
[00:08:21 - 00:08:23] 1118怎么是三月份的
[00:08:23 - 00:08:25] 三个一就是三月份吗
[00:08:25 - 00:08:26] 不是
[00:08:26 - 00:08:28] C是吗
[00:08:28 - 00:08:28] 不是
[00:08:28 - 00:08:31] 1118它的读法是这样
[00:08:31 - 00:08:33] 四位数字
[00:08:33 - 00:08:34] 二四位读年份
[00:08:34 - 00:08:36] 所以是18年
[00:08:37 - 00:08:39] 一三位两个一
[00:08:39 - 00:08:41] 它代表的是周分
[00:08:41 - 00:08:42] 周分
[00:08:42 - 00:08:44] 11周
[00:08:44 - 00:08:45] 11周
[00:08:45 - 00:08:47] 所以我为什么说是三月底
[00:08:47 - 00:08:49] 十一周正好是三月底
[00:08:49 - 00:08:52] 有点意思这个
[00:08:52 - 00:08:56] 所以如果你跟我说是你老婆送你这个腰带
[00:08:56 - 00:08:58] 是17年送你的
[00:08:58 - 00:09:00] 我就不用看了
[00:09:00 - 00:09:02] 就是从过这儿就能看出来
[00:09:02 - 00:09:02] 对啊
[00:09:02 - 00:09:04] 因为你生产才是18年3月
[00:09:04 - 00:09:05] 你17年都送你了
[00:09:05 - 00:09:06] 这像花吗
[00:09:06 - 00:09:08] 就是我在想到底是什么时候送的
[00:09:11 - 00:09:12] 这是17年
[00:09:12 - 00:09:17] 然后刚才我其实咱们在讲第一期节目的时候也提到过
[00:09:17 - 00:09:18] 它里面会有一些工厂啊什么的
[00:09:18 - 00:09:23] 所以你看在它的1118前面这两个英文AC代表的是什么意思呢
[00:09:23 - 00:09:26] 是在这个西班牙的工厂代码
[00:09:26 - 00:09:30] 所以我们看到这个之后再往下看logo我现在捂着呢
[00:09:30 - 00:09:34] 我应该知道如果是一个正品的话
[00:09:34 - 00:09:40] 它logo的最后的产地一定应的应该是made in西班牙
[00:09:40 - 00:09:41] 你可以看一下是不是
[00:09:41 - 00:09:42] 如果不是就一定是加的
[00:09:44 - 00:09:45] 哦是的
[00:09:45 - 00:09:46] made in Spain
[00:09:46 - 00:09:47] 对吧
[00:09:47 - 00:09:49] 这个就是AC的代码
[00:09:50 - 00:09:53] 而且AC这个工厂做的
[00:09:53 - 00:09:55] LV的腰带都是AC做的
[00:09:55 - 00:09:56] 就LV腰带都是AC做的
[00:09:56 - 00:09:57] AC这个工厂
[00:09:57 - 00:09:59] 是在西班牙的工厂
[00:09:59 - 00:10:00] 那如果我买着
[00:10:00 - 00:10:02] 别人送一条LV的腰带
[00:10:02 - 00:10:04] 我看不是AC
[00:10:04 - 00:10:06] 不是AC也有可能
[00:10:06 - 00:10:08] 大部分的都是AC生长
[00:10:08 - 00:10:09] 哦
[00:10:09 - 00:10:10] 知道了
[00:10:10 - 00:10:13] 那它这个M9043这是什么
[00:10:13 - 00:10:15] 这个是这条腰带的款号
[00:10:15 - 00:10:20] 你可以在路易微灯的官网上输入M9043这个号
[00:10:20 - 00:10:22] 你的这款腰带就出来了
[00:10:22 - 00:10:23] 哦
[00:10:23 - 00:10:25] 那下面这个就出来了
[00:10:25 - 00:10:26] 对
[00:10:26 - 00:10:26] 是吧
[00:10:26 - 00:10:28] 那就是精静精静这应该
[00:10:28 - 00:10:29] 所以我看到这为止
[00:10:29 - 00:10:32] 我没有拿放大镜的情况下来看
[00:10:32 - 00:10:34] 这个目前为止是没有问题的
[00:10:34 - 00:10:36] 那接下来就是它的缝线工艺了
[00:10:36 - 00:10:37] 以及它的别由工艺
[00:10:37 - 00:10:38] 我看了一下
[00:10:38 - 00:10:40] 这个也是没有问题的
[00:10:40 - 00:10:41] 为什么
[00:10:41 - 00:10:43] 是因为在这也跟大家说一下
[00:10:43 - 00:10:45] 我们的这个很多小伙伴会认为
[00:10:45 - 00:10:48] 这个设置品牌的东西就应该是完美无暇的
[00:10:48 - 00:10:49] 然后我用了两个月
[00:10:49 - 00:10:50] 如果开裂了
[00:10:50 - 00:10:52] 我就会认为你就是
[00:10:52 - 00:10:52] 你家的
[00:10:52 - 00:10:53] 假的
[00:10:53 - 00:10:53] 对
[00:10:53 - 00:10:53] 那么贵重
[00:10:53 - 00:10:54] 你怎么用两个月
[00:10:54 - 00:10:56] 其实他们并不是
[00:10:56 - 00:10:59] 比如说尤其是像这种PVC材质的
[00:10:59 - 00:11:01] 它出现一些开裂
[00:11:01 - 00:11:02] 很正常
[00:11:02 - 00:11:02] 对
[00:11:02 - 00:11:04] 它设置品也是东西
[00:11:04 - 00:11:06] 那包括我们看到这个
[00:11:06 - 00:11:08] 这条我们管它叫
[00:11:08 - 00:11:09] 边游
[00:11:09 - 00:11:10] 边游
[00:11:10 - 00:11:10] 边由
[00:11:11 - 00:11:12] 这边上的这条叫边由
[00:11:12 - 00:11:16] 那很多的假货会把这个边由刷得非常光滑
[00:11:16 - 00:11:18] 而你现在看一下你这条皮带
[00:11:18 - 00:11:19] 用肉眼去看这个边由
[00:11:19 - 00:11:21] 上面是不是有坑坑挖挖的东西
[00:11:22 - 00:11:24] 有这种的才是真的
[00:11:25 - 00:11:28] 因为这是工匠在做它的时候留下的痕迹
[00:11:28 - 00:11:30] 这块它是不会美化的
[00:11:30 - 00:11:31] 没必要的
[00:11:31 - 00:11:31] 对
[00:11:31 - 00:11:33] 但是相应的很多的假货
[00:11:33 - 00:11:35] 你去看它这边感觉就是非常光滑的这条
[00:11:36 - 00:11:37] 所以其实我刚才大概
[00:11:37 - 00:11:41] 看了一下这个腰带肯定是真的没有问题
[00:11:41 - 00:11:41] 肯定真的
[00:11:41 - 00:11:42] 你就可以放心了
[00:11:42 - 00:11:43] 行
[00:11:43 - 00:11:44] 反正今天咱们这期节目
[00:11:44 - 00:11:48] 我就帮助大家建订一下张老师的见别能力
[00:11:48 - 00:11:50] 确确实实很厉害
[00:11:50 - 00:11:52] 如果大家有这种见尽摄视频的需求的话
[00:11:52 - 00:11:54] 一定要骚二维码
[00:11:54 - 00:11:57] 然后给我们张老师好好看一看
[00:11:57 - 00:11:57] 好了
[00:11:57 - 00:11:58] 那我们本期节目就是这样
[00:11:58 - 00:12:00] 咱们下期节目再见
