BV号：BV1NuydYnEah
标题：BV1NuydYnEah
链接：https://www.bilibili.com/video/BV1NuydYnEah
识别语言：zh
语言置信度：1
分段数：129
生成时间：2026-04-03 07:53:52

[00:00:00 - 00:00:03] 然後有幾個學校想張老師幫我們參考一下
[00:03:29 - 00:03:29] 再去吉林
[00:03:29 - 00:03:30] 再去哈尔滨
[00:03:30 - 00:03:31] 他一条线跑下来
[00:03:31 - 00:03:32] 他不会说说
[00:03:32 - 00:03:33] 我到哈尔滨去
[00:03:33 - 00:03:35] 我就奔着汉王大去
[00:03:35 - 00:03:36] 然后的话我都到哈尔滨了
[00:03:36 - 00:03:37] 成村离这么近
[00:03:37 - 00:03:38] 我就不去
[00:03:38 - 00:03:39] 然后的话我都到了哈尔滨
[00:03:39 - 00:03:40] 到了成村了
[00:03:40 - 00:03:41] 大连领工在大连
[00:03:41 - 00:03:42] 我就不喜欢大连领工
[00:03:42 - 00:03:44] 我就不去大连领工
[00:03:44 - 00:03:45] 没有这样的
[00:03:45 - 00:03:46] 一般情况下
[00:03:46 - 00:03:48] 他跑的话都是全部都跑的
[00:03:48 - 00:03:48] 所以说的话
[00:03:48 - 00:03:49] 它是一条线
[00:03:49 - 00:03:50] 你说说
[00:03:50 - 00:03:52] 这两个学我该怎么学
[00:03:52 - 00:03:53] 哪个学校
[00:03:53 - 00:03:55] 你的位次能够充分的上
[00:03:55 - 00:03:56] 你想上的专业
[00:03:56 - 00:03:57] 你就报哪个学校
[00:03:57 - 00:03:59] 而没有必要去比较
[00:03:59 - 00:04:00] 这两个学校这个专业
[00:04:00 - 00:04:01] 谁更好
[00:04:01 - 00:04:01] 懂了吗
