BV号：BV16L4y157Vy
标题：BV16L4y157Vy
链接：https://www.bilibili.com/video/BV16L4y157Vy
识别语言：zh
语言置信度：1
分段数：107
生成时间：2026-04-03 19:46:51

[00:00:00 - 00:00:02] 我说完以后的话你就报不上了
[00:02:59 - 00:03:02] 二 看一下它同分段能上到什么样的学校
[00:03:02 - 00:03:04] 你要去参照一下去比对一下
[00:03:04 - 00:03:06] 没有绝对的好或不好
[00:03:06 - 00:03:08] 你得看一下你放弃
[00:03:08 - 00:03:09] 你要是拿了这个东西
[00:03:09 - 00:03:10] 你放弃了什么
[00:03:10 - 00:03:14] 是不是你放弃的东西比你拿到的东西还要好
[00:03:14 - 00:03:16] 尤其是你拿到这个东西的话
[00:03:16 - 00:03:17] 你肯定要花很高的学费
[00:03:17 - 00:03:18] 值不值
[00:03:18 - 00:03:20] 这个我们要参照一下值不值
[00:03:20 - 00:03:21] 能明白我的意思吗
[00:03:21 - 00:03:23] 这不是说一定所好或者不好
[00:03:23 - 00:03:24] 得比對一下
