BV号：BV1fx411Q7GZ
标题：BV1fx411Q7GZ
链接：https://www.bilibili.com/video/BV1fx411Q7GZ
识别语言：zh
语言置信度：1
分段数：326
生成时间：2026-04-04 13:13:51

[00:00:05 - 00:00:06] 啊,搞啥呀?
[00:03:38 - 00:03:40] 你们知道这个学业毕业是干嘛的吗
[00:03:40 - 00:03:41] 修水能量的
[00:03:41 - 00:03:42] 对吧
[00:03:42 - 00:03:43] 单单进行到修水能量
[00:03:43 - 00:03:44] 他去哪儿学
[00:03:44 - 00:03:46] 是不是大山里边水还几多呀
[00:03:47 - 00:03:49] 这个人们大学毕业以后找到一个单位
[00:03:49 - 00:03:50] 那单位听着可就毕了
[00:03:50 - 00:03:52] 叫葛州霸水的水年集团
[00:03:52 - 00:03:53] 然后给它发表了
[00:03:53 - 00:03:56] 云南、亚努藏湖江、中越冰境
[00:03:56 - 00:03:58] 工地在中国厕所的越南
[00:03:58 - 00:04:00] 拉炮水都得出国
[00:04:00 - 00:04:01] 这还是可以忍受的
[00:04:01 - 00:04:03] 它忍受不了的是什么呢
[00:04:03 - 00:04:04] 它忍受不了的是工地的
[00:04:04 - 00:04:05] 没有女人
[00:04:05 - 00:04:06] 因为他们那个专业
[00:04:06 - 00:04:08] 本来就有男生多女生少
[00:04:08 - 00:04:10] 他们那多于150个人
[00:04:10 - 00:04:10] 14个女生
[00:04:10 - 00:04:11] 女生少不少
[00:04:11 - 00:04:13] 他们体量还不好
[00:04:13 - 00:04:16] 有的女生胡子长得比我多快
[00:04:16 - 00:04:18] 他们天天女生就要晒张嘴
[00:04:18 - 00:04:19] 后来这边一看
[00:04:19 - 00:04:22] 这质量关键都蒸不着呢明白吧
[00:04:22 - 00:04:24] 他本来放弃了大学生谈恋爱的想法
[00:04:24 - 00:04:26] 他本来想说我工作以后找个对象嘛
[00:04:26 - 00:04:28] 没想到跑到工地上发现
[00:04:28 - 00:04:29] 工地上就这么两个女人
[00:04:29 - 00:04:31] 一个老板的老婆一个做坏人大忙
[00:04:32 - 00:04:34] 大哥在这四跑了半个月觉得
[00:04:34 - 00:04:35] 碰哪个都不过水
[00:04:35 - 00:04:37] 后来绝对回来考验了
[00:04:37 - 00:04:38] 他第二年考过老婆
[00:04:38 - 00:04:40] 我看他觉得法律硕士专业
[00:04:40 - 00:04:43] 现在毕竟也在中国中央电视台
[00:04:43 - 00:04:44] 中国
[00:04:44 - 00:04:45] 有一个会议的会议
[00:04:45 - 00:04:47] 当年在云南修许能战的人
[00:04:47 - 00:04:50] 现在在中央界人的工作,同学印象他的转面为什么?
[00:04:50 - 00:04:53] 就是转面就愿意在考研的时候又跨转业
[00:04:53 - 00:04:55] 所以同学说你现在不想干一个行业的话
[00:04:55 - 00:04:57] 该跨就跨,没有问题的,知道吧?
[00:04:57 - 00:04:58] 而第三个方言是什么?
[00:04:58 - 00:05:00] 他是已经转换成事的学生
[00:05:01 - 00:05:06] 大家你要知道我们基本上的话,在哪上学就有可能会在哪里就业了,对吧?
[00:05:06 - 00:05:07] 因为同学你会发现你比如说咱们学校
[00:05:07 - 00:05:09] 你会发现如果说咱们学校毕业以后的话
[00:05:09 - 00:05:10] 你会老说我不考研
[00:05:10 - 00:05:13] 来咱们校开成文贵的企业,大多数都是来源哪里啊?
[00:05:13 - 00:05:16] 叫做流泥,大学叫流泥,对不对?
[00:05:16 - 00:05:18] 你会发现外地的企业过来得多吗?
[00:05:18 - 00:05:19] 真的很少,对吧?
[00:05:19 - 00:05:21] 而且的话你会发现我们东北整个
[00:05:21 - 00:05:23] 现在目前的经济都不正好,这个答案很多了吧?
[00:05:23 - 00:05:26] 现在在咱们整个东北,所有的城市当中
[00:05:26 - 00:05:28] 只有一个城市的人口是静牛肉的
[00:05:28 - 00:05:29] 你们知道哪个城市吧?
[00:05:29 - 00:05:32] 就是大连,你们知道什么叫人口静牛肉吧?
[00:05:32 - 00:05:34] 就那个城市的人是越来越多,还是人越来越少?
[00:05:34 - 00:05:36] 那你们要考一个什么样的地方?
[00:05:36 - 00:05:37] 人越来越多的地方?
[00:05:37 - 00:05:40] 我就比其他人举个简单的例子,不是咱们叫流失,对吧?
[00:05:40 - 00:05:42] 老师我现在毕业我要当老师的
[00:05:42 - 00:05:44] 那同学如果说这个城市的人越累越多
[00:05:44 - 00:05:45] 是不是孩子越累越多
[00:05:45 - 00:05:46] 那这个城市的人越累越少
[00:05:46 - 00:05:48] 同学们跑没了就剩你自己了
[00:05:48 - 00:05:49] 你知道谁是谁
[00:05:49 - 00:05:50] 是不是有个道理
[00:05:50 - 00:05:53] 所以大家一定要去一个人口比较多的城市
[00:05:53 - 00:05:53] 对吧
[00:05:53 - 00:05:56] 那你说老师我现在我不想再聊牛乎了
[00:05:56 - 00:05:57] 老师我想去更好的地方
[00:05:57 - 00:05:58] 北京上海广州
[00:05:58 - 00:06:00] 那么同学如果说你本额毕业以后
[00:06:00 - 00:06:01] 腿脚在你身上你也可以去
[00:06:01 - 00:06:03] 但是你到那个城市以后
[00:06:03 - 00:06:04] 你会发现怎么样
[00:06:04 - 00:06:05] 人生地不错对吧
[00:06:05 - 00:06:07] 你不管是小宏座还是租房的
[00:06:07 - 00:06:09] 都会面临各种方案的问题对不对
[00:06:09 - 00:06:10] 但真的城市上了两年大学
[00:06:10 - 00:06:12] 你对这个城市的了解程度就不一样了
[00:06:12 - 00:06:13] 对不对
[00:06:13 - 00:06:14] 我就给大家举一个简单的例子
[00:06:14 - 00:06:14] 同学
[00:06:14 - 00:06:15] 你现在的疗事上学
[00:06:15 - 00:06:17] 你们家有可能不是大典的
[00:06:17 - 00:06:17] 对吧
[00:06:17 - 00:06:18] 但同学你会发现
[00:06:18 - 00:06:20] 在全国除了一家以外
[00:06:20 - 00:06:21] 你最熟悉的城市是哪里
[00:06:22 - 00:06:22] 说大典
[00:06:22 - 00:06:24] 因为你在这上了四年大学
[00:06:24 - 00:06:24] 对不对
[00:06:24 - 00:06:25] 所以同学你要知道
[00:06:25 - 00:06:28] 你在这上学毕业后有可能会在哪里卓业
[00:06:28 - 00:06:29] 那如果说到了时候想转换一个城市
[00:06:29 - 00:06:31] 考研可以帮助你来了解这个城市
[00:06:31 - 00:06:32] 知道吧
[00:06:32 - 00:06:33] 而第一个是什么
[00:06:33 - 00:06:35] 它是一个左派鱼鱼鸿的东西
[00:06:35 - 00:06:37] 知道吧,那老師不想上那牛逼學校
[00:06:37 - 00:06:39] 比如說咱們劉時啊,有的人跟我學
[00:06:39 - 00:06:41] 張老師,我覺得劉宇室跟他學這個學校
[00:06:41 - 00:06:43] 還可以
[00:06:43 - 00:06:45] 但是他不牛逼,是吧
[00:06:45 - 00:06:47] 他張老師不想考個更牛逼的學校
[00:06:47 - 00:06:49] 那麼同學,你人生一生啊
[00:06:49 - 00:06:51] 你要想上牛逼的高校呢,有兩次機會
[00:06:51 - 00:06:53] 第一次呢,叫到高考
[00:06:53 - 00:06:55] 你也就這樣
[00:06:55 - 00:06:57] 第二次機會,叫到考研
[00:06:57 - 00:06:59] 那同學,如果這個機會你再把握不住的話
[00:06:59 - 00:07:01] 你最高學歷的畢業中心上
[00:07:01 - 00:07:03] 講不暈也寫著咱們學校的名字的
[00:07:03 - 00:07:05] 那麼同學,你滿意,我也不說啥嘛
[00:07:05 - 00:07:07] 而最后一位考研师说什么
[00:07:07 - 00:07:10] 他是跟你拓展人外关系的机会
[00:07:10 - 00:07:11] 大家你要知道在咱们中国会
[00:07:11 - 00:07:13] 你们有人外关系是寸步难成的对吧
[00:07:13 - 00:07:15] 他从去就发现你们广开毕业以后
[00:07:15 - 00:07:16] 你有什么人外关系
[00:07:16 - 00:07:17] 你认识谁啊
[00:07:17 - 00:07:19] 除了你爹你妈
[00:07:19 - 00:07:21] 还有你身边穷苦的那个她
[00:07:21 - 00:07:22] 对吧
[00:07:22 - 00:07:24] 其他人谁都不认识了对吧
[00:07:24 - 00:07:26] 但从去就发现考练就不一样了
[00:07:26 - 00:07:27] 因为等你考练以后
[00:07:27 - 00:07:28] 有这么一辈大学
[00:07:28 - 00:07:30] 才对你一辈多的影响都很大
[00:07:30 - 00:07:32] 这个人就是你的导师
[00:07:32 - 00:07:33] 对吧
[00:07:33 - 00:07:34] 同学你要知道你的导师
[00:07:34 - 00:07:37] 能成为这个行业的专家
[00:07:37 - 00:07:40] 所以他的人类关系和学术能力是受到了广泛任何的
[00:07:40 - 00:07:43] 那么同学,如果说你导师的人类关系,你将来工作的时候
[00:07:43 - 00:07:45] 你能用到一边边
[00:07:45 - 00:07:48] 你以后发现对你将来工作发展是不是更有关系
[00:07:48 - 00:07:50] 所以说每年都很多人都会问我这样一个问题
[00:07:50 - 00:07:52] 说张老师,是不是这样的?说张老师
[00:07:52 - 00:07:55] 难得我考了研究生,这个学历真的比我本科毕业
[00:07:55 - 00:07:57] 三年工作经验重要吗?
[00:07:57 - 00:07:59] 那同学就反为你一个问题的是
[00:07:59 - 00:08:02] 那么同学,你敢保证你本科毕业以后工作的三年经验
[00:08:02 - 00:08:05] 会认识一个你导师这么牛逼的人吗
[00:08:05 - 00:08:06] 这个还真不一定对不对
[00:08:06 - 00:08:07] 所以同学你要知道
[00:08:07 - 00:08:08] 如果说你在以下的方面
[00:08:08 - 00:08:10] 你有需要的话你就考验
[00:08:10 - 00:08:11] 我方面没需要你就不用考验
[00:08:11 - 00:08:11] 知道吧
[00:08:11 - 00:08:13] 他是一个集中学的机会
[00:08:13 - 00:08:14] 他是个转货专业的机会
[00:08:14 - 00:08:15] 他是个转货城市的机会
[00:08:15 - 00:08:16] 他是个换成逼高税的机会
[00:08:16 - 00:08:17] 他是个偷点人卖关系的机会
[00:08:17 - 00:08:18] 那么同学
[00:08:18 - 00:08:19] 你觉得你有需要你就考
[00:08:19 - 00:08:21] 你觉得没有需要那就不用考
[00:08:21 - 00:08:21] 明白吧
[00:08:21 - 00:08:23] 考验这个事就是这样
[00:08:23 - 00:08:24] 你爱考不考
[00:08:24 - 00:08:25] 你不考
[00:08:25 - 00:08:25] 有的是人考
[00:08:25 - 00:08:27] 多一个不多少一个不少
[00:08:27 - 00:08:28] 大家可以关注一下
[00:08:28 - 00:08:30] 我们下面的微信公众号的二位
[00:08:30 - 00:08:32] 掌聲再就理會一直等著你哦
