BV号：BV1ux411h73c
标题：BV1ux411h73c
链接：https://www.bilibili.com/video/BV1ux411h73c
识别语言：zh
语言置信度：1
分段数：362
生成时间：2026-04-04 12:48:47

[00:00:01 - 00:00:03] 真的好可爱
[00:06:10 - 00:06:12] 我觉得在宝儿的爱情当中
[00:06:12 - 00:06:13] 没有什么对错
[00:06:13 - 00:06:14] 而且
[00:06:14 - 00:06:15] 我就问你一个问题
[00:06:15 - 00:06:16] 如果你老公不挣钱
[00:06:16 - 00:06:18] 你让你曾经去养你老公
[00:06:18 - 00:06:19] 你觉得他还是个男人吗
[00:06:19 - 00:06:20] 可是你怎么觉得
[00:06:20 - 00:06:22] 他不是爱他
[00:06:22 - 00:06:23] 你怎么觉得人家宝儿不喜欢
[00:06:23 - 00:06:24] 这样的
[00:06:24 - 00:06:25] 宝儿喜欢啊 对不对
[00:06:25 - 00:06:27] 你觉得可能别人爱你
[00:06:27 - 00:06:27] 你喜欢
[00:06:27 - 00:06:28] 但是宝儿就学义
[00:06:28 - 00:06:30] 你作为一个老爷们
[00:06:30 - 00:06:31] 作为一个男人
[00:06:31 - 00:06:32] 那是你的观点
[00:06:32 - 00:06:33] 让自己的老婆生活得好
[00:06:33 - 00:06:35] 那是一个男人的责任
[00:06:35 - 00:06:36] 不是让你跟宝儿结婚
[00:06:36 - 00:06:38] 宝儿喜欢
[00:06:38 - 00:06:38] 你这样
[00:06:38 - 00:06:39] 好不好
[00:06:39 - 00:06:40] 你们两口子被吵了
[00:06:40 - 00:06:41] 好不好
[00:06:41 - 00:06:41] 我说句话
[00:06:41 - 00:06:42] 老师
[00:06:42 - 00:06:43] 你说得对
[00:06:43 - 00:06:44] 让自己的老婆过得好
[00:06:44 - 00:06:45] 是一个男人的责任
[00:06:45 - 00:06:46] 但是老师
[00:06:46 - 00:06:47] 最起码的
[00:06:47 - 00:06:48] 他刚才一说这事
[00:06:48 - 00:06:49] 我还突然想有个事
[00:06:49 - 00:06:50] 我觉得你们这个话
[00:06:50 - 00:06:52] 对女性不尊重
[00:06:52 - 00:06:54] 不是不尊重
[00:06:54 - 00:06:55] 是爱
[00:06:55 - 00:06:56] 我觉得共同生活
[00:06:56 - 00:06:57] 是两个人的责任
[00:06:57 - 00:06:58] 我老婆也要有
[00:06:58 - 00:06:59] 别人女人有的
[00:06:59 - 00:07:00] 我老婆也要有
[00:07:00 - 00:07:01] 我老婆
[00:07:01 - 00:07:02] 别人的老婆我也要有
[00:07:03 - 00:07:03] 我给你说过
[00:07:06 - 00:07:09] 你这样爱你的妻子
[00:07:09 - 00:07:10] 你会为她付出一切
[00:07:10 - 00:07:12] 为什么我就不能为
[00:07:12 - 00:07:14] 我爱的人付出一切呢
[00:07:14 - 00:07:15] 对
[00:07:17 - 00:07:18] 我就刚才插播一个事
[00:07:18 - 00:07:19] 我在家里吃软饭
[00:07:19 - 00:07:20] 吃了两年
[00:07:20 - 00:07:21] 真的
[00:07:21 - 00:07:23] 我老婆上班那时候养我
[00:07:23 - 00:07:24] 但是男哥
[00:07:24 - 00:07:25] 你真的是甘心一辈子
[00:07:25 - 00:07:26] 吃软饭吗
[00:07:26 - 00:07:26] 那不是
[00:07:26 - 00:07:27] 你老婆给你挣钱的时候
[00:07:27 - 00:07:28] 你心不心疼他
[00:07:28 - 00:07:30] 不要说吃饭 烂了
[00:07:32 - 00:07:33] 两个人在一起奋斗
[00:07:33 - 00:07:34] 那个叫爱情
[00:07:34 - 00:07:35] 一个人为了另外一个人
[00:07:35 - 00:07:36] 付出了一切
[00:07:36 - 00:07:37] 我同样都为你去死了
[00:07:38 - 00:07:38] 我再有个动作
[00:07:38 - 00:07:40] 我也在奋斗的
[00:07:40 - 00:07:41] 我也是在奋斗的
[00:07:41 - 00:07:41] 对
[00:07:41 - 00:07:43] 但是他的那个男朋友不是
[00:07:43 - 00:07:44] 现在你想这事
[00:07:44 - 00:07:45] 你自己后悔吗
[00:07:45 - 00:07:46] 不
[00:07:46 - 00:07:47] 还不后悔
[00:07:47 - 00:07:48] 为什么要后悔
[00:07:48 - 00:07:51] 我觉得爱情跟金钱无关
[00:07:51 - 00:07:52] 是
[00:07:52 - 00:07:53] 这个是跟经济没有关系
[00:07:53 - 00:07:54] 是没有关系
[00:07:54 - 00:07:55] 但是两个人在一起
[00:07:55 - 00:07:57] 一定要细起奋斗
[00:07:58 - 00:07:59] 你说的太对了
[00:07:59 - 00:08:01] 但真的要一起奋斗
[00:08:01 - 00:08:02] 真的要一起奋斗
[00:08:02 - 00:08:04] 家庭分工不一样
[00:08:04 - 00:08:05] 我们有分工
[00:08:05 - 00:08:07] 就是男生就是在家煮饭
[00:08:07 - 00:08:08] 我们赚钱
[00:08:08 - 00:08:10] 那也到休业可以
[00:08:10 - 00:08:11] 但是他那个男朋友
[00:08:11 - 00:08:12] 连饭都不煮的
[00:08:12 - 00:08:13] 我的关键是
[00:08:13 - 00:08:14] 这个世界上会有童话
[00:08:17 - 00:08:19] 我先回去了
[00:08:19 - 00:08:20] 我真心实意地祝福你
[00:08:20 - 00:08:21] 然后也希望你可以找
[00:08:21 - 00:08:22] 那个更好的
[00:08:22 - 00:08:23] 那今天来这边
[00:08:23 - 00:08:25] 你到底要表达什么
[00:08:25 - 00:08:27] 这段舞蹈和前任有什么关系呢
[00:08:27 - 00:08:29] 这个是我前半段的故事
[00:08:29 - 00:08:31] 那接下来还有后半段的故事
[00:08:31 - 00:08:31] 对
[00:08:31 - 00:08:33] 那是要讲给我们听吗
[00:08:33 - 00:08:35] 用身体去讲
[00:08:35 - 00:08:36] 那好 那我去理你身体
[00:08:36 - 00:08:38] 哎 别别 回来 回来
[00:08:38 - 00:08:39] 好 那来
[00:08:39 - 00:08:41] 那接下来开始讲述你的第二段故事
[00:08:41 - 00:08:44] 好吧 好
[00:08:44 - 00:08:47] 我突然喜欢上这个故事的开始的
[00:08:47 - 00:09:03] 我转过去
[00:09:03 - 00:09:36] 这个背心啊
[00:09:36 - 00:09:37] 你这个跳得多好
[00:09:37 - 00:09:38] 我跟你讲 刚刚那段
[00:09:38 - 00:09:39] 我都叹在笑场了
[00:09:39 - 00:09:40] 第一段的时候
[00:09:40 - 00:09:41] 我就没好意思
[00:09:41 - 00:09:42] 我说你不专业的吗
[00:09:42 - 00:09:42] 他跳这个同样
[00:09:42 - 00:09:43] 我说
[00:09:44 - 00:09:46] 但是你的街舞真的很棒啊
[00:09:46 - 00:09:47] 谢谢
[00:09:47 - 00:09:48] 太棒了 太棒了
[00:09:50 - 00:09:51] 但你也说了
[00:09:51 - 00:09:53] 你要通过这段
[00:09:53 - 00:09:54] 身体的语言来讲述
[00:09:54 - 00:09:56] 自己的下半段的故事
[00:09:56 - 00:09:57] 那要讲述的是什么故事
[00:09:58 - 00:09:59] 我越来越好
[00:09:59 - 00:10:00] 没错 你越来越好
[00:10:01 - 00:10:02] 希望你找得更好的
[00:10:03 - 00:10:03] 谢谢
[00:10:04 - 00:10:04] 好不好
[00:10:06 - 00:10:07] 来吧
[00:10:07 - 00:10:08] 现场50位
[00:10:08 - 00:10:09] 秒红团的成员
[00:10:09 - 00:10:10] 请做好准备
[00:10:10 - 00:10:12] 如果你喜欢刚刚宝儿的
[00:10:12 - 00:10:13] 表演的话
[00:10:13 - 00:10:14] 请为她打分
[00:10:14 - 00:10:15] 倒计15秒钟
[00:10:15 - 00:10:17] 现在开始
[00:10:19 - 00:10:20] 五
[00:10:21 - 00:10:22] 四
[00:10:23 - 00:10:24] 三
[00:10:27 - 00:10:27] 二
[00:10:28 - 00:10:28] 一
[00:10:32 - 00:10:33] 零
[00:10:34 - 00:10:35] 恭喜你
[00:10:36 - 00:10:37] 秒红成功
[00:10:38 - 00:10:39] 谢谢大家
[00:10:39 - 00:10:40] 好 回头见
[00:10:41 - 00:10:41] 越来越好
[00:10:41 - 00:10:42] 找得更好的
[00:10:42 - 00:10:43] 谢谢大家
[00:10:46 - 00:10:46] 更多精彩
[00:10:46 - 00:10:48] 请下载中国男TV
