BV号：BV1wb411g7EL
标题：BV1wb411g7EL
链接：https://www.bilibili.com/video/BV1wb411g7EL
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-04-04 08:20:37

[00:00:00 - 00:00:02] 大家好,我上學習變得更快樂的張雪鋒老師
[00:01:31 - 00:01:33] 我也当蔬菜吃过
[00:01:33 - 00:01:34] 我也当水果吃过
[00:01:34 - 00:01:37] 但是最後它到底是怎麼認定的呀
[00:01:37 - 00:01:39] 1886年的時候呢
[00:01:39 - 00:01:41] 美國的那個西紅柿
[00:01:41 - 00:01:43] 就是引起這個案子的西紅柿
[00:01:43 - 00:01:44] 就是這種大西紅柿
[00:01:44 - 00:01:45] 當時在法庭上啊
[00:01:45 - 00:01:46] 原告被告
[00:01:46 - 00:01:48] 都請了專家證人
[00:01:48 - 00:01:50] 原告請了證人來證明
[00:01:50 - 00:01:51] 這個東西是水果
[00:01:51 - 00:01:53] 是可以生吃的
[00:01:53 - 00:01:54] 對你不一定在中國睡
[00:01:54 - 00:01:55] 包含了植物種子的
[00:01:55 - 00:01:56] 果肉
[00:01:56 - 00:01:57] 就是植物種子
[00:01:57 - 00:01:58] 對這它明明是可以生吃
[00:01:58 - 00:02:00] 它可以生吃
[00:02:00 - 00:02:01] 它跟那種
[00:02:01 - 00:02:02] 什麼蘋果呀
[00:02:02 - 00:02:04] 是一樣的拿來生吃的
[00:02:04 - 00:02:06] 被告的專家證人主要證明什麼呢
[00:02:06 - 00:02:09] 就是他是做犯用的
[00:02:09 - 00:02:11] 做犯用的跟什麼一樣
[00:02:11 - 00:02:15] 土豆、胡蘿蔔、乾藍、腕豆、豆角
[00:02:15 - 00:02:17] 跟這些是一樣的
[00:02:17 - 00:02:21] 關鍵是我覺得這個官司他打到了美國最勾連邦法院
[00:02:21 - 00:02:24] 然後一幫大法官平時都審理那麼大的案子
[00:02:24 - 00:02:25] 然後來審理這個
[00:02:25 - 00:02:28] 凡杰士蘇財爾水果這個案子確實是很好玩
[00:02:28 - 00:02:30] 那到底最後大家就是怎麼判的呢
[00:02:30 - 00:02:33] 最後呢這個法官他是怎麼判的呢
[00:02:33 - 00:02:45] 他说,西红柿和汤鱼肉米饭一起组成饭的东西
[00:02:45 - 00:02:48] 而不是餐后甜点
[00:02:48 - 00:02:54] 它是长在菜园子里面的,是人们在卖那个vegetable的那个地方
[00:02:54 - 00:02:59] 在卖蔬菜的地方,买到的西红柿,而不是在卖水果的地方
[00:02:59 - 00:03:00] 买到的西红柿
[00:03:00 - 00:03:04] 对,而且人们把它是当蔬菜来吃的
[00:03:04 - 00:03:04] 所以
[00:03:05 - 00:03:07] 番茄是蔬菜
[00:03:07 - 00:03:08] 所以说你争税是对的
[00:03:08 - 00:03:11] 对了,所争税收不予退还
[00:03:11 - 00:03:13] 哦,那相当于什么呢
[00:03:13 - 00:03:16] 就是法律上并没有一个法律名门规定说
[00:03:16 - 00:03:17] 它是蔬菜还是水果
[00:03:17 - 00:03:22] 那法官当时其实仅仅是用了大众
[00:03:22 - 00:03:24] 是怎么用这个东西的一个做法
[00:03:24 - 00:03:26] 就是大众对于这个事务的认知
[00:03:26 - 00:03:28] 来判定这个案子到底该怎么判的
[00:03:28 - 00:03:34] 相当于如果没有法律的话,大众的认知可能就会成为我们法官去判案的一个依据对吗?
[00:03:34 - 00:03:38] 你对这个问题的本质掌握得非常好
[00:03:38 - 00:03:44] 这个案子在各个法理学家的教材里面都会提到
[00:03:44 - 00:03:47] 它是非常非常经典的一个案件
[00:03:47 - 00:03:48] 它就是要说明什么问题呢
[00:03:49 - 00:03:50] 就是法律
[00:03:50 - 00:03:52] 其实对很多问题是解决不了的
[00:03:52 - 00:03:55] 法律说我对蔬菜争税
[00:03:56 - 00:03:57] 我对水果免税
[00:03:57 - 00:03:58] 但是什么是蔬菜?
[00:03:58 - 00:04:01] 蔬菜的概念它也不可能規定
[00:04:01 - 00:04:03] 因為生活一直在變化
[00:04:03 - 00:04:05] 所以呢
[00:04:05 - 00:04:10] 最終能夠決定這個西紅柿是蔬菜還是水果的
[00:04:10 - 00:04:11] 不是法官
[00:04:11 - 00:04:13] 也不是法條那兩個字
[00:04:13 - 00:04:13] 是老百姓
[00:04:14 - 00:04:14] 對
[00:04:14 - 00:04:18] 那像美國有這樣的案子啊咱們中國有沒有這樣的案子就是
[00:04:18 - 00:04:24] 老百姓這個任職和這個法律的任職可能是不一樣或者是法律乾脆就沒有規定的呢
[00:04:24 - 00:04:25] 有的
[00:04:25 - 00:04:25] 有的是吧
[00:04:25 - 00:04:27] 也有很多案例
[00:04:27 - 00:04:29] 最近几年比较典型的呢
[00:04:29 - 00:04:32] 就是在2016年在天津有一个赵春华案例
[00:04:32 - 00:04:34] 赵春华呢
[00:04:34 - 00:04:35] 那个我听说过
[00:04:35 - 00:04:35] 也听说过
[00:04:35 - 00:04:36] 对对对
[00:04:36 - 00:04:39] 赵春华是一个51岁的女士
[00:04:39 - 00:04:42] 然后呢他呢开了一个气球
[00:04:42 - 00:04:43] 打气球的那个摊
[00:04:43 - 00:04:45] 对这个我们小时候都玩过吗
[00:04:45 - 00:04:47] 就是在那个游乐园里边就有那个打气球那个摊
[00:04:47 - 00:04:50] 然后你打中气球有先用的奖品吗
[00:04:50 - 00:04:50] 对对对
[00:04:50 - 00:04:51] 用的气枪
[00:04:51 - 00:04:53] 然后他有9把气枪
[00:04:53 - 00:04:56] 经过鉴定的其中6把能够正常发射
[00:04:56 - 00:05:00] 然后呢根据咱们公安部的枪支鉴定标准
[00:05:00 - 00:05:04] 这6把都属于枪枪支
[00:05:05 - 00:05:09] 但是那种他让我们全国都能见啊
[00:05:09 - 00:05:11] 对而且这个人他是跟上一家接的
[00:05:12 - 00:05:13] 上一家已经干了9年了
[00:05:13 - 00:05:14] 都没事
[00:05:15 - 00:05:16] 然后他接就然后的话就是
[00:05:17 - 00:05:19] 半年然后的话就是给他
[00:05:19 - 00:05:20] 非法枪支持有
[00:05:20 - 00:05:21] 非法持有枪支
[00:05:21 - 00:05:22] 非法持有枪支
[00:05:22 - 00:05:24] 这在咱们国家是个大罪啊
[00:05:24 - 00:05:28] 但是他那个打气球的那个枪
[00:05:28 - 00:05:29] 他能打死人吗
[00:05:30 - 00:05:34] 他女儿说有的时候人家客人明明打中了气球气球都不破
[00:05:34 - 00:05:36] 对呀客人还很有意见
[00:05:36 - 00:05:38] 对呀他连气球都打不破能打死人吗
[00:05:38 - 00:05:39] 他这个是原因是这样的
[00:05:40 - 00:05:42] 我们国家呀对于枪支的这个鉴定标准
[00:05:42 - 00:05:44] 曾经做过一次修改
[00:05:44 - 00:05:47] 比原来的原来的标准下降了很多很多
[00:05:48 - 00:05:53] 枪支不就是能打死人的那个枪吗那还有什么算枪啊他什么标准
[00:05:53 - 00:05:56] 咱们群众认为的枪就是那种打死人的嘛
[00:05:56 - 00:05:59] 像警察叔叔的那种枪对吧
[00:05:59 - 00:06:01] 但是呢公安部规定的枪是标准的是
[00:06:01 - 00:06:05] 凡是这个枪支发射的比动能啊
[00:06:05 - 00:06:06] 比例的比啊
[00:06:06 - 00:06:08] 比动能在屋里要学好啊
[00:06:08 - 00:06:11] 达到1.8g 娔儿美平方厘米的
[00:06:11 - 00:06:13] 就是枪支
[00:06:13 - 00:06:14] 按他们的说法呢是
[00:06:14 - 00:06:17] 对远处放一个什么长白猪
[00:06:17 - 00:06:19] 长的白色的猪啊
[00:06:19 - 00:06:21] 然后呢这个枪打过去
[00:06:21 - 00:06:22] 能伤了猪的眼睛的
[00:06:22 - 00:06:24] 就算是枪
[00:06:24 - 00:06:25] 你要这么说的话
[00:06:25 - 00:06:28] 你看如果说像赵春华
[00:06:28 - 00:06:29] 是吧
[00:06:29 - 00:06:32] 你像他那个就是打气球的气枪
[00:06:32 - 00:06:33] 我们小时候
[00:06:33 - 00:06:36] 尤其是男孩子都玩过那种气手枪
[00:06:36 - 00:06:40] 就是他打子弹是那种小圆珠的子弹
[00:06:40 - 00:06:43] 我个人觉得我们小时候玩的那种玩具枪
[00:06:43 - 00:06:44] 他发射的子弹
[00:06:44 - 00:06:46] 其实跟打气球的子弹
[00:06:46 - 00:06:48] 真的不会比他差
[00:06:48 - 00:06:50] 那你要这么说的话
[00:06:50 - 00:06:51] 那我们小时候
[00:06:54 - 00:06:55] 我的天呀
[00:06:55 - 00:06:56] 那最后这个
[00:06:56 - 00:06:57] 赵春华案
[00:06:57 - 00:07:00] 最后就按照公安部的规定就怕了
[00:07:01 - 00:07:02] 这个案子在医审的时候
[00:07:02 - 00:07:04] 赵春华按照咱们
[00:07:04 - 00:07:06] 赵春华那边判了三年半
[00:07:06 - 00:07:10] 结果他的律师把这个案子公布到网上之后
[00:07:10 - 00:07:11] 娱乐华然
[00:07:11 - 00:07:12] 有很多人说什么
[00:07:12 - 00:07:15] 请你用这把枪去杀赵春华
[00:07:15 - 00:07:16] 我都不要他三年半
[00:07:16 - 00:07:17] 你枪毙他好了
[00:07:18 - 00:07:19] 只要你杀得了他
[00:07:19 - 00:07:21] 我就认你是一把
[00:07:21 - 00:07:24] 因为确实是当时你看在咱们全国的各个公园啊
[00:07:24 - 00:07:25] 这种摊子太多了
[00:07:25 - 00:07:26] 如果说这个要判的话
[00:07:26 - 00:07:27] 就判一堆人啊
[00:07:27 - 00:07:29] 我有一个学生啊
[00:07:29 - 00:07:30] 他做实验证明呢
[00:07:30 - 00:07:31] 拿一只手机
[00:07:31 - 00:07:33] 用他的这个侧面
[00:07:33 - 00:07:34] 鸡
[00:07:34 - 00:07:35] 往地下摔
[00:07:35 - 00:07:37] 那么他倒推出来呢
[00:07:37 - 00:07:39] 只要从1.2米的高度摔下去
[00:07:39 - 00:07:40] 这就是1.8G美平方历米
[00:07:40 - 00:07:43] 换句话说这1.8G美平方历米的话
[00:07:43 - 00:07:47] 其实对人体不会造成过于特别大的伤害
[00:07:47 - 00:07:49] 连皮肤都穿不透
[00:07:49 - 00:07:52] 他只能打到人的最脆弱的眼睛
[00:07:52 - 00:07:54] 没有任何折挡的眼睛
[00:07:54 - 00:07:55] 如果对肚子打的话
[00:07:55 - 00:07:56] 皮都穿不透
[00:07:56 - 00:07:58] 那就相当于是咱们公安部
[00:07:58 - 00:07:59] 现在定的规定
[00:07:59 - 00:08:03] 其实就是比较对于我们大众所熟知的
[00:08:03 - 00:08:05] 那个腔肢的威力要小得多
[00:08:05 - 00:08:06] 对吧
[00:08:06 - 00:08:08] 那大幅度降低了
[00:08:08 - 00:08:11] 那最后赵春函最后肯定他要上诉
[00:08:11 - 00:08:12] 对吧
[00:08:12 - 00:08:13] 那他上诉以后的话
[00:08:13 - 00:08:14] 有没有改判
[00:08:14 - 00:08:15] 有
[00:08:15 - 00:08:15] 也有改判
[00:08:15 - 00:08:17] 上诉之后
[00:08:17 - 00:08:18] 最终他们倾听民意
[00:08:18 - 00:08:22] 就把赵春华改判为非法持有枪之罪
[00:08:22 - 00:08:26] 但是三年有期徒刑,并且缓期之刑
[00:08:26 - 00:08:30] 哦,看来这其实也是咱们人民法院
[00:08:30 - 00:08:34] 对于我们大众的对于一个事物的一个认可和理解
[00:08:34 - 00:08:36] 然后的话使得所谓的
[00:08:36 - 00:08:38] 没有那么大社会危害性的犯罪嫌疑人
[00:08:38 - 00:08:40] 得到了相应的一些侵犯
[00:08:40 - 00:08:43] 这也是我们国家法治的一个进步啊
[00:08:43 - 00:08:43] 是的
[00:08:43 - 00:08:49] 这个法律必须要尊重公众的这种看法
[00:08:49 - 00:08:51] 才能得到公众的认同
[00:08:51 - 00:08:53] 一个得到公众认同的法律
[00:08:53 - 00:08:56] 才能够被公众真正的遵守
[00:08:56 - 00:08:59] 然后你照这个判出来公众才会认为
[00:08:59 - 00:09:01] 好 这是法治社会该有的判断
[00:09:01 - 00:09:05] 对 所以说我们国家一定要成为一个越来越好的法治社会
[00:09:05 - 00:09:07] 好 那就是我们本期的节目
[00:09:07 - 00:09:08] 那么咱们本期节目就是这样
[00:09:08 - 00:09:10] 咱们下期节目再见 谢谢大家
