BV号：BV1sL4y1A7aQ
标题：BV1sL4y1A7aQ
链接：https://www.bilibili.com/video/BV1sL4y1A7aQ
识别语言：zh
语言置信度：1
分段数：108
生成时间：2026-04-03 18:53:35

[00:00:00 - 00:00:02] 大家好我上学习近平更快乐的张雪锋老师
[00:03:07 - 00:03:11] 所以说陕西科技大学在科研这一块还是比较给力的
[00:03:11 - 00:03:13] 我们再来看一看考研和就业方面
[00:03:13 - 00:03:17] 陕科大学是有研究生推免资格的推免比例在5%左右
[00:03:17 - 00:03:18] 多个学院
[00:03:18 - 00:03:21] 板坑毕业生生学比例超过了50%
[00:03:21 - 00:03:24] 共有全班28人考研上岸
[00:03:24 - 00:03:26] 三人高质量就业的情况
[00:03:26 - 00:03:28] 毕业生大多在长三角
[00:03:28 - 00:03:31] 竹三角北上广深一线城市和省会西安就业
[00:03:32 - 00:03:35] 学校也是提出了板坑毕业生就业333原则
[00:03:35 - 00:03:38] 三分之一以上的同学能够继续深造
[00:03:38 - 00:03:41] 三分之一左右的同学能够进入到国家机关军队
[00:03:41 - 00:03:42] 或者是事业单位
[00:03:42 - 00:03:46] 而三分之一的同学能够进入到教知名企业或创业
[00:03:46 - 00:03:49] 所以说在陕科大无论你是想考研议好
[00:03:49 - 00:03:50] 还是想救业也好
[00:03:50 - 00:03:51] 还是想创业也好
[00:03:51 - 00:03:53] 都有相应的渠道和服务
[00:03:53 - 00:03:56] 最后咱们来闹一闹录取分数界一块
[00:03:56 - 00:03:58] 在2017年高考综合改革之前
[00:03:58 - 00:04:01] 陕科大在全国军事一本周生
[00:04:01 - 00:04:04] 可以说是一所老牌的一本周年院校了
[00:04:04 - 00:04:07] 录取分数界大多在一本分数界上30多分
[00:04:07 - 00:04:10] 以本省为例就是以陕西省为例
[00:04:10 - 00:04:14] 理工力最近几年都在一本分数界35分以上左右
[00:04:14 - 00:04:17] 最低陆学位次基本在4万位次以内
[00:04:17 - 00:04:20] 如果说咱们分没有那么特别的高
[00:04:20 - 00:04:22] 还可以选择陕西科技大学的
[00:04:22 - 00:04:24] 中外合作半学招生
[00:04:24 - 00:04:27] 陕西科技大学在2019年成立了
[00:04:27 - 00:04:28] 阿尔斯特学院
[00:04:28 - 00:04:30] 它是陕西高校招生
[00:04:30 - 00:04:32] 年线最长半学规模最大的
[00:04:32 - 00:04:34] 中外合作半学机构
[00:04:34 - 00:04:37] 陆学分数在陕西基本上是压一本线
[00:04:37 - 00:04:40] 优势是排氧模式比较灵活
[00:04:40 - 00:04:42] 有4加0、3加1、2加2、3种模式
[00:04:42 - 00:04:46] 均可同时获取中外双方的学位
[00:04:46 - 00:04:50] 所以说不管是地理位置还是学科建设以及考研就业
[00:04:50 - 00:04:51] 散科大都有一定的优势
[00:04:51 - 00:04:53] FullGo的同学呢可以考虑啰
