BV号：BV1AE411C7sV
标题：BV1AE411C7sV
链接：https://www.bilibili.com/video/BV1AE411C7sV
识别语言：zh
语言置信度：1
分段数：157
生成时间：2026-04-04 06:12:48

[00:00:00 - 00:00:02] 但是现在有些时候就是我们很难辨别出来说
[00:01:13 - 00:01:15] 但是如果你这种理智
[00:01:15 - 00:01:17] 达到了一种只指向自己的方式的时候
[00:01:18 - 00:01:19] 那么这就是病了
[00:01:20 - 00:01:22] 那么这个时候你就需要去诊断
[00:01:22 - 00:01:23] 那么相对来说
[00:01:24 - 00:01:25] 中国叫ICD
[00:01:25 - 00:01:28] 那么美国叫DSM
[00:01:28 - 00:01:30] 那么它这些东西之后
[00:01:30 - 00:01:32] 它整体的这个效果来说
[00:01:32 - 00:01:33] 它是一个诊断标准
[00:01:33 - 00:01:35] 但是这个诊断标准不是给
[00:01:35 - 00:01:38] 心理咨询师用的
[00:01:38 - 00:01:41] 它这个诊断标准是给精神病大夫用的
[00:01:41 - 00:01:43] 也就是说精神病大夫
[00:01:43 - 00:01:44] 他来看你的时候
[00:01:44 - 00:01:45] 它是一种诊断体系
[00:01:45 - 00:01:47] 比如说你到这儿你要符合什么
[00:01:47 - 00:01:49] 比如说你要睡眠改变
[00:01:49 - 00:01:50] 你要饮食改变
[00:01:50 - 00:01:52] 比如说你有自杀清夏
[00:01:52 - 00:01:53] 这算治疗吗
[00:01:53 - 00:01:54] 比如说我给你个建议说
[00:01:54 - 00:01:55] 你寻明要改变
[00:01:55 - 00:01:56] 你隐私要改变
[00:01:56 - 00:01:57] 这算治疗吗
[00:01:57 - 00:01:59] 是要把谁逼死
[00:01:59 - 00:01:59] 不是
[00:01:59 - 00:02:00] 就是你比如说
[00:02:00 - 00:02:02] 比如说说出这种话的人
[00:02:02 - 00:02:03] 应该是心理咨询师
[00:02:03 - 00:02:05] 还是精神病医生
[00:02:05 - 00:02:07] 精神病医生会问
[00:02:07 - 00:02:09] 你有没有这些情况
[00:02:09 - 00:02:11] 而心理咨询师会让你去说
[00:02:11 - 00:02:12] 你有没有这些情况
[00:02:13 - 00:02:14] 都不一样吗
[00:02:14 - 00:02:15] 不一样
[00:02:15 - 00:02:17] 那你心理咨询师问我
[00:02:17 - 00:02:19] 有没有这些情况
[00:02:19 - 00:02:19] 不是
[00:02:19 - 00:02:20] 心理咨询师问我
[00:02:20 - 00:02:21] 这不是
[00:02:21 - 00:02:22] 让我说我有没有这些情况
[00:02:22 - 00:02:23] 就很简单
[00:02:23 - 00:02:24] 就这么说吧
[00:02:24 - 00:02:25] 可能在那里有个误会
[00:02:25 - 00:02:27] 就是精神病科
[00:02:27 - 00:02:28] 绝大多数人
[00:02:28 - 00:02:29] 我们有一句行话
[00:02:29 - 00:02:32] 就是很少有自己来的病人
[00:02:34 - 00:02:36] 也就是说大家程度完全不同
[00:02:37 - 00:02:39] 比如说你到精神病院去看病
[00:02:39 - 00:02:41] 在中国的文化里头
[00:02:41 - 00:02:42] 你去看精神科
[00:02:42 - 00:02:44] 和你去找一个心理资源师聊天
[00:02:44 - 00:02:45] 是两码是吧
[00:02:45 - 00:02:47] 可是其实在中国的文化当中
[00:02:47 - 00:02:50] 其实很多人也不去找自己的心理资源师
[00:02:50 - 00:02:50] 对
[00:02:50 - 00:02:51] 因为他找的话
[00:02:51 - 00:02:53] 他觉得说我自己是不是有问题
[00:02:53 - 00:02:56] 这是一个中国的文化体系的问题
[00:02:56 - 00:02:58] 中国是一种依赖文化体系
[00:02:58 - 00:02:59] 那么欧洲呢
[00:02:59 - 00:03:00] 比如说欧美的国家
[00:03:00 - 00:03:01] 它可能是个人独立的
[00:03:01 - 00:03:03] 个体化的一种体系
[00:03:03 - 00:03:05] 它跟你心理自信之聊天
[00:03:05 - 00:03:06] 很正常就是表达我自己
[00:03:06 - 00:03:08] 我跟别人也这么表达我自己
[00:03:08 - 00:03:09] 我跟你也表达我自己
[00:03:09 - 00:03:11] 我不怕别人认为我是有什么问题
[00:03:11 - 00:03:13] 那么我是为了让自己好
[00:03:13 - 00:03:14] 但是中国的文化里
[00:03:14 - 00:03:16] 它有种人叫依赖
[00:03:16 - 00:03:19] 它很在意别人的看法
[00:03:19 - 00:03:20] 那么我到了精神病院
[00:03:20 - 00:03:21] 那么精神科
[00:03:21 - 00:03:23] 那么我可能就变成了
[00:03:24 - 00:03:25] 我在别人眼里治精神病
[00:03:26 - 00:03:28] 那么我去找心理咨询师
[00:03:28 - 00:03:29] 我是心里有问题
[00:03:29 - 00:03:31] 那么看起来感觉是
[00:03:32 - 00:03:33] 我只是心里不舒服
[00:03:33 - 00:03:35] 但是心理咨询师
[00:03:35 - 00:03:38] 并不能完全地治疗
[00:03:38 - 00:03:40] 或者说你一种医疗的途径
[00:03:40 - 00:03:42] 医疗的手段去治疗你的心理
[00:03:42 - 00:03:43] 但实际上
[00:03:43 - 00:03:44] 那照您这么说的话
[00:03:44 - 00:03:45] 我觉得心理咨询师
[00:03:45 - 00:03:46] 他也得多多少少
[00:03:46 - 00:03:48] 具备一些精神疾病的见面方法
[00:03:48 - 00:03:49] 他会分类
[00:03:49 - 00:03:51] 但是他从理论上讲
[00:03:51 - 00:03:53] 是不允许他们去诊断和治疗的
[00:03:54 - 00:03:55] 比如说我举个例子
[00:03:55 - 00:03:57] 比如说假如说我是心理自讯师
[00:03:57 - 00:03:58] 然后我这儿来了一个
[00:03:58 - 00:04:01] 就是所谓跟我心理咨询的这一个人
[00:04:01 - 00:04:03] 但是我就咨询咨询的他发现
[00:04:03 - 00:04:04] 我觉得
[00:04:04 - 00:04:07] 我觉得他可能不是心理的
[00:04:07 - 00:04:08] 有事的问题
[00:04:08 - 00:04:10] 而是心理有病的问题
[00:04:10 - 00:04:13] 首先我得有一个判断的机能
[00:04:13 - 00:04:16] 或者说判断的根据原理
[00:04:16 - 00:04:17] 我才能跟他说
[00:04:17 - 00:04:18] 我说在实际上
[00:04:18 - 00:04:20] 在真正的心理自讯师的学习过程当中
[00:04:20 - 00:04:23] 是国内没有吗?还是国外也没有?
[00:04:23 - 00:04:24] 国内没有
[00:04:24 - 00:04:25] 国内没有
[00:04:25 - 00:04:26] 我觉得照你这么说的话
[00:04:26 - 00:04:29] 所有的就是精神科的那个门诊
[00:04:29 - 00:04:30] 门口应该有一个按键
[00:04:30 - 00:04:31] 因为像比如说9月的
[00:04:31 - 00:04:36] 万一现在因为咱们国人对于精神健康的这种觉醒
[00:04:36 - 00:04:37] 应该说是越来越
[00:04:37 - 00:04:38] 越来越好了
[00:04:38 - 00:04:40] 就是有好的一种趋势
