BV号：BV127411u7VE
标题：BV127411u7VE
链接：https://www.bilibili.com/video/BV127411u7VE
识别语言：zh
语言置信度：1
分段数：248
生成时间：2026-04-04 02:29:15

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪芳老师
[00:02:12 - 00:02:14] 然后就从库东里掏住打火机
[00:02:14 - 00:02:15] 就这么点了一下
[00:02:15 - 00:02:16] 不是对着自己点
[00:02:16 - 00:02:17] 就这么点了一下
[00:02:17 - 00:02:19] 结果就着了
[00:02:19 - 00:02:20] 然后案发以后
[00:02:20 - 00:02:23] 赵某就说我给他泼汽油
[00:02:23 - 00:02:24] 就是想吓唬他
[00:02:24 - 00:02:26] 我没有真的要去点
[00:02:26 - 00:02:29] 李某说我把这个打火机点了
[00:02:29 - 00:02:30] 也只是想吓唬他
[00:02:30 - 00:02:32] 他本来是想这样的
[00:02:32 - 00:02:35] 拿着说你看我就死给你看
[00:02:35 - 00:02:36] 结果一不小心手一剁扎
[00:02:36 - 00:02:37] 他就是这么一打开
[00:02:37 - 00:02:40] 空气中的汽油有挥发
[00:02:40 - 00:02:42] 它把空气中的那个汽油给燃了
[00:02:42 - 00:02:44] 结果一下子就把自己身上燃热了
[00:02:44 - 00:02:47] 这个案子这是一个生活中真实的案例
[00:02:47 - 00:02:48] 当时公安机关争论特别激烈
[00:02:48 - 00:02:51] 张某人家托汽油了
[00:02:51 - 00:02:53] 你说我托汽油能不能把你托死
[00:02:53 - 00:02:53] 托不死
[00:02:53 - 00:02:57] 托汽油是不是一个故意杀人的行为
[00:02:57 - 00:03:00] 甚至他连故意伤害都不亦都算得上
[00:03:00 - 00:03:04] 这个地方就说介入了一个被害人的因素
[00:03:04 - 00:03:06] 他也只是下火这么点一下
[00:03:06 - 00:03:09] 结果空气中的汽油会发
[00:03:09 - 00:03:11] 汽油说怪我了
[00:03:11 - 00:03:13] 那么你说这个地方是
[00:03:13 - 00:03:16] 是这个女孩子应当遇见到
[00:03:16 - 00:03:19] 空气中的汽油就可能会点燃
[00:03:19 - 00:03:21] 还是张某应当遇见到
[00:03:21 - 00:03:25] 李某可能会把这个打火机拿出来
[00:03:25 - 00:03:26] 其实我觉得
[00:03:26 - 00:03:27] 就是从责任上来讲
[00:03:27 - 00:03:30] 我觉得这两个人一半一半
[00:03:30 - 00:03:33] 你不能说张某完全没责任
[00:03:33 - 00:03:35] 你也不能说李某完全没责任
[00:03:35 - 00:03:38] 只不过是责任认定的时候谁多谁少的问题
[00:03:38 - 00:03:41] 但是你也不能说谁一定多谁一定少
[00:03:41 - 00:03:44] 但是我必要我比较奇怪的是什么呢
[00:03:44 - 00:03:46] 如果说在我们刑法当中来定罪的话
[00:03:46 - 00:03:49] 那这个东西是定成什么罪
[00:03:50 - 00:03:51] 你是故意伤害
[00:03:51 - 00:03:54] 还是还是纵火
[00:03:54 - 00:03:56] 还是你你如果问我的话
[00:03:56 - 00:03:59] 我认为本案张某就不够成分
[00:03:59 - 00:04:01] 啊为什么呢
[00:04:01 - 00:04:02] 我遇见不到的
[00:04:02 - 00:04:04] 我没我只是一个迫汽油的行为
[00:04:04 - 00:04:05] 我没有点
[00:04:06 - 00:04:07] 如果我点了就是我的问题
[00:04:07 - 00:04:09] 这是你是成因之一
[00:04:09 - 00:04:11] 我拨了汽油对不对
[00:04:11 - 00:04:11] 我有没有点
[00:04:12 - 00:04:12] 没有
[00:04:13 - 00:04:13] 对
[00:04:13 - 00:04:15] 他不是也说得很清楚吗
[00:04:15 - 00:04:16] 他是吓唬他
[00:04:16 - 00:04:18] 他就是拨一个汽油
[00:04:18 - 00:04:19] 但是没有后面的那个
[00:04:19 - 00:04:20] 如果我拿个棍子
[00:04:20 - 00:04:22] 对了你头上打过去
[00:04:22 - 00:04:23] 那是真的会打伤对不对
[00:04:23 - 00:04:25] 但是我跟你拨汽油
[00:04:25 - 00:04:26] 没有什么的
[00:04:27 - 00:04:28] 不过我跟你讲这个案子
[00:04:28 - 00:04:28] 后来判了
[00:04:29 - 00:04:32] 后来张某判了一个过失智人重伤罪
[00:04:32 - 00:04:34] 过失智人重伤
[00:04:34 - 00:04:38] 你觉得这个他的这个判的那个思路是怎么判的
[00:04:38 - 00:04:39] 我觉得
[00:04:39 - 00:04:43] 如果要定过失就是你应当预见到什么
[00:04:43 - 00:04:46] 那他在本案中他认为这个张某应当预见到什么
[00:04:46 - 00:04:49] 因为本身汽油是一个可人物
[00:04:49 - 00:04:49] 对
[00:04:49 - 00:04:51] 这个东西跟叫角力子啊
[00:04:51 - 00:04:53] 比如说我吓唬你
[00:04:53 - 00:04:54] 我可以泼水
[00:04:54 - 00:04:55] 对
[00:04:55 - 00:04:55] 对吧
[00:04:55 - 00:04:58] 你比如说我们经常说拿高亚水箱去刺人啊
[00:04:58 - 00:04:58] 对不对
[00:04:58 - 00:05:00] 去拿个杯子摔一下
[00:05:00 - 00:05:00] 嗯
[00:05:00 - 00:05:01] 对吧
[00:05:01 - 00:05:02] 拿个东西比货比货
[00:05:02 - 00:05:03] 我比货比货
[00:05:03 - 00:05:07] 你不过一笔在你身上所谓的直接实施要要强可能是
[00:05:07 - 00:05:10] 也没有像你说我直接迫去有很有可能会他
[00:05:10 - 00:05:11] 而且的话怎么说呢
[00:05:11 - 00:05:12] 还有一个预见就是
[00:05:12 - 00:05:14] 你都知道说你的女朋友
[00:05:14 - 00:05:16] 他平时有抽烟的习惯
[00:05:16 - 00:05:18] 他都里面是有这个打火机的
[00:05:18 - 00:05:19] 然后的话呢
[00:05:19 - 00:05:23] 你应该是有这个多多少少是有一些预见的
[00:05:23 - 00:05:23] 对
[00:05:23 - 00:05:24] 他最后呢
[00:05:24 - 00:05:27] 法院最后认定他这个过失智能状况
[00:05:27 - 00:05:30] 就是说一个是说这个女孩子爱抽烟
[00:05:30 - 00:05:33] 库都里常年是有打火机的
[00:05:33 - 00:05:34] 这是第一
[00:05:34 - 00:05:38] 第二就是这个女孩子情绪激动
[00:05:38 - 00:05:41] 在这个之前不久发生过两次
[00:05:41 - 00:05:42] 她俩吵架
[00:05:42 - 00:05:44] 这个女孩子一次是用刀片割外
[00:05:44 - 00:05:46] 一次用刀片割大腿
[00:05:46 - 00:05:48] 就是说她多次有这种
[00:05:48 - 00:05:50] 突然一下就会暴怒
[00:05:50 - 00:05:51] 然后就会自残
[00:05:51 - 00:05:54] 她张某对此她是知道的
[00:05:54 - 00:05:56] 然后这个人库都里有打火机
[00:05:56 - 00:05:57] 她也是知道的
[00:05:57 - 00:05:59] 所以她认为张某当时是一个
[00:05:59 - 00:06:01] 疏忽大意的过失
[00:06:01 - 00:06:03] 就是你应当预见到
[00:06:03 - 00:06:05] 你跟你女朋友吵架
[00:06:05 - 00:06:06] 给她颇气
[00:06:06 - 00:06:07] 有说我成全你
[00:06:07 - 00:06:11] 你女朋友会有一些过激的行为
[00:06:11 - 00:06:13] 但是你没有预见到
[00:06:13 - 00:06:14] 所以最后她定了一个
[00:06:14 - 00:06:15] 疏忽大意的过失
[00:06:15 - 00:06:16] 我觉得也有道理
[00:06:16 - 00:06:17] 也有道理的
[00:06:17 - 00:06:17] 而且的话
[00:06:17 - 00:06:18] 我觉得这个案子
[00:06:18 - 00:06:19] 给我们提醒了什么呢
[00:06:19 - 00:06:20] 第一就是说
[00:06:20 - 00:06:23] 大家平时真的有矛盾
[00:06:23 - 00:06:23] 吵架的时候
[00:06:23 - 00:06:27] 真的不要去太大动干活
[00:06:27 - 00:06:28] 你不管说是
[00:06:28 - 00:06:30] 或者是往上伸上颇气油也好
[00:06:30 - 00:06:33] 还是说去自己像刚才我们说的女孩的哥们也好
[00:06:33 - 00:06:36] 我觉得这种东西都太过于激动了
[00:06:36 - 00:06:38] 第二点其实我想提醒
[00:06:38 - 00:06:40] 如果你的男朋友
[00:06:40 - 00:06:41] 或者女朋友
[00:06:41 - 00:06:43] 或者喜欢你的那个人
[00:06:43 - 00:06:46] 有过这样的过激行为
[00:06:46 - 00:06:49] 记住千万跟他要分开
[00:06:49 - 00:06:52] 千万不要在一起
[00:06:52 - 00:06:57] 你不要等到他这种过激行为去威胁到你的生命安全的时候
[00:06:57 - 00:07:00] 你才想到要这样
[00:07:00 - 00:07:02] 对于对方这种性格的了解
[00:07:03 - 00:07:06] 能不能了解到很透彻
[00:07:06 - 00:07:06] 对吧
[00:07:06 - 00:07:07] 包括说我们平时吵架的时候
[00:07:07 - 00:07:10] 大家有没有一些过激的这种行为
[00:07:10 - 00:07:12] 这一点真的非常非常的重要
[00:07:12 - 00:07:13] 张老师
[00:07:13 - 00:07:14] 你知道你说这段话
[00:07:14 - 00:07:15] 我想起来什么吗
[00:07:15 - 00:07:20] 我们经常讲老师要教书欲人
[00:07:20 - 00:07:22] 一个方面是给大家教一些知识
[00:07:22 - 00:07:24] 一个方面是要培养学生
[00:07:24 - 00:07:26] 我觉得你刚才讲的就是欲人的这一块
[00:07:26 - 00:07:28] 法律它最后是什么呢
[00:07:28 - 00:07:32] 我觉得它是对一个事情发生的结果的责任认定
[00:07:32 - 00:07:34] 我们该认定怎样的责任
[00:07:34 - 00:07:37] 而我们在做这些责任的时候的话
[00:07:37 - 00:07:40] 也要知道法律背后服务的是社会
[00:07:40 - 00:07:43] 服务的是我们老百姓的服务是大众
[00:07:43 - 00:07:46] 就是大家不仅看到法律的知识
[00:07:46 - 00:07:48] 更要知道怎么样能让自己生活得更好
[00:07:48 - 00:07:51] 从这些案例中学习到一些经验
[00:07:51 - 00:07:52] 吸收到一些教训
[00:07:52 - 00:07:55] 这个是这个节目最终的目的
[00:07:55 - 00:07:57] 交織只是一个第一层的一个吗
[00:07:57 - 00:07:58] 对
[00:07:58 - 00:07:59] 所以说我希望大家真的以后
[00:07:59 - 00:08:02] 就是不管是找男朋友还是找女朋友
[00:08:02 - 00:08:05] 这个新明眼亮
[00:08:05 - 00:08:05] 好
[00:08:05 - 00:08:08] 我们感谢我们杨老师给大家做的
[00:08:08 - 00:08:09] 记忆器的法律分享
[00:08:09 - 00:08:10] 我们本期节目就是这样
[00:08:10 - 00:08:11] 咱们下期节目再见
[00:08:11 - 00:08:11] 谢谢
[00:08:11 - 00:08:12] 拜拜
