BV号：BV13J411c7jU
标题：BV13J411c7jU
链接：https://www.bilibili.com/video/BV13J411c7jU
识别语言：zh
语言置信度：1
分段数：397
生成时间：2026-04-04 06:41:26

[00:00:02 - 00:00:05] 空姐和季儿组织下的组织可成见了
[00:05:33 - 00:05:35] 真的有滚过费吗
[00:05:35 - 00:05:37] 那个几年前的世纪家园还是
[00:05:37 - 00:05:39] 现在也挺好
[00:05:39 - 00:05:42] 那如果说这个机长想跟空姐交流的话
[00:05:42 - 00:05:44] 比如说交流费信的一些事情的话
[00:05:44 - 00:05:46] 那你们之间是怎么交流的
[00:05:46 - 00:05:48] 我刚想说我们心灵感应
[00:05:48 - 00:05:50] 那你们这间有没有什么一些
[00:05:50 - 00:05:51] 就是暗号啊
[00:05:51 - 00:05:52] 暗雨啊什么的
[00:05:54 - 00:05:55] 记着你吃饭了吗
[00:05:56 - 00:05:57] 这叫暗号吗
[00:05:57 - 00:05:58] 这么挺的直接的吗
[00:05:59 - 00:06:00] 这个就是
[00:06:00 - 00:06:02] 大家暗示他能不能进来
[00:06:02 - 00:06:03] 进来我们驾驶舱
[00:06:03 - 00:06:04] 哦
[00:06:04 - 00:06:05] 是这个意思啊
[00:06:05 - 00:06:06] 对
[00:06:06 - 00:06:08] 一般驾驶舱是不允许外人进去的
[00:06:08 - 00:06:09] 是吧
[00:06:09 - 00:06:10] 那你进去干啥去
[00:06:10 - 00:06:11] 我们得提醒他们呢
[00:06:11 - 00:06:13] 他们能够够的
[00:06:13 - 00:06:15] 我们得提醒他们
[00:06:15 - 00:06:16] 他们困
[00:06:16 - 00:06:18] 比方说如果我们飞夜行的话
[00:06:18 - 00:06:19] 我飞一个通宵
[00:06:19 - 00:06:21] 叫尔苍就两个人
[00:06:21 - 00:06:23] 然后两个哥们
[00:06:23 - 00:06:24] 一般都是
[00:06:24 - 00:06:26] 你怕发生点什么事吗
[00:06:26 - 00:06:27] 也不会
[00:06:27 - 00:06:28] 就怕他们睡着了
[00:06:28 - 00:06:29] 我们也怕
[00:06:31 - 00:06:33] 这其实我忍住了
[00:06:33 - 00:06:34] 我怕日出久了
[00:06:34 - 00:06:35] 对我才忍
[00:06:36 - 00:06:37] 主要是怕这个
[00:06:37 - 00:06:38] 飞行安全
[00:06:38 - 00:06:39] 然后要提醒一下
[00:06:39 - 00:06:41] 然后我们的工作职能里面
[00:06:41 - 00:06:45] 职能里面就一项就是每隔二三十分钟
[00:06:45 - 00:06:48] 你就要去跟驾驶舱沟通一下
[00:06:48 - 00:06:50] 有一次我就特别逗的是
[00:06:50 - 00:06:53] 这个机长真的挺困的了
[00:06:53 - 00:06:54] 他已经在打磕碎了
[00:06:54 - 00:06:56] 然后我真的是隔十分钟进去
[00:06:56 - 00:06:59] 机长再给你喝点咖啡
[00:06:59 - 00:07:01] 吃点什么就一直骚扰他
[00:07:01 - 00:07:03] 对你的时候的话就是
[00:07:03 - 00:07:05] 我们经常就说说那个
[00:07:05 - 00:07:06] 晚上就说如果开机车的话
[00:07:06 - 00:07:09] 我们经常又派一个人专门跟司机留天
[00:07:09 - 00:07:11] 对就是怕这个司机睡着
[00:07:11 - 00:07:13] 有时候我们称务员就会做这个人
[00:07:13 - 00:07:15] 就是会进去聊聊天
[00:07:15 - 00:07:18] 然后送点吃的送点提神的饮料啊什么的
[00:07:18 - 00:07:20] 所以你知道为什么我们老爱困了
[00:07:20 - 00:07:21] 因为一困了就有
[00:07:22 - 00:07:23] 是因为这样吗
[00:07:23 - 00:07:25] 你不困他不来呀
[00:07:25 - 00:07:25] 好
[00:07:25 - 00:07:27] 厉害
[00:07:27 - 00:07:28] 原来这都是你
[00:07:28 - 00:07:30] 你别看我觉得别看王老师
[00:07:30 - 00:07:32] 就说看起来好像很
[00:07:32 - 00:07:33] 其实他很精明是不是
[00:07:33 - 00:07:34] 对
[00:07:34 - 00:07:35] 看起来好像很牛
[00:07:35 - 00:07:36] 其实他很英明
[00:07:36 - 00:07:38] 这小蒜饭系里面早就打好了
[00:07:38 - 00:07:38] 对吧
[00:07:38 - 00:07:40] 那蒜饭竟然打得这么好
[00:07:40 - 00:07:41] 老实说实话
[00:07:41 - 00:07:44] 哎这是下个时候这个去真正考验
[00:07:44 - 00:07:45] 你们说实话的时候了
[00:07:45 - 00:07:47] 哈总说这个飞行员是高富帅
[00:07:47 - 00:07:52] 这个这个这个我们这个称这个空姐的是这个白富美啊
[00:07:52 - 00:07:55] 这个高富美白富美
[00:07:55 - 00:07:56] 都有一个共同字
[00:07:57 - 00:07:57] 富富
[00:07:58 - 00:08:01] 那是不是说明你们的书是很高的
[00:08:03 - 00:08:03] 看什么
[00:08:03 - 00:08:04] 先说实话那个
[00:08:04 - 00:08:06] 先说实话那个我先说说你啊
[00:08:06 - 00:08:09] 你你你你这时候大概
[00:08:09 - 00:08:11] 所以大概的数就行
[00:08:11 - 00:08:12] 不用具体数字
[00:08:12 - 00:08:14] 我就说一下行业的大概收入
[00:08:14 - 00:08:16] 作为一个新入职的飞源
[00:08:16 - 00:08:18] 拿到一万两万的收入
[00:08:18 - 00:08:20] MVP的收入是非常正常的
[00:08:20 - 00:08:22] 然后到机长之后
[00:08:22 - 00:08:25] 可能就是从五六万开始
[00:08:25 - 00:08:26] 这个上
[00:08:26 - 00:08:27] 开喜的
[00:08:27 - 00:08:28] 对
[00:08:28 - 00:08:30] 上如果风顶的话
[00:08:30 - 00:08:32] 可能是在二十万左右
[00:08:32 - 00:08:33] 每个月的工资
[00:08:33 - 00:08:34] 大概是这样
[00:08:34 - 00:08:38] 那是跟它飞的这个机型
[00:08:38 - 00:08:43] 执行的任务包括他本身的这个能力是有关系的
[00:08:43 - 00:08:44] 这个分了非常的详细
[00:08:44 - 00:08:51] 所以如果一个机长他最多拿年薪百万或者是两百万
[00:08:51 - 00:08:52] 这个都是有可能的
[00:08:52 - 00:08:53] 哦
[00:08:53 - 00:08:54] 那
[00:08:54 - 00:08:56] 空称
[00:08:56 - 00:08:57] 我能说句实话吗
[00:08:57 - 00:08:59] 我干了这么多年
[00:08:59 - 00:09:00] 我不知道我有多少工资
[00:09:00 - 00:09:01] 啊
[00:09:01 - 00:09:04] 钱多的数过来了
[00:09:04 - 00:09:06] 我的天呐
[00:09:06 - 00:09:07] 人家还有个数
[00:09:07 - 00:09:08] 你连个数都没有
[00:09:08 - 00:09:09] 他老公是飞鸣
[00:09:09 - 00:09:11] 所以他那个工资卡有没有
[00:09:11 - 00:09:12] 也没什么太大区
[00:09:12 - 00:09:14] 因为这个数是这样的
[00:09:14 - 00:09:17] 他有很多计算的方式
[00:09:17 - 00:09:19] 是我没有办法自己去算明白的
[00:09:19 - 00:09:21] 就是公司每个月给我多少
[00:09:21 - 00:09:22] 我就拿多少就好了
[00:09:22 - 00:09:24] 那大概一点
[00:09:24 - 00:09:26] 大概的话一个新租值的乘务员的话
[00:09:26 - 00:09:29] 可能是少一点的地方的公司
[00:09:29 - 00:09:32] 可能有七八千
[00:09:32 - 00:09:34] 有可能每月
[00:09:34 - 00:09:37] 然后到达一定程度的普通的乘务员
[00:09:37 - 00:09:38] 一万多点
[00:09:38 - 00:09:42] 然后如果根据你的工作年限
[00:09:42 - 00:09:43] 再往上的话
[00:09:43 - 00:09:45] 年薪像厦门航空
[00:09:45 - 00:09:46] 他们在每次招聘的时候
[00:09:46 - 00:09:50] 就会打出来36万年薪
[00:09:50 - 00:09:52] 大概就是这个数
[00:09:52 - 00:09:54] 厦门航空有没有给你下一个广告费
[00:09:54 - 00:09:57] 那个下了之后跟我说一下就好了
[00:09:57 - 00:09:59] 补一下
[00:09:59 - 00:10:01] 其实我觉得像空乘也好
[00:10:01 - 00:10:02] 包括像我们飞行员也好
[00:10:02 - 00:10:04] 他的收入可能相对于
[00:10:04 - 00:10:06] 就我们对于大部分的职业来讲
[00:10:06 - 00:10:07] 可能感觉稍微高一些
[00:10:07 - 00:10:08] 我觉得是有道理的
[00:10:08 - 00:10:13] 为什么几百条人命是在你们的手上
[00:10:13 - 00:10:16] 你们肩负的责任真的是非常非常的大
[00:10:16 - 00:10:18] 有的时候你在执行这种飞行任务的时候
[00:10:18 - 00:10:21] 有没有感觉到压力很重大
[00:10:21 - 00:10:22] 或者责任非常的重要
[00:10:22 - 00:10:23] 有没有决定的感觉
[00:10:23 - 00:10:24] 当然有
[00:10:24 - 00:10:27] 从当上飞行员的第一天就有这个意识
[00:10:27 - 00:10:30] 就是每一次在坐飞行的时候都可能要
[00:10:30 - 00:10:31] 有没有就是说
[00:10:31 - 00:10:32] 就像有的人司机
[00:10:32 - 00:10:35] 就刚刚开始的司机都是两个做保护环境盘
[00:10:35 - 00:10:37] 非常标准的价秀姿势
[00:10:37 - 00:10:38] 但是后来他开始
[00:10:38 - 00:10:39] 尝完以后的话
[00:10:39 - 00:10:40] 可能也打电话
[00:10:40 - 00:10:40] 对啊
[00:10:40 - 00:10:42] 那你们这个敢吗
[00:10:42 - 00:10:43] 不敢
[00:10:43 - 00:10:44] 他打不出去
[00:10:44 - 00:10:45] 是吧
[00:10:45 - 00:10:45] 嗯
[00:10:45 - 00:10:48] 这每一次的话都是还是比较紧张的
[00:10:48 - 00:10:48] 对不对
[00:10:48 - 00:10:49] 嗯
[00:10:49 - 00:10:50] 会非常认真
[00:10:50 - 00:10:51] 居然是一个目的地
[00:10:51 - 00:10:52] 可能你上午刚飞过
[00:10:52 - 00:10:54] 然后下午又飞回去
[00:10:54 - 00:10:56] 但还是要把它当成一个
[00:10:56 - 00:10:57] 虽然很多东西已经背下来了
[00:10:57 - 00:10:59] 但是该看手册
[00:10:59 - 00:11:00] 看手册
[00:11:00 - 00:11:02] 看电子数据
[00:11:02 - 00:11:03] 电子背心包
[00:11:03 - 00:11:05] 就是有航图的那些
[00:11:05 - 00:11:07] 我们还是会去按的那个区别
[00:11:07 - 00:11:08] 空设应该也一样
[00:11:08 - 00:11:09] 一样的
[00:11:09 - 00:11:11] 像我自己还有身边很多朋友
[00:11:11 - 00:11:13] 就是停飞了很多年之后
[00:11:13 - 00:11:15] 但是我们每一年都会做同样一个梦
[00:11:15 - 00:11:18] 就是你的话题预位操作了没有
[00:11:18 - 00:11:20] 你的安全的这些事
[00:11:20 - 00:11:21] 把他说梦话是不是
[00:11:21 - 00:11:23] 都是你的安全也是的那些
[00:11:23 - 00:11:24] 对
[00:11:24 - 00:11:26] 就基本上每一年都会做这种梦
[00:11:26 - 00:11:28] 我身边很多朋友都会这样子
[00:11:28 - 00:11:30] 就离开了或者还在飞的
[00:11:31 - 00:11:32] 就我们叫强迫症
[00:11:32 - 00:11:33] 对
[00:11:33 - 00:11:36] 就是可能就是对这种安全保障
[00:11:36 - 00:11:39] 特别特别要求严格的这种岗位的话
[00:11:39 - 00:11:41] 真的可能就是每时每刻的话
[00:11:41 - 00:11:44] 都要记着那些画术也好
[00:11:44 - 00:11:45] 还是记得那些飞行动作也好
[00:11:46 - 00:11:47] 真的是非常非常重要的
[00:11:47 - 00:11:48] 所以说大家不要以为说
[00:11:48 - 00:11:50] 啊你看人家我羡慕是吧
[00:11:50 - 00:11:53] 我这我又是当工程又能一年三十六万
[00:11:53 - 00:11:54] 抹荒红公司啊
[00:11:54 - 00:11:55] 他没给我钱
[00:11:55 - 00:11:56] 然后的话又说这个做飞行员
[00:11:56 - 00:11:58] 你能挣个一二百万的
[00:11:58 - 00:11:59] 但实际上的话
[00:11:59 - 00:12:01] 就是他们背后的奸心
[00:12:01 - 00:12:03] 是可能我们普通的外星
[00:12:03 - 00:12:05] 普通人所看不到的
[00:12:05 - 00:12:06] 所以说韩兴这句话
[00:12:06 - 00:12:07] 真的要向
[00:12:07 - 00:12:09] 为保障我们飞行安全的
[00:12:09 - 00:12:10] 那些民航人
[00:12:10 - 00:12:11] 真的致敬
[00:12:11 - 00:12:13] 然后的话也祝愿你们
[00:12:13 - 00:12:14] 能够在自己的工作管理上
[00:12:14 - 00:12:16] 找到自己的力量一半
[00:12:16 - 00:12:16] 好
[00:12:16 - 00:12:18] 我们本期节目就是这样
[00:12:18 - 00:12:19] 感谢王老师和刘老师的分享
[00:12:19 - 00:12:20] 咱们下期节目再见
[00:12:20 - 00:12:21] 谢谢大家
