BV号：BV1Zt411w7vC
标题：BV1Zt411w7vC
链接：https://www.bilibili.com/video/BV1Zt411w7vC
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-04-04 07:29:27

[00:00:00 - 00:00:03] 大家好,我是让学习变得更快乐的张雪峰老师
[00:03:51 - 00:03:54] 就把它按照故意杀人罪定罪
[00:03:54 - 00:03:56] 其实我刚才写的时候
[00:03:56 - 00:03:56] 看到这个案子的时候
[00:03:56 - 00:03:57] 我就有一个疑问啊
[00:03:57 - 00:04:00] 就是在绑架过程当中杀人
[00:04:00 - 00:04:03] 为什么原来取的是绑架人不是取的杀人呢
[00:04:03 - 00:04:05] 其实杀人不是应该更大一些
[00:04:05 - 00:04:06] 为什么只取清的呀
[00:04:06 - 00:04:07] 他说这样的
[00:04:07 - 00:04:08] 就是当年立法的时候
[00:04:08 - 00:04:12] 他是说也绑架的处十年以上
[00:04:12 - 00:04:13] 这个有期徒刑
[00:04:13 - 00:04:14] 无期徒刑
[00:04:14 - 00:04:20] 然后他加了一档杀害被绑架人的处死刑
[00:04:20 - 00:04:21] 这是原来啊
[00:04:21 - 00:04:22] 那么他的目的是什么呢
[00:04:22 - 00:04:23] 就说他的意思说
[00:04:23 - 00:04:26] 杀害被绑架人的法定刑直接升格
[00:04:26 - 00:04:27] 他是为了方便
[00:04:27 - 00:04:29] 就直接把法定刑升下就好了
[00:04:29 - 00:04:30] 绝对没有必要
[00:04:30 - 00:04:32] 再加一个故意杀人罪
[00:04:32 - 00:04:34] 其实本来是可以加的
[00:04:34 - 00:04:36] 那么就说绑架中间故意杀人的
[00:04:36 - 00:04:39] 并不是对故意杀人的部分不惩罚
[00:04:39 - 00:04:40] 他原来的法律因特别高
[00:04:40 - 00:04:42] 处死刑
[00:04:42 - 00:04:43] 就直接处死刑了
[00:04:43 - 00:04:45] 但是罪名叫绑架罪
[00:04:45 - 00:04:47] 就是他是因为有一个前面
[00:04:47 - 00:04:50] 他是说绑架的10年到无期
[00:04:50 - 00:04:52] 就是原来你绑架当中
[00:04:52 - 00:04:53] 把被害人给杀害的
[00:04:53 - 00:04:56] 是因绑架罪出义死刑
[00:04:56 - 00:04:56] 对
[00:04:56 - 00:04:58] 不是因故意杀人罪出义死刑
[00:04:58 - 00:04:59] 对
[00:05:00 - 00:05:03] 然后的话呢就故意杀人就是另外的一个就故意杀人罪
[00:05:03 - 00:05:03] 对对对
[00:05:04 - 00:05:05] 然后这条现在又变了
[00:05:05 - 00:05:09] 就是现在呢加了一个故意伤害智人重伤死亡的
[00:05:09 - 00:05:12] 那么不是因为有故意伤害智人重伤死亡吗
[00:05:12 - 00:05:15] 那么就把那个处死刑变成了处无期徒刑死刑
[00:05:15 - 00:05:16] 但是呢实践中
[00:05:16 - 00:05:19] 如果你在绑架中把人杀掉了
[00:05:19 - 00:05:22] 那通常都是要那个处死刑的
[00:05:22 - 00:05:25] 所以就说他不定故意杀人罪没关系
[00:05:25 - 00:05:27] 他的刑罚是能判得到的
[00:05:27 - 00:05:30] 还是会判施刑的
[00:05:31 - 00:05:33] 那这个案子当中
[00:05:33 - 00:05:35] 其实我个人觉得
[00:05:35 - 00:05:36] 就是你说一个15岁的小孩
[00:05:36 - 00:05:38] 他即使是绑架也好
[00:05:38 - 00:05:40] 还是说你去杀人也好
[00:05:40 - 00:05:41] 中间我觉得你要让他直接
[00:05:41 - 00:05:44] 我这个胆子也不太可能
[00:05:44 - 00:05:44] 但是中间呢
[00:05:44 - 00:05:46] 就是我觉得淡淡中间说了一句话
[00:05:46 - 00:05:48] 他说我认识你
[00:05:48 - 00:05:50] 我认识你
[00:05:50 - 00:05:52] 这个是不是
[00:05:52 - 00:05:56] 我感觉是不是就是触发了这个白某
[00:05:56 - 00:05:58] 去杀掉他这个事情
[00:05:58 - 00:05:58] 对
[00:05:58 - 00:05:59] 是吧
[00:05:59 - 00:06:02] 你这个就是我选这个案例给大家的一个原因
[00:06:02 - 00:06:04] 咱们很多学生都是青年学生
[00:06:04 - 00:06:05] 这个设施不深
[00:06:05 - 00:06:07] 然后有的时候跟这个犯罪分子
[00:06:07 - 00:06:10] 跟犯罪协议人讲话不注意方式
[00:06:10 - 00:06:11] 有时候
[00:06:11 - 00:06:12] 而且还有些人是这样
[00:06:12 - 00:06:14] 他会他们认为
[00:06:14 - 00:06:15] 如果我跟他说你看
[00:06:15 - 00:06:16] 你脸上有一条疤
[00:06:16 - 00:06:17] 你我认识
[00:06:17 - 00:06:19] 我记住你这条疤了
[00:06:19 - 00:06:22] 我去公安报给你举报你
[00:06:22 - 00:06:23] 或者我知道
[00:06:23 - 00:06:26] 你是那个1603的某某某
[00:06:26 - 00:06:30] 这些话就是引诱人家快来杀我吧
[00:06:30 - 00:06:31] 快来杀我吧
[00:06:31 - 00:06:34] 对 有些时候的话就是我们包括平时给大家进行一些
[00:06:35 - 00:06:38] 法治教育也好还是普法节目的这种宣传也好
[00:06:38 - 00:06:40] 其实有些时候就是给老百姓看
[00:06:40 - 00:06:42] 也是希望就是说一些朋友啊
[00:06:42 - 00:06:44] 就是在看到这些节目以后的话
[00:06:44 - 00:06:48] 知道说你万一遇到了这种比较不幸的情况
[00:06:48 - 00:06:51] 你怎么去跟分子嫌疑人去交流
[00:06:51 - 00:06:52] 对 怎么减少被害
[00:06:52 - 00:06:53] 对 减少被害
[00:06:53 - 00:06:56] 就说你不要说出一些让他觉得
[00:06:56 - 00:06:57] 其实因为我个人觉得
[00:06:57 - 00:06:59] 你像他犯罪他心里也虚啊
[00:06:59 - 00:07:00] 你这个话说得太对了
[00:07:00 - 00:07:01] 对吧他心里虚
[00:07:01 - 00:07:02] 他心里虚啊
[00:07:02 - 00:07:03] 他也害怕
[00:07:03 - 00:07:05] 他也怕受到法律的制裁
[00:07:05 - 00:07:05] 对
[00:07:05 - 00:07:08] 他就是他从他的角度希望什么
[00:07:08 - 00:07:09] 就是希望说我成绝犯罪事
[00:07:09 - 00:07:10] 我就跑了
[00:07:10 - 00:07:12] 对对对你让我安心的跑
[00:07:12 - 00:07:15] 你没法发现我那最好的对吧
[00:07:15 - 00:07:16] 但是如果说你要中间你说出一句话
[00:07:16 - 00:07:17] 我记住你了
[00:07:17 - 00:07:18] 你等着
[00:07:18 - 00:07:19] 你都把我放出去
[00:07:19 - 00:07:20] 你跟我们弄死你
[00:07:20 - 00:07:21] 你说你这样的话就
[00:07:21 - 00:07:23] 对对对
[00:07:23 - 00:07:24] 或者我要报警啊什么
[00:07:24 - 00:07:26] 他以为能吓唬的对方
[00:07:26 - 00:07:27] 其实只会刺激对方
[00:07:28 - 00:07:31] 我还有个案例给你分享一下
[00:07:31 - 00:07:33] 就是咱们国家曾经有一个人去盗窃
[00:07:33 - 00:07:35] 盗窃的时候被施主发现了
[00:07:35 - 00:07:36] 他就把施主杀了
[00:07:36 - 00:07:37] 然后一路逃亡
[00:07:38 - 00:07:39] 杀了13个人
[00:07:39 - 00:07:43] 就这一路逃亡中间杀了13个人
[00:07:43 - 00:07:44] 后来经过很多年
[00:07:44 - 00:07:46] 都没有抓住他
[00:07:46 - 00:07:47] 后来他犯了一个别的小事
[00:07:47 - 00:07:49] 结果派出所要求录纸文
[00:07:49 - 00:07:51] 把这个人发现了
[00:07:51 - 00:07:53] 他原来的现场是由指纹的
[00:07:53 - 00:07:55] 就是因为很多年以后他犯了个小事
[00:07:56 - 00:07:56] 陆指纹
[00:07:56 - 00:07:57] 那么
[00:07:57 - 00:07:59] 后来那个记者去采访他
[00:08:00 - 00:08:02] 13条人也活不了了就跟他说
[00:08:02 - 00:08:03] 你
[00:08:03 - 00:08:04] 反正最后了嘛
[00:08:04 - 00:08:06] 男主角咋讲的你又跟我狼料对吧
[00:08:06 - 00:08:07] 他说你有什么话
[00:08:07 - 00:08:09] 给我们大家讲一讲
[00:08:09 - 00:08:09] 对对对
[00:08:09 - 00:08:10] 你知道抢街犯说什么
[00:08:11 - 00:08:14] 如果以后谁要来抢劫你
[00:08:14 - 00:08:16] 你就让他抢嘛
[00:08:16 - 00:08:17] 你就让我们走嘛
[00:08:18 - 00:08:19] 他说你看那么多监控
[00:08:19 - 00:08:21] 你还怕发现不了我们吗
[00:08:21 - 00:08:23] 蔷杰范跟你说
[00:08:23 - 00:08:25] 你让我们走吗
[00:08:25 - 00:08:25] 理由是什么呢
[00:08:25 - 00:08:27] 他说他杀第一个人的时候
[00:08:27 - 00:08:28] 他说你不知道啊
[00:08:28 - 00:08:30] 他抓到我以后我要走啊
[00:08:30 - 00:08:31] 他就大喊大叫啊
[00:08:31 - 00:08:32] 我没有办法
[00:08:33 - 00:08:34] 他说他没有办法
[00:08:34 - 00:08:35] 为什么
[00:08:35 - 00:08:36] 因为我作为我犯罪者
[00:08:36 - 00:08:37] 我肯定要逃啊
[00:08:37 - 00:08:38] 那你大喊大叫
[00:08:38 - 00:08:39] 别人不就发现我了吗
[00:08:39 - 00:08:40] 对对对
[00:08:40 - 00:08:41] 他说我一路杀那些人
[00:08:41 - 00:08:43] 都是因为他们
[00:08:43 - 00:08:44] 大喊大叫
[00:08:44 - 00:08:45] 我没有办法
[00:08:46 - 00:08:46] 虚啊
[00:08:46 - 00:08:50] 我大概就是我猜啊
[00:08:50 - 00:08:52] 能气会分得嫌疑人的笑声
[00:08:52 - 00:08:54] 刚才说可能分得嫌疑人
[00:08:54 - 00:08:56] 他在所谓的投翁工程当中
[00:08:56 - 00:08:58] 也许有些人也没答案他
[00:08:58 - 00:09:00] 真的有也许分得嫌疑人
[00:09:00 - 00:09:03] 可能受害人多看了他两眼
[00:09:03 - 00:09:04] 对
[00:09:04 - 00:09:05] 这看了
[00:09:05 - 00:09:06] 哎
[00:09:06 - 00:09:07] 哎
[00:09:07 - 00:09:08] 天天天我看了一个
[00:09:08 - 00:09:09] 他心虚
[00:09:09 - 00:09:10] 对
[00:09:10 - 00:09:11] 他觉得
[00:09:11 - 00:09:13] 其实受害人看他就觉得
[00:09:13 - 00:09:15] 这人是不是长得穿衣服不一样
[00:09:15 - 00:09:17] 他说扑着拉点没拉,对吧
[00:09:17 - 00:09:19] 但他觉得人家可能是要报警
[00:09:19 - 00:09:21] 对,他觉得说你是不是要报警
[00:09:21 - 00:09:23] 然后我是不是这个事被人发现了
[00:09:23 - 00:09:25] 或者被人知道了,他可能心里边虚
[00:09:25 - 00:09:27] 所以说有些时候真是
[00:09:27 - 00:09:29] 怎么说呢,就是大家要先去关机关的
[00:09:29 - 00:09:31] 这种办案能力
[00:09:31 - 00:09:33] 就像您所说的,该担定要担定
[00:09:33 - 00:09:35] 不要说那些去刺激犯罪嫌疑人的话
[00:09:35 - 00:09:37] 你要是说了刺激犯罪嫌疑人的话
[00:09:37 - 00:09:39] 真的有可能本来是一个很小的事情
[00:09:39 - 00:09:41] 然后他就
[00:09:41 - 00:09:43] 而且还要记住,就是说钱这个东西
[00:09:43 - 00:09:45] 真的不能舍不得
[00:09:45 - 00:09:47] 你舍不得钱之后你就是舍了命
[00:09:47 - 00:09:49] 然后钱也没有了
[00:09:49 - 00:09:50] 真是
[00:09:50 - 00:09:53] 反正我觉得这个案子给我们起始真的是太大了
[00:09:53 - 00:09:54] 好
[00:09:54 - 00:09:56] 我们感谢杨老师的不灵慈教
[00:09:56 - 00:09:58] 我们本期节目的就是这样
[00:09:58 - 00:09:59] 咱们下期节目继续再见
[00:09:59 - 00:10:00] 谢谢
