BV号：BV1Up4y1U7of
标题：BV1Up4y1U7of
链接：https://www.bilibili.com/video/BV1Up4y1U7of
识别语言：zh
语言置信度：1
分段数：163
生成时间：2026-04-04 02:05:41

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:01:26 - 00:01:29] 像我的本山院校正桌大學
[00:01:29 - 00:01:30] 你看郑大
[00:01:31 - 00:01:33] 包括像现在已经进入双一流双围的
[00:01:33 - 00:01:35] 另外一个学校叫云南大学
[00:01:36 - 00:01:37] 叫云南大学
[00:01:37 - 00:01:38] 你看这两个学校
[00:01:38 - 00:01:40] 就是相对比较典型的
[00:01:41 - 00:01:41] 所谓的
[00:01:41 - 00:01:42] 沃尔里亨的学校
[00:01:42 - 00:01:44] 你比如像郑大的云大的毕业生
[00:01:45 - 00:01:46] 虽然说也很有竞争力
[00:01:46 - 00:01:48] 但是你到了北京
[00:01:48 - 00:01:48] 到了上海
[00:01:48 - 00:01:49] 到了广州
[00:01:50 - 00:01:52] 这样明秀云籍的城市的时候
[00:01:52 - 00:01:53] 那么这个时候你会发现
[00:01:53 - 00:01:55] 郑大和云大这样的学校
[00:01:55 - 00:01:58] 可能就没有那么特别的
[00:01:58 - 00:02:00] 具備優勢
[00:02:00 - 00:02:01] 但是你在本省
[00:02:01 - 00:02:01] 行不行
[00:02:01 - 00:02:03] 本省是非常非常厲害的
[00:02:03 - 00:02:04] 你比如說
[00:02:04 - 00:02:05] 如果說有一個企業
[00:02:05 - 00:02:08] 他在河南省只開一場招兵會的話
[00:02:08 - 00:02:10] 他一定放在哪裡開
[00:02:10 - 00:02:11] 他一定放在
[00:02:11 - 00:02:12] 鄭州大學開
[00:02:12 - 00:02:13] 這是一定的對不對
[00:02:13 - 00:02:15] 你放在雲南也是一樣的
[00:02:15 - 00:02:16] 如果說一個企業在雲南省
[00:02:16 - 00:02:17] 只開一場招兵會
[00:02:17 - 00:02:19] 他放在哪開
[00:02:19 - 00:02:21] 他一定放在雲南大學開
[00:02:21 - 00:02:22] 這是一定的
[00:02:22 - 00:02:22] 所以說大家你要知道
[00:02:22 - 00:02:23] 像這種學校
[00:02:23 - 00:02:25] 它有個最大的特點是什麼呢
[00:02:25 - 00:02:27] 如果說你將來就業
[00:02:27 - 00:02:30] 你不准备出那个省份
[00:02:30 - 00:02:32] 而你不准备出那个省份
[00:02:32 - 00:02:33] 比如说张老师
[00:02:33 - 00:02:34] 我现在想去河南
[00:02:34 - 00:02:36] 然后我将来我就想在河南就业
[00:02:36 - 00:02:38] 比如说很多河南的同学
[00:02:38 - 00:02:38] 说张老师
[00:02:38 - 00:02:41] 郑大在我们河南省是非常不错的学校
[00:02:41 - 00:02:41] 对吧
[00:02:41 - 00:02:43] 那老师我也不想离家太远
[00:02:43 - 00:02:44] 因为我想我妈对不对
[00:02:44 - 00:02:47] 那老师我现在我就想在河南就业
[00:02:47 - 00:02:48] 那郑大够用不够用
[00:02:48 - 00:02:50] 郑大也够用
[00:02:50 - 00:02:52] 你在河南或郑大绝对也够用
[00:02:52 - 00:02:53] 在云南也是一样的
[00:02:53 - 00:02:55] 但这里边我想提醒大家的是什么呢
[00:02:55 - 00:02:59] 就是Wallie Heng這個學校這個概念大家可能比較理解
[00:02:59 - 00:03:03] 但是我想提醒大家的是第二種叫Wallie第二亨
[00:03:03 - 00:03:05] Wallie第二亨
[00:03:05 - 00:03:07] 什麼叫Wallie第二亨呢
[00:03:07 - 00:03:13] 如果說你考慮一些比較就是經濟比較發達的地區
[00:03:13 - 00:03:16] 經濟比較好的地區就業資源比較充分的地區
[00:03:16 - 00:03:18] 那麼像這種地區的話
[00:03:18 - 00:03:20] 你除了考他最牛的那個學校以外
[00:03:20 - 00:03:23] 排名第二第三代學校其實怎麼樣
[00:03:23 - 00:03:28] 他也是非常非常非常有竞争力的
[00:03:28 - 00:03:29] 也是非常非常有竞争力的
[00:03:29 - 00:03:30] 咱们给大家随便举一个例子
[00:03:30 - 00:03:33] 比如说在所谓的窝里地恒
[00:03:33 - 00:03:35] 和窝里地恒的学校
[00:03:35 - 00:03:36] 这些学校里边当中
[00:03:36 - 00:03:39] 我最推荐大家考的是什么样的学校呢
[00:03:39 - 00:03:41] 是浙江省的学校
[00:03:41 - 00:03:42] 浙江省
[00:03:43 - 00:03:45] 浙江省的学校它是因为什么呢
[00:03:45 - 00:03:47] 它是因为教育资源分配的
[00:03:47 - 00:03:49] 极度不平衡
[00:03:49 - 00:03:50] 浙江省的高校
[00:03:50 - 00:03:52] 大家如果说你们多多少少
[00:03:52 - 00:03:54] 我对中国的高校了解一些的话
[00:03:54 - 00:03:57] 浙江省的高校其实主要就分成两类
[00:03:57 - 00:03:58] 一类叫什么呢
[00:03:58 - 00:03:59] 一类叫浙大
[00:03:59 - 00:04:00] 一类叫其他学校
[00:04:00 - 00:04:02] 一类叫其他学校
[00:04:02 - 00:04:04] 大家发现浙江省只有一个211
[00:04:04 - 00:04:06] 哪个浙江大学
[00:04:06 - 00:04:07] 浙江省只有一个985
[00:04:07 - 00:04:08] 哪个学校
[00:04:08 - 00:04:10] 也是浙江大学
[00:04:10 - 00:04:12] 当然我们细数一下浙江大学的历史
[00:04:12 - 00:04:13] 浙江大学的教育资源
[00:04:13 - 00:04:14] 这个
[00:04:14 - 00:04:15] 怎么说呢
[00:04:15 - 00:04:17] 中间事特别特别的多
[00:04:17 - 00:04:20] 浙江大学原来是一个特别特别牛的学校
[00:04:20 - 00:04:22] 只不过在1952年的时候
[00:04:22 - 00:04:26] 1952年的时候有机会张老师给你们讲一节课叫
[00:04:26 - 00:04:27] 院西大调整
[00:04:27 - 00:04:30] 1952年的时候浙江大学院西大调整
[00:04:30 - 00:04:32] 被分成了四个部分
[00:04:32 - 00:04:34] 被分成了四个部分
[00:04:34 - 00:04:35] 被分成了哪四个部分呢
[00:04:35 - 00:04:37] 分别是杭州大学
[00:04:37 - 00:04:39] 杭州大学
[00:04:39 - 00:04:40] 然后浙江农业大学
[00:04:40 - 00:04:42] 浙江医科大学
[00:04:42 - 00:04:45] 和现在的浙江大学
[00:04:45 - 00:04:47] 和现在的浙江大学
[00:04:47 - 00:04:48] 是分成了四个部分
[00:04:48 - 00:04:50] 然后到了1998年的时候呢
[00:04:50 - 00:04:58] 1998年的時候,這四個部分又重新合併成為了新的浙江大學
[00:04:58 - 00:05:02] 所以說,在現階段總有人說,浙江大學有什麼厲害的
[00:05:02 - 00:05:05] 不就是當年合併出來的比較牛的學校嗎?
[00:05:05 - 00:05:08] 你這話說的就是不了解浙江大學的歷史
[00:05:08 - 00:05:13] 浙江大學的合併的部分恰恰是當年1952年浙江大學分出去的部分
[00:05:13 - 00:05:15] 但問題在於哪裡呢?
