BV号：BV1db421i7Ho
标题：BV1db421i7Ho
链接：https://www.bilibili.com/video/BV1db421i7Ho
识别语言：zh
语言置信度：1
分段数：112
生成时间：2026-04-03 11:07:32

[00:00:00 - 00:00:01] 之前直播联邦的时候呢
[00:01:42 - 00:01:43] 这是啥血瓶
[00:01:43 - 00:01:44] 这就不用我多说了吧
[00:01:44 - 00:01:46] 学科专业咱们先说到这
[00:01:46 - 00:01:47] 咱们接下来再看一看
[00:01:47 - 00:01:48] 神药的人才培养
[00:01:48 - 00:01:49] 一来呢
[00:01:49 - 00:01:51] 它在要学生物植药这两大榜块
[00:01:51 - 00:01:53] 有专门的培养基地
[00:01:53 - 00:01:54] 在顶尖人才培养上
[00:01:54 - 00:01:57] 各方面的资源倾斜都是很大的
[00:01:57 - 00:01:57] 再一个
[00:01:57 - 00:02:00] 省药还跟美国、英国、日本等好些国家的
[00:02:00 - 00:02:02] 顶尖名校搞练和培养
[00:02:02 - 00:02:03] 听说还能减免学费
[00:02:03 - 00:02:04] 先请讲决定
[00:02:04 - 00:02:08] 短期交流毕业生造啥的渠道都不缺
[00:02:08 - 00:02:08] 另外
[00:02:08 - 00:02:11] 学校在拔尖学生培养这一块也有布局
[00:02:11 - 00:02:14] 走的是本朔博本博培养的路子
[00:02:14 - 00:02:14] 当然
[00:02:14 - 00:02:16] 如果说你从全校来看
[00:02:16 - 00:02:19] 他的本科生造率也都超过了45%
[00:02:19 - 00:02:21] 每年有不少学生能去向清华
[00:02:21 - 00:02:25] 北大邪和这大川大这种国内知名院校
[00:02:25 - 00:02:27] 在这我就不展开说了
[00:02:27 - 00:02:28] 它不只是深造
[00:02:28 - 00:02:29] 在就业这方面
[00:02:29 - 00:02:31] 审要毕业生的精神力也是很不错的
[00:02:31 - 00:02:32] 据我所知
[00:02:32 - 00:02:35] 审要这些年的就业性价比相当高
[00:02:35 - 00:02:37] 毕业生共需比达到了1比10
[00:02:37 - 00:02:40] 就业质量比有些985还要好
[00:02:40 - 00:02:42] 数十世年年抢手
[00:02:42 - 00:02:43] 像华润
[00:02:43 - 00:02:44] 辉瑞
[00:02:44 - 00:02:45] 强生
[00:02:45 - 00:02:45] 国药
[00:02:45 - 00:02:46] 广药
[00:02:46 - 00:02:49] 衡瑞医药等这些行业500强的大企业
[00:02:49 - 00:02:51] 都很認沈耀這塊牌子
[00:02:51 - 00:02:52] 總之
[00:02:52 - 00:02:54] 沈耀科大學不管是從行業前景
[00:02:54 - 00:02:56] 半學實力還是新加坡來看
[00:02:56 - 00:02:58] 都非常值得同學們重點關注
[00:02:58 - 00:02:59] 該報就報
[00:02:59 - 00:03:00] 別猶豫哈
