BV号：BV1SM4y1c7vx
标题：BV1SM4y1c7vx
链接：https://www.bilibili.com/video/BV1SM4y1c7vx
识别语言：zh
语言置信度：1
分段数：101
生成时间：2026-04-03 21:02:34

[00:00:00 - 00:00:03] 那我们今天呢一个非常有意思的话题呢叫做财富自由
[00:03:09 - 00:03:09] 他给钱
[00:03:09 - 00:03:10] 你说这受得了吗
[00:03:10 - 00:03:10] 对吧
[00:03:10 - 00:03:13] 你这个就没办法
[00:03:13 - 00:03:13] 所以说有的时候
[00:03:13 - 00:03:15] 你说我有说不的权利吗
[00:03:15 - 00:03:17] 暂时其实我也可以说不
[00:03:17 - 00:03:18] 但是我不想说不
[00:03:18 - 00:03:20] 就这么简单
[00:03:20 - 00:03:21] 因为我还没有到所谓的
[00:03:21 - 00:03:23] 你们说的什么财富自由那一会
[00:03:23 - 00:03:25] 所以说的话
[00:03:25 - 00:03:26] 很多时候你会在社会上
[00:03:26 - 00:03:28] 你进入社会有过的话
[00:03:28 - 00:03:30] 你会做很多无奈的事情
[00:03:30 - 00:03:33] 当然我做我们第一季的骑车伙伴是
[00:03:33 - 00:03:35] 我很开心
[00:03:35 - 00:03:37] 我下一季还请我
[00:03:37 - 00:03:39] 我会下一季还请我
[00:03:39 - 00:03:40] 所以说有的时候的话
[00:03:40 - 00:03:41] 等你到了社会上
[00:03:41 - 00:03:41] 你会发现
[00:03:41 - 00:03:43] 以前政的多利也不的话
[00:03:43 - 00:03:45] 它是让你有说不的权利
[00:03:45 - 00:03:47] 这个是财富自由真真正正的定义
[00:03:47 - 00:03:50] 而不是你们想象当中的定义
[00:03:50 - 00:03:51] 能没有拜访
