BV号：BV1RJ411L7BD
标题：BV1RJ411L7BD
链接：https://www.bilibili.com/video/BV1RJ411L7BD
识别语言：zh
语言置信度：1
分段数：370
生成时间：2026-04-04 03:54:34

[00:00:00 - 00:00:02] 大家好欢迎收看本期的法力骑士很好玩
[00:02:55 - 00:02:58] 如果是因為重大誤解這個簽的合同
[00:02:58 - 00:03:01] 一方重大誤解這一方
[00:03:01 - 00:03:05] 可以向人民法院去请求撤销合同
[00:03:06 - 00:03:07] 就他不能直接
[00:03:07 - 00:03:08] 你自己说重大委
[00:03:08 - 00:03:09] 直接失效
[00:03:09 - 00:03:09] 不行
[00:03:09 - 00:03:10] 合同这个直接无效
[00:03:10 - 00:03:11] 不行
[00:03:11 - 00:03:13] 你要去向法院请求
[00:03:13 - 00:03:14] 说我是重大误解
[00:03:14 - 00:03:15] 然后法院
[00:03:15 - 00:03:17] 就你要法院去认定
[00:03:17 - 00:03:18] 你是不是重大误解
[00:03:18 - 00:03:20] 那边现在有的时候
[00:03:20 - 00:03:23] 就是我不知道您用不用一些
[00:03:23 - 00:03:26] 比较便宜的一些打折的APP
[00:03:26 - 00:03:28] 因为大家都知道
[00:03:28 - 00:03:30] 在国内目前有一款APP
[00:03:30 - 00:03:31] 他打折打得很厉害
[00:03:31 - 00:03:32] 我不是你说
[00:03:32 - 00:03:33] 你就不让我说他是哪一款
[00:03:33 - 00:03:34] 我没
[00:03:34 - 00:03:36] 他也没给我们赞助我们不喝的名字
[00:03:36 - 00:03:37] 好像叫什么拼嘻嘻好像是
[00:03:37 - 00:03:38] 然后的话
[00:03:38 - 00:03:40] 我为了感兴趣
[00:03:40 - 00:03:41] 我曾经下载过这个拼嘻嘻
[00:03:41 - 00:03:44] 但是我其实我从来没有在上面买过东西
[00:03:44 - 00:03:46] 但是我特别喜欢逛
[00:03:46 - 00:03:48] 但是真的很好玩
[00:03:48 - 00:03:49] 您逛过没有
[00:03:49 - 00:03:51] 就是他真的有的东西
[00:03:51 - 00:03:52] 他真的标的就是
[00:03:52 - 00:03:53] 低的不可思议是吧
[00:03:53 - 00:03:54] 对
[00:03:54 - 00:03:56] 就是比如说一根腰带一块钱
[00:03:56 - 00:03:58] 你给腰带怎么一块钱
[00:03:58 - 00:04:01] 我说一块钱这个肯定是赔本的
[00:04:01 - 00:04:04] 但是咱也不知道他那个腰带是怎么
[00:04:04 - 00:04:05] 怎么他就一块钱了对吧
[00:04:05 - 00:04:09] 然后而且最近还出了一个跟刚才我们说的这个案子
[00:04:09 - 00:04:11] 有点类似的一个案子很有名
[00:04:11 - 00:04:14] 就是在这个某一个电商平台呢
[00:04:14 - 00:04:16] 有这么几个就是农库啊
[00:04:16 - 00:04:17] 他卖水果啊
[00:04:17 - 00:04:19] 结果就把战哥哥飙错了
[00:04:19 - 00:04:24] 结果呢就被一个像这个这个另外一个平台的一个网络轰人
[00:04:24 - 00:04:25] 就给看见了
[00:04:25 - 00:04:26] 看见了完以后呢
[00:04:26 - 00:04:28] 就像他的粉丝就宣传说
[00:04:28 - 00:04:30] 你看那边有好样毛的事了
[00:04:31 - 00:04:32] 这个非常便宜的价格
[00:04:32 - 00:04:34] 就能买到那么多东西
[00:04:34 - 00:04:38] 这个就他而且他把这玩意当成给粉丝的福利
[00:04:38 - 00:04:41] 让这帮人去搞那家店
[00:04:41 - 00:04:42] 结果那家店呢
[00:04:42 - 00:04:44] 最后也证明是他标错了
[00:04:45 - 00:04:46] 然后的话就给倒闭了
[00:04:46 - 00:04:47] 那你像这样的话
[00:04:47 - 00:04:49] 其实有些时候我们觉得这种
[00:04:49 - 00:04:52] 带领自己的一些亲朋好友
[00:04:52 - 00:04:54] 包括一些甚至像粉丝
[00:04:54 - 00:04:56] 你想如果说这个人粉丝量比较多的话
[00:04:56 - 00:04:59] 你像我这几百万粉丝的
[00:04:59 - 00:05:02] 我这要是说去给人弄这一下子
[00:05:02 - 00:05:04] 也挺难受的
[00:05:04 - 00:05:05] 像这种行为
[00:05:05 - 00:05:08] 带领一大帮人去耗羊毛的这种行为
[00:05:08 - 00:05:12] 在法律上有没有一些能治他的办法
[00:05:12 - 00:05:13] 这个是这样的
[00:05:13 - 00:05:14] 首先你耗羊毛
[00:05:15 - 00:05:18] 他价格标到什么程度
[00:05:18 - 00:05:19] 你看首先咱们讲
[00:05:19 - 00:05:20] PCC
[00:05:21 - 00:05:23] 比如说有一个平台
[00:05:23 - 00:05:26] 他现在他就是腰带就卖一块钱
[00:05:26 - 00:05:27] 你给他一块钱
[00:05:27 - 00:05:29] 他真的给你发一根腰带
[00:05:29 - 00:05:31] 确实是有的时候
[00:05:31 - 00:05:33] 就是我假如我看到这个东西
[00:05:33 - 00:05:34] 我就可能会问他客服
[00:05:34 - 00:05:37] 我说真一块钱吗
[00:05:37 - 00:05:38] 他说真一块钱
[00:05:38 - 00:05:40] 就是他是他自己做广告的
[00:05:40 - 00:05:41] 这种情况
[00:05:41 - 00:05:43] 那么不存在重大误解
[00:05:43 - 00:05:44] 对不对
[00:05:44 - 00:05:45] 然后呢
[00:05:45 - 00:05:48] 那个800块钱那个电脑的
[00:05:48 - 00:05:51] 因为他当时就是参加了京东的秒杀活动
[00:05:51 - 00:05:53] 什么叫秒杀活动
[00:05:53 - 00:05:54] 就是低价秒杀
[00:05:54 - 00:05:54] 对
[00:05:54 - 00:05:56] 那么这种情况下
[00:05:56 - 00:05:57] 我是有信赖利益的
[00:05:57 - 00:05:59] 你说你是秒杀活动
[00:05:59 - 00:06:00] 那我800块秒了个主题
[00:06:00 - 00:06:02] 因为我理解的秒杀就是应该
[00:06:02 - 00:06:04] 要低很多
[00:06:04 - 00:06:04] 对不对
[00:06:04 - 00:06:06] 但是我们看我看了一下
[00:06:06 - 00:06:07] 特意翻了一下资料
[00:06:07 - 00:06:09] 前一阶段那个耗油毛那个是
[00:06:09 - 00:06:13] 举字26块钱4500斤
[00:06:13 - 00:06:14] 对
[00:06:14 - 00:06:18] 所以就说像电脑的这个
[00:06:18 - 00:06:20] 它后来就是人家这个平台说
[00:06:20 - 00:06:22] 你说你是弄错了
[00:06:22 - 00:06:24] 但是800块是完全有可能的
[00:06:24 - 00:06:26] 而且他也确实也只有两台
[00:06:26 - 00:06:27] 只拍到了两台
[00:06:27 - 00:06:30] 那么所以他最后是要求他平台
[00:06:30 - 00:06:31] 要求他给人发了
[00:06:31 - 00:06:33] 因为你800块钱是有可能的
[00:06:33 - 00:06:35] 因为你是秒杀活动
[00:06:35 - 00:06:36] 但是现在你刚讲这个
[00:06:36 - 00:06:37] 我刚就想问你这个细节
[00:06:37 - 00:06:39] 26块钱4500斤
[00:06:39 - 00:06:39] 对
[00:06:39 - 00:06:42] 26块钱4500斤
[00:06:42 - 00:06:44] 可以吗
[00:06:44 - 00:06:45] 不可能对不对
[00:06:45 - 00:06:47] 所以据说那个家伙
[00:06:47 - 00:06:49] 在号召粉丝们去的时候
[00:06:49 - 00:06:50] 并不是说
[00:06:50 - 00:06:52] 同志们有一块钱的皮带了
[00:06:52 - 00:06:53] 大家去抢一块钱的皮带吧
[00:06:53 - 00:06:56] 不是同志们那个家伙搞错了
[00:06:56 - 00:06:57] 我们去害他吧
[00:06:57 - 00:07:00] 然后等他先到先得
[00:07:00 - 00:07:01] 但是他不是让他得局子
[00:07:01 - 00:07:03] 叫凭自己的本事占便宜
[00:07:03 - 00:07:04] 他不是让他得局子
[00:07:04 - 00:07:07] 他说你去你去给他下单
[00:07:07 - 00:07:10] 然后他怎么可能给你发四千五百斤局子
[00:07:10 - 00:07:11] 吗发不出来
[00:07:11 - 00:07:13] 你就去平台投诉他
[00:07:13 - 00:07:15] 一投诉他就要赔你400块钱
[00:07:15 - 00:07:18] 咱们去挣他那400块钱
[00:07:19 - 00:07:21] 他是说就说跟您那个还不一样
[00:07:21 - 00:07:22] 像您那个就说
[00:07:22 - 00:07:25] 我觉得这个皮带一块钱
[00:07:25 - 00:07:26] 我到底他这么便宜
[00:07:26 - 00:07:29] 我到底是真的是假的对吧
[00:07:29 - 00:07:29] 先把还问人家一句
[00:07:29 - 00:07:32] 他就知道他是弄错了
[00:07:32 - 00:07:33] 发不出货
[00:07:33 - 00:07:38] 他就是要去挣他的伪约金赔偿
[00:07:38 - 00:07:40] 那么像这种人说实话
[00:07:40 - 00:07:43] 我们说从道德上讲是非常的恶劣的
[00:07:43 - 00:07:46] 因为明显你就知道他是搞错了
[00:07:46 - 00:07:49] 然后你利用他的错误来发财
[00:07:49 - 00:07:51] 而且你知道现在有个什么问题
[00:07:51 - 00:07:53] 过去你比如说咱们以前发生过说有一个
[00:07:53 - 00:07:56] 大大的那个日本的一个钢琴店吧
[00:07:56 - 00:07:59] 有一个钢琴这个标错了
[00:07:59 - 00:08:01] 比如说应该是标这个
[00:08:02 - 00:08:03] 咱们就说人民币吧
[00:08:03 - 00:08:04] 本来应该标五万人民币
[00:08:04 - 00:08:06] 标了个五千人民币
[00:08:06 - 00:08:07] 但是它只有一台呀
[00:08:07 - 00:08:10] 然后那老太太看见就说我就要这一台
[00:08:10 - 00:08:11] 我别的我都不要
[00:08:11 - 00:08:12] 我就要这一台五千块的
[00:08:12 - 00:08:13] 后来商家同意了对吧
[00:08:13 - 00:08:14] 就为自己的错误买单
[00:08:14 - 00:08:16] 那只有一台
[00:08:16 - 00:08:16] 而且的话
[00:08:16 - 00:08:17] 我觉得像他这种错误
[00:08:17 - 00:08:20] 商家他是能所谓成的住的
[00:08:20 - 00:08:21] 成的住
[00:08:21 - 00:08:22] 但是如果说你说要几十万的
[00:08:22 - 00:08:25] 他那个一下子搞下来就几千人
[00:08:25 - 00:08:26] 几万人去拍
[00:08:26 - 00:08:28] 这个因为网上那个东西他没有限制
[00:08:28 - 00:08:29] 滑一下就去了
[00:08:29 - 00:08:30] 几万人
[00:08:30 - 00:08:32] 你就真的撑不住
[00:08:32 - 00:08:34] 但是
[00:08:34 - 00:08:38] 这种你如果从法律上要惩罚他
[00:08:38 - 00:08:40] 你还惩罚不了他
[00:08:40 - 00:08:41] 还惩罚不了他
[00:08:41 - 00:08:43] 因为你叫我来拍
[00:08:43 - 00:08:44] 我就拍了
[00:08:44 - 00:08:45] 然后你给不了我
[00:08:45 - 00:08:47] 你就要这个
[00:08:47 - 00:08:48] 你要给我赔钱
[00:08:48 - 00:08:50] 人要为自己的错误买单
[00:08:50 - 00:08:53] 就说这个羊毛党的这个主人
[00:08:53 - 00:08:55] 就是这个号召大家号羊毛这个家伙
[00:08:55 - 00:08:56] 非常非常恶劣
[00:08:56 - 00:08:58] 我们要承认他非常恶劣
[00:08:58 - 00:09:01] 他从他到的上是有问题的
[00:09:01 - 00:09:03] 但是你从法律上他没有错
[00:09:03 - 00:09:06] 那么现在要解决的办法是怎么解决的
[00:09:06 - 00:09:08] 就是这个农民
[00:09:08 - 00:09:11] 他可以去向法院申请说
[00:09:11 - 00:09:14] 我的这个
[00:09:14 - 00:09:15] 我的这个是出于记得重大误解
[00:09:15 - 00:09:18] 您看我不可能26块钱给人卖4500斤橘子
[00:09:18 - 00:09:19] 这根本不可能吧
[00:09:19 - 00:09:21] 这个肯定是错了
[00:09:21 - 00:09:22] 我要求这是一个重大物业
[00:09:22 - 00:09:24] 请您把我们这个合同撤销
[00:09:24 - 00:09:27] 就是说认为所有的合同都不成立
[00:09:27 - 00:09:28] 都不成立
[00:09:28 - 00:09:33] 那么我就不用再给人家发这些货了
[00:09:33 - 00:09:33] 对
[00:09:33 - 00:09:35] 所以说的话我觉得为什么说
[00:09:35 - 00:09:36] 但是问题是什么
[00:09:36 - 00:09:37] 你知道吗
[00:09:37 - 00:09:39] 你等不到到法院去的时候
[00:09:39 - 00:09:41] 这个店就废了
[00:09:41 - 00:09:44] 因为他当时平台就有那种规定
[00:09:44 - 00:09:45] 人家一投诉就要给人家钱
[00:09:45 - 00:09:46] 一投诉
[00:09:46 - 00:09:47] 合时你发不了货
[00:09:47 - 00:09:48] 就要给人家一投诉就要给钱
[00:09:48 - 00:09:51] 然后把他的据说是把他的保证金全部给他搞干净了
[00:09:51 - 00:09:52] 对
[00:09:52 - 00:09:53] 就这个店就只有关门大致
[00:09:53 - 00:09:54] 10万块钱
[00:09:55 - 00:09:55] 对
[00:09:55 - 00:09:57] 所以说我觉得就是大家平时呢
[00:09:57 - 00:09:59] 第一就是做事情真的要小心啊
[00:09:59 - 00:09:59] 对对对
[00:09:59 - 00:10:01] 因为这种错误可能大家都是
[00:10:01 - 00:10:03] 而且我觉得你像他这种错误呢
[00:10:03 - 00:10:08] 就是他正常来讲是这个叫我看正常来讲是这个
[00:10:08 - 00:10:12] 原来的价格好像是26块钱10
[00:10:12 - 00:10:12] 26块钱10
[00:10:12 - 00:10:14] 你怎么表演
[00:10:14 - 00:10:16] 我觉得10和4500
[00:10:16 - 00:10:18] 他说本来是个4500克
[00:10:20 - 00:10:21] 是个4500克
[00:10:21 - 00:10:22] 4500克不就9斤吗
[00:10:22 - 00:10:22] 9斤
[00:10:23 - 00:10:25] 4500克搞成了4500斤
[00:10:25 - 00:10:25] 对
[00:10:25 - 00:10:26] 然后的话
[00:10:26 - 00:10:28] 我觉得大家做事一刀小心一点
[00:10:28 - 00:10:28] 另外的话
[00:10:28 - 00:10:29] 我真的就觉得
[00:10:29 - 00:10:32] 为什么说我们就一直可能都做了一年了
[00:10:32 - 00:10:33] 我们这个节目
[00:10:33 - 00:10:35] 就是为什么再给大家讲这种
[00:10:35 - 00:10:37] 看起来平时好像大家用不上
[00:10:37 - 00:10:40] 但是真的某些人群
[00:10:40 - 00:10:42] 他真的会用得上
[00:10:42 - 00:10:44] 因为我觉得你像这种东西
[00:10:44 - 00:10:48] 如果说你发现的及时也好
[00:10:48 - 00:10:50] 或者说是你及时跟平台申诉也好
[00:10:50 - 00:10:51] 或者怎样也好
[00:10:51 - 00:10:54] 我相信很多平台都是为了保护商家
[00:10:54 - 00:10:56] 也同时保护消费者
[00:10:56 - 00:10:58] 平台是奖励的
[00:10:58 - 00:11:02] 比如说后来我了解到的最后的结果
[00:11:02 - 00:11:07] 是号召自己的粉丝去换毛的大V
[00:11:07 - 00:11:08] 他所在的那个平台
[00:11:09 - 00:11:10] 你不是站出来的
[00:11:10 - 00:11:12] 你不是说法律治不良
[00:11:12 - 00:11:14] 但是你在我这个平台上
[00:11:14 - 00:11:15] 你想成为大为
[00:11:15 - 00:11:17] 你的道德就不能
[00:11:17 - 00:11:18] 就不过关
[00:11:18 - 00:11:20] 你必须得去深刻反省
[00:11:20 - 00:11:21] 所以我相信
[00:11:21 - 00:11:24] 即使说你中间可能做错的事情
[00:11:24 - 00:11:25] 可能发生了误会
[00:11:25 - 00:11:27] 可能用法律的手段
[00:11:27 - 00:11:29] 有想办法就保护自己
[00:11:29 - 00:11:30] 也要相信这些平台
[00:11:30 - 00:11:34] 我觉得像咱们国家电商的环境这么好
[00:11:34 - 00:11:35] 包括我们现在在买东西的时候
[00:11:35 - 00:11:38] 经常用网络去购买这样的东西
[00:11:38 - 00:11:39] 有这么多电商平台
[00:11:39 - 00:11:41] 我相信这些电商平台
[00:11:41 - 00:11:44] 也一定会秉着一个公正的心态
[00:11:44 - 00:11:48] 去同时保护消费和商家的利益
[00:11:48 - 00:11:50] 在这个耗用毛的事情当中
[00:11:50 - 00:11:52] 我觉得平台做的都非常的好
[00:11:52 - 00:11:55] 在这两个案子当中平台做的都非常的好
[00:11:55 - 00:12:01] 所以说总之就是希望大家真的不要去想办法去占这种便宜
[00:12:01 - 00:12:05] 那么作为商家在你能承受的力量分出之内
[00:12:05 - 00:12:09] 那你要学会为自己的做错的事情来
[00:12:09 - 00:12:13] 另外商家要知道重大误解这个条款
[00:12:13 - 00:12:15] 如果确实出了这样的事情
[00:12:15 - 00:12:17] 那么你第一时间向平台投诉
[00:12:17 - 00:12:19] 向平台申诉
[00:12:19 - 00:12:22] 表示自己确实是一个重大误解
[00:12:22 - 00:12:24] 然后可以保留你的店铺
[00:12:24 - 00:12:27] 对,用法律的误题来保护自己
[00:12:27 - 00:12:28] 可以继续经营
[00:12:28 - 00:12:30] 好,我们感谢杨老师本期
[00:12:30 - 00:12:31] 跟我们分享的这么多内容
[00:12:31 - 00:12:32] 本期节目就是这样
[00:12:32 - 00:12:33] 咱们下期节目再见
[00:12:33 - 00:12:34] 谢谢大家
