BV号：BV1TJ411Q7mN
标题：BV1TJ411Q7mN
链接：https://www.bilibili.com/video/BV1TJ411Q7mN
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-04-04 05:07:51

[00:00:02 - 00:00:05] 欢迎收看
[00:04:26 - 00:04:28] 是人是鬼都能干运营
[00:04:28 - 00:04:30] 什么都是人是鬼都能干运营
[00:04:30 - 00:04:30] 我发现
[00:04:30 - 00:04:32] 我发现来我们这个节目的嘉宾
[00:04:32 - 00:04:34] 除了
[00:04:34 - 00:04:36] 除了几个特别专业的
[00:04:36 - 00:04:37] 然后的话
[00:04:37 - 00:04:38] 人都说是人是鬼都能干
[00:04:38 - 00:04:40] 你看前面那种开飞机的来说
[00:04:40 - 00:04:42] 我们开飞机看起来说这话就行
[00:04:42 - 00:04:44] 然后前面又有一个空姐说
[00:04:44 - 00:04:45] 哎你长得别吓人就行
[00:04:45 - 00:04:46] 对吧
[00:04:46 - 00:04:46] 然后的话
[00:04:46 - 00:04:48] 摄影师说你看啊
[00:04:48 - 00:04:49] 你这个你只要喜欢就行
[00:04:49 - 00:04:49] 对
[00:04:49 - 00:04:50] 然后的话呢
[00:04:50 - 00:04:52] 这个打篮球那个你爱好就行
[00:04:52 - 00:04:52] 对吧
[00:04:52 - 00:04:53] 然后当主持人
[00:04:53 - 00:04:54] 我们那个行业没有门槛
[00:04:54 - 00:04:56] 你这个又来一个门槛了
[00:04:56 - 00:04:57] 干啥都没门槛是吧
[00:04:57 - 00:04:58] 你可以说他没有门槛
[00:04:58 - 00:05:00] 但是你要干好要求特别高
[00:05:00 - 00:05:02] 那你要是刚刚写的时候
[00:05:02 - 00:05:06] 比如说我是一个出刚入职场的一个学生
[00:05:06 - 00:05:08] 哎我看你个公司一般多高
[00:05:08 - 00:05:09] 呃
[00:05:10 - 00:05:10] 悄悄的是吧
[00:05:10 - 00:05:11] 嗯
[00:05:11 - 00:05:11] 最低的
[00:05:11 - 00:05:12] 对
[00:05:12 - 00:05:13] 低的
[00:05:13 - 00:05:14] 就是就是我们我们
[00:05:14 - 00:05:16] 我们行业内都会这么说
[00:05:16 - 00:05:18] 产品工程师还有算法
[00:05:18 - 00:05:20] 所谓的这些包括市场
[00:05:20 - 00:05:21] 他们都比我们高
[00:05:21 - 00:05:22] 嗯
[00:05:22 - 00:05:23] 所以这就是为什么说
[00:05:23 - 00:05:25] 最低大是你有几个例子
[00:05:25 - 00:05:28] 你说人家人家做产品经理需要做功能力强
[00:05:28 - 00:05:29] 对不对
[00:05:29 - 00:05:30] 那人家做算法的
[00:05:30 - 00:05:31] 就需要你学那专业
[00:05:31 - 00:05:32] 对对对对
[00:05:32 - 00:05:33] 你成训你得学那专业
[00:05:33 - 00:05:35] 但是你这个你刚才说的
[00:05:35 - 00:05:36] 是人是鬼都行我是鬼
[00:05:36 - 00:05:37] 是吧
[00:05:37 - 00:05:38] 哈哈哈哈
[00:05:38 - 00:05:39] 那你第一对吧
[00:05:39 - 00:05:41] 你又让我干空姐的
[00:05:41 - 00:05:43] 有让我当这个这个师师
[00:05:43 - 00:05:43] 这个师师的
[00:05:43 - 00:05:45] 还有让我干主持人的
[00:05:45 - 00:05:45] 对
[00:05:45 - 00:05:47] 前两天少老师让我们干主持人
[00:05:47 - 00:05:47] 对吧
[00:05:47 - 00:05:49] 你这个我来让我干运营的
[00:05:49 - 00:05:50] 你这个运营大概
[00:05:50 - 00:05:52] 就是如果说像额厂吧
[00:05:52 - 00:05:54] 额厂刚入职的运营大概
[00:05:55 - 00:05:56] 一般来说
[00:05:56 - 00:05:57] 就校园照聘景了的
[00:05:57 - 00:05:59] 应该是8000以上吧
[00:05:59 - 00:06:00] 就是有一个基本公司
[00:06:00 - 00:06:02] 但是都是加了基本公司那条线
[00:06:02 - 00:06:02] 我知道
[00:06:02 - 00:06:04] 那你要额厂以外的呢
[00:06:04 - 00:06:05] 额厂哪进
[00:06:05 - 00:06:06] 对吧
[00:06:06 - 00:06:07] 那就多了
[00:06:07 - 00:06:09] 我见过有拿34000
[00:06:09 - 00:06:10] 5 6000的
[00:06:10 - 00:06:12] 然后有有的是
[00:06:12 - 00:06:13] 基本上不会特别高
[00:06:13 - 00:06:15] 因为他跟产品和技术等
[00:06:15 - 00:06:16] 他没事有一定差别的
[00:06:16 - 00:06:17] 对吧
[00:06:17 - 00:06:18] 那你想比如说
[00:06:18 - 00:06:19] 我又不会技术
[00:06:19 - 00:06:20] 我又不会产品
[00:06:20 - 00:06:20] 对吧
[00:06:20 - 00:06:24] 那我可能想来咱们公司去带运营
[00:06:24 - 00:06:24] 那我得去
[00:06:24 - 00:06:27] 就九个例子
[00:06:27 - 00:06:27] 我们也是
[00:06:27 - 00:06:30] 你来面试我
[00:06:30 - 00:06:31] 你怎么判的出来
[00:06:31 - 00:06:32] 我到底能不能干
[00:06:32 - 00:06:34] 我就分几个
[00:06:34 - 00:06:37] 就是现在常用的那些运营的岗位
[00:06:37 - 00:06:38] 第一是内容运营
[00:06:38 - 00:06:39] 内容运营
[00:06:39 - 00:06:42] 那我基本上要确定你的文字工底是有的
[00:06:42 - 00:06:43] 你看
[00:06:43 - 00:06:45] 不管是人是鬼
[00:06:45 - 00:06:46] 文字工底得有
[00:06:46 - 00:06:47] 来
[00:06:47 - 00:06:48] 文字農底其实很简单
[00:06:48 - 00:06:53] 比如说你要能判别一个内容的好坏
[00:06:53 - 00:06:56] 当然这个是会有一系列培训培训你的
[00:06:56 - 00:06:59] 但是如果你就是说你都搞不清楚
[00:06:59 - 00:07:00] 比如说我要让你去换个标题
[00:07:00 - 00:07:02] 这个标题不太好
[00:07:02 - 00:07:03] 我们换个标题
[00:07:03 - 00:07:06] 就是文案能力是需要的
[00:07:06 - 00:07:08] 然后第二个就是说
[00:07:08 - 00:07:10] 比如说我们在举个例子说活动策划
[00:07:10 - 00:07:12] 活动运营
[00:07:12 - 00:07:13] 比如说我最近就在招这个
[00:07:13 - 00:07:16] 那你活动运营最核心的是什么呢
[00:07:16 - 00:07:18] 你要知道市民上的玩法呀
[00:07:18 - 00:07:21] 或者说你至少是在这一块领域
[00:07:21 - 00:07:22] 你是非常活跃的
[00:07:22 - 00:07:24] 你不一定能想得出来
[00:07:24 - 00:07:25] 但是你玩过
[00:07:25 - 00:07:26] 你参与过
[00:07:26 - 00:07:28] 比如说什么粉丝会
[00:07:28 - 00:07:28] 是吧
[00:07:28 - 00:07:29] 对
[00:07:29 - 00:07:29] 然后的话
[00:07:29 - 00:07:31] 你比如说其他的活动
[00:07:31 - 00:07:31] 我参与过
[00:07:31 - 00:07:33] 然后比如说我举个例子
[00:07:33 - 00:07:35] 你看咱们这个微信有这个国旗
[00:07:35 - 00:07:36] 我觉得原来微博
[00:07:36 - 00:07:39] 经常有那种爱台一会发个什么东西
[00:07:39 - 00:07:39] 对吧
[00:07:39 - 00:07:40] 对
[00:07:40 - 00:07:40] 你说我参与过
[00:07:40 - 00:07:42] 你觉得那种玩法更好
[00:07:42 - 00:07:43] 然后的话
[00:07:43 - 00:07:44] 你没有自己的想法
[00:07:44 - 00:07:45] 我拿着我看一下
[00:07:45 - 00:07:45] 是吧
[00:07:45 - 00:07:48] 还有像刚刚您提到的新媒体运营
[00:07:48 - 00:07:53] 那我基本上就会有除了刚刚说的那些基础的技能
[00:07:53 - 00:07:59] 如果会打动我的是它有一个在知名平台的固定更新的账号
[00:07:59 - 00:08:02] 你比如说小红书或者说微信公
[00:08:02 - 00:08:03] 你粉丝上都好无所谓
[00:08:03 - 00:08:04] 但是你要固定更新
[00:08:04 - 00:08:07] 就是比如说你每周有更新
[00:08:07 - 00:08:10] 或者说你甚至你能做到二两三天就有更新
[00:08:10 - 00:08:12] 这个是考验的是什么呢
[00:08:12 - 00:08:14] 考验的是说你对平台的了解
[00:08:14 - 00:08:15] 你对这个行业的了解
[00:08:15 - 00:08:16] 你写的有多好
[00:08:16 - 00:08:17] 这些事情不重要
[00:08:17 - 00:08:19] 包括你理解的程度
[00:08:19 - 00:08:19] 对吧
[00:08:19 - 00:08:20] 我举个例子
[00:08:20 - 00:08:21] 可能说你在这个平台上
[00:08:21 - 00:08:22] 你去发一个视频
[00:08:22 - 00:08:24] 你可能没有那么多粉丝量
[00:08:24 - 00:08:26] 你可能是没太了解平台的玩法
[00:08:26 - 00:08:27] 但是你有你自己的想法
[00:08:27 - 00:08:28] 这个就很重要
[00:08:28 - 00:08:30] 我只需要把你的想法给改一下就好
[00:08:30 - 00:08:31] 是的
[00:08:31 - 00:08:34] 就是你只要是在这个里面进行过思考
[00:08:34 - 00:08:37] 因为我经常就是去面试的时候
[00:08:37 - 00:08:38] 比如说赵新媒体运营
[00:08:38 - 00:08:41] 他说你看我在学校里面
[00:08:41 - 00:08:42] 我是个记者
[00:08:42 - 00:08:43] 就是有学中文的
[00:08:43 - 00:08:44] 学习文他会过来
[00:08:44 - 00:08:46] 但我从来不查评
[00:08:46 - 00:08:47] 对 然后但是当你问
[00:08:47 - 00:08:49] 就说你有公众号没有
[00:08:49 - 00:08:50] 但是你看我写了很多稿子
[00:08:50 - 00:08:52] 这是一个考虑
[00:08:52 - 00:08:53] 但是比如说
[00:08:53 - 00:08:54] 当你要去面试
[00:08:54 - 00:08:55] 你要知道新媒体运营
[00:08:55 - 00:08:57] 它很可能是要做微信公众号
[00:08:57 - 00:09:00] 但是你又没有在里头有过尝试
[00:09:00 - 00:09:02] 那你肯定比那些有过尝试的人
[00:09:02 - 00:09:04] 他是有劣势的
[00:09:04 - 00:09:05] 那对我来说很简单
[00:09:05 - 00:09:06] 你都做过了
[00:09:06 - 00:09:08] 他后台也懂 对吧
[00:09:08 - 00:09:09] 所有的这些方方面面
[00:09:09 - 00:09:11] 都已经有概念了
[00:09:11 - 00:09:12] 我无非教他的就是说
[00:09:12 - 00:09:13] 怎么做得更好
[00:09:13 - 00:09:15] 而不是说我要从零开始告诉你
[00:09:15 - 00:09:16] 微信公众号是什么
[00:09:16 - 00:09:18] 这个怎么发文
[00:09:18 - 00:09:19] 有哪些竞技
[00:09:19 - 00:09:21] 那就这个就是烈声的
[00:09:21 - 00:09:24] 好那我再替同学们问最后一个问题
[00:09:24 - 00:09:27] 你看你刚才就是你是额场的
[00:09:27 - 00:09:29] 重新说一下你的那个title
[00:09:29 - 00:09:32] 我是腾讯的社群阴影总监
[00:09:32 - 00:09:33] 好社群阴影总监
[00:09:33 - 00:09:36] 那如果说假如说有一天我干到你
[00:09:36 - 00:09:40] 因为我看曹老师关键是年龄也不大很年轻啊
[00:09:40 - 00:09:42] 这个你看年龄轻轻啊
[00:09:42 - 00:09:43] 干擔了运营总监啊
[00:09:43 - 00:09:45] 那如果说我在想往上走一步的话
[00:09:45 - 00:09:48] 我在直接发展可能会到什么样
[00:09:48 - 00:09:50] 那您是指我这个位置还是说普通
[00:09:50 - 00:09:52] 就是你普通我就知道
[00:09:52 - 00:09:54] 就是你这个位置就是我未来的发展能招
[00:09:54 - 00:09:54] 对吧
[00:09:54 - 00:09:56] 那你到你这个位置以后的话
[00:09:56 - 00:09:58] 我在往后发展大概是一个什么能招
[00:09:58 - 00:10:01] 这里面其实会分几条线
[00:10:01 - 00:10:02] 就比如说腾讯
[00:10:02 - 00:10:03] 腾讯是分两条线的
[00:10:03 - 00:10:05] 腾讯是专业线
[00:10:05 - 00:10:06] 就比如说我现在
[00:10:06 - 00:10:08] 我当然现在公司做了调整
[00:10:08 - 00:10:10] 我在调整之前
[00:10:10 - 00:10:11] 我是专家级的运营
[00:10:11 - 00:10:13] 就是實際上我是4-1
[00:10:13 - 00:10:15] 就是怎麼說呢
[00:10:15 - 00:10:17] 大公司一般都會有兩條線
[00:10:17 - 00:10:19] 一條線是鼓勵你往專業方向去走
[00:10:19 - 00:10:21] 就是你一直資深啊
[00:10:21 - 00:10:22] 或者說是大拿
[00:10:22 - 00:10:24] 然後一直可以讓你去
[00:10:24 - 00:10:26] 在專業線裡面去操作
[00:10:26 - 00:10:27] 因為很多人他不適合做管理
[00:10:27 - 00:10:29] 就比如說如果我覺得
[00:10:29 - 00:10:30] 我就是一直想幹活
[00:10:30 - 00:10:33] 我就一直想在裡面去做這些業務
[00:10:33 - 00:10:34] 那我可以走專業線
[00:10:34 - 00:10:35] 可你都總結了
[00:10:35 - 00:10:36] 你還在我專業線走
[00:10:36 - 00:10:37] 還能走那麼遠
[00:10:37 - 00:10:37] 可以啊
[00:10:37 - 00:10:40] 我們現在公司有17級
[00:10:40 - 00:10:41] 我現在是12級
[00:10:41 - 00:10:43] 就如果啊 还可以升级
[00:10:43 - 00:10:45] 对 如果 但是现在腾讯的直接是这样的
[00:10:45 - 00:10:47] 总监就已经不走专业级了
[00:10:47 - 00:10:49] 然后就走管理级了
[00:10:49 - 00:10:52] 有可能就是说如果我还能再往上走的话
[00:10:52 - 00:10:55] 那可能是助总 副总 然后总经理
[00:10:55 - 00:10:57] 然后当然这是美好的愿望
[00:10:57 - 00:10:59] 这是比较难的
[00:10:59 - 00:11:01] 行 好 反正我们感谢苍老师
[00:11:01 - 00:11:03] 我们介绍了运营
[00:11:03 - 00:11:04] 因为原来我觉得运营
[00:11:04 - 00:11:05] 两个字就是
[00:11:05 - 00:11:07] 因为我其实做自媒体的话
[00:11:07 - 00:11:08] 我可能对端运营比较了解
[00:11:08 - 00:11:10] 但是可能对端的运营
[00:11:10 - 00:11:12] 其他的方式可能不是那么特别的懂
[00:11:12 - 00:11:14] 所以说因为最近有很多同学
[00:11:14 - 00:11:17] 他平时可能去刷这个微博微信
[00:11:17 - 00:11:19] 还有微博微信公众号
[00:11:19 - 00:11:20] 就是两位一懂
[00:11:20 - 00:11:20] 对吧
[00:11:20 - 00:11:21] 他可能刷的比较多
[00:11:21 - 00:11:22] 他也想做运营
[00:11:22 - 00:11:23] 但是不是很了解
[00:11:23 - 00:11:25] 所以我们这期把你请过来
[00:11:25 - 00:11:27] 搞笑大家运营到底是怎么回事
[00:11:27 - 00:11:28] 反正希望我们这期节目
[00:11:28 - 00:11:31] 对于那些想做运营的朋友们
[00:11:31 - 00:11:32] 能够提供一些帮助
[00:11:32 - 00:11:33] 好吧
[00:11:33 - 00:11:34] 那我们本期节目就是这样
[00:11:34 - 00:11:35] 咱们下期节目再见
[00:11:35 - 00:11:36] 谢谢
[00:11:37 - 00:11:39] 整个大体大盘的这样一个分布
[00:11:39 - 00:11:43] 我们来看就是这里的市场其实是比较大的
[00:11:43 - 00:11:46] 所以我们进行了一些尝试
[00:11:46 - 00:11:47] 比方说像Safe
[00:11:47 - 00:11:50] 还有包括像英雄联盟
[00:11:50 - 00:11:51] 这两个非常典型的
[00:11:51 - 00:11:53] 通过这个地方去做这样一个尝试
