BV号：BV1uJ411K7H3
标题：BV1uJ411K7H3
链接：https://www.bilibili.com/video/BV1uJ411K7H3
识别语言：zh
语言置信度：1
分段数：331
生成时间：2026-04-04 06:59:55

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 欢迎大家收看本期的法律其实很好玩
[00:03:45 - 00:03:48] 那么他这个是还是道歉吗
[00:03:49 - 00:03:53] 首先银行的工作人应该是也看不到密码
[00:03:53 - 00:03:54] 对
[00:03:54 - 00:03:55] 这个咱们不太了解
[00:03:55 - 00:03:56] 就说应该是说
[00:03:56 - 00:03:57] 他们只能采取那种重置的方案
[00:03:57 - 00:03:58] 对
[00:03:58 - 00:03:59] 他们应该不能假设
[00:03:59 - 00:04:01] 他是通过他的职务
[00:04:01 - 00:04:03] 得到了这个他是管理的
[00:04:03 - 00:04:03] 也能看到密码
[00:04:03 - 00:04:05] 也能看到账户
[00:04:05 - 00:04:06] 然后直接从人家账上把钱
[00:04:06 - 00:04:07] 就直接可以扣走的
[00:04:07 - 00:04:09] 就直接可以转到其他地方去
[00:04:09 - 00:04:10] 这个就是贪污了
[00:04:10 - 00:04:11] 这个就是贪污了
[00:04:11 - 00:04:12] 是吧
[00:04:12 - 00:04:13] 因为这个案子当时就是说
[00:04:13 - 00:04:14] 网络就是以为
[00:04:14 - 00:04:15] 才自己的贪污
[00:04:15 - 00:04:18] 他贪污如果像贪污12万这么多
[00:04:18 - 00:04:20] 那大概判几年了
[00:04:20 - 00:04:21] 咱们现在是这样
[00:04:21 - 00:04:23] 2016年
[00:04:23 - 00:04:24] 2016年之后呢
[00:04:24 - 00:04:25] 我们最高人民法院和最高门检察院
[00:04:25 - 00:04:27] 联合出了一个司法解释
[00:04:27 - 00:04:30] 大幅度的提高了贪污数
[00:04:30 - 00:04:33] 或者是降低了贪污的量行
[00:04:33 - 00:04:34] 现在的贪污12万
[00:04:34 - 00:04:37] 属于3万以上不满20万的
[00:04:37 - 00:04:40] 那么是三年以下的有期徒刑
[00:04:40 - 00:04:41] 三年以下
[00:04:41 - 00:04:42] 对
[00:04:42 - 00:04:44] 贪污12万是三年以下
[00:04:44 - 00:04:44] 对
[00:04:44 - 00:04:47] 而且我记得我们在之前做节目的时候
[00:04:47 - 00:04:47] 还说过
[00:04:47 - 00:04:49] 就是如果说他出犯
[00:04:49 - 00:04:51] 或者说他有良好
[00:04:51 - 00:04:53] 甚至三年以下还有可能
[00:04:53 - 00:04:54] 缓行
[00:04:54 - 00:04:54] 对
[00:04:54 - 00:04:55] 那他如果像12万
[00:04:55 - 00:04:58] 他提出这个按的判的时候按斗戒判的
[00:04:58 - 00:04:59] 对
[00:04:59 - 00:05:01] 他斗戒的话是12万是
[00:05:02 - 00:05:03] 斗戒是这样的
[00:05:03 - 00:05:05] 斗戒3000块以上构成犯罪
[00:05:05 - 00:05:07] 有的省是2000
[00:05:07 - 00:05:08] 比如像青海就是2000
[00:05:08 - 00:05:09] 横洲就是3000
[00:05:09 - 00:05:10] 全国你自己定
[00:05:10 - 00:05:11] 2000 3000
[00:05:11 - 00:05:13] 那么是3000
[00:05:13 - 00:05:15] 咱们按高3000以上构成犯罪
[00:05:15 - 00:05:18] 然后数额较大的标准是5万到8万
[00:05:18 - 00:05:19] 也就是最高是8万
[00:05:20 - 00:05:22] 那么8万以下3年以下
[00:05:22 - 00:05:24] 如果8万以上就是3到
[00:05:25 - 00:05:26] 10年
[00:05:26 - 00:05:27] 3到10年
[00:05:27 - 00:05:29] 那像如果说他按道歉罪判的话
[00:05:30 - 00:05:31] 他一定是判到三年以上
[00:05:31 - 00:05:33] 三年以上的话肯定就是
[00:05:33 - 00:05:34] 也不可能缓行
[00:05:34 - 00:05:35] 你得去对年预讯了
[00:05:35 - 00:05:39] 就一般不会有但是呢三年整还有可能判缓行
[00:05:39 - 00:05:39] 三年整
[00:05:40 - 00:05:42] 如果他把钱都都退还了
[00:05:42 - 00:05:43] 他就特别好也有可能
[00:05:44 - 00:05:44] 也有可能
[00:05:44 - 00:05:45] 但是呢
[00:05:45 - 00:05:47] 就像就不像那个那么容易了
[00:05:47 - 00:05:48] 他俩因为差了一个量刑档次
[00:05:48 - 00:05:51] 对像这家伙的你缺点法律还想跑
[00:05:51 - 00:05:53] 这些的对吧
[00:05:53 - 00:05:55] 那像本案当中这个王某还
[00:05:55 - 00:05:58] 他自己伪造了一个存在给他的男朋友
[00:05:58 - 00:06:00] 让他男朋友去帮他取钱
[00:06:00 - 00:06:02] 那他男朋友明明知道
[00:06:02 - 00:06:05] 这个钱是王某通过
[00:06:05 - 00:06:08] 这个实际上是盗窃的罪行
[00:06:08 - 00:06:10] 罪行来弄出来的
[00:06:10 - 00:06:12] 他还去取
[00:06:12 - 00:06:14] 那他是不是要构成购通犯罪
[00:06:14 - 00:06:15] 非常好
[00:06:15 - 00:06:16] 是吧
[00:06:16 - 00:06:17] 就是他得对年约
[00:06:17 - 00:06:18] 但是他男朋友也得去
[00:06:18 - 00:06:20] 他们两个一块构成盗窃的购通犯罪
[00:06:20 - 00:06:21] 购通犯罪是吧
[00:06:21 - 00:06:23] 但是你像这个东西就是
[00:06:23 - 00:06:25] 他实际上是主动维持
[00:06:25 - 00:06:27] 然后他男朋友是受他指使
[00:06:27 - 00:06:28] 或者怎样
[00:06:28 - 00:06:30] 那他男朋友量刑会比网民轻一点吗
[00:06:31 - 00:06:32] 也可能
[00:06:32 - 00:06:33] 就是按从犯
[00:06:33 - 00:06:33] 对
[00:06:33 - 00:06:34] 就按从犯
[00:06:34 - 00:06:35] 就说
[00:06:35 - 00:06:37] 因为全部都是他搞好的
[00:06:37 - 00:06:37] 对
[00:06:37 - 00:06:39] 你只是去取一个钱而已
[00:06:39 - 00:06:40] 那么如果
[00:06:40 - 00:06:43] 如果人家他男朋友实际的请要求说
[00:06:43 - 00:06:44] 我不是很想去
[00:06:44 - 00:06:45] 他叫我去
[00:06:45 - 00:06:47] 他说我女朋友怎样怎样
[00:06:47 - 00:06:48] 说那你只是受人指使好吧
[00:06:48 - 00:06:49] 从犯
[00:06:49 - 00:06:50] 从犯是这样
[00:06:50 - 00:06:51] 应当
[00:06:51 - 00:06:53] 从轻减轻或者免除出发
[00:06:54 - 00:06:55] 但是他免除是不太可能吧
[00:06:56 - 00:06:57] 有可能会给他从轻
[00:06:57 - 00:07:00] 那我举个例子大家说我是他男朋友
[00:07:00 - 00:07:01] 比如说这个
[00:07:01 - 00:07:04] 关机问我说你怎么回事
[00:07:04 - 00:07:05] 我可不可以说是这样
[00:07:06 - 00:07:07] 网络跟我说
[00:07:07 - 00:07:08] 这个人
[00:07:08 - 00:07:09] 是我一个亲戚
[00:07:10 - 00:07:11] 或者说他一个亲戚
[00:07:11 - 00:07:13] 说他亲戚给他打了12块钱
[00:07:14 - 00:07:15] 让我帮助取出来
[00:07:15 - 00:07:19] 我就不知道他就没跟我说实话我就不知道这个钱是他
[00:07:19 - 00:07:20] 盗窃来的钱
[00:07:20 - 00:07:21] 那这个时候我把他娶了
[00:07:21 - 00:07:24] 然后这个时候他还会认定他男朋友是同他吗
[00:07:24 - 00:07:27] 如果他说我以为他跟我讲的
[00:07:27 - 00:07:29] 就说叫我去帮他娶个钱
[00:07:29 - 00:07:31] 那么他就不是犯罪
[00:07:31 - 00:07:34] 他只是帮人娶钱就不是犯罪
[00:07:34 - 00:07:37] 但是他女朋友会说什么呢
[00:07:37 - 00:07:40] 我明明告诉他就是我这个什么
[00:07:40 - 00:07:40] 对呀
[00:07:40 - 00:07:41] 所以这个时候就说
[00:07:41 - 00:07:43] 不一定能赖得过去的
[00:07:43 - 00:07:45] 不一定能赖得过去的
[00:07:45 - 00:07:45] 对对对
[00:07:45 - 00:07:48] 不一定不一定
[00:07:48 - 00:07:49] 如果确确实实
[00:07:49 - 00:07:52] 他女朋友给他讲说
[00:07:52 - 00:07:52] 这个钱呢
[00:07:52 - 00:07:55] 你去把这个钱取一下
[00:07:55 - 00:07:56] 这是我亲戚的钱
[00:07:56 - 00:07:58] 那么这个就是那个
[00:07:58 - 00:07:59] 男朋友就不能犯罪
[00:07:59 - 00:08:00] 所以你知道吗
[00:08:00 - 00:08:02] 我们经常跟学生讲什么
[00:08:02 - 00:08:05] 如果你真的爱一个人
[00:08:05 - 00:08:07] 你如果要去犯罪的话
[00:08:07 - 00:08:09] 一定不要告诉他真相
[00:08:09 - 00:08:12] 哪怕你要他给你帮忙
[00:08:12 - 00:08:13] 你也不能告诉他真相
[00:08:13 - 00:08:14] 这样
[00:08:14 - 00:08:16] 你将来就算做好自己去做
[00:08:16 - 00:08:18] 不会把他害了的
[00:08:18 - 00:08:21] 你们讲司法考试课讲法说课还讲爱情课
[00:08:21 - 00:08:22] 哈哈哈哈
[00:08:22 - 00:08:25] 谁要讲怎么保护自己的同伴
[00:08:25 - 00:08:27] 当然前提是不要去犯罪
[00:08:27 - 00:08:27] 对对对对
[00:08:27 - 00:08:28] 不要去犯罪
[00:08:28 - 00:08:29] 对对对
[00:08:29 - 00:08:30] 但如果有一天你克制不住自己
[00:08:30 - 00:08:31] 非想要去犯个罪
[00:08:32 - 00:08:34] 你最好不要拉别人去
[00:08:34 - 00:08:35] 你也知道特别简单的
[00:08:35 - 00:08:36] 我跟你讲
[00:08:36 - 00:08:36] 我说
[00:08:36 - 00:08:37] 哎张老师
[00:08:37 - 00:08:38] 我想去偷点东西
[00:08:38 - 00:08:39] 你说行
[00:08:39 - 00:08:40] 把手套戴上
[00:08:40 - 00:08:41] 为什么你看过电视
[00:08:41 - 00:08:42] 这个会留下
[00:08:42 - 00:08:43] 对对对
[00:08:43 - 00:08:44] 你只要说这一句
[00:08:44 - 00:08:45] 行戴一双手套
[00:08:45 - 00:08:46] 好了
[00:08:46 - 00:08:47] 你就是共犯
[00:08:48 - 00:08:50] 所以一般人你最好不要跟你亲别的人去说
[00:08:50 - 00:08:53] 因为你跟他说他肯定会干什么
[00:08:53 - 00:08:55] 会稍微的担心你吗
[00:08:55 - 00:08:56] 会指点一下
[00:08:56 - 00:08:57] 指点一下就是共犯
[00:08:57 - 00:08:58] 哎呦
[00:08:58 - 00:09:00] 太姐还是那句话就是
[00:09:00 - 00:09:02] 君子爱才取之有道
[00:09:02 - 00:09:03] 对吧
[00:09:03 - 00:09:05] 我们可以自己通过自己的双手努力去证
[00:09:05 - 00:09:07] 何必想这些玩没写道
[00:09:07 - 00:09:07] 对吧
[00:09:07 - 00:09:09] 咱不管是贪污还是道歉
[00:09:09 - 00:09:10] 总之你就是犯罪
[00:09:10 - 00:09:12] 你该为你的这种犯罪行为
[00:09:12 - 00:09:15] 付出一些相应的代价
[00:09:15 - 00:09:15] 对
[00:09:15 - 00:09:16] 必须要付出代价
[00:09:16 - 00:09:16] 对
[00:09:16 - 00:09:18] 所以说的话我们今天
[00:09:18 - 00:09:20] 包括我们做这么多期这个抚法节目
[00:09:20 - 00:09:23] 其实目的的话就是希望大家能够去懂法
[00:09:23 - 00:09:23] 了解法
[00:09:24 - 00:09:25] 不要以为你做的那点事
[00:09:25 - 00:09:26] 懂法手法
[00:09:27 - 00:09:28] 对你不要以为那点事咱
[00:09:29 - 00:09:29] 制不了你
[00:09:30 - 00:09:30] 对对对
[00:09:30 - 00:09:31] 这个话说得很对
[00:09:31 - 00:09:33] 制你的招多得是对吧
[00:09:34 - 00:09:35] 我只不过是提出了一种
[00:09:35 - 00:09:36] 是吧
[00:09:37 - 00:09:39] 所以杨老师你要相信我还是个好人
[00:09:39 - 00:09:40] 我是你
[00:09:40 - 00:09:43] 好那我们就感谢杨老师本期给我们带来的这么一个法律的支持点
[00:09:44 - 00:09:45] 咱们下期节目继续将会给大家来
[00:09:46 - 00:09:46] 带来更多的
[00:09:46 - 00:09:49] 法律的一些比較好玩的故事
[00:09:49 - 00:09:50] 咱們下期再見
[00:09:50 - 00:09:51] 謝謝
[00:09:51 - 00:09:52] 拜拜
